/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:15:29 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96949	-1.96562	-0.47422	-0.36934	0.00000	0.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00200	-1.96949	-1.96562	-0.47422	-0.36934	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00400	-1.96949	-1.96562	-0.47422	-0.36934	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00600	-0.00069	-0.00037	0.00947	0.00645	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00800	-0.00149	-0.00022	0.00967	0.00687	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01000	-0.00139	-0.00048	0.00969	0.00671	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01200	-0.00099	-0.00062	0.00993	0.00744	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01400	-0.00106	-0.00030	0.00966	0.00757	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01600	-0.00112	0.00080	0.00976	0.00735	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01800	-0.00038	0.00102	0.00968	0.00722	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02000	-0.00044	0.00004	0.01042	0.00738	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02200	-0.00112	-0.00021	0.00966	0.00687	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02400	-0.00063	-0.00079	0.01002	0.00697	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02600	-0.00160	-0.00094	0.01005	0.00656	-0.27060	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02800	0.00137	-0.00078	0.00983	0.00663	-0.27060	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03000	0.00045	-0.00037	0.00973	0.00673	-0.27060	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03200	-0.00040	0.00124	0.00955	0.00661	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03400	-0.00101	0.00162	0.00908	0.00676	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03600	-0.00056	0.00023	0.00936	0.00666	-0.18040	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03800	-0.00009	-0.00043	0.00943	0.00672	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04000	-0.00060	-0.00072	0.00975	0.00642	-0.18040	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04200	-0.00101	-0.00034	0.00972	0.00705	-0.18040	-89.73000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04400	-0.00082	-0.00017	0.00963	0.00675	-0.18040	-89.73000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04600	-0.00146	-0.00122	0.00922	0.00692	-0.27060	-89.73000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04800	-0.00151	0.00106	0.01018	0.00702	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05000	-0.00067	0.00133	0.00896	0.00742	-0.36080	-89.73000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05200	-0.00095	0.00028	0.00926	0.00716	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05400	-0.00027	-0.00049	0.00944	0.00698	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05600	-0.00062	-0.00104	0.00988	0.00749	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05800	-0.00111	-0.00072	0.00951	0.00724	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06000	0.00218	-0.00040	0.00958	0.00712	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06200	0.00080	-0.00039	0.00963	0.00690	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06400	0.00080	-0.00039	0.00963	0.00690	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06600	-0.00126	0.00123	0.00975	0.00718	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06800	-0.00088	-0.00018	0.00948	0.00760	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07000	-0.00071	-0.00063	0.00962	0.00761	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07200	-0.00102	-0.00072	0.00960	0.00682	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07400	0.00115	-0.00141	0.00981	0.00691	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07600	-0.00091	-0.00078	0.00961	0.00635	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07800	-0.00156	-0.00004	0.00907	0.00636	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08000	-0.00178	0.00148	0.00932	0.00633	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08200	-0.00116	0.00099	0.00983	0.00659	-0.45100	-90.18000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08400	-0.00183	-0.00037	0.00995	0.00730	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08600	-0.00050	-0.00077	0.00951	0.00731	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08800	-0.00124	-0.00052	0.00970	0.00717	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09000	0.00158	-0.00078	0.00971	0.00650	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09200	0.00068	0.00009	0.00959	0.00691	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09400	-0.00050	0.00100	0.00986	0.00719	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09600	-0.00049	0.00169	0.00958	0.00704	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09800	-0.00108	0.00095	0.00947	0.00709	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.10000	-0.00155	-0.00096	0.00968	0.00715	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.10200	-0.00129	-0.00039	0.00971	0.00750	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.10400	-0.00135	-0.00080	0.00951	0.00757	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.10600	0.04132	-0.00079	0.01017	0.00784	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.10800	0.52775	-0.00068	0.00983	0.00760	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.11000	0.52775	0.00102	0.00981	0.00773	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.11200	0.52775	0.00129	0.00986	0.00769	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.11400	0.52775	0.00000	0.01000	0.00737	-0.54120	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.11600	0.52775	-0.00067	0.00985	0.00755	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.11800	0.52775	-0.00111	0.00982	0.00735	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.12000	0.52775	-0.00069	0.00964	0.00744	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.12200	0.52775	-0.00073	0.00963	0.00668	-0.27060	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.12400	0.52775	-0.00005	0.00988	0.00655	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.12600	0.52775	0.00158	0.00965	0.00672	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.12800	0.52775	0.00056	0.00975	0.00640	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.13000	0.52775	-0.00041	0.00987	0.00662	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.13200	0.52775	-0.00009	0.00970	0.00636	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.13400	0.52775	-0.00060	0.00993	0.00705	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.13600	0.52775	-0.00117	0.01016	0.00693	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.13800	0.29506	-0.00087	0.01009	0.00711	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.14000	-0.00068	-0.00057	0.00962	0.00689	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.14200	-0.00046	0.00157	0.00964	0.00677	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.14400	-0.00122	0.00087	0.00942	0.00697	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.14600	-0.00078	-0.00119	0.00999	0.00704	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.14800	-0.00098	0.00039	0.00953	0.00672	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.15000	-0.00041	0.00034	0.01009	0.00684	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.15200	-0.00100	-0.00101	0.01005	0.00691	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.15400	0.00032	-0.00204	0.01011	0.00716	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.15600	0.00022	0.00021	0.01012	0.00705	-0.45100	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.15800	-0.00105	0.00123	0.00953	0.00697	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.16000	-0.00029	0.00044	0.00999	0.00731	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.16200	-0.00050	0.00005	0.00982	0.00705	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.16400	-0.00071	-0.00078	0.00977	0.00625	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.16600	-0.00048	-0.00093	0.00998	0.00674	-0.36080	-90.18000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.16800	-0.00049	-0.00091	0.00991	0.00668	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.17000	0.49597	-0.00054	0.01011	0.00687	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.17200	0.52775	0.00158	0.01018	0.00666	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.17400	0.52775	0.00323	0.00944	0.00675	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.17600	0.52775	0.00077	0.00990	0.00652	-0.36080	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.17800	0.52775	-0.00073	0.01008	0.00656	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.18000	0.52775	0.00018	0.01022	0.00646	-0.18040	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.18200	0.52775	0.00006	0.01124	0.00678	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.18400	0.52775	-0.00115	0.01003	0.00614	-0.27060	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.18600	0.52775	-0.00041	0.00972	0.00686	-0.27060	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
