/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:08:33 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00003	-1.96949	-1.96562	-0.47422	-0.36934	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00200	0.00000	-1.96949	-1.96562	-0.47422	-0.36934	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00400	0.00000	-1.96949	-1.96562	-0.47422	-0.36934	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00600	0.00000	-0.00085	-0.00266	-0.00058	0.00548	-0.54120	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.00800	0.00000	-0.00106	-0.00332	-0.00070	0.00557	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01000	0.00000	-0.00229	-0.00252	0.00096	0.00440	-0.45100	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01200	0.00000	0.00073	-0.00139	-0.00018	0.00447	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01400	0.00000	-0.00195	-0.00335	-0.00018	0.00420	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01600	0.00312	-0.00404	-0.00072	-0.00091	0.00460	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.01800	0.00312	-0.00343	-0.00128	0.00097	0.00407	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02000	0.00312	-0.00156	-0.00210	0.00213	0.00234	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02200	0.00312	-0.00161	-0.00388	-0.00019	0.00417	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02400	0.00316	-0.00205	-0.00317	-0.00035	0.00483	-0.45100	-90.18000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02600	0.00316	-0.00369	-0.00330	-0.00021	0.00456	-0.45100	-90.18000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.02800	0.00316	-0.00389	-0.00293	0.00086	0.00454	-0.45100	-90.27000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03000	0.00316	-0.00199	-0.00234	0.00005	0.00326	-0.36080	-90.18000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03200	0.00316	-0.00294	-0.00189	-0.00021	0.00351	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03400	0.00318	-0.00356	-0.00151	0.00008	0.00426	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03600	0.00318	0.00024	-0.00237	-0.00035	0.00391	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.03800	0.00318	-0.00050	-0.00327	0.00011	0.00357	-0.36080	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04000	0.00318	-0.00015	-0.00228	0.00032	0.00335	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04200	0.00318	-0.00227	-0.00410	-0.00061	0.00413	-0.45100	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04400	0.00321	-0.00360	-0.00425	-0.00099	0.00419	-0.45100	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04600	0.00321	-0.00277	-0.00279	-0.00108	0.00413	-0.63140	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.04800	0.00321	-0.00380	-0.00106	-0.00132	0.00460	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05000	0.00321	-0.00329	-0.00189	-0.00055	0.00447	-0.45100	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05200	0.00321	-0.00169	-0.00067	-0.00059	0.00465	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05400	0.00321	-0.00263	-0.00336	-0.00064	0.00425	-0.54120	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05600	0.00324	-0.00273	-0.00322	-0.00106	0.00447	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.05800	0.00324	-0.00321	-0.00367	-0.00066	0.00514	-0.36080	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06000	0.00324	-0.00322	-0.00173	-0.00022	0.00501	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06200	0.00324	-0.00297	0.00100	-0.00078	0.00420	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06400	0.00324	-0.00446	-0.00126	-0.00122	0.00414	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06600	0.00325	-0.00227	-0.00233	-0.00074	0.00395	-0.63140	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.06800	0.00325	0.00020	-0.00282	-0.00134	0.00329	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07000	0.00325	-0.00150	-0.00489	-0.00144	0.00319	-0.54120	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07200	0.00325	-0.00258	-0.00454	-0.00057	0.00407	-0.36080	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07400	0.00325	-0.00251	-0.00356	0.00001	0.00427	-0.27060	-89.82000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07600	0.00325	-0.00256	-0.00346	0.00018	0.00474	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.07800	0.00325	-0.00251	-0.00080	-0.00133	0.00409	-0.54120	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08000	0.00325	-0.00499	-0.00191	-0.00064	0.00436	-0.63140	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08200	0.00325	-0.00367	-0.00276	0.00032	0.00431	-0.63140	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08400	0.00325	-0.00349	-0.00215	0.00029	0.00358	-0.54120	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08600	0.00325	-0.00293	-0.00333	0.00032	0.00412	-0.54120	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.08800	0.00325	-0.00323	-0.00308	0.00071	0.00397	-0.54120	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09000	0.00325	-0.00048	-0.00279	0.00036	0.00376	-0.54120	-90.00000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09200	0.00325	-0.00277	-0.00336	-0.00053	0.00456	-0.45100	-90.09000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
0.09400	0.00325	-0.00334	-0.00060	-0.00146	0.00552	-0.45100	-89.91000	-0.08004	-0.08517	1.07567	-0.02024	0.01489	0.00445
