/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 09:15:26 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00200	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00400	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00600	0.00000	-0.52710	0.00185	-0.00025	-0.00043	-0.54120	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00800	0.00000	-0.52579	0.00029	0.00035	-0.00050	-0.63140	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01000	0.00000	-0.52666	0.00056	0.00053	-0.00017	-0.63140	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01200	0.00000	-0.52677	0.00080	-0.00005	-0.00002	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01400	0.00485	-0.52636	0.00107	0.00042	-0.00025	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01600	0.00485	-0.52640	0.00204	0.00008	-0.00057	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01800	0.00485	-0.52763	0.00263	-0.00221	-0.00181	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
