/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:45:40 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00200	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00400	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00600	0.00070	-0.52835	-0.00085	-0.00013	-0.00156	-0.36080	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00800	0.00070	-0.52558	0.00085	0.00043	-0.00242	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01000	0.00070	-0.52703	0.00046	0.00035	-0.00100	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01200	0.00070	-0.52761	0.00083	-0.00025	-0.00176	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01400	0.00070	-0.52843	-0.00040	-0.00006	-0.00178	-0.09020	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01600	0.00067	-0.52863	-0.00039	-0.00012	-0.00139	-0.27060	-90.18000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01800	0.00067	-0.52836	0.00069	0.00029	-0.00215	-0.27060	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02000	0.00067	-0.52753	-0.00052	0.00020	-0.00144	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02200	0.00067	-0.52748	0.00029	0.00005	0.00023	-0.27060	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02400	0.00067	-0.52730	0.00293	-0.00071	-0.00036	-0.27060	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02600	0.00052	-0.52799	0.00219	-0.00101	-0.00028	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02800	0.00052	-0.52708	0.00018	-0.00069	-0.00044	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03000	0.00052	-0.52709	-0.00100	-0.00042	0.00084	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03200	0.00052	-0.52431	0.00055	-0.00083	0.00275	-0.45100	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03400	0.00052	-0.52527	0.00006	-0.00061	0.00241	-0.54120	-89.73000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03600	0.00035	-0.52814	-0.00034	-0.00018	0.00237	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03800	0.00035	-0.52694	0.00240	0.00001	0.00318	-0.54120	-89.55000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04000	0.00035	-0.52759	0.00757	0.00037	0.00211	-0.54120	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04200	0.00035	-0.52803	0.00158	-0.00055	-0.00048	-0.54120	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04400	0.00035	-0.52885	-0.00010	0.00026	-0.00042	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04600	0.00017	-0.52787	0.00018	0.00052	-0.00007	-0.54120	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04800	0.00017	-0.53133	-0.00021	-0.00141	0.00200	-0.54120	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05000	0.00017	-0.52887	0.00336	0.00059	0.00046	-0.45100	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05200	0.00017	-0.52754	0.00068	0.00013	-0.00041	-0.36080	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05400	0.00017	-0.52832	0.00195	-0.00078	-0.00096	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05600	-0.00001	-0.52707	0.00026	-0.00069	-0.00086	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05800	-0.00001	-0.52533	0.00127	0.00020	-0.00221	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06000	-0.00001	-0.52792	-0.00094	-0.00062	-0.00058	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06200	-0.00001	-0.52781	0.00012	-0.00085	-0.00154	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06400	-0.00001	-0.52519	0.00009	0.00066	-0.00113	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06600	-0.00022	-0.52629	0.00106	0.00094	-0.00144	-0.27060	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06800	-0.00022	-0.52590	0.00108	0.00123	-0.00231	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07000	-0.00022	-0.52685	0.00226	0.00044	-0.00131	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07200	-0.00022	-0.52843	0.00213	0.00001	0.00021	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07400	-0.00022	-0.52738	0.00016	-0.00065	0.00067	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07600	-0.00036	-0.52692	0.00084	0.00020	0.00048	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07800	-0.00036	-0.52886	0.00016	-0.00116	0.00048	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.08000	-0.00036	-0.52860	0.00111	-0.00016	0.00112	-0.27060	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.08200	-0.00036	-0.52770	0.00060	-0.00000	0.00259	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.08400	-0.00036	-0.52802	0.00043	-0.00011	0.00217	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.08600	-0.00054	-0.52914	0.00119	-0.00004	0.00236	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.08800	-0.00054	-0.53049	0.00182	-0.00048	0.00313	-0.36080	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.09000	-0.00054	-0.52926	0.00369	0.00011	0.00264	-0.45100	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.09200	-0.00054	-0.52766	0.00101	-0.00009	-0.00044	-0.45100	-89.73000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.09400	-0.00054	-0.52549	0.00029	0.00050	-0.00073	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.09600	-0.00073	-0.52732	0.00049	-0.00010	-0.00044	-0.36080	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.09800	-0.00073	-0.52483	-0.00059	0.00148	-0.00130	-0.36080	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.10000	-0.00073	-0.52690	-0.00020	0.00015	-0.00090	-0.36080	-89.64000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.10200	-0.00073	-0.52787	0.00154	-0.00010	-0.00090	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.10400	-0.00073	-0.52737	0.00187	-0.00043	-0.00054	-0.36080	-89.73000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
