/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Fri 11 Jun 2021 10:25:35 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00003	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00200	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00400	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00600	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00800	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01000	0.00147	0.00343	0.00328	0.00044	0.00386	-0.45100	-89.91000	0.04721	-0.01914	0.05161	-0.01255	-0.02159	-0.00185
0.01200	0.00147	0.00480	0.00382	0.00023	0.00466	-0.45100	-89.91000	0.04721	-0.01914	0.05161	-0.01255	-0.02159	-0.00185
0.01400	0.00147	0.00480	0.00382	0.00023	0.00466	-0.45100	-89.91000	0.04721	-0.01914	0.05161	-0.01255	-0.02159	-0.00185
0.01600	0.00147	0.00480	0.00382	0.00023	0.00466	-0.45100	-90.00000	0.04721	-0.01914	0.05161	-0.01255	-0.02159	-0.00185
0.01800	0.00147	0.00480	0.00382	0.00023	0.00466	-0.27060	-89.91000	0.04721	-0.01914	0.05161	-0.01255	-0.02159	-0.00185
0.02000	0.00139	0.00330	0.00333	0.00039	0.00467	-0.18040	-89.91000	0.02921	-0.02387	0.04123	-0.00895	-0.00483	0.00473
0.02200	0.00139	0.00330	0.00333	0.00039	0.00467	-0.18040	-89.91000	0.02921	-0.02387	0.04123	-0.00895	-0.00483	0.00473
0.02400	0.00139	0.00330	0.00333	0.00039	0.00467	-0.18040	-89.91000	0.02921	-0.02387	0.04123	-0.00895	-0.00483	0.00473
0.02600	0.00139	0.00330	0.00333	0.00039	0.00467	-0.27060	-89.91000	0.02921	-0.02387	0.04123	-0.00895	-0.00483	0.00473
0.02800	0.00139	0.00296	0.00313	0.00042	0.00564	-0.36080	-89.91000	-0.03003	-0.02006	0.08164	-0.00967	0.01028	0.00329
0.03000	0.00128	0.00296	0.00313	0.00042	0.00564	-0.36080	-89.91000	-0.03003	-0.02006	0.08164	-0.00967	0.01028	0.00329
0.03200	0.00128	0.00296	0.00313	0.00042	0.00564	-0.45100	-90.00000	-0.03003	-0.02006	0.08164	-0.00967	0.01028	0.00329
0.03400	0.00128	0.00296	0.00313	0.00042	0.00564	-0.45100	-90.00000	-0.03003	-0.02006	0.08164	-0.00967	0.01028	0.00329
0.03600	0.00128	0.00360	0.00338	0.00028	0.00566	-0.45100	-90.00000	-0.05873	-0.01872	0.04987	-0.00062	0.02519	0.00689
0.03800	0.00128	0.00360	0.00338	0.00028	0.00566	-0.45100	-90.00000	-0.05873	-0.01872	0.04987	-0.00062	0.02519	0.00689
0.04000	0.00114	0.00360	0.00338	0.00028	0.00566	-0.45100	-89.91000	-0.05873	-0.01872	0.04987	-0.00062	0.02519	0.00689
0.04200	0.00114	0.00360	0.00338	0.00028	0.00566	-0.54120	-89.82000	-0.05873	-0.01872	0.04987	-0.00062	0.02519	0.00689
0.04400	0.00114	0.00445	0.00262	0.00050	0.00508	-0.45100	-89.73000	-0.05205	0.00473	0.09942	-0.00422	0.02694	0.00288
0.04600	0.00114	0.00445	0.00262	0.00050	0.00508	-0.45100	-89.82000	-0.05205	0.00473	0.09942	-0.00422	0.02694	0.00288
0.04800	0.00114	0.00445	0.00262	0.00050	0.00508	-0.54120	-89.82000	-0.05205	0.00473	0.09942	-0.00422	0.02694	0.00288
0.05000	0.00101	0.00445	0.00262	0.00050	0.00508	-0.54120	-89.91000	-0.05205	0.00473	0.09942	-0.00422	0.02694	0.00288
0.05200	0.00101	0.00256	0.00391	0.00062	0.00431	-0.45100	-89.91000	-0.01923	0.01420	0.06848	-0.00689	0.01151	0.00432
0.05400	0.00101	0.00256	0.00391	0.00062	0.00431	-0.54120	-89.91000	-0.01923	0.01420	0.06848	-0.00689	0.01151	0.00432
0.05600	0.00101	0.00256	0.00391	0.00062	0.00431	-0.54120	-89.91000	-0.01923	0.01420	0.06848	-0.00689	0.01151	0.00432
0.05800	0.00101	0.00256	0.00391	0.00062	0.00431	-0.45100	-89.91000	-0.01923	0.01420	0.06848	-0.00689	0.01151	0.00432
0.06000	0.00087	0.00416	0.00161	0.00136	0.00290	-0.27060	-89.91000	0.03826	0.03817	0.02838	0.00082	-0.00216	-0.00195
0.06200	0.00087	0.00416	0.00161	0.00136	0.00290	-0.27060	-90.00000	0.03826	0.03817	0.02838	0.00082	-0.00216	-0.00195
0.06400	0.00087	0.00416	0.00161	0.00136	0.00290	-0.36080	-90.00000	0.03826	0.03817	0.02838	0.00082	-0.00216	-0.00195
0.06600	0.00087	0.00416	0.00161	0.00136	0.00290	-0.27060	-90.00000	0.03826	0.03817	0.02838	0.00082	-0.00216	-0.00195
0.06800	0.00087	0.00408	0.00144	0.00048	0.00569	-0.27060	-90.09000	0.05513	0.02140	0.06580	0.00051	-0.01511	0.00329
0.07000	0.00073	0.00408	0.00144	0.00048	0.00569	-0.27060	-90.27000	0.05513	0.02140	0.06580	0.00051	-0.01511	0.00329
0.07200	0.00073	0.00408	0.00144	0.00048	0.00569	-0.27060	-90.27000	0.05513	0.02140	0.06580	0.00051	-0.01511	0.00329
0.07400	0.00073	0.00408	0.00144	0.00048	0.00569	-0.18040	-90.18000	0.05513	0.02140	0.06580	0.00051	-0.01511	0.00329
0.07600	0.00073	0.00427	0.00374	-0.00004	0.00624	-0.18040	-90.18000	0.04670	0.00360	0.02025	-0.00658	-0.01542	0.00051
0.07800	0.00073	0.00427	0.00374	-0.00004	0.00624	-0.18040	-90.09000	0.04670	0.00360	0.02025	-0.00658	-0.01542	0.00051
0.08000	0.00060	0.00427	0.00374	-0.00004	0.00624	-0.18040	-90.09000	0.04670	0.00360	0.02025	-0.00658	-0.01542	0.00051
0.08200	0.00060	0.00427	0.00374	-0.00004	0.00624	-0.27060	-90.00000	0.04670	0.00360	0.02025	-0.00658	-0.01542	0.00051
0.08400	0.00060	0.00294	0.00327	-0.00124	0.00612	-0.27060	-89.91000	0.01450	-0.02510	0.07814	-0.00864	0.00247	0.00154
0.08600	0.00060	0.00294	0.00327	-0.00124	0.00612	-0.27060	-90.00000	0.01450	-0.02510	0.07814	-0.00864	0.00247	0.00154
0.08800	0.00060	0.00294	0.00327	-0.00124	0.00612	-0.27060	-89.91000	0.01450	-0.02510	0.07814	-0.00864	0.00247	0.00154
0.09000	0.00044	0.00294	0.00327	-0.00124	0.00612	-0.27060	-89.82000	0.01450	-0.02510	0.07814	-0.00864	0.00247	0.00154
0.09200	0.00044	0.00245	0.00313	-0.00046	0.00495	-0.18040	-89.91000	-0.03621	-0.04959	0.09768	-0.01285	0.01717	-0.00195
0.09400	0.00044	0.00245	0.00313	-0.00046	0.00495	-0.36080	-89.91000	-0.03621	-0.04959	0.09768	-0.01285	0.01717	-0.00195
0.09600	0.00044	0.00245	0.00313	-0.00046	0.00495	-0.54120	-89.91000	-0.03621	-0.04959	0.09768	-0.01285	0.01717	-0.00195
0.09800	0.00044	0.00245	0.00313	-0.00046	0.00495	-0.45100	-89.91000	-0.03621	-0.04959	0.09768	-0.01285	0.01717	-0.00195
0.10000	0.00027	0.00318	0.00306	-0.00150	0.00464	-0.45100	-89.82000	-0.05493	-0.01975	0.06488	-0.00915	0.03269	0.00525
