/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 02:36:30 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00003	-1.96816	-1.96255	-0.38301	-0.37129	0.00000	0.00000	-0.02219	0.47321	0.43227	-0.00926	-0.03513	-0.01282
0.00200	0.00000	-1.96816	-1.96255	-0.38301	-0.37129	-0.45100	-89.91000	-0.02219	0.47321	0.43227	-0.00926	-0.03513	-0.01282
0.00400	0.00000	-1.96816	-1.96255	-0.38301	-0.37129	-0.45100	-89.91000	-0.02219	0.47321	0.43227	-0.00926	-0.03513	-0.01282
0.00600	0.00000	-1.96816	-1.96255	-0.38301	-0.37129	-0.45100	-89.91000	-0.02219	0.47321	0.43227	-0.00926	-0.03513	-0.01282
0.00800	0.00000	-1.96816	-1.96255	-0.38301	-0.37129	-0.45100	-90.00000	-0.02219	0.47321	0.43227	-0.00926	-0.03513	-0.01282
0.01000	-0.00016	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.01200	-0.00016	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.01400	-0.00016	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.01600	-0.00016	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.01800	-0.00016	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.02000	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.02200	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.02400	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.02600	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.02800	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.03000	-0.00017	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.03200	-0.00018	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.03400	-0.00018	0.00034	0.00012	0.00105	0.00270	-0.27060	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.03600	-0.00018	0.00034	0.00012	0.00105	0.00270	-0.18040	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.03800	-0.00018	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.04000	-0.00018	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.04200	-0.00019	0.00034	0.00012	0.00105	0.00270	-0.36080	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.04400	-0.00019	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.04600	-0.00019	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.04800	-0.00019	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.05000	-0.00019	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.05200	-0.00020	0.00034	0.00012	0.00105	0.00270	-0.18040	-89.82000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.05400	-0.00020	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.05600	-0.00020	0.00034	0.00012	0.00105	0.00270	-0.27060	-89.91000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.05800	-0.00020	0.00034	0.00012	0.00105	0.00270	-0.36080	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.06000	-0.00022	0.00034	0.00012	0.00105	0.00270	-0.45100	-90.09000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.06200	-0.00022	0.00034	0.00012	0.00105	0.00270	-0.36080	-90.18000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.06400	-0.00022	0.00034	0.00012	0.00105	0.00270	-0.36080	-90.09000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.06600	-0.00022	0.00034	0.00012	0.00105	0.00270	-0.36080	-90.09000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.06800	-0.00022	0.00034	0.00012	0.00105	0.00270	-0.36080	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.07000	-0.00024	0.00034	0.00012	0.00105	0.00270	-0.45100	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.07200	-0.00024	0.00034	0.00012	0.00105	0.00270	-0.54120	-90.09000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
0.07400	-0.00024	0.00034	0.00012	0.00105	0.00270	-0.45100	-90.00000	0.01214	0.45978	0.28799	0.04424	-0.01814	-0.00930
