/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 03:02:33 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96971	-1.96189	-0.38405	-0.37136	0.00000	0.00000	-0.00141	0.01343	-0.10761	-0.01093	-0.02301	-0.00814
0.00200	-1.96971	-1.96189	-0.38405	-0.37136	-0.27060	-90.00000	-0.00141	0.01343	-0.10761	-0.01093	-0.02301	-0.00814
0.00400	-1.96971	-1.96189	-0.38405	-0.37136	-0.36080	-90.09000	-0.00141	0.01343	-0.10761	-0.01093	-0.02301	-0.00814
0.00600	-1.96971	-1.96189	-0.38405	-0.37136	-0.36080	-90.09000	-0.00141	0.01343	-0.10761	-0.01093	-0.02301	-0.00814
0.00800	-1.96971	-1.96189	-0.38405	-0.37136	-0.36080	-90.00000	-0.00141	0.01343	-0.10761	-0.01093	-0.02301	-0.00814
0.01000	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-90.09000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.01200	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-90.09000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.01400	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.01600	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.01800	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.02000	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.02200	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.02400	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.02600	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-89.82000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.02800	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.82000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.03000	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.03200	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.03400	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.03600	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.03800	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.04000	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.04200	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.04400	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.04600	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.04800	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.05000	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.05200	-0.00258	0.00128	0.00174	-0.00053	-0.27060	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.05400	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.05600	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.05800	-0.00258	0.00128	0.00174	-0.00053	-0.18040	-90.09000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.06000	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.06200	-0.00258	0.00128	0.00174	-0.00053	-0.18040	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.06400	-0.00258	0.00128	0.00174	-0.00053	-0.18040	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.06600	-0.00258	0.00128	0.00174	-0.00053	-0.36080	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.06800	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.07000	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.07200	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-89.91000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.07400	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-89.82000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
0.07600	-0.00258	0.00128	0.00174	-0.00053	-0.45100	-90.00000	0.05966	0.03292	0.15011	-0.00231	-0.01018	0.00139
