/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves2
* Project Lead:	JD
* Labview Operator:	JD+PH
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Wed 19 May 2021 05:35:20 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00003	-1.96557	-1.95929	-0.39086	-0.36747	-1.17260	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00200	0.00000	-1.96557	-1.95929	-0.39086	-0.36747	-1.17260	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00400	0.00000	-1.96557	-1.95929	-0.39086	-0.36747	-1.17260	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00600	0.00000	0.00145	0.00013	0.00320	0.00282	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00800	0.00000	0.00063	0.00069	0.00253	0.00357	-0.99220	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01000	0.01221	0.00027	0.00004	0.00338	0.00332	-1.08240	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01200	0.01221	0.00027	0.00004	0.00338	0.00332	-1.17260	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01400	0.01221	-0.00020	0.00060	0.00312	0.00328	-1.26280	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01600	0.01221	-0.00039	0.00261	0.00322	0.00335	-1.17260	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01800	0.01245	-0.00039	0.00261	0.00322	0.00335	-1.26280	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02000	0.01245	-0.00096	0.00255	0.00305	0.00354	-1.26280	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02200	0.01245	-0.00096	0.00255	0.00305	0.00354	-1.26280	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02400	0.01245	-0.00020	0.00068	0.00330	0.00320	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02600	0.01245	0.00011	0.00010	0.00312	0.00367	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02800	0.01274	-0.00116	0.00111	0.00385	0.00357	-0.99220	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03000	0.01274	0.00217	0.00172	0.00374	0.00357	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03200	0.01274	-0.00078	0.00357	0.00387	0.00329	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03400	0.01274	-0.00078	0.00117	0.00355	0.00378	-1.08240	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03600	0.01274	-0.00007	0.00074	0.00323	0.00351	-1.26280	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03800	0.01274	0.00240	-0.00013	0.00302	0.00371	-1.35300	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04000	0.01312	0.00240	-0.00013	0.00302	0.00371	-1.17260	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04200	0.01312	-0.00028	0.00188	0.00313	0.00321	-1.17260	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04400	0.01312	-0.00095	0.00140	0.00359	0.00325	-1.08240	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04600	0.01312	0.00035	0.00187	0.00186	0.00310	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04800	0.01356	-0.00152	0.00262	0.00120	0.00287	-0.90200	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05000	0.01356	-0.00278	0.00432	0.00082	0.00359	-0.81180	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05200	0.01356	0.00000	0.00094	0.00145	0.00330	-0.90200	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05400	0.01356	-0.00078	0.00146	0.00144	0.00276	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05600	0.01356	-0.00138	0.00049	0.00193	0.00343	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05800	0.01385	-0.00074	0.00150	0.00250	0.00353	-0.90200	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06000	0.01385	-0.00060	0.00099	0.00224	0.00306	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06200	0.01385	-0.00017	0.00179	0.00214	0.00321	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06400	0.01385	-0.00041	0.00261	0.00220	0.00292	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06600	0.01385	0.00001	0.00151	0.00368	0.00332	-0.99220	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06800	0.01385	0.00180	0.00110	0.00386	0.00304	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07000	0.01423	0.00280	-0.00020	0.00399	0.00241	-1.08240	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07200	0.01423	0.00066	0.00062	0.00386	0.00425	-1.08240	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07400	0.01423	0.00046	0.00078	0.00352	0.00428	-1.08240	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07600	0.01423	-0.00012	-0.00007	0.00355	0.00421	-0.99220	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07800	0.01423	-0.00041	0.00216	0.00325	0.00416	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08000	0.01462	0.00062	0.00428	0.00375	0.00397	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08200	0.01462	-0.00098	0.00135	0.00373	0.00324	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08400	0.01462	0.00024	-0.00005	0.00295	0.00294	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08600	0.01462	-0.00051	0.00059	0.00333	0.00304	-1.17260	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08800	0.01462	-0.00035	-0.00007	0.00345	0.00350	-1.17260	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09000	0.01496	-0.00178	0.00038	0.00344	0.00293	-1.08240	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09200	0.01496	0.00043	0.00072	0.00363	0.00305	-0.90200	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09400	0.01496	-0.00065	0.00293	0.00309	0.00315	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09600	0.01496	-0.00069	0.00246	0.00305	0.00290	-1.17260	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09800	0.01496	-0.00045	0.00076	0.00146	0.00283	-1.17260	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.10000	0.01532	0.00071	-0.00051	0.00130	0.00299	-1.17260	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.10200	0.01532	0.00126	0.00104	0.00172	0.00340	-1.17260	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.10400	0.01532	0.00074	0.00077	0.00186	0.00279	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.10600	0.01532	-0.00018	0.00101	0.00227	0.00340	-1.08240	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.10800	0.01569	0.00128	0.00069	0.00213	0.00268	-0.90200	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.11000	0.01569	-0.00118	0.00197	0.00114	0.00281	-0.90200	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.11200	0.01569	-0.00011	0.00199	0.00195	0.00305	-0.90200	-89.55000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.11400	0.01569	-0.00011	0.00199	0.00195	0.00305	-0.99220	-89.64000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.11600	0.01569	-0.00084	0.00071	0.00212	0.00372	-0.99220	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.11800	0.01569	-0.00165	0.00085	0.00355	0.00418	-0.99220	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.12000	0.01594	0.00010	0.00026	0.00371	0.00382	-1.17260	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.12200	0.01594	0.00035	0.00013	0.00322	0.00369	-1.17260	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.12400	0.01594	0.00007	0.00091	0.00282	0.00364	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.12600	0.01594	-0.00110	0.00277	0.00242	0.00426	-1.08240	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
