/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 1 V/N; Kistler moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 03:49:50 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00004	-1.96852	-1.96163	-0.47494	-0.36872	0.00000	0.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00200	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00600	0.02780	-1.96852	-1.96163	-0.47494	-0.36872	-0.18040	-89.82000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00800	0.02780	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01000	0.02780	-0.00024	0.00089	-0.00019	0.00321	-0.27060	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01200	0.02780	-0.00024	0.00089	-0.00019	0.00321	-0.36080	-90.00000	-0.07951	-0.09146	-0.09768	-0.02602	0.04966	0.00278
0.01400	0.02780	0.00018	-0.00004	-0.00040	0.00271	-0.36080	-89.91000	-0.07951	-0.09146	-0.09768	-0.02602	0.04966	0.00278
0.01600	0.02791	0.00018	-0.00004	-0.00040	0.00271	-0.36080	-89.82000	-0.09926	-0.05370	-0.01347	0.00730	0.06857	0.00432
0.01800	0.02791	0.00018	-0.00004	-0.00040	0.00271	-0.36080	-89.91000	-0.09926	-0.05370	-0.01347	0.00730	0.06857	0.00432
0.02000	0.02791	0.00018	-0.00004	-0.00040	0.00271	-0.27060	-89.82000	-0.09926	-0.05370	-0.01347	0.00730	0.06857	0.00432
0.02200	0.02791	0.00051	0.00005	-0.00064	0.00339	-0.27060	-89.82000	-0.08404	-0.07510	-0.05367	0.00720	0.07238	0.00401
0.02400	0.02791	0.00051	0.00005	-0.00064	0.00339	-0.36080	-89.91000	-0.08404	-0.07510	-0.05367	0.00720	0.07238	0.00401
0.02600	0.02840	0.00051	0.00005	-0.00064	0.00339	-0.36080	-90.00000	-0.08404	-0.07510	-0.05367	0.00720	0.07238	0.00401
0.02800	0.02840	0.00051	0.00005	-0.00064	0.00339	-0.54120	-90.09000	-0.08404	-0.07510	-0.05367	0.00720	0.07238	0.00401
0.03000	0.02840	-0.00059	0.00127	-0.00001	0.00286	-0.54120	-90.09000	-0.08404	-0.07510	-0.05367	0.00720	0.07238	0.00401
0.03200	0.02840	-0.00059	0.00127	-0.00001	0.00286	-0.54120	-90.09000	-0.09432	-0.05494	-0.04215	0.00710	0.05223	0.00185
0.03400	0.02840	-0.00067	0.00007	-0.00029	0.00217	-0.45100	-89.91000	-0.09432	-0.05494	-0.04215	0.00710	0.05223	0.00185
0.03600	0.02874	-0.00067	0.00007	-0.00029	0.00217	-0.45100	-90.00000	-0.09432	-0.05494	-0.04215	0.00710	0.05223	0.00185
0.03800	0.02874	-0.00067	0.00007	-0.00029	0.00217	-0.54120	-89.82000	-0.09432	-0.05494	-0.04215	0.00710	0.05223	0.00185
0.04000	0.02874	-0.00067	0.00007	-0.00029	0.00217	-0.45100	-89.82000	-0.09432	-0.05494	-0.04215	0.00710	0.05223	0.00185
0.04200	0.02874	-0.00027	0.00048	0.00026	0.00239	-0.45100	-89.82000	-0.02664	0.03611	0.05213	0.01172	0.02509	0.00689
0.04400	0.02874	-0.00027	0.00048	0.00026	0.00239	-0.36080	-89.73000	-0.02664	0.03611	0.05213	0.01172	0.02509	0.00689
0.04600	0.02912	-0.00027	0.00048	0.00026	0.00239	-0.27060	-89.91000	-0.02664	0.03611	0.05213	0.01172	0.02509	0.00689
0.04800	0.02912	-0.00027	0.00048	0.00026	0.00239	-0.27060	-90.00000	-0.02664	0.03611	0.05213	0.01172	0.02509	0.00689
0.05000	0.02912	0.00016	-0.00005	-0.00007	0.00286	-0.27060	-90.09000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.05200	0.02912	0.00291	0.00029	-0.00012	0.00380	-0.36080	-90.09000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.05400	0.02912	0.00291	0.00029	-0.00012	0.00380	-0.45100	-90.00000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.05600	0.02947	0.00291	0.00029	-0.00012	0.00380	-0.36080	-90.00000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.05800	0.02947	0.00291	0.00029	-0.00012	0.00380	-0.45100	-90.09000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.06000	0.02947	0.00011	0.00116	-0.00071	0.00344	-0.36080	-90.00000	0.03806	-0.02984	0.00596	0.01841	-0.01439	0.00257
0.06200	0.02947	-0.00009	0.00012	-0.00085	0.00291	-0.27060	-90.00000	0.01101	-0.05196	-0.02807	-0.01378	0.02200	0.01008
0.06400	0.02947	-0.00009	0.00012	-0.00085	0.00291	-0.36080	-90.00000	0.01101	-0.05196	-0.02807	-0.01378	0.02200	0.01008
0.06600	0.02979	-0.00009	0.00012	-0.00085	0.00291	-0.36080	-90.00000	0.01101	-0.05196	-0.02807	-0.01378	0.02200	0.01008
0.06800	0.02979	-0.00009	0.00012	-0.00085	0.00291	-0.36080	-90.09000	0.01101	-0.05196	-0.02807	-0.01378	0.02200	0.01008
0.07000	0.02979	-0.00056	0.00010	-0.00099	0.00301	-0.36080	-90.18000	0.01101	-0.05196	-0.02807	-0.01378	0.02200	0.01008
0.07200	0.02979	-0.00071	0.00240	-0.00022	0.00315	-0.36080	-90.09000	-0.14061	0.00597	0.00689	0.00905	0.05470	-0.00319
0.07400	0.02979	-0.00071	0.00240	-0.00022	0.00315	-0.36080	-90.00000	-0.14061	0.00597	0.00689	0.00905	0.05470	-0.00319
0.07600	0.03013	-0.00071	0.00240	-0.00022	0.00315	-0.36080	-90.00000	-0.14061	0.00597	0.00689	0.00905	0.05470	-0.00319
0.07800	0.03013	-0.00071	0.00240	-0.00022	0.00315	-0.45100	-90.00000	-0.14061	0.00597	0.00689	0.00905	0.05470	-0.00319
