/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize
* Project Lead:	JD
* Labview Operator:	JD+MA+DL
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Thu 20 May 2021 12:03:43 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00004	-1.96531	-1.96059	-0.38855	-0.36848	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00200	0.00004	-1.96531	-1.96059	-0.38855	-0.36848	-0.99220	-90.18000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00400	0.00000	-1.96531	-1.96059	-0.38855	-0.36848	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00600	0.00000	0.00425	0.00208	0.00869	0.00600	-1.08240	-90.27000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00800	0.00000	0.00411	0.00135	0.00809	0.00553	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01000	0.00000	0.00467	0.00140	0.00888	0.00580	-1.08240	-90.18000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01200	0.02288	0.00124	0.00395	0.00834	0.00583	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01400	0.02288	0.00336	0.00393	0.00895	0.00644	-1.17260	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01600	0.02288	0.00210	0.00288	0.00869	0.00614	-1.08240	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01800	0.02288	0.00151	0.00237	0.00914	0.00627	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02000	0.02342	0.00350	0.00371	0.00853	0.00590	-0.99220	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02200	0.02342	0.00165	0.00057	0.00856	0.00611	-1.17260	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02400	0.02342	0.00333	0.00227	0.00882	0.00580	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02600	0.02342	0.00237	0.00189	0.00799	0.00507	-1.26280	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02800	0.02342	0.00272	0.00521	0.00845	0.00543	-1.17260	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03000	0.02380	0.00201	0.00329	0.00801	0.00526	-1.08240	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03200	0.02380	0.00241	0.00228	0.00895	0.00566	-1.17260	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03400	0.02380	0.00306	0.00338	0.00905	0.00642	-1.17260	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03600	0.02380	0.00234	0.00217	0.00844	0.00576	-1.17260	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03800	0.02380	0.00563	0.00157	0.00880	0.00593	-0.99220	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04000	0.02436	0.00377	0.00190	0.00839	0.00642	-1.08240	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04200	0.02436	0.00523	0.00208	0.00824	0.00627	-1.08240	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04400	0.02436	0.00249	0.00547	0.00871	0.00691	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04600	0.02436	0.00250	0.00295	0.00832	0.00694	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04800	0.02436	0.00299	0.00106	0.00865	0.00724	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05000	0.02491	0.00312	0.00237	0.00838	0.00700	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05200	0.02491	0.00277	0.00338	0.00941	0.00652	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05400	0.02491	0.00233	0.00179	0.00916	0.00552	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05600	0.02491	0.00377	0.00171	0.00942	0.00591	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05800	0.02491	0.00235	0.00250	0.00882	0.00547	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06000	0.02491	0.00232	0.00575	0.00890	0.00628	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06200	0.02546	0.00300	0.00411	0.00824	0.00582	-1.08240	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06400	0.02546	0.00201	0.00179	0.00910	0.00619	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06600	0.02546	0.00271	0.00224	0.00913	0.00634	-0.99220	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06800	0.02546	0.00315	0.00206	0.00892	0.00592	-1.08240	-90.18000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07000	0.02608	0.00533	0.00151	0.00864	0.00622	-0.99220	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07200	0.02608	0.00410	0.00246	0.00956	0.00655	-0.90200	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07400	0.02608	0.00311	0.00411	0.00869	0.00731	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07600	0.02608	0.00256	0.00449	0.00847	0.00761	-1.17260	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07800	0.02608	0.00294	0.00371	0.00910	0.00782	-1.08240	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08000	0.02648	0.00301	0.00217	0.00805	0.00718	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08200	0.02648	0.00230	0.00083	0.00897	0.00773	-1.08240	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
