/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration
* Project Lead:	JN
* Labview Operator:	JN
* Date and Time:	Thu 06 May 2021 04:31:14 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00003	-1.96011	-1.96785	-0.37171	-0.00069
0.00200	0.00000	-1.96011	-1.96785	-0.37171	-0.00069
0.00400	0.00000	-1.96011	-1.96785	-0.37171	-0.00069
0.00600	0.00000	-0.00304	0.00384	0.00012	0.00335
0.00800	0.00000	-0.00324	0.00346	-0.00023	0.00194
0.01000	0.00213	-0.00354	0.00414	-0.00023	0.00217
0.01200	0.00213	-0.00293	0.00494	-0.00018	0.00192
0.01400	0.00213	-0.00315	0.00414	-0.00012	0.00306
0.01600	0.00213	-0.00440	0.00371	-0.00006	0.00254
0.01800	0.00213	-0.00002	0.00222	-0.00023	0.00171
0.02000	0.00220	-0.00154	0.00341	-0.00023	0.00170
0.02200	0.00220	-0.00161	0.00261	-0.00023	0.00203
0.02400	0.00220	-0.00194	0.00390	-0.00023	0.00270
0.02600	0.00220	-0.00560	0.00617	-0.00023	0.00262
0.02800	0.00220	-0.00347	0.00528	-0.00023	0.00220
0.03000	0.00230	-0.00213	0.00512	-0.00018	0.00274
0.03200	0.00230	-0.00369	0.00356	-0.00011	0.00244
0.03400	0.00230	-0.00464	0.00290	0.00012	0.00201
0.03600	0.00230	-0.00063	0.00173	-0.00004	0.00189
0.03800	0.00230	-0.00294	0.00177	-0.00023	0.00281
0.04000	0.00237	-0.00274	0.00276	-0.00023	0.00270
0.04200	0.00237	-0.00321	0.00568	-0.00023	0.00269
0.04400	0.00237	-0.00322	0.00424	0.00039	0.00250
0.04600	0.00237	0.00015	0.00158	0.00025	0.00082
0.04800	0.00237	-0.00069	0.00261	-0.00023	0.00218
0.05000	0.00245	0.00026	0.00300	-0.00023	0.00235
0.05200	0.00245	-0.00158	0.00205	-0.00021	0.00191
0.05400	0.00245	-0.00218	0.00237	-0.00023	0.00185
0.05600	0.00245	-0.00383	0.00412	-0.00023	0.00399
0.05800	0.00245	-0.00265	0.00592	-0.00023	0.00250
0.06000	0.00253	-0.00256	0.00407	-0.00023	0.00162
0.06200	0.00253	-0.00226	0.00268	0.00001	0.00192
0.06400	0.00253	-0.00393	0.00219	-0.00023	0.00213
0.06600	0.00253	-0.00411	0.00305	-0.00023	0.00292
0.06800	0.00253	-0.00262	0.00382	-0.00014	0.00226
0.07000	0.00262	-0.00315	0.00294	0.00010	0.00198
0.07200	0.00262	-0.00365	0.00480	-0.00023	0.00184
0.07400	0.00262	-0.00212	0.00639	0.00013	0.00227
0.07600	0.00262	-0.00328	0.00380	0.00028	0.00173
0.07800	0.00262	-0.00452	0.00128	-0.00023	0.00155
0.08000	0.00271	-0.00107	0.00436	-0.00023	0.00214
0.08200	0.00271	-0.00100	0.00410	-0.00023	0.00211
0.08400	0.00271	-0.00255	0.00427	-0.00023	0.00281
0.08600	0.00271	-0.00067	0.00254	0.00045	0.00179
0.08800	0.00271	-0.00052	0.00313	-0.00020	0.00178
0.09000	0.00279	-0.00254	0.00532	-0.00021	0.00231
0.09200	0.00279	-0.00228	0.00429	0.00004	0.00287
0.09400	0.00279	-0.00276	0.00280	-0.00023	0.00250
0.09600	0.00279	-0.00296	0.00263	-0.00023	0.00387
0.09800	0.00279	-0.00355	0.00272	-0.00007	0.00297
0.10000	0.00286	-0.00435	0.00283	-0.00018	0.00315
0.10200	0.00286	-0.00355	0.00205	-0.00023	0.00296
0.10400	0.00286	-0.00308	0.00463	-0.00022	0.00250
0.10600	0.00286	-0.00299	0.00497	-0.00019	0.00255
0.10800	0.00286	-0.00372	0.00265	-0.00020	0.00233
0.11000	0.00293	-0.00299	0.00243	-0.00023	0.00073
0.11200	0.00293	-0.00066	0.00305	-0.00023	0.00145
0.11400	0.00293	-0.00163	0.00315	-0.00012	0.00146
0.11600	0.00293	-0.00427	0.00395	-0.00006	0.00098
0.11800	0.00293	-0.00204	0.00379	-0.00023	0.00099
0.12000	0.00299	-0.00234	0.00546	-0.00023	0.00130
0.12200	0.00299	-0.00174	0.00461	-0.00004	0.00177
0.12400	0.00299	-0.00362	0.00285	-0.00017	0.00189
0.12600	0.00299	-0.00488	0.00344	0.00000	0.00199
0.12800	0.00299	-0.00208	0.00352	-0.00018	0.00194
0.13000	0.00306	-0.00379	0.00327	-0.00023	0.00363
0.13200	0.00306	-0.00274	0.00261	-0.00023	0.00280
0.13400	0.00306	-0.00328	0.00371	-0.00006	0.00265
0.13600	0.00306	-0.00195	0.00490	-0.00012	0.00359
0.13800	0.00306	-0.00315	0.00464	-0.00023	0.00253
0.14000	0.00312	-0.00375	0.00244	-0.00023	0.00173
0.14200	0.00312	-0.00148	0.00278	-0.00023	0.00166
0.14400	0.00312	-0.00098	0.00310	-0.00017	0.00175
0.14600	0.00312	-0.00105	0.00332	0.00048	0.00159
0.14800	0.00312	-0.00223	0.00021	-0.00023	0.00216
0.15000	0.00318	-0.00407	0.00305	-0.00023	0.00240
0.15200	0.00318	-0.00243	0.00622	-0.00023	0.00249
0.15400	0.00318	-0.00219	0.00344	-0.00023	0.00251
0.15600	0.00318	-0.00529	0.00354	-0.00006	0.00371
0.15800	0.00318	-0.00516	0.00408	-0.00023	0.00175
0.16000	0.00324	-0.00252	-0.00057	-0.00023	0.00111
0.16200	0.00324	-0.00333	0.00222	-0.00015	0.00064
0.16400	0.00324	-0.00161	0.00336	-0.00023	0.00103
0.16600	0.00324	-0.00197	0.00449	-0.00016	0.00208
0.16800	0.00324	-0.00335	0.00675	-0.00019	0.00150
0.17000	0.00328	-0.00269	0.00522	-0.00021	0.00038
0.17200	0.00328	-0.00299	0.00373	-0.00018	0.00103
0.17400	0.00328	-0.00084	0.00263	-0.00017	0.00060
0.17600	0.00328	-0.00184	0.00400	-0.00023	0.00059
0.17800	0.00328	-0.00133	0.00446	-0.00023	-0.00001
0.18000	0.00332	-0.00299	0.00276	-0.00023	0.00259
0.18200	0.00332	-0.00255	0.00400	-0.00005	0.00185
0.18400	0.00332	-0.00291	0.00446	-0.00017	0.00153
0.18600	0.00332	-0.00301	0.00519	-0.00023	0.00323
0.18800	0.00332	-0.00608	0.00610	-0.00019	0.00216
0.19000	0.00334	-0.00346	0.00224	-0.00023	0.00125
0.19200	0.00334	-0.00199	0.00385	-0.00015	0.00088
0.19400	0.00334	-0.00265	0.00324	-0.00023	0.00093
0.19600	0.00334	-0.00541	0.00158	0.00010	0.00182
0.19800	0.00334	-0.00460	0.00716	-0.00023	0.00057
0.20000	0.00338	-0.00274	0.00690	-0.00023	0.00209
0.20200	0.00338	-0.00345	0.00407	-0.00023	0.00255
0.20400	0.00338	-0.00185	0.00246	-0.00018	0.00241
0.20600	0.00338	-0.00027	0.00300	0.00023	0.00181
0.20800	0.00338	-0.00199	0.00325	-0.00023	0.00255
0.21000	0.00342	-0.00250	0.00258	-0.00023	0.00204
0.21200	0.00342	-0.00347	0.00278	-0.00018	0.00107
0.21400	0.00342	-0.00274	0.00454	-0.00023	0.00112
0.21600	0.00342	-0.00321	0.00590	-0.00018	0.00164
0.21800	0.00342	-0.00374	0.00473	0.00069	0.00146
0.22000	0.00345	-0.00363	0.00317	-0.00023	0.00153
0.22200	0.00345	-0.00312	0.00295	-0.00023	0.00129
0.22400	0.00345	-0.00212	0.00288	-0.00012	0.00163
0.22600	0.00345	-0.00138	0.00273	-0.00012	0.00161
0.22800	0.00345	-0.00369	0.00357	-0.00021	0.00230
0.23000	0.00347	-0.00388	0.00446	-0.00023	0.00203
0.23200	0.00347	-0.00350	0.00407	-0.00017	0.00274
0.23400	0.00347	-0.00349	0.00224	-0.00012	0.00225
0.23600	0.00347	-0.00093	0.00280	-0.00023	0.00304
0.23800	0.00347	-0.00291	0.00597	-0.00023	0.00376
0.24000	0.00347	-0.00089	0.00300	-0.00023	0.00228
0.24200	0.00347	-0.00282	0.00285	-0.00023	0.00209
0.24400	0.00347	-0.00384	0.00338	-0.00018	0.00255
0.24600	0.00347	-0.00276	0.00591	0.00050	0.00242
0.24800	0.00347	-0.00335	0.00397	0.00004	0.00193
0.25000	0.00347	-0.00293	0.00307	-0.00023	0.00168
0.25200	0.00347	-0.00213	0.00366	-0.00020	0.00165
0.25400	0.00347	-0.00412	0.00300	0.00012	0.00174
0.25600	0.00347	-0.00333	0.00223	0.00018	0.00071
0.25800	0.00347	-0.00213	0.00271	-0.00023	0.00196
0.26000	0.00347	-0.00332	0.00356	-0.00023	0.00139
0.26200	0.00347	-0.00321	0.00517	-0.00017	0.00161
0.26400	0.00347	-0.00439	0.00390	-0.00000	0.00168
0.26600	0.00347	-0.00126	0.00418	-0.00006	0.00090
0.26800	0.00347	0.00080	0.00323	-0.00019	0.00126
0.27000	0.00347	-0.00068	0.00451	-0.00023	0.00179
0.27200	0.00347	-0.00251	0.00310	-0.00023	0.00255
0.27400	0.00347	-0.00321	0.00367	0.00011	0.00250
0.27600	0.00347	-0.00304	0.00486	0.00026	0.00210
0.27800	0.00347	-0.00297	0.00475	-0.00023	0.00212
0.28000	0.00347	-0.00235	0.00373	-0.00020	0.00243
0.28200	0.00347	-0.00321	0.00254	-0.00023	0.00233
0.28400	0.00347	0.49750	0.00351	-0.00023	0.00196
0.28600	0.00347	0.52939	0.00252	-0.00018	0.00247
0.28800	0.00347	0.52910	0.00313	-0.00014	0.00262
0.29000	0.00347	0.52939	0.00451	0.00010	0.00298
0.29200	0.00347	0.52939	0.00490	-0.00023	0.00239
0.29400	0.00347	0.52939	0.00488	-0.00023	0.00248
0.29600	0.00347	0.52939	0.00468	0.00037	0.00280
0.29800	0.00347	0.52939	0.00183	-0.00010	0.00298
0.30000	0.00346	0.52939	0.00202	-0.00007	0.00285
0.30200	0.00346	0.52939	0.00293	-0.00021	0.00128
0.30400	0.00346	0.52939	0.00229	-0.00018	0.00084
0.30600	0.00346	0.52939	0.00328	-0.00023	0.00060
0.30800	0.00346	0.52939	0.00541	-0.00023	0.00114
0.31000	0.00345	0.52939	0.00519	-0.00023	0.00175
0.31200	0.00345	0.52939	0.00349	-0.00023	0.00290
0.31400	0.00345	0.52939	0.00344	-0.00023	0.00344
0.31600	0.00345	-0.00410	0.00250	0.00018	0.00249
0.31800	0.00345	-0.00439	0.00291	-0.00023	0.00245
0.32000	0.00339	-0.00349	0.00319	-0.00023	0.00175
0.32200	0.00339	-0.00289	0.00419	-0.00018	0.00220
0.32400	0.00339	-0.00325	0.00514	0.00000	0.00203
0.32600	0.00339	-0.00273	0.00458	-0.00023	0.00154
0.32800	0.00339	-0.00335	0.00252	0.00010	0.00214
0.33000	0.00332	-0.00127	0.00368	-0.00023	0.00129
0.33200	0.00332	-0.00048	0.00319	-0.00023	0.00159
0.33400	0.00332	-0.00148	0.00300	0.00006	0.00179
0.33600	0.00332	-0.00321	0.00176	-0.00018	0.00081
0.33800	0.00332	-0.00265	0.00256	-0.00023	0.00136
0.34000	0.00325	-0.00202	0.00602	-0.00023	0.00193
0.34200	0.00325	-0.00304	0.00400	-0.00006	0.00232
