/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 12:08:42 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00199	0.00473	0.00228	-0.00009	-0.00401
0.00800	0.00199	0.00291	0.00160	-0.00009	-0.00246
0.01000	0.00199	0.00237	0.00018	-0.00008	-0.00316
0.01200	0.00199	0.00346	-0.00063	-0.00017	-0.00279
0.01400	0.00199	0.00363	-0.00088	0.00002	-0.00255
0.01600	0.00199	0.00260	0.00128	-0.00014	-0.00236
0.01800	0.00199	0.00179	0.00299	-0.00021	-0.00217
0.02000	0.00199	0.00318	0.00156	-0.00021	-0.00262
0.02200	0.00199	0.00189	-0.00095	-0.00019	-0.00315
0.02400	0.00199	0.00204	-0.00078	-0.00016	-0.00298
0.02600	0.00200	0.00284	0.00071	-0.00021	-0.00231
0.02800	0.00200	0.00339	-0.00029	-0.00021	-0.00024
0.03000	0.00200	0.00134	0.00063	-0.00021	-0.00013
0.03200	0.00200	0.00171	0.00130	-0.00020	-0.00028
0.03400	0.00200	0.00293	0.00316	-0.00015	0.00007
0.03600	0.00200	0.00411	0.00189	-0.00021	-0.00065
0.03800	0.00200	0.00473	-0.00007	-0.00015	-0.00349
0.04000	0.00200	0.00317	0.00119	-0.00016	-0.00306
0.04200	0.00200	0.00132	-0.00063	-0.00013	-0.00324
0.04400	0.00200	0.00317	0.00046	-0.00011	-0.00292
0.04600	0.00200	0.00277	-0.00021	0.00001	-0.00249
0.04800	0.00200	-0.00011	0.00256	0.00020	-0.00348
0.05000	0.00200	0.00179	0.00126	-0.00020	-0.00385
0.05200	0.00200	0.00254	0.00040	-0.00021	-0.00320
