/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 12:19:08 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00002	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00000	-0.00006	0.00319	-0.00021	-0.00296
0.00800	0.00000	0.00267	0.00033	-0.00015	-0.00343
0.01000	0.00090	0.00243	-0.00018	-0.00006	-0.00317
0.01200	0.00090	0.00317	0.00041	0.00012	-0.00288
0.01400	0.00090	0.00742	-0.00285	-0.00006	-0.00293
0.01600	0.00090	0.00407	0.00399	-0.00021	-0.00178
0.01800	0.00090	0.00277	0.00282	-0.00015	-0.00153
0.02000	0.00095	0.00241	0.00256	-0.00021	-0.00170
0.02200	0.00095	0.00188	0.00173	-0.00015	-0.00057
0.02400	0.00095	0.00083	0.00144	-0.00011	-0.00034
0.02600	0.00095	0.00267	0.00108	-0.00021	-0.00099
0.02800	0.00095	0.00266	-0.00030	-0.00005	-0.00155
0.03000	0.00102	0.00315	0.00044	-0.00021	-0.00108
0.03200	0.00102	0.00278	0.00329	-0.00021	-0.00072
0.03400	0.00102	0.00084	0.00223	-0.00021	-0.00010
0.03600	0.00102	0.00265	0.00105	-0.00011	-0.00064
0.03800	0.00102	0.00122	0.00045	-0.00016	-0.00114
0.04000	0.00111	0.00195	-0.00071	-0.00009	-0.00059
0.04200	0.00111	0.00311	0.00095	-0.00019	-0.00012
0.04400	0.00111	0.00591	-0.00021	-0.00016	-0.00157
0.04600	0.00111	0.00468	0.00183	-0.00021	-0.00270
0.04800	0.00111	0.00272	0.00295	-0.00021	-0.00288
0.05000	0.00119	0.00317	0.00149	-0.00021	-0.00289
0.05200	0.00119	0.00256	-0.00107	-0.00021	-0.00275
0.05400	0.00119	-0.00112	0.00038	-0.00021	-0.00311
0.05600	0.00119	0.00250	0.00084	-0.00015	-0.00347
0.05800	0.00119	0.00233	-0.00127	0.00011	-0.00395
0.06000	0.00126	0.00311	-0.00157	0.00023	-0.00330
0.06200	0.00126	0.00325	0.00130	-0.00021	-0.00293
0.06400	0.00126	-0.00349	0.00346	-0.00021	-0.00096
0.06600	0.00126	0.00233	0.00285	-0.00021	-0.00271
0.06800	0.00126	0.00155	0.00022	-0.00009	-0.00292
0.07000	0.00134	0.00255	-0.00063	-0.00021	-0.00299
0.07200	0.00134	0.00339	-0.00093	0.00068	-0.00344
0.07400	0.00134	0.00293	0.00015	-0.00006	-0.00338
0.07600	0.00134	0.00441	-0.00149	-0.00021	-0.00255
0.07800	0.00134	0.00365	0.00062	-0.00021	-0.00217
0.08000	0.00140	0.00233	0.00188	-0.00021	-0.00266
0.08200	0.00140	0.00145	0.00144	-0.00015	-0.00264
0.08400	0.00140	0.00341	-0.00102	-0.00016	-0.00259
0.08600	0.00140	0.00204	-0.00054	-0.00017	-0.00132
0.08800	0.00140	0.00166	-0.00060	0.00002	-0.00095
0.09000	0.00148	0.00016	0.00034	-0.00021	-0.00087
0.09200	0.00148	0.00189	0.00013	-0.00021	-0.00138
0.09400	0.00148	0.00367	0.00168	-0.00021	-0.00167
0.09600	0.00148	0.00212	0.00129	-0.00021	-0.00354
0.09800	0.00148	0.00182	0.00009	-0.00021	-0.00316
0.10000	0.00156	0.00240	0.00100	-0.00021	-0.00253
0.10200	0.00156	0.00233	0.00101	-0.00015	-0.00331
0.10400	0.00156	0.00613	-0.00037	-0.00021	-0.00296
0.10600	0.00156	0.00429	-0.00117	-0.00021	-0.00263
0.10800	0.00156	0.00486	0.00011	-0.00021	-0.00238
0.11000	0.00163	0.00257	0.00195	-0.00021	-0.00226
0.11200	0.00163	0.00218	0.00302	-0.00021	-0.00262
0.11400	0.00163	0.00671	-0.00105	-0.00015	-0.00350
0.11600	0.00163	0.00250	-0.00009	-0.00021	-0.00128
0.11800	0.00163	0.00140	0.00012	-0.00021	-0.00077
0.12000	0.00171	0.00217	-0.00016	-0.00021	-0.00088
0.12200	0.00171	0.00394	-0.00087	0.00087	-0.00145
0.12400	0.00171	0.00356	0.00038	0.00011	-0.00200
0.12600	0.00171	0.00211	0.00137	-0.00021	-0.00046
0.12800	0.00171	0.00083	0.00251	-0.00021	-0.00019
0.13000	0.00176	0.00233	-0.00032	-0.00021	0.00018
0.13200	0.00176	0.00172	0.00082	-0.00021	-0.00049
0.13400	0.00176	0.00215	-0.00096	-0.00021	0.00020
0.13600	0.00176	0.00138	-0.00106	-0.00021	-0.00123
0.13800	0.00176	0.00451	0.00057	-0.00021	-0.00136
0.14000	0.00181	0.00316	-0.00024	-0.00021	-0.00160
0.14200	0.00181	0.00321	0.00207	-0.00021	-0.00178
0.14400	0.00181	0.00112	0.00085	-0.00020	-0.00064
0.14600	0.00181	0.00257	0.00255	-0.00011	-0.00311
0.14800	0.00181	0.00228	-0.00024	0.00008	-0.00315
0.15000	0.00186	0.00273	-0.00210	0.00039	-0.00292
0.15200	0.00186	0.00247	-0.00100	-0.00021	-0.00321
0.15400	0.00186	0.00178	0.00067	0.00025	-0.00259
0.15600	0.00186	0.00169	0.00421	-0.00008	-0.00179
0.15800	0.00186	0.00285	0.00219	-0.00009	-0.00205
0.16000	0.00190	0.00290	0.00073	-0.00021	-0.00166
0.16200	0.00190	0.00272	0.00155	-0.00021	-0.00176
0.16400	0.00190	0.00372	-0.00129	-0.00020	-0.00327
0.16600	0.00190	0.00378	0.00013	-0.00021	-0.00096
0.16800	0.00190	0.00375	0.00069	-0.00021	-0.00099
0.17000	0.00196	0.00318	0.00122	-0.00018	-0.00077
0.17200	0.00196	0.00310	0.00288	-0.00005	-0.00068
0.17400	0.00196	0.00317	0.00176	-0.00005	-0.00120
0.17600	0.00196	0.00358	0.00098	-0.00009	-0.00142
0.17800	0.00196	0.00333	0.00026	-0.00009	-0.00153
0.18000	0.00200	0.00195	0.00134	-0.00021	-0.00140
0.18200	0.00200	0.00117	-0.00007	-0.00021	-0.00207
0.18400	0.00200	0.00286	-0.00157	-0.00009	-0.00162
0.18600	0.00200	0.00280	-0.00171	-0.00012	-0.00212
0.18800	0.00200	0.00288	0.00286	-0.00021	-0.00261
0.19000	0.00204	0.00157	0.00327	-0.00021	-0.00278
0.19200	0.00204	0.00257	0.00016	-0.00021	-0.00319
0.19400	0.00204	0.00012	-0.00063	-0.00021	-0.00227
0.19600	0.00204	0.00224	-0.00005	-0.00015	-0.00428
0.19800	0.00204	0.00205	-0.00041	-0.00009	-0.00448
0.20000	0.00207	0.00367	-0.00002	-0.00021	-0.00408
0.20200	0.00207	0.00477	0.00073	-0.00008	-0.00429
0.20400	0.00207	0.00429	0.00271	-0.00021	-0.00445
0.20600	0.00207	0.00258	0.00056	-0.00021	-0.00233
0.20800	0.00207	0.00296	0.00129	-0.00021	-0.00149
0.21000	0.00208	0.00325	0.00176	-0.00021	-0.00058
0.21200	0.00208	0.00168	0.00096	-0.00020	-0.00155
0.21400	0.00208	0.00661	-0.00150	0.00055	-0.00234
0.21600	0.00208	0.00249	-0.00087	-0.00015	-0.00079
0.21800	0.00208	0.00217	0.00166	-0.00008	-0.00064
0.22000	0.00209	0.00288	0.00294	-0.00021	-0.00124
0.22200	0.00209	0.00145	0.00062	-0.00021	-0.00069
0.22400	0.00209	0.00171	-0.00098	-0.00021	-0.00148
0.22600	0.00209	0.00124	-0.00078	-0.00011	-0.00089
0.22800	0.00209	0.00250	-0.00038	-0.00015	-0.00074
0.23000	0.00209	0.00224	-0.00066	0.00039	-0.00066
