/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 03:17:31 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00004	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00000	0.00251	-0.00024	0.00000	0.00218
0.00800	0.00000	0.00009	0.00265	0.00012	0.00332
0.01000	0.00000	-0.00033	0.00297	0.00000	0.00077
0.01200	0.00000	-0.00087	0.00148	0.00000	0.00017
0.01400	0.00457	-0.00082	0.00074	0.00044	0.00086
0.01600	0.00457	-0.00146	-0.00048	0.00021	0.00035
0.01800	0.00457	0.00007	0.00011	0.00000	0.00074
0.02000	0.00457	-0.00035	0.00091	0.00021	0.00058
0.02200	0.00457	-0.00108	-0.00018	0.00000	0.00006
0.02400	0.00457	0.00041	0.00311	0.00000	0.00098
0.02600	0.00492	-0.00029	0.00311	0.00000	0.00048
0.02800	0.00492	-0.00163	0.00189	0.00013	0.00025
0.03000	0.00492	-0.00101	0.00082	0.00000	0.00098
0.03200	0.00492	-0.00011	0.00023	0.00000	0.00212
0.03400	0.00533	0.00327	0.00030	0.00000	0.00138
0.03600	0.00533	0.00263	0.00065	0.00000	0.00210
0.03800	0.00533	0.00143	-0.00226	0.00000	0.00139
0.04000	0.00533	-0.00080	0.00255	0.00000	0.00118
0.04200	0.00533	-0.00026	0.00182	0.00000	0.00152
0.04400	0.00555	-0.00129	-0.00040	0.00000	0.00092
0.04600	0.00555	0.00018	-0.00080	0.00019	0.00109
0.04800	0.00555	0.00001	0.00007	0.00000	0.00152
0.05000	0.00555	-0.00060	-0.00010	0.00005	0.00227
0.05200	0.00555	-0.00101	0.00010	0.00000	0.00335
0.05400	0.00555	0.00055	0.00151	0.00018	0.00440
0.05600	0.00586	-0.00112	0.00279	0.00012	0.00291
0.05800	0.00586	-0.00166	0.00196	0.00038	0.00281
0.06000	0.00586	-0.00049	0.00035	0.00000	0.00296
0.06200	0.00586	-0.00104	0.00060	0.00000	0.00176
0.06400	0.00586	0.00016	0.00130	0.00047	0.00251
0.06600	0.00627	0.00258	0.00112	0.00023	0.00273
0.06800	0.00627	0.00123	-0.00005	0.00001	0.00154
0.07000	0.00627	0.00034	0.00041	0.00006	0.00190
0.07200	0.00627	-0.00077	0.00172	0.00000	0.00093
0.07400	0.00627	0.00016	0.00240	0.00000	0.00146
0.07600	0.00662	0.00020	-0.00009	0.00027	0.00176
0.07800	0.00662	-0.00116	-0.00045	0.00000	0.00148
0.08000	0.00662	-0.00089	-0.00013	0.00000	0.00153
0.08200	0.00662	-0.00087	0.00009	0.00000	0.00077
0.08400	0.00699	-0.00010	-0.00045	0.00012	0.00129
0.08600	0.00699	-0.00088	0.00133	0.00006	0.00071
0.08800	0.00699	-0.00134	-0.00037	0.00006	0.00104
0.09000	0.00699	-0.00057	0.00169	0.00000	0.00120
0.09200	0.00699	-0.00146	0.00028	0.00000	0.00225
0.09400	0.00699	0.00028	0.00083	0.00000	0.00197
0.09600	0.00727	0.00062	0.00096	0.00012	0.00219
0.09800	0.00727	0.00227	0.00184	0.00006	0.00199
