/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and one pair of opposing torsional springs (approx. 17 kg-m^2/s^2). Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Tue 15 Jun 2021 11:29:36 AM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.97341	-1.96696	-0.47381	-0.37117	0.00000	0.00000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.00200	-1.97341	-1.96696	-0.47381	-0.37117	0.00000	-89.91000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.00400	-1.97341	-1.96696	-0.47381	-0.37117	0.09020	-89.91000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.00600	-1.97341	-1.96696	-0.47381	-0.37117	0.00000	-89.73000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.00800	-0.00491	-0.00173	0.00026	0.00678	-0.09020	-89.82000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.01000	-0.00491	-0.00173	0.00026	0.00678	-0.09020	-89.91000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.01200	-0.00491	-0.00173	0.00026	0.00678	-0.18040	-89.73000	-0.00744	-0.02294	-0.05600	-0.00222	-0.00244	-0.00572
0.01400	-0.00491	-0.00173	0.00026	0.00678	-0.27060	-89.73000	-0.02469	-0.03230	-0.05460	0.00576	0.00164	-0.00710
0.01600	-0.00533	-0.00341	0.00014	0.00673	-0.27060	-89.73000	-0.02469	-0.03230	-0.05460	0.00576	0.00164	-0.00710
0.01800	-0.00533	-0.00341	0.00014	0.00673	-0.18040	-89.82000	-0.02469	-0.03230	-0.05460	0.00576	0.00164	-0.00710
0.02000	-0.00533	-0.00341	0.00014	0.00673	-0.27060	-89.82000	-0.02469	-0.03230	-0.05460	0.00576	0.00164	-0.00710
0.02200	-0.00533	-0.00341	0.00014	0.00673	-0.18040	-89.73000	-0.02469	-0.03230	-0.05460	0.00576	0.00164	-0.00710
0.02400	-0.00369	-0.00307	0.00035	0.00711	-0.09020	-89.82000	-0.01697	-0.00391	-0.04472	0.00524	0.00627	-0.00391
0.02600	-0.00369	-0.00307	0.00035	0.00711	-0.18040	-89.91000	-0.01697	-0.00391	-0.04472	0.00524	0.00627	-0.00391
0.02800	-0.00369	-0.00307	0.00035	0.00711	-0.09020	-89.91000	-0.01697	-0.00391	-0.04472	0.00524	0.00627	-0.00391
0.03000	-0.00369	-0.00307	0.00035	0.00711	-0.18040	-89.82000	-0.01697	-0.00391	-0.04472	0.00524	0.00627	-0.00391
0.03200	-0.00486	-0.00390	0.00052	0.00716	-0.18040	-89.82000	-0.04032	-0.01842	-0.05727	0.01820	-0.00720	-0.01173
0.03400	-0.00486	-0.00390	0.00052	0.00716	-0.18040	-89.82000	-0.04032	-0.01842	-0.05727	0.01820	-0.00720	-0.01173
0.03600	-0.00486	-0.00390	0.00052	0.00716	-0.18040	-89.73000	-0.04032	-0.01842	-0.05727	0.01820	-0.00720	-0.01173
0.03800	-0.00486	-0.00390	0.00052	0.00716	-0.09020	-89.73000	-0.04032	-0.01842	-0.05727	0.01820	-0.00720	-0.01173
0.04000	-0.00530	-0.00257	0.00077	0.00674	-0.09020	-89.64000	-0.01779	0.00586	-0.05675	0.00473	-0.00031	-0.00216
0.04200	-0.00530	-0.00257	0.00077	0.00674	0.00000	-89.64000	-0.01779	0.00586	-0.05675	0.00473	-0.00031	-0.00216
0.04400	-0.00530	-0.00257	0.00077	0.00674	-0.09020	-89.82000	-0.01779	0.00586	-0.05675	0.00473	-0.00031	-0.00216
0.04600	-0.00530	-0.00257	0.00077	0.00674	-0.18040	-89.82000	-0.01779	0.00586	-0.05675	0.00473	-0.00031	-0.00216
0.04800	-0.00460	-0.00422	0.00054	0.00608	-0.18040	-89.82000	-0.00154	-0.03971	-0.03722	0.00123	-0.00483	-0.00165
0.05000	-0.00460	-0.00422	0.00054	0.00608	-0.18040	-89.91000	-0.00154	-0.03971	-0.03722	0.00123	-0.00483	-0.00165
0.05200	-0.00460	-0.00422	0.00054	0.00608	-0.27060	-89.91000	-0.00154	-0.03971	-0.03722	0.00123	-0.00483	-0.00165
0.05400	-0.00460	-0.00422	0.00054	0.00608	-0.27060	-89.91000	-0.00154	-0.03971	-0.03722	0.00123	-0.00483	-0.00165
