/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay2
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 2 V/N; Kistler moment cal factor: 2 V/Nm.
* Date and Time:	Wed 16 Jun 2021 12:18:32 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04129	-1.96475	-0.47856	-0.44924	0.00000	0.00000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00200	-2.04129	-1.96475	-0.47856	-0.44924	-3.42760	-89.73000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00400	-2.04129	-1.96475	-0.47856	-0.44924	0.00000	0.00000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00600	-2.04129	-1.96475	-0.47856	-0.44924	-3.24720	-89.73000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00800	-2.04129	-1.96475	-0.47856	-0.44924	-3.33740	-89.73000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.01000	0.00135	-0.00010	-0.00445	0.00105	-3.33740	-89.82000	0.25442	-0.13591	0.01234	-0.01486	0.01115	0.00334
0.01200	0.00135	-0.00010	-0.00445	0.00105	0.00000	0.00000	0.25442	-0.13591	0.01234	-0.01486	0.01115	0.00334
0.01400	0.00135	-0.00010	-0.00445	0.00105	-3.33740	-89.82000	0.25442	-0.13591	0.01234	-0.01486	0.01115	0.00334
0.01600	0.00135	-0.00010	-0.00445	0.00105	-3.33740	-89.73000	0.25442	-0.13591	0.01234	-0.01486	0.01115	0.00334
0.01800	0.00027	0.00078	-0.00434	0.00055	-3.33740	-89.73000	0.27612	-0.14619	0.02797	-0.01481	0.00545	0.00879
0.02000	0.00027	0.00078	-0.00434	0.00055	0.00000	0.00000	0.27612	-0.14619	0.02797	-0.01481	0.00545	0.00879
0.02200	0.00027	0.00078	-0.00434	0.00055	-3.33740	-89.82000	0.27612	-0.14619	0.02797	-0.01481	0.00545	0.00879
0.02400	0.00027	0.00078	-0.00434	0.00055	-3.24720	-89.73000	0.27612	-0.14619	0.02797	-0.01481	0.00545	0.00879
0.02600	-0.00001	-0.00078	-0.00432	0.00028	0.00000	0.00000	0.25432	-0.14841	0.03465	-0.01434	0.00535	0.00550
0.02800	-0.00001	-0.00078	-0.00432	0.00028	-3.24720	-89.73000	0.25432	-0.14841	0.03465	-0.01434	0.00535	0.00550
0.03000	-0.00001	-0.00078	-0.00432	0.00028	-3.24720	-89.73000	0.25432	-0.14841	0.03465	-0.01434	0.00535	0.00550
0.03200	-0.00001	-0.00078	-0.00432	0.00028	-3.33740	-89.82000	0.25432	-0.14841	0.03465	-0.01434	0.00535	0.00550
0.03400	-0.00040	0.00143	-0.00458	0.00047	0.00000	0.00000	0.26630	-0.13930	0.03198	-0.01357	0.00720	0.00190
0.03600	-0.00040	0.00143	-0.00458	0.00047	-3.42760	-89.73000	0.26630	-0.13930	0.03198	-0.01357	0.00720	0.00190
0.03800	-0.00040	0.00143	-0.00458	0.00047	-3.42760	-89.64000	0.26630	-0.13930	0.03198	-0.01357	0.00720	0.00190
0.04000	-0.00040	0.00143	-0.00458	0.00047	0.00000	0.00000	0.26630	-0.13930	0.03198	-0.01357	0.00720	0.00190
0.04200	0.00133	-0.00033	-0.00470	0.00026	0.00000	0.00000	0.26625	-0.12675	0.05670	-0.01486	0.00452	0.00201
0.04400	0.00133	-0.00033	-0.00470	0.00026	-3.33740	-89.64000	0.26625	-0.12675	0.05670	-0.01486	0.00452	0.00201
0.04600	0.00133	-0.00033	-0.00470	0.00026	-3.24720	-89.73000	0.26625	-0.12675	0.05670	-0.01486	0.00452	0.00201
0.04800	0.00133	-0.00033	-0.00470	0.00026	0.00000	0.00000	0.26625	-0.12675	0.05670	-0.01486	0.00452	0.00201
0.05000	0.00013	0.00106	-0.00454	0.00071	-3.33740	-89.73000	0.27463	-0.11379	0.07022	-0.00751	0.00185	0.00226
0.05200	0.00013	0.00106	-0.00454	0.00071	-3.33740	-89.73000	0.27463	-0.11379	0.07022	-0.00751	0.00185	0.00226
0.05400	0.00013	0.00106	-0.00454	0.00071	-3.42760	-89.73000	0.27463	-0.11379	0.07022	-0.00751	0.00185	0.00226
0.05600	0.00013	0.00106	-0.00454	0.00071	0.00000	0.00000	0.27463	-0.11379	0.07022	-0.00751	0.00185	0.00226
0.05800	-0.00034	-0.00010	-0.00456	0.00085	-3.33740	-89.82000	0.28780	-0.10746	0.08189	-0.00997	0.00360	0.00401
0.06000	-0.00034	-0.00010	-0.00456	0.00085	-3.42760	-89.73000	0.28780	-0.10746	0.08189	-0.00997	0.00360	0.00401
0.06200	-0.00034	-0.00010	-0.00456	0.00085	-3.42760	-89.64000	0.28780	-0.10746	0.08189	-0.00997	0.00360	0.00401
0.06400	-0.00034	-0.00010	-0.00456	0.00085	0.00000	0.00000	0.28780	-0.10746	0.08189	-0.00997	0.00360	0.00401
0.06600	-0.00055	0.00116	-0.00420	0.00043	-3.33740	-89.64000	0.27581	-0.11224	0.08693	-0.00895	0.00123	0.00422
