/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay2
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 2 V/N; Kistler moment cal factor: 2 V/Nm.
* Date and Time:	Wed 16 Jun 2021 12:23:32 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04129	-1.96475	-0.47856	-0.44924	0.00000	0.00000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00200	-2.04129	-1.96475	-0.47856	-0.44924	-3.42760	-89.82000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00400	-2.04129	-1.96475	-0.47856	-0.44924	0.00000	0.00000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00600	-2.04129	-1.96475	-0.47856	-0.44924	-3.51780	-89.82000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00800	-2.04129	-1.96475	-0.47856	-0.44924	-3.33740	-89.91000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.01000	-0.00061	0.47369	-0.00461	0.00014	-3.24720	-89.91000	0.40907	0.12660	0.28537	0.02247	-0.02483	-0.00720
0.01200	-0.00061	0.47369	-0.00461	0.00014	-2.97660	-89.82000	0.40907	0.12660	0.28537	0.02247	-0.02483	-0.00720
0.01400	-0.00061	0.47369	-0.00461	0.00014	-2.88640	-89.64000	0.40907	0.12660	0.28537	0.02247	-0.02483	-0.00720
0.01600	-0.00061	0.47369	-0.00461	0.00014	-2.88640	-89.46000	0.40907	0.12660	0.28537	0.02247	-0.02483	-0.00720
0.01800	-0.00063	0.47416	-0.00462	0.00009	-3.06680	-89.46000	0.54042	-0.12356	0.39127	0.01949	-0.03968	-0.01111
0.02000	-0.00063	0.47416	-0.00462	0.00009	-3.60800	-89.73000	0.54042	-0.12356	0.39127	0.01949	-0.03968	-0.01111
0.02200	-0.00063	0.47416	-0.00462	0.00009	-3.60800	-89.73000	0.54042	-0.12356	0.39127	0.01949	-0.03968	-0.01111
0.02400	-0.00063	0.47416	-0.00462	0.00009	-3.78840	-89.91000	0.54042	-0.12356	0.39127	0.01949	-0.03968	-0.01111
0.02600	0.00056	0.47341	-0.00389	-0.00045	-3.78840	-90.00000	0.32200	-0.10741	0.51048	0.01789	-0.06292	-0.01203
0.02800	0.00056	0.47341	-0.00389	-0.00045	-3.69820	-90.09000	0.32200	-0.10741	0.51048	0.01789	-0.06292	-0.01203
0.03000	0.00056	0.47341	-0.00389	-0.00045	-3.69820	-90.09000	0.32200	-0.10741	0.51048	0.01789	-0.06292	-0.01203
0.03200	0.00056	0.47341	-0.00389	-0.00045	-3.42760	-90.09000	0.32200	-0.10741	0.51048	0.01789	-0.06292	-0.01203
0.03400	0.00146	0.47482	-0.00449	0.00004	-3.15700	-90.00000	0.22917	-0.14151	0.36381	-0.02540	-0.04539	-0.00782
0.03600	0.00146	0.47482	-0.00449	0.00004	-2.97660	-90.00000	0.22917	-0.14151	0.36381	-0.02540	-0.04539	-0.00782
0.03800	0.00146	0.47482	-0.00449	0.00004	-2.88640	-89.91000	0.22917	-0.14151	0.36381	-0.02540	-0.04539	-0.00782
0.04000	0.00146	0.47482	-0.00449	0.00004	-2.88640	-89.91000	0.22917	-0.14151	0.36381	-0.02540	-0.04539	-0.00782
0.04200	0.00034	0.48485	-0.00442	0.00029	-2.97660	-89.82000	0.46991	0.00139	0.18712	0.01188	-0.00720	-0.00252
0.04400	0.00034	0.48485	-0.00442	0.00029	-3.33740	-89.82000	0.46991	0.00139	0.18712	0.01188	-0.00720	-0.00252
0.04600	0.00034	0.48485	-0.00442	0.00029	-3.51780	-89.82000	0.46991	0.00139	0.18712	0.01188	-0.00720	-0.00252
0.04800	0.00034	0.48485	-0.00442	0.00029	-3.69820	-89.82000	0.46991	0.00139	0.18712	0.01188	-0.00720	-0.00252
0.05000	0.00044	0.48593	-0.00415	-0.00005	-3.87860	-89.91000	0.46991	0.00139	0.18712	0.01188	-0.00720	-0.00252
0.05200	0.00033	0.48492	-0.00403	-0.00048	-3.87860	-89.91000	0.56073	-0.34491	0.25046	0.00380	-0.05038	-0.00051
0.05400	0.00033	0.48492	-0.00403	-0.00048	-3.78840	-89.91000	0.56073	-0.34491	0.25046	0.00380	-0.05038	-0.00051
0.05600	0.00033	0.48492	-0.00403	-0.00048	-3.69820	-89.91000	0.56073	-0.34491	0.25046	0.00380	-0.05038	-0.00051
0.05800	0.00033	0.48492	-0.00403	-0.00048	-3.51780	-89.91000	0.56073	-0.34491	0.25046	0.00380	-0.05038	-0.00051
0.06000	0.00033	0.48523	-0.00373	0.00039	-3.42760	-89.82000	-0.04402	-0.32541	0.13952	-0.04746	-0.04143	0.00442
0.06200	0.00033	0.48523	-0.00373	0.00039	-3.33740	-89.73000	-0.04402	-0.32541	0.13952	-0.04746	-0.04143	0.00442
0.06400	0.00033	0.48523	-0.00373	0.00039	-3.33740	-89.64000	-0.04402	-0.32541	0.13952	-0.04746	-0.04143	0.00442
0.06600	0.00033	0.48523	-0.00373	0.00039	-3.24720	-89.64000	-0.04402	-0.32541	0.13952	-0.04746	-0.04143	0.00442
0.06800	0.00051	0.48485	-0.00346	0.00114	-3.15700	-89.46000	0.30873	0.09625	0.06339	0.01203	0.01578	0.01769
0.07000	0.00051	0.48485	-0.00346	0.00114	-3.15700	-89.46000	0.30873	0.09625	0.06339	0.01203	0.01578	0.01769
0.07200	0.00051	0.48485	-0.00346	0.00114	-3.15700	-89.46000	0.30873	0.09625	0.06339	0.01203	0.01578	0.01769
0.07400	0.00051	0.48485	-0.00346	0.00114	-3.33740	-89.55000	0.30873	0.09625	0.06339	0.01203	0.01578	0.01769
0.07600	0.00039	0.48258	-0.00445	0.00027	-3.60800	-89.73000	0.37250	-0.43040	0.14996	0.01121	0.05069	0.01533
0.07800	0.00039	0.48258	-0.00445	0.00027	-3.87860	-89.91000	0.37250	-0.43040	0.14996	0.01121	0.05069	0.01533
0.08000	0.00039	0.48258	-0.00445	0.00027	-3.96880	-90.09000	0.37250	-0.43040	0.14996	0.01121	0.05069	0.01533
0.08200	0.00039	0.48258	-0.00445	0.00027	-4.05900	-90.09000	0.37250	-0.43040	0.14996	0.01121	0.05069	0.01533
0.08400	0.00039	0.48315	-0.00437	-0.00007	-4.23940	-90.09000	-0.11052	-0.25247	0.01691	-0.04118	0.03012	0.01229
0.08600	0.00039	0.48315	-0.00437	-0.00007	-4.14920	-90.09000	-0.11052	-0.25247	0.01691	-0.04118	0.03012	0.01229
0.08800	0.00039	0.48315	-0.00437	-0.00007	-3.96880	-90.00000	-0.11052	-0.25247	0.01691	-0.04118	0.03012	0.01229
0.09000	0.00039	0.48315	-0.00437	-0.00007	-3.60800	-89.73000	-0.11052	-0.25247	0.01691	-0.04118	0.03012	0.01229
0.09200	0.00138	0.48237	-0.00440	-0.00019	-3.24720	-89.55000	0.24496	-0.15803	-0.10811	-0.04951	0.00231	0.01142
0.09400	0.00138	0.48237	-0.00440	-0.00019	-2.97660	-89.37000	0.24496	-0.15803	-0.10811	-0.04951	0.00231	0.01142
0.09600	0.00138	0.48237	-0.00440	-0.00019	-2.79620	-89.28000	0.24496	-0.15803	-0.10811	-0.04951	0.00231	0.01142
0.09800	0.00138	0.48237	-0.00440	-0.00019	-2.97660	-89.28000	0.24496	-0.15803	-0.10811	-0.04951	0.00231	0.01142
0.10000	0.00078	0.48158	-0.00427	-0.00010	-3.15700	-89.46000	0.24496	-0.15803	-0.10811	-0.04951	0.00231	0.01142
0.10200	0.00040	0.47876	-0.00410	0.00009	-3.51780	-89.73000	0.32647	-0.47310	-0.03187	-0.01033	-0.01290	0.00746
0.10400	0.00040	0.47876	-0.00410	0.00009	-3.96880	-89.82000	0.32647	-0.47310	-0.03187	-0.01033	-0.01290	0.00746
