/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay2
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 2 V/N; Kistler moment cal factor: 2 V/Nm.
* Date and Time:	Wed 16 Jun 2021 12:15:15 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04129	-1.96475	-0.47856	-0.44924	0.00000	0.00000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00200	-2.04129	-1.96475	-0.47856	-0.44924	-3.33740	-89.91000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00400	-2.04129	-1.96475	-0.47856	-0.44924	-3.24720	-89.73000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00600	-2.04129	-1.96475	-0.47856	-0.44924	-3.15700	-89.73000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.00800	-2.04129	-1.96475	-0.47856	-0.44924	-3.15700	-89.82000	-0.00768	-0.00941	-0.01227	-0.00852	-0.00312	-0.00332
0.01000	-0.00032	0.00013	-0.00425	0.00002	-3.24720	-89.82000	-0.02947	0.01492	-0.02411	-0.01311	0.00812	-0.00175
0.01200	-0.00032	0.00013	-0.00425	0.00002	-3.24720	-89.82000	-0.02947	0.01492	-0.02411	-0.01311	0.00812	-0.00175
0.01400	-0.00032	0.00013	-0.00425	0.00002	-3.42760	-89.82000	-0.02947	0.01492	-0.02411	-0.01311	0.00812	-0.00175
0.01600	-0.00032	0.00013	-0.00425	0.00002	-3.33740	-89.82000	-0.02947	0.01492	-0.02411	-0.01311	0.00812	-0.00175
0.01800	0.00079	-0.00026	-0.00471	0.00061	-3.24720	-89.73000	-0.00900	0.00360	-0.02005	-0.00653	0.01583	-0.00226
0.02000	0.00079	-0.00026	-0.00471	0.00061	-3.33740	-89.82000	-0.00900	0.00360	-0.02005	-0.00653	0.01583	-0.00226
0.02200	0.00079	-0.00026	-0.00471	0.00061	-3.33740	-89.82000	-0.00900	0.00360	-0.02005	-0.00653	0.01583	-0.00226
0.02400	0.00079	-0.00026	-0.00471	0.00061	-3.33740	-89.91000	-0.00900	0.00360	-0.02005	-0.00653	0.01583	-0.00226
0.02600	-0.00002	0.00080	-0.00462	0.00088	-3.24720	-89.82000	-0.03173	0.01204	-0.01686	-0.00951	0.01342	0.00303
0.02800	-0.00002	0.00080	-0.00462	0.00088	-3.33740	-89.91000	-0.03173	0.01204	-0.01686	-0.00951	0.01342	0.00303
0.03000	-0.00002	0.00080	-0.00462	0.00088	-3.33740	-89.82000	-0.03173	0.01204	-0.01686	-0.00951	0.01342	0.00303
0.03200	-0.00002	0.00080	-0.00462	0.00088	-3.33740	-89.82000	-0.03173	0.01204	-0.01686	-0.00951	0.01342	0.00303
0.03400	-0.00018	-0.00037	-0.00446	0.00079	-3.42760	-89.82000	-0.03204	0.02510	-0.03177	-0.00571	0.00622	0.00427
0.03600	-0.00018	-0.00037	-0.00446	0.00079	-3.42760	-89.73000	-0.03204	0.02510	-0.03177	-0.00571	0.00622	0.00427
0.03800	-0.00018	-0.00037	-0.00446	0.00079	-3.42760	-89.73000	-0.03204	0.02510	-0.03177	-0.00571	0.00622	0.00427
0.04000	-0.00018	-0.00037	-0.00446	0.00079	-3.33740	-89.73000	-0.03204	0.02510	-0.03177	-0.00571	0.00622	0.00427
0.04200	-0.00020	0.00088	-0.00412	0.00079	-3.33740	-89.73000	0.00946	-0.01965	-0.01918	-0.00735	0.00730	0.00519
0.04400	-0.00020	0.00088	-0.00412	0.00079	-3.33740	-89.82000	0.00946	-0.01965	-0.01918	-0.00735	0.00730	0.00519
0.04600	-0.00020	0.00088	-0.00412	0.00079	-3.33740	-89.82000	0.00946	-0.01965	-0.01918	-0.00735	0.00730	0.00519
0.04800	-0.00020	0.00088	-0.00412	0.00079	-3.33740	-89.82000	0.00946	-0.01965	-0.01918	-0.00735	0.00730	0.00519
0.05000	0.00151	-0.00015	-0.00422	0.00049	-3.42760	-89.82000	0.00946	-0.01965	-0.01918	-0.00735	0.00730	0.00519
0.05200	0.00112	-0.00184	-0.00332	0.00029	-3.42760	-89.82000	-0.01913	-0.03220	-0.00766	-0.01100	0.01465	0.00874
0.05400	0.00112	-0.00184	-0.00332	0.00029	-3.42760	-89.73000	-0.01913	-0.03220	-0.00766	-0.01100	0.01465	0.00874
0.05600	0.00112	-0.00184	-0.00332	0.00029	-3.33740	-89.73000	-0.01913	-0.03220	-0.00766	-0.01100	0.01465	0.00874
0.05800	0.00112	-0.00184	-0.00332	0.00029	-3.33740	-89.73000	-0.01913	-0.03220	-0.00766	-0.01100	0.01465	0.00874
0.06000	-0.00020	0.00104	-0.00443	0.00027	-3.42760	-89.73000	-0.02448	-0.02037	0.00221	-0.00833	0.02185	0.00437
0.06200	-0.00020	0.00104	-0.00443	0.00027	-3.42760	-89.73000	-0.02448	-0.02037	0.00221	-0.00833	0.02185	0.00437
0.06400	-0.00020	0.00104	-0.00443	0.00027	-3.33740	-89.73000	-0.02448	-0.02037	0.00221	-0.00833	0.02185	0.00437
0.06600	-0.00020	0.00104	-0.00443	0.00027	-3.33740	-89.64000	-0.02448	-0.02037	0.00221	-0.00833	0.02185	0.00437
0.06800	-0.00010	-0.00050	-0.00442	0.00044	-3.24720	-89.73000	-0.03770	-0.05736	0.01830	-0.01404	0.01887	0.00483
0.07000	-0.00010	-0.00050	-0.00442	0.00044	-3.33740	-89.73000	-0.03770	-0.05736	0.01830	-0.01404	0.01887	0.00483
0.07200	-0.00010	-0.00050	-0.00442	0.00044	-3.33740	-89.82000	-0.03770	-0.05736	0.01830	-0.01404	0.01887	0.00483
0.07400	-0.00010	-0.00050	-0.00442	0.00044	-3.33740	-89.82000	-0.03770	-0.05736	0.01830	-0.01404	0.01887	0.00483
0.07600	0.00052	0.00128	-0.00459	0.00030	-3.33740	-89.82000	-0.04701	-0.01790	-0.00632	-0.00997	0.01917	0.00118
