/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM10
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 04:10:39 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-6.31400	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-6.40420	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-6.40420	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	-6.40420	-89.73000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.01000	0.00018	0.00102	0.00063	0.00089	-6.49440	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.01200	0.00015	0.00032	0.00107	0.00070	-6.58460	-89.55000	0.67166	0.27726	1.21615	0.32864	-0.39017	-0.08242
0.01400	0.00015	0.00032	0.00107	0.00070	-6.58460	-89.55000	0.67166	0.27726	1.21615	0.32864	-0.39017	-0.08242
0.01600	0.00015	0.00032	0.00107	0.00070	-6.40420	-89.64000	0.67166	0.27726	1.21615	0.32864	-0.39017	-0.08242
0.01800	0.00015	0.00032	0.00107	0.00070	-6.40420	-89.64000	0.67166	0.27726	1.21615	0.32864	-0.39017	-0.08242
0.02000	-0.00074	0.00315	0.00063	0.00069	-6.31400	-89.55000	0.67948	0.25206	1.21322	0.31904	-0.38891	-0.09032
0.02200	-0.00074	0.00315	0.00063	0.00069	-6.40420	-89.46000	0.67948	0.25206	1.21322	0.31904	-0.38891	-0.09032
0.02400	-0.00074	0.00315	0.00063	0.00069	-6.49440	-89.46000	0.67948	0.25206	1.21322	0.31904	-0.38891	-0.09032
0.02600	-0.00074	0.00315	0.00063	0.00069	-6.49440	-89.46000	0.67948	0.25206	1.21322	0.31904	-0.38891	-0.09032
0.02800	-0.00048	0.00112	0.00086	0.00084	-6.40420	-89.55000	0.66086	0.22253	1.18608	0.30868	-0.39295	-0.09310
0.03000	-0.00048	0.00112	0.00086	0.00084	-6.31400	-89.55000	0.66086	0.22253	1.18608	0.30868	-0.39295	-0.09310
0.03200	-0.00048	0.00112	0.00086	0.00084	-6.31400	-89.64000	0.66086	0.22253	1.18608	0.30868	-0.39295	-0.09310
0.03400	-0.00048	0.00112	0.00086	0.00084	-6.40420	-89.55000	0.66086	0.22253	1.18608	0.30868	-0.39295	-0.09310
0.03600	0.00095	0.00250	0.00053	0.00078	-6.40420	-89.55000	0.62209	0.17017	1.16125	0.29445	-0.39455	-0.09393
0.03800	0.00004	0.00095	0.00069	0.00072	-6.31400	-89.55000	0.62209	0.17017	1.16125	0.29445	-0.39455	-0.09393
0.04000	0.00004	0.00095	0.00069	0.00072	-6.22380	-89.55000	0.62209	0.17017	1.16125	0.29445	-0.39455	-0.09393
0.04200	0.00004	0.00095	0.00069	0.00072	-6.22380	-89.46000	0.62209	0.17017	1.16125	0.29445	-0.39455	-0.09393
0.04400	0.00004	0.00095	0.00069	0.00072	-6.31400	-89.46000	0.62209	0.17017	1.16125	0.29445	-0.39455	-0.09393
0.04600	-0.00051	0.00160	0.00069	0.00029	-6.31400	-89.46000	0.63278	0.11975	1.16665	0.27749	-0.39113	-0.09412
0.04800	-0.00051	0.00160	0.00069	0.00029	-6.31400	-89.55000	0.63278	0.11975	1.16665	0.27749	-0.39113	-0.09412
0.05000	-0.00051	0.00160	0.00069	0.00029	-6.49440	-89.55000	0.63278	0.11975	1.16665	0.27749	-0.39113	-0.09412
0.05200	-0.00051	0.00160	0.00069	0.00029	-6.40420	-89.55000	0.63278	0.11975	1.16665	0.27749	-0.39113	-0.09412
0.05400	-0.00052	0.00165	0.00096	0.00053	-6.40420	-89.55000	0.57076	0.08251	1.17513	0.26432	-0.39477	-0.08560
0.05600	-0.00052	0.00165	0.00096	0.00053	-6.40420	-89.82000	0.57076	0.08251	1.17513	0.26432	-0.39477	-0.08560
0.05800	-0.00052	0.00165	0.00096	0.00053	-6.40420	-89.82000	0.57076	0.08251	1.17513	0.26432	-0.39477	-0.08560
0.06000	-0.00052	0.00165	0.00096	0.00053	-6.22380	-89.73000	0.57076	0.08251	1.17513	0.26432	-0.39477	-0.08560
0.06200	0.00030	0.00189	0.00064	0.00067	-6.13360	-89.73000	0.55564	0.07726	1.15385	0.25287	-0.38656	-0.08212
0.06400	0.00030	0.00189	0.00064	0.00067	-6.22380	-89.55000	0.55564	0.07726	1.15385	0.25287	-0.38656	-0.08212
0.06600	0.00030	0.00189	0.00064	0.00067	-6.31400	-89.64000	0.55564	0.07726	1.15385	0.25287	-0.38656	-0.08212
0.06800	0.00030	0.00189	0.00064	0.00067	-6.31400	-89.64000	0.55564	0.07726	1.15385	0.25287	-0.38656	-0.08212
0.07000	0.00035	0.00156	0.00092	0.00035	-6.40420	-89.64000	0.55564	0.07726	1.15385	0.25287	-0.38656	-0.08212
0.07200	0.00022	0.00073	0.00092	0.00062	-6.31400	-89.64000	0.52807	0.03210	1.14413	0.23899	-0.38113	-0.07665
0.07400	0.00022	0.00073	0.00092	0.00062	-6.49440	-89.64000	0.52807	0.03210	1.14413	0.23899	-0.38113	-0.07665
0.07600	0.00022	0.00073	0.00092	0.00062	-6.49440	-89.64000	0.52807	0.03210	1.14413	0.23899	-0.38113	-0.07665
0.07800	0.00022	0.00073	0.00092	0.00062	-6.40420	-89.73000	0.52807	0.03210	1.14413	0.23899	-0.38113	-0.07665
0.08000	-0.00048	0.00250	0.00099	0.00093	-6.31400	-89.73000	0.43951	0.02088	1.12316	0.22631	-0.36509	-0.07190
0.08200	-0.00048	0.00250	0.00099	0.00093	-6.31400	-89.73000	0.43951	0.02088	1.12316	0.22631	-0.36509	-0.07190
0.08400	-0.00048	0.00250	0.00099	0.00093	-6.40420	-89.64000	0.43951	0.02088	1.12316	0.22631	-0.36509	-0.07190
0.08600	-0.00048	0.00250	0.00099	0.00093	-6.31400	-89.64000	0.43951	0.02088	1.12316	0.22631	-0.36509	-0.07190
0.08800	-0.00026	0.00129	0.00074	0.00071	-6.40420	-89.73000	0.41812	-0.02161	1.11113	0.21095	-0.35603	-0.07178
0.09000	-0.00026	0.00129	0.00074	0.00071	-6.40420	-89.64000	0.41812	-0.02161	1.11113	0.21095	-0.35603	-0.07178
0.09200	-0.00026	0.00129	0.00074	0.00071	-6.49440	-89.55000	0.41812	-0.02161	1.11113	0.21095	-0.35603	-0.07178
0.09400	-0.00026	0.00129	0.00074	0.00071	-6.49440	-89.55000	0.41812	-0.02161	1.11113	0.21095	-0.35603	-0.07178
0.09600	0.00126	0.00246	0.00085	0.00076	-6.40420	-89.55000	0.41812	-0.02161	1.11113	0.21095	-0.35603	-0.07178
0.09800	-0.00084	0.00089	0.00071	0.00052	-6.49440	-89.55000	0.36803	-0.05628	1.10064	0.20058	-0.35319	-0.07418
0.10000	-0.00084	0.00089	0.00071	0.00052	-6.49440	-89.55000	0.36803	-0.05628	1.10064	0.20058	-0.35319	-0.07418
0.10200	-0.00084	0.00089	0.00071	0.00052	-6.49440	-89.55000	0.36648	-0.06739	1.09324	0.19426	-0.35044	-0.07958
0.10400	-0.00084	0.00089	0.00071	0.00052	-6.49440	-89.64000	0.36648	-0.06739	1.09324	0.19426	-0.35044	-0.07958
0.10600	-0.00002	0.00083	0.00099	0.00076	-6.40420	-89.64000	0.36648	-0.06739	1.09324	0.19426	-0.35044	-0.07958
0.10800	-0.00002	0.00083	0.00099	0.00076	-6.49440	-89.64000	0.36648	-0.06739	1.09324	0.19426	-0.35044	-0.07958
0.11000	-0.00005	0.00256	0.00077	0.00059	-6.49440	-89.64000	0.35733	-0.08673	1.08136	0.18840	-0.35624	-0.08539
0.11200	-0.00005	0.00256	0.00077	0.00059	-6.40420	-89.64000	0.35733	-0.08673	1.08136	0.18840	-0.35624	-0.08539
