/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:50:28 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00800	0.00011	0.00230	0.00073	0.00158	-3.69820	-89.91000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01000	0.00011	0.00230	0.00073	0.00158	-3.69820	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01200	0.00011	0.00230	0.00073	0.00158	-3.78840	-89.82000	0.01317	-0.07047	-0.01018	-0.01193	-0.01450	0.00123
0.01400	0.00112	0.00020	0.00070	0.00238	-3.96880	-89.73000	0.01317	-0.07047	-0.01018	-0.01193	-0.01450	0.00123
0.01600	0.00112	0.00020	0.00070	0.00238	-3.96880	-89.82000	0.01317	-0.07047	-0.01018	-0.01193	-0.01450	0.00123
0.01800	-0.00045	0.00223	0.00092	0.00106	-3.96880	-89.82000	0.03981	-0.06008	-0.03161	-0.01378	-0.01470	0.00494
0.02000	-0.00045	0.00223	0.00092	0.00106	-3.87860	-89.82000	0.03981	-0.06008	-0.03161	-0.01378	-0.01470	0.00494
0.02200	-0.00045	0.00223	0.00092	0.00106	-3.87860	-89.82000	0.03981	-0.06008	-0.03161	-0.01378	-0.01470	0.00494
0.02400	-0.00045	0.00223	0.00092	0.00106	-3.69820	-89.82000	0.03981	-0.06008	-0.03161	-0.01378	-0.01470	0.00494
0.02600	-0.00051	0.00199	0.00079	0.00105	-3.78840	-89.73000	0.03981	-0.06008	-0.03161	-0.01378	-0.01470	0.00494
0.02800	0.00021	0.00106	0.00069	0.00284	-3.78840	-89.64000	0.04413	-0.06070	-0.02467	-0.01131	-0.02447	0.00638
0.03000	0.00021	0.00106	0.00069	0.00284	-3.78840	-89.73000	0.04413	-0.06070	-0.02467	-0.01131	-0.02447	0.00638
0.03200	0.00021	0.00106	0.00069	0.00284	-3.78840	-89.91000	0.04413	-0.06070	-0.02467	-0.01131	-0.02447	0.00638
0.03400	0.00021	0.00106	0.00069	0.00284	-3.78840	-89.91000	0.04413	-0.06070	-0.02467	-0.01131	-0.02447	0.00638
0.03600	-0.00012	0.00168	0.00052	0.00274	-3.87860	-89.91000	0.07169	-0.07212	-0.03640	-0.00864	-0.01501	0.00381
0.03800	-0.00012	0.00168	0.00052	0.00274	-3.87860	-89.82000	0.07169	-0.07212	-0.03640	-0.00864	-0.01501	0.00381
0.04000	-0.00012	0.00168	0.00052	0.00274	-3.87860	-89.82000	0.07169	-0.07212	-0.03640	-0.00864	-0.01501	0.00381
0.04200	-0.00012	0.00168	0.00052	0.00274	-3.96880	-89.82000	0.07169	-0.07212	-0.03640	-0.00864	-0.01501	0.00381
0.04400	0.00165	0.00057	0.00047	0.00151	-3.87860	-89.73000	0.04577	-0.08601	-0.03239	-0.01717	-0.02005	0.00895
