/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:54:54 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	7.21600	-89.46000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	7.21600	-89.46000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	7.12580	-89.37000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	7.12580	-89.55000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	7.12580	-89.55000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01000	0.00076	-0.00087	0.00080	0.00294	7.21600	-89.55000	-1.10398	-0.02490	2.53547	0.24484	1.26025	0.23072
0.01200	0.00156	-0.00119	0.00055	0.00216	7.21600	-89.64000	-1.10398	-0.02490	2.53547	0.24484	1.26025	0.23072
0.01400	0.00156	-0.00119	0.00055	0.00216	7.21600	-89.64000	-1.10398	-0.02490	2.53547	0.24484	1.26025	0.23072
0.01600	0.00156	-0.00119	0.00055	0.00216	7.12580	-89.46000	-1.10398	-0.02490	2.53547	0.24484	1.26025	0.23072
0.01800	0.00156	-0.00119	0.00055	0.00216	7.03560	-89.46000	-1.10398	-0.02490	2.53547	0.24484	1.26025	0.23072
0.02000	0.00005	0.00016	0.00059	0.00137	7.12580	-89.46000	-1.12753	0.00144	2.54380	0.25245	1.25851	0.23247
0.02200	0.00005	0.00016	0.00059	0.00137	7.12580	-89.46000	-1.12753	0.00144	2.54380	0.25245	1.25851	0.23247
0.02400	0.00005	0.00016	0.00059	0.00137	7.12580	-89.55000	-1.12753	0.00144	2.54380	0.25245	1.25851	0.23247
0.02600	0.00005	0.00016	0.00059	0.00137	7.21600	-89.55000	-1.12753	0.00144	2.54380	0.25245	1.25851	0.23247
0.02800	-0.00018	-0.00124	0.00101	0.00129	7.21600	-89.55000	-1.12599	0.00597	2.54811	0.24278	1.26848	0.23699
0.03000	-0.00018	-0.00124	0.00101	0.00129	7.21600	-89.64000	-1.12599	0.00597	2.54811	0.24278	1.26848	0.23699
0.03200	-0.00018	-0.00124	0.00101	0.00129	7.12580	-89.64000	-1.12599	0.00597	2.54811	0.24278	1.26848	0.23699
0.03400	-0.00018	-0.00124	0.00101	0.00129	7.12580	-89.55000	-1.12599	0.00597	2.54811	0.24278	1.26848	0.23699
0.03600	-0.00051	0.00040	0.00085	0.00178	7.12580	-89.55000	-1.11694	-0.00525	2.54549	0.23116	1.26796	0.24316
0.03800	-0.00051	0.00040	0.00085	0.00178	7.12580	-89.55000	-1.11694	-0.00525	2.54549	0.23116	1.26796	0.24316
0.04000	-0.00051	0.00040	0.00085	0.00178	7.12580	-89.55000	-1.11694	-0.00525	2.54549	0.23116	1.26796	0.24316
0.04200	-0.00051	0.00040	0.00085	0.00178	7.12580	-89.55000	-1.11694	-0.00525	2.54549	0.23116	1.26796	0.24316
0.04400	0.00118	-0.00148	0.00090	0.00321	7.12580	-89.55000	-1.11694	-0.00525	2.54549	0.23116	1.26796	0.24316
0.04600	0.00118	-0.00148	0.00090	0.00321	7.12580	-89.46000	-1.10202	-0.03735	2.56492	0.22478	1.26488	0.24214
0.04800	0.00093	0.00099	0.00002	0.00335	7.03560	-89.55000	-1.10202	-0.03735	2.56492	0.22478	1.26488	0.24214
0.05000	0.00093	0.00099	0.00002	0.00335	7.12580	-89.64000	-1.10202	-0.03735	2.56492	0.22478	1.26488	0.24214
0.05200	0.00093	0.00099	0.00002	0.00335	7.03560	-89.55000	-1.10202	-0.03735	2.56492	0.22478	1.26488	0.24214
0.05400	-0.00033	-0.00115	0.00091	0.00373	7.12580	-89.64000	-1.06366	-0.04969	2.56338	0.22119	1.25491	0.23987
0.05600	-0.00033	-0.00115	0.00091	0.00373	7.12580	-89.55000	-1.06366	-0.04969	2.56338	0.22119	1.25491	0.23987
0.05800	-0.00033	-0.00115	0.00091	0.00373	7.03560	-89.55000	-1.06366	-0.04969	2.56338	0.22119	1.25491	0.23987
0.06000	-0.00033	-0.00115	0.00091	0.00373	7.03560	-89.64000	-1.06366	-0.04969	2.56338	0.22119	1.25491	0.23987
0.06200	0.00030	-0.00069	0.00054	0.00245	7.03560	-89.55000	-1.02817	-0.07840	2.55104	0.21800	1.23928	0.24193
0.06400	0.00030	-0.00069	0.00054	0.00245	6.94540	-89.64000	-1.02817	-0.07840	2.55104	0.21800	1.23928	0.24193
0.06600	0.00030	-0.00069	0.00054	0.00245	7.03560	-89.55000	-1.02817	-0.07840	2.55104	0.21800	1.23928	0.24193
0.06800	0.00030	-0.00069	0.00054	0.00245	7.12580	-89.46000	-1.02817	-0.07840	2.55104	0.21800	1.23928	0.24193
0.07000	0.00016	-0.00099	0.00068	0.00218	7.03560	-89.55000	-1.02817	-0.07840	2.55104	0.21800	1.23928	0.24193
0.07200	0.00288	-0.00174	0.00035	0.00189	7.03560	-89.64000	-0.98384	-0.11399	2.54287	0.21234	1.23044	0.24152
0.07400	0.00288	-0.00174	0.00035	0.00189	7.12580	-89.46000	-0.98384	-0.11399	2.54287	0.21234	1.23044	0.24152
0.07600	0.00288	-0.00174	0.00035	0.00189	7.12580	-89.46000	-0.98384	-0.11399	2.54287	0.21234	1.23044	0.24152
0.07800	0.00288	-0.00174	0.00035	0.00189	7.03560	-89.37000	-0.98384	-0.11399	2.54287	0.21234	1.23044	0.24152
0.08000	0.00069	-0.00020	0.00079	0.00207	7.12580	-89.46000	-0.98384	-0.11399	2.54287	0.21234	1.23044	0.24152
0.08200	-0.00040	-0.00121	0.00105	0.00221	7.21600	-89.55000	-0.97561	-0.16502	2.55305	0.20113	1.22478	0.24399
0.08400	-0.00040	-0.00121	0.00105	0.00221	7.21600	-89.55000	-0.97561	-0.16502	2.55305	0.20113	1.22478	0.24399
0.08600	-0.00040	-0.00121	0.00105	0.00221	7.12580	-89.55000	-0.98137	-0.19095	2.53979	0.19486	1.22602	0.24358
0.08800	-0.00040	-0.00121	0.00105	0.00221	7.12580	-89.64000	-0.98137	-0.19095	2.53979	0.19486	1.22602	0.24358
0.09000	0.00024	-0.00128	0.00096	0.00312	7.12580	-89.64000	-0.98137	-0.19095	2.53979	0.19486	1.22602	0.24358
0.09200	0.00024	-0.00128	0.00096	0.00312	7.12580	-89.64000	-0.98137	-0.19095	2.53979	0.19486	1.22602	0.24358
0.09400	0.00024	-0.00128	0.00096	0.00312	7.12580	-89.64000	-0.95483	-0.21245	2.52961	0.19363	1.22694	0.24049
0.09600	0.00037	0.00068	0.00022	0.00329	7.21600	-89.55000	-0.95483	-0.21245	2.52961	0.19363	1.22694	0.24049
0.09800	0.00037	0.00068	0.00022	0.00329	7.21600	-89.55000	-0.95483	-0.21245	2.52961	0.19363	1.22694	0.24049
0.10000	0.00037	0.00068	0.00022	0.00329	7.30620	-89.64000	-0.95483	-0.21245	2.52961	0.19363	1.22694	0.24049
