/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:58:25 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.64000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.64000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01000	0.00151	0.37480	0.00071	0.00291	-3.96880	-89.82000	0.05781	-0.16121	-0.13201	-0.03404	0.01326	0.00833
0.01200	0.00151	0.37480	0.00071	0.00291	-3.96880	-89.91000	0.05781	-0.16121	-0.13201	-0.03404	0.01326	0.00833
0.01400	0.00151	0.37480	0.00071	0.00291	-3.96880	-89.82000	0.05781	-0.16121	-0.13201	-0.03404	0.01326	0.00833
0.01600	0.00151	0.37480	0.00071	0.00291	-3.96880	-89.73000	0.05781	-0.16121	-0.13201	-0.03404	0.01326	0.00833
0.01800	-0.00023	0.36534	0.00117	0.00319	-3.87860	-89.73000	0.03117	-0.18766	-0.12923	-0.03774	0.01326	0.00453
0.02000	-0.00023	0.36534	0.00117	0.00319	-3.69820	-89.64000	0.03117	-0.18766	-0.12923	-0.03774	0.01326	0.00453
0.02200	-0.00023	0.36534	0.00117	0.00319	-3.78840	-89.73000	0.03117	-0.18766	-0.12923	-0.03774	0.01326	0.00453
0.02400	-0.00023	0.36534	0.00117	0.00319	-3.78840	-89.73000	0.03117	-0.18766	-0.12923	-0.03774	0.01326	0.00453
0.02600	-0.00050	0.36662	0.00065	0.00373	-3.78840	-89.64000	0.04474	-0.19012	-0.16038	-0.03918	0.02025	0.00463
0.02800	-0.00050	0.36662	0.00065	0.00373	-3.87860	-89.82000	0.04474	-0.19012	-0.16038	-0.03918	0.02025	0.00463
0.03000	-0.00050	0.36662	0.00065	0.00373	-3.87860	-89.82000	0.04474	-0.19012	-0.16038	-0.03918	0.02025	0.00463
0.03200	-0.00050	0.36662	0.00065	0.00373	-3.87860	-89.73000	0.04474	-0.19012	-0.16038	-0.03918	0.02025	0.00463
0.03400	0.00011	0.36512	0.00067	0.00414	-3.87860	-89.64000	0.01635	-0.21194	-0.14311	-0.03949	0.03208	-0.00494
0.03600	0.00011	0.36512	0.00067	0.00414	-3.87860	-89.64000	0.01635	-0.21194	-0.14311	-0.03949	0.03208	-0.00494
0.03800	0.00011	0.36512	0.00067	0.00414	-3.87860	-89.64000	0.01635	-0.21194	-0.14311	-0.03949	0.03208	-0.00494
0.04000	0.00011	0.36512	0.00067	0.00414	-3.96880	-89.73000	0.01635	-0.21194	-0.14311	-0.03949	0.03208	-0.00494
0.04200	0.00048	0.36454	0.00044	0.00416	-3.87860	-89.64000	0.04392	-0.19825	-0.16038	-0.03712	0.01820	-0.00093
0.04400	0.00048	0.36454	0.00044	0.00416	-3.96880	-89.73000	0.04392	-0.19825	-0.16038	-0.03712	0.01820	-0.00093
0.04600	0.00048	0.36454	0.00044	0.00416	-4.05900	-89.73000	0.04392	-0.19825	-0.16038	-0.03712	0.01820	-0.00093
0.04800	0.00048	0.36454	0.00044	0.00416	-4.05900	-89.73000	0.04392	-0.19825	-0.16038	-0.03712	0.01820	-0.00093
0.05000	-0.00005	0.36126	0.00083	0.00227	-4.05900	-89.73000	0.09957	-0.16615	-0.16995	-0.03476	0.00432	-0.00360
0.05200	-0.00005	0.36126	0.00083	0.00227	-3.96880	-89.82000	0.09957	-0.16615	-0.16995	-0.03476	0.00432	-0.00360
0.05400	-0.00005	0.36126	0.00083	0.00227	-3.96880	-89.73000	0.09957	-0.16615	-0.16995	-0.03476	0.00432	-0.00360
0.05600	-0.00005	0.36126	0.00083	0.00227	-3.87860	-89.73000	0.09957	-0.16615	-0.16995	-0.03476	0.00432	-0.00360
0.05800	0.00032	0.36198	0.00121	0.00181	-3.96880	-89.64000	0.11633	-0.16924	-0.15314	-0.03404	-0.00894	-0.00381
0.06000	0.00032	0.36198	0.00121	0.00181	-3.96880	-89.73000	0.11633	-0.16924	-0.15314	-0.03404	-0.00894	-0.00381
0.06200	0.00032	0.36198	0.00121	0.00181	-3.78840	-89.55000	0.11633	-0.16924	-0.15314	-0.03404	-0.00894	-0.00381
0.06400	0.00032	0.36198	0.00121	0.00181	-3.78840	-89.55000	0.11633	-0.16924	-0.15314	-0.03404	-0.00894	-0.00381
0.06600	0.00063	0.36139	0.00083	0.00234	-3.96880	-89.64000	0.12857	-0.16358	-0.15283	-0.03332	-0.00370	-0.00123
0.06800	0.00063	0.36139	0.00083	0.00234	-3.87860	-89.55000	0.12857	-0.16358	-0.15283	-0.03332	-0.00370	-0.00123
0.07000	0.00063	0.36139	0.00083	0.00234	-3.87860	-89.64000	0.12857	-0.16358	-0.15283	-0.03332	-0.00370	-0.00123
0.07200	0.00063	0.36139	0.00083	0.00234	-3.78840	-89.73000	0.12857	-0.16358	-0.15283	-0.03332	-0.00370	-0.00123
0.07400	0.00048	0.35946	0.00067	0.00317	-3.87860	-89.73000	0.08270	-0.18519	-0.13879	-0.03465	0.00422	0.00154
0.07600	0.00048	0.35946	0.00067	0.00317	-3.96880	-89.82000	0.08270	-0.18519	-0.13879	-0.03465	0.00422	0.00154
0.07800	0.00048	0.35946	0.00067	0.00317	-3.96880	-89.82000	0.08270	-0.18519	-0.13879	-0.03465	0.00422	0.00154
