/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM45
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 11:07:02 AM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.91000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.91000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01000	0.00029	0.00028	0.00057	0.00015	-3.78840	-89.55000	0.10797	-0.14719	-0.21786	-0.02527	-0.02196	-0.01311
0.01200	0.00029	0.00028	0.00057	0.00015	-3.78840	-89.55000	0.10797	-0.14719	-0.21786	-0.02527	-0.02196	-0.01311
0.01400	0.00029	0.00028	0.00057	0.00015	-3.87860	-89.64000	0.10797	-0.14719	-0.21786	-0.02527	-0.02196	-0.01311
0.01600	0.00029	0.00028	0.00057	0.00015	-3.87860	-89.64000	0.10797	-0.14719	-0.21786	-0.02527	-0.02196	-0.01311
0.01800	0.00134	0.00137	0.00033	-0.00013	-3.87860	-89.64000	0.05607	-0.18275	-0.25395	-0.03066	-0.00398	-0.00833
0.02000	0.00134	0.00137	0.00033	-0.00013	-3.87860	-89.64000	0.05607	-0.18275	-0.25395	-0.03066	-0.00398	-0.00833
0.02200	0.00134	0.00137	0.00033	-0.00013	-3.87860	-89.64000	0.05607	-0.18275	-0.25395	-0.03066	-0.00398	-0.00833
0.02400	0.00134	0.00137	0.00033	-0.00013	-3.78840	-89.46000	0.05607	-0.18275	-0.25395	-0.03066	-0.00398	-0.00833
0.02600	0.00091	0.00011	0.00037	0.00031	0.00000	0.00000	-0.01672	-0.22871	-0.28004	-0.04060	0.01459	-0.00460
0.02800	0.00091	0.00011	0.00037	0.00031	0.00000	0.00000	-0.01672	-0.22871	-0.28004	-0.04060	0.01459	-0.00460
0.03000	0.00091	0.00011	0.00037	0.00031	0.00000	0.00000	-0.01672	-0.22871	-0.28004	-0.04060	0.01459	-0.00460
0.03200	0.00091	0.00011	0.00037	0.00031	-3.87860	-89.46000	-0.01672	-0.22871	-0.28004	-0.04060	0.01459	-0.00460
0.03400	0.00015	0.00160	0.00036	-0.00018	-3.87860	-89.55000	-0.06798	-0.25220	-0.28054	-0.04532	0.02964	0.00102
0.03600	0.00015	0.00160	0.00036	-0.00018	-3.87860	0.00000	-0.06798	-0.25220	-0.28054	-0.04532	0.02964	0.00102
0.03800	0.00015	0.00160	0.00036	-0.00018	-3.87860	-89.46000	-0.06798	-0.25220	-0.28054	-0.04532	0.02964	0.00102
0.04000	0.00015	0.00160	0.00036	-0.00018	-3.87860	-89.46000	-0.06798	-0.25220	-0.28054	-0.04532	0.02964	0.00102
0.04200	0.00007	0.00018	0.00031	-0.00021	-4.05900	-89.46000	-0.06570	-0.16651	-0.29340	-0.03893	0.03072	0.00447
0.04400	0.00007	0.00018	0.00031	-0.00021	0.00000	0.00000	-0.06570	-0.16651	-0.29340	-0.03893	0.03072	0.00447
0.04600	0.00007	0.00018	0.00031	-0.00021	-3.96880	-89.46000	-0.06570	-0.16651	-0.29340	-0.03893	0.03072	0.00447
0.04800	0.00007	0.00018	0.00031	-0.00021	-4.05900	-89.46000	-0.06570	-0.16651	-0.29340	-0.03893	0.03072	0.00447
0.05000	0.00135	0.00121	0.00030	-0.00010	-3.96880	-89.46000	-0.04672	-0.04275	-0.30385	-0.03045	0.01431	0.00722
0.05200	0.00135	0.00121	0.00030	-0.00010	-3.87860	-89.46000	-0.04672	-0.04275	-0.30385	-0.03045	0.01431	0.00722
0.05400	0.00135	0.00121	0.00030	-0.00010	-3.96880	-89.55000	-0.04672	-0.04275	-0.30385	-0.03045	0.01431	0.00722
0.05600	0.00135	0.00121	0.00030	-0.00010	-4.05900	-89.55000	-0.04672	-0.04275	-0.30385	-0.03045	0.01431	0.00722
0.05800	0.00051	0.00018	0.00039	0.00006	-4.05900	-89.64000	0.03978	0.04732	-0.22758	-0.02270	-0.00928	0.00734
0.06000	0.00051	0.00018	0.00039	0.00006	0.00000	0.00000	0.03978	0.04732	-0.22758	-0.02270	-0.00928	0.00734
0.06200	0.00051	0.00018	0.00039	0.00006	-3.87860	-89.55000	0.03978	0.04732	-0.22758	-0.02270	-0.00928	0.00734
0.06400	0.00051	0.00018	0.00039	0.00006	-3.87860	-89.64000	0.03978	0.04732	-0.22758	-0.02270	-0.00928	0.00734
0.06600	0.00021	0.00102	0.00030	-0.00005	-3.87860	-89.64000	0.03978	0.04732	-0.22758	-0.02076	-0.02606	0.00290
