/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM45
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 11:09:01 AM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00800	0.00013	0.00223	0.00023	-0.00014	-3.69820	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01000	0.00013	0.00223	0.00023	-0.00014	-3.78840	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01200	0.00013	0.00223	0.00023	-0.00014	-3.87860	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01400	-0.00002	0.00046	0.00059	0.00004	-3.87860	-89.73000	-0.01608	-0.06821	-0.04985	-0.03588	-0.01049	0.00025
0.01600	-0.00002	0.00046	0.00059	0.00004	-3.87860	-89.73000	-0.01608	-0.06821	-0.04985	-0.03588	-0.01049	0.00025
0.01800	-0.00002	0.00046	0.00059	0.00004	-3.78840	-89.73000	-0.01608	-0.06821	-0.04985	-0.03588	-0.01049	0.00025
0.02000	-0.00002	0.00046	0.00059	0.00004	-3.69820	-89.82000	-0.01608	-0.06821	-0.04985	-0.03588	-0.01049	0.00025
0.02200	0.00030	0.00178	0.00046	-0.00010	-3.78840	-89.82000	-0.02527	-0.06432	-0.03541	-0.03326	-0.00774	-0.00160
0.02400	0.00030	0.00178	0.00046	-0.00010	-3.78840	-89.82000	-0.02527	-0.06432	-0.03541	-0.03326	-0.00774	-0.00160
0.02600	0.00030	0.00178	0.00046	-0.00010	-3.78840	-89.82000	-0.02527	-0.06432	-0.03541	-0.03326	-0.00774	-0.00160
0.02800	0.00030	0.00178	0.00046	-0.00010	-3.78840	-89.91000	-0.02527	-0.06432	-0.03541	-0.03326	-0.00774	-0.00160
0.03000	0.00210	0.00088	0.00033	-0.00010	-3.78840	-89.91000	-0.00447	-0.04914	-0.05429	-0.02826	-0.00648	0.00052
0.03200	0.00210	0.00088	0.00033	-0.00010	-3.78840	-89.82000	-0.00447	-0.04914	-0.05429	-0.02826	-0.00648	0.00052
0.03400	0.00210	0.00088	0.00033	-0.00010	-3.78840	-89.73000	-0.00447	-0.04914	-0.05429	-0.02826	-0.00648	0.00052
0.03600	0.00210	0.00088	0.00033	-0.00010	-3.87860	-89.73000	-0.00447	-0.04914	-0.05429	-0.02826	-0.00648	0.00052
0.03800	0.00045	0.00202	0.00038	-0.00006	-3.96880	-89.73000	-0.02299	-0.05787	-0.04158	-0.03079	-0.00629	-0.00235
0.04000	0.00045	0.00202	0.00038	-0.00006	-3.87860	-89.64000	-0.02299	-0.05787	-0.04158	-0.03079	-0.00629	-0.00235
0.04200	0.00045	0.00202	0.00038	-0.00006	-3.87860	-89.64000	-0.02299	-0.05787	-0.04158	-0.03079	-0.00629	-0.00235
0.04400	0.00045	0.00202	0.00038	-0.00006	-3.87860	-89.55000	-0.02299	-0.05787	-0.04158	-0.03079	-0.00629	-0.00235
0.04600	0.00037	0.00067	0.00056	-0.00008	-3.78840	-89.55000	-0.02003	-0.02775	-0.04352	-0.02823	-0.00734	-0.00219
0.04800	0.00037	0.00067	0.00056	-0.00008	-3.78840	-89.64000	-0.02003	-0.02775	-0.04352	-0.02823	-0.00734	-0.00219
0.05000	0.00037	0.00067	0.00056	-0.00008	-3.78840	-89.73000	-0.02003	-0.02775	-0.04352	-0.02823	-0.00734	-0.00219
0.05200	0.00037	0.00067	0.00056	-0.00008	-3.87860	-89.64000	-0.02003	-0.02775	-0.04352	-0.02823	-0.00734	-0.00219
0.05400	0.00024	0.00163	0.00057	0.00012	-3.96880	-89.73000	0.00268	-0.03111	-0.05885	-0.02798	-0.00978	-0.00114
0.05600	0.00024	0.00163	0.00057	0.00012	-3.87860	-89.73000	0.00268	-0.03111	-0.05885	-0.02798	-0.00978	-0.00114
0.05800	0.00024	0.00163	0.00057	0.00012	-3.96880	-89.82000	0.00268	-0.03111	-0.05885	-0.02798	-0.00978	-0.00114
0.06000	0.00024	0.00163	0.00057	0.00012	-3.87860	-89.73000	0.00268	-0.03111	-0.05885	-0.02798	-0.00978	-0.00114
0.06200	0.00207	0.00072	0.00029	-0.00004	-3.87860	-89.73000	-0.03663	-0.04812	-0.05426	-0.02499	-0.00478	0.00034
0.06400	0.00207	0.00072	0.00029	-0.00004	-3.87860	-89.73000	-0.03663	-0.04812	-0.05426	-0.02499	-0.00478	0.00034
0.06600	0.00207	0.00072	0.00029	-0.00004	-3.96880	-89.82000	-0.03663	-0.04812	-0.05426	-0.02499	-0.00478	0.00034
0.06800	0.00207	0.00072	0.00029	-0.00004	-3.96880	-89.73000	-0.03663	-0.04812	-0.05426	-0.02499	-0.00478	0.00034
0.07000	0.00061	0.00195	0.00038	-0.00015	-4.05900	-89.73000	-0.03734	-0.03194	-0.05660	-0.02576	0.00321	0.00182
0.07200	0.00061	0.00195	0.00038	-0.00015	-3.96880	-89.73000	-0.03734	-0.03194	-0.05660	-0.02576	0.00321	0.00182
0.07400	0.00061	0.00195	0.00038	-0.00015	-3.78840	-89.82000	-0.03734	-0.03194	-0.05660	-0.02576	0.00321	0.00182
0.07600	0.00061	0.00195	0.00038	-0.00015	-3.87860	-89.91000	-0.03734	-0.03194	-0.05660	-0.02576	0.00321	0.00182
0.07800	0.00056	0.00055	0.00045	-0.00020	-3.96880	-89.82000	-0.06730	-0.03312	-0.04303	-0.02502	0.00753	0.00247
0.08000	0.00056	0.00055	0.00045	-0.00020	-4.05900	-89.82000	-0.06730	-0.03312	-0.04303	-0.02502	0.00753	0.00247
0.08200	0.00056	0.00055	0.00045	-0.00020	-3.96880	-89.82000	-0.06730	-0.03312	-0.04303	-0.02502	0.00753	0.00247
0.08400	0.00056	0.00055	0.00045	-0.00020	-3.87860	-89.82000	-0.06730	-0.03312	-0.04303	-0.02502	0.00753	0.00247
0.08600	0.00028	0.00199	0.00035	0.00065	-3.96880	-89.91000	-0.06989	-0.01250	-0.04402	-0.01931	0.01311	0.00120
0.08800	0.00028	0.00199	0.00035	0.00065	-4.05900	-89.91000	-0.06989	-0.01250	-0.04402	-0.01931	0.01311	0.00120
0.09000	0.00028	0.00199	0.00035	0.00065	-4.05900	-89.82000	-0.06989	-0.01250	-0.04402	-0.01931	0.01311	0.00120
