/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 05:43:04 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.42760	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.64000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.64000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01000	0.00072	0.00177	0.00076	0.00082	-3.51780	-89.64000	-0.17260	-0.17613	-0.22176	0.00730	-0.01789	0.01512
0.01200	0.00072	0.00177	0.00076	0.00082	-3.51780	-89.64000	-0.17260	-0.17613	-0.22176	0.00730	-0.01789	0.01512
0.01400	0.00072	0.00177	0.00076	0.00082	-3.51780	-89.64000	-0.17260	-0.17613	-0.22176	0.00730	-0.01789	0.01512
0.01600	0.00072	0.00177	0.00076	0.00082	-3.42760	-89.73000	-0.17260	-0.17613	-0.22176	0.00730	-0.01789	0.01512
0.01800	0.00080	0.00226	0.00053	0.00058	-3.51780	-89.64000	-0.19018	-0.17973	-0.21852	0.00668	-0.01532	0.01800
0.02000	0.00080	0.00226	0.00053	0.00058	-3.60800	-89.64000	-0.19018	-0.17973	-0.21852	0.00668	-0.01532	0.01800
0.02200	0.00080	0.00226	0.00053	0.00058	-3.69820	-89.55000	-0.19018	-0.17973	-0.21852	0.00668	-0.01532	0.01800
0.02400	0.00080	0.00226	0.00053	0.00058	-3.60800	-89.64000	-0.19018	-0.17973	-0.21852	0.00668	-0.01532	0.01800
0.02600	0.00268	0.00202	0.00027	0.00116	-3.51780	-89.64000	-0.18905	-0.10484	-0.23904	0.01686	-0.01480	0.01522
0.02800	0.00268	0.00202	0.00027	0.00116	-3.60800	-89.64000	-0.18905	-0.10484	-0.23904	0.01686	-0.01480	0.01522
0.03000	0.00268	0.00202	0.00027	0.00116	-3.51780	-89.64000	-0.18905	-0.10484	-0.23904	0.01686	-0.01480	0.01522
0.03200	0.00268	0.00202	0.00027	0.00116	-3.51780	-89.64000	-0.18905	-0.10484	-0.23904	0.01686	-0.01480	0.01522
0.03400	0.00113	0.00289	0.00082	0.00164	-3.51780	-89.73000	-0.17630	-0.06955	-0.23333	0.01357	-0.02663	0.01286
0.03600	0.00113	0.00289	0.00082	0.00164	-3.60800	-89.73000	-0.17630	-0.06955	-0.23333	0.01357	-0.02663	0.01286
0.03800	0.00113	0.00289	0.00082	0.00164	-3.51780	-89.73000	-0.17630	-0.06955	-0.23333	0.01357	-0.02663	0.01286
0.04000	0.00113	0.00289	0.00082	0.00164	-3.51780	-89.73000	-0.17630	-0.06955	-0.23333	0.01357	-0.02663	0.01286
0.04200	0.00119	0.00172	0.00060	0.00175	-3.42760	-89.64000	-0.13207	-0.06759	-0.24983	0.01563	-0.03670	0.00874
0.04400	0.00119	0.00172	0.00060	0.00175	-3.51780	-89.64000	-0.13207	-0.06759	-0.24983	0.01563	-0.03670	0.00874
0.04600	0.00119	0.00172	0.00060	0.00175	-3.42760	-89.55000	-0.13207	-0.06759	-0.24983	0.01563	-0.03670	0.00874
0.04800	0.00119	0.00172	0.00060	0.00175	-3.42760	-89.55000	-0.13207	-0.06759	-0.24983	0.01563	-0.03670	0.00874
0.05000	0.00085	0.00269	0.00043	0.00033	-3.42760	-89.64000	-0.09031	-0.04681	-0.27589	0.01728	-0.04781	0.00720
0.05200	0.00085	0.00269	0.00043	0.00033	-3.33740	-89.64000	-0.09031	-0.04681	-0.27589	0.01728	-0.04781	0.00720
0.05400	0.00085	0.00269	0.00043	0.00033	-3.42760	-89.64000	-0.09031	-0.04681	-0.27589	0.01728	-0.04781	0.00720
0.05600	0.00085	0.00269	0.00043	0.00033	-3.42760	-89.64000	-0.09031	-0.04681	-0.27589	0.01728	-0.04781	0.00720
0.05800	0.00244	0.00189	0.00047	0.00047	-3.60800	-89.64000	-0.08208	-0.09691	-0.21606	0.01769	-0.06045	0.00216
0.06000	0.00244	0.00189	0.00047	0.00047	-3.60800	-89.64000	-0.08208	-0.09691	-0.21606	0.01769	-0.06045	0.00216
0.06200	0.00244	0.00189	0.00047	0.00047	-3.60800	-89.64000	-0.08208	-0.09691	-0.21606	0.01769	-0.06045	0.00216
0.06400	0.00244	0.00189	0.00047	0.00047	-3.42760	-89.64000	-0.08208	-0.09691	-0.21606	0.01769	-0.06045	0.00216
0.06600	0.00144	0.00265	0.00044	0.00089	-3.51780	-89.73000	-0.06182	-0.14640	-0.12060	0.01800	-0.05151	-0.00144
0.06800	0.00144	0.00265	0.00044	0.00089	-3.42760	-89.73000	-0.06182	-0.14640	-0.12060	0.01800	-0.05151	-0.00144
0.07000	0.00144	0.00265	0.00044	0.00089	-3.33740	-89.82000	-0.06182	-0.14640	-0.12060	0.01800	-0.05151	-0.00144
0.07200	0.00144	0.00265	0.00044	0.00089	-3.24720	-89.82000	-0.06182	-0.14640	-0.12060	0.01800	-0.05151	-0.00144
0.07400	0.00073	0.00155	0.00071	0.00123	-3.33740	-89.73000	-0.10317	-0.17819	-0.04256	0.00812	-0.04555	-0.00339
0.07600	0.00073	0.00155	0.00071	0.00123	-3.42760	-89.64000	-0.10317	-0.17819	-0.04256	0.00812	-0.04555	-0.00339
0.07800	0.00073	0.00155	0.00071	0.00123	-3.42760	-89.73000	-0.10317	-0.17819	-0.04256	0.00812	-0.04555	-0.00339
0.08000	0.00073	0.00155	0.00071	0.00123	-3.33740	-89.64000	-0.10317	-0.17819	-0.04256	0.00812	-0.04555	-0.00339
0.08200	0.00060	0.00258	0.00039	0.00089	-3.42760	-89.64000	-0.11633	-0.20844	0.02668	0.00483	-0.03804	-0.00535
0.08400	0.00060	0.00258	0.00039	0.00089	-3.42760	-89.55000	-0.11633	-0.20844	0.02668	0.00483	-0.03804	-0.00535
0.08600	0.00060	0.00258	0.00039	0.00089	-3.42760	-89.64000	-0.11633	-0.20844	0.02668	0.00483	-0.03804	-0.00535
0.08800	0.00060	0.00258	0.00039	0.00089	-3.42760	-89.64000	-0.11633	-0.20844	0.02668	0.00483	-0.03804	-0.00535
0.09000	0.00256	0.00161	0.00052	0.00127	-3.33740	-89.73000	-0.07797	-0.19733	0.10888	-0.00021	-0.04483	0.00329
0.09200	0.00256	0.00161	0.00052	0.00127	-3.33740	-89.73000	-0.07797	-0.19733	0.10888	-0.00021	-0.04483	0.00329
0.09400	0.00256	0.00161	0.00052	0.00127	-3.33740	-89.73000	-0.07797	-0.19733	0.10888	-0.00021	-0.04483	0.00329
0.09600	0.00256	0.00161	0.00052	0.00127	-3.33740	-89.73000	-0.07797	-0.19733	0.10888	-0.00021	-0.04483	0.00329
0.09800	0.00102	0.00276	0.00056	0.00166	-3.51780	-89.82000	0.14647	0.14949	0.07927	0.02437	-0.05973	0.00926
0.10000	0.00102	0.00276	0.00056	0.00166	-3.42760	-89.82000	0.14647	0.14949	0.07927	0.02437	-0.05973	0.00926
0.10200	0.00102	0.00276	0.00056	0.00166	-3.42760	-89.82000	0.14647	0.14949	0.07927	0.02437	-0.05973	0.00926
0.10400	0.00102	0.00276	0.00056	0.00166	-3.42760	-89.82000	0.14647	0.14949	0.07927	0.02437	-0.05973	0.00926
0.10600	0.00082	0.00169	0.00056	0.00179	-3.42760	-89.82000	1.28922	0.39486	-0.01820	0.11075	-0.24274	0.00051
0.10800	0.00082	0.00169	0.00056	0.00179	-3.42760	-89.64000	1.28922	0.39486	-0.01820	0.11075	-0.24274	0.00051
0.11000	0.00082	0.00169	0.00056	0.00179	-3.42760	-89.64000	1.28922	0.39486	-0.01820	0.11075	-0.24274	0.00051
0.11200	0.00082	0.00169	0.00056	0.00179	-3.60800	-89.82000	1.28922	0.39486	-0.01820	0.11075	-0.24274	0.00051
0.11400	0.00091	0.00288	0.00041	0.00156	-3.78840	-90.00000	-0.55523	-2.39230	0.52850	-0.15311	-0.34843	-0.02479
0.11600	0.00091	0.00288	0.00041	0.00156	-3.69820	-90.09000	-0.55523	-2.39230	0.52850	-0.15311	-0.34843	-0.02479
0.11800	0.00091	0.00288	0.00041	0.00156	-2.88640	-90.18000	-0.55523	-2.39230	0.52850	-0.15311	-0.34843	-0.02479
0.12000	0.00091	0.00288	0.00041	0.00156	-2.88640	-90.18000	-0.55523	-2.39230	0.52850	-0.15311	-0.34843	-0.02479
0.12200	0.00261	0.00162	0.00054	0.00195	-1.98440	-90.00000	-2.30073	-0.38076	-0.09916	-0.19496	0.39510	0.01471
0.12400	0.00261	0.00162	0.00054	0.00195	-0.90200	-89.28000	-2.30073	-0.38076	-0.09916	-0.19496	0.39510	0.01471
0.12600	0.00261	0.00162	0.00054	0.00195	-0.90200	-88.83000	-2.30073	-0.38076	-0.09916	-0.19496	0.39510	0.01471
0.12800	0.00261	0.00162	0.00054	0.00195	-1.17260	-88.83000	-2.30073	-0.38076	-0.09916	-0.19496	0.39510	0.01471
0.13000	0.00102	0.00276	0.00038	0.00102	-2.16480	-88.65000	0.04258	2.14621	-0.31537	0.21512	0.59435	0.02777
0.13200	0.00102	0.00276	0.00038	0.00102	-3.69820	-88.74000	0.04258	2.14621	-0.31537	0.21512	0.59435	0.02777
0.13400	0.00102	0.00276	0.00038	0.00102	-5.41200	-89.01000	0.04258	2.14621	-0.31537	0.21512	0.59435	0.02777
0.13600	0.00102	0.00276	0.00038	0.00102	-6.76500	-89.37000	0.04258	2.14621	-0.31537	0.21512	0.59435	0.02777
0.13800	0.00101	0.00178	0.00048	0.00053	-7.66700	-89.73000	0.51799	-1.95917	0.57415	-0.00257	0.14609	0.01625
0.14000	0.00101	0.00178	0.00048	0.00053	-7.84740	-90.36000	0.51799	-1.95917	0.57415	-0.00257	0.14609	0.01625
0.14200	0.00101	0.00178	0.00048	0.00053	-6.94540	-90.72000	0.51799	-1.95917	0.57415	-0.00257	0.14609	0.01625
0.14400	0.00101	0.00178	0.00048	0.00053	-4.32960	-91.17000	0.51799	-1.95917	0.57415	-0.00257	0.14609	0.01625
0.14600	0.00089	0.00266	0.00052	0.00120	-4.32960	-91.17000	0.51799	-1.95917	0.57415	-0.00257	0.14609	0.01625
0.14800	0.00089	0.00266	0.00052	0.00120	-2.97660	-90.99000	-1.11375	1.11997	0.26926	-0.06108	-0.25662	0.03713
0.15000	0.00373	0.00121	0.00018	0.00258	-1.98440	-90.81000	-1.11375	1.11997	0.26926	-0.06108	-0.25662	0.03713
0.15200	0.00373	0.00121	0.00018	0.00258	-1.08240	-89.91000	-1.11375	1.11997	0.26926	-0.06108	-0.25662	0.03713
0.15400	0.00373	0.00121	0.00018	0.00258	-1.08240	-89.91000	1.46655	2.92954	-1.28601	0.11260	-0.36159	0.04176
0.15600	0.00157	0.00241	0.00046	0.00170	-1.26280	-89.28000	1.46655	2.92954	-1.28601	0.11260	-0.36159	0.04176
0.15800	0.00157	0.00241	0.00046	0.00170	-1.80400	-88.92000	1.46655	2.92954	-1.28601	0.11260	-0.36159	0.04176
0.16000	0.00157	0.00241	0.00046	0.00170	-2.70600	-88.74000	1.46655	2.92954	-1.28601	0.11260	-0.36159	0.04176
0.16200	0.00119	0.00204	0.00053	0.00100	-3.60800	-88.83000	2.27831	-0.90258	-1.23172	0.12566	-0.21672	0.02849
0.16400	0.00119	0.00204	0.00053	0.00100	-4.32960	-89.28000	2.27831	-0.90258	-1.23172	0.12566	-0.21672	0.02849
0.16600	0.00119	0.00204	0.00053	0.00100	-4.69040	-89.73000	2.27831	-0.90258	-1.23172	0.12566	-0.21672	0.02849
0.16800	0.00119	0.00204	0.00053	0.00100	-4.60020	-90.18000	2.27831	-0.90258	-1.23172	0.12566	-0.21672	0.02849
0.17000	0.00090	0.00163	0.00048	0.00007	-4.14920	-90.54000	0.10080	0.42120	0.25384	0.02098	-0.13160	0.00206
0.17200	0.00090	0.00163	0.00048	0.00007	-3.87860	-90.63000	0.10080	0.42120	0.25384	0.02098	-0.13160	0.00206
0.17400	0.00090	0.00163	0.00048	0.00007	-3.51780	-90.63000	0.10080	0.42120	0.25384	0.02098	-0.13160	0.00206
0.17600	0.00090	0.00163	0.00048	0.00007	-3.33740	-90.45000	0.10080	0.42120	0.25384	0.02098	-0.13160	0.00206
