/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 05:54:57 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00800	-0.00102	-0.00034	0.00032	0.00143	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01000	-0.00102	-0.00034	0.00032	0.00143	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01200	-0.00124	-0.00033	0.00056	0.00177	-3.78840	-89.64000	0.02839	0.11502	0.18043	0.02077	-0.00905	-0.00062
0.01400	-0.00124	-0.00033	0.00056	0.00177	0.00000	0.00000	0.02839	0.11502	0.18043	0.02077	-0.00905	-0.00062
0.01600	-0.00124	-0.00033	0.00056	0.00177	0.00000	0.00000	0.02839	0.11502	0.18043	0.02077	-0.00905	-0.00062
0.01800	-0.00124	-0.00033	0.00056	0.00177	-3.96880	-89.73000	0.02839	0.11502	0.18043	0.02077	-0.00905	-0.00062
0.02000	0.00029	0.00084	0.00044	0.00201	-3.87860	-89.82000	0.03425	0.11039	0.16902	0.01614	-0.01100	0.00195
0.02200	0.00029	0.00084	0.00044	0.00201	-3.96880	-89.82000	0.03425	0.11039	0.16902	0.01614	-0.01100	0.00195
0.02400	0.00029	0.00084	0.00044	0.00201	0.00000	0.00000	0.03425	0.11039	0.16902	0.01614	-0.01100	0.00195
0.02600	0.00029	0.00084	0.00044	0.00201	-3.87860	-89.73000	0.03425	0.11039	0.16902	0.01614	-0.01100	0.00195
0.02800	-0.00060	-0.00069	0.00047	0.00200	-3.87860	-89.73000	0.02047	0.09414	0.15422	0.02314	-0.01707	-0.00813
0.03000	-0.00060	-0.00069	0.00047	0.00200	-3.96880	-89.73000	0.02047	0.09414	0.15422	0.02314	-0.01707	-0.00813
0.03200	-0.00060	-0.00069	0.00047	0.00200	0.00000	0.00000	0.02047	0.09414	0.15422	0.02314	-0.01707	-0.00813
0.03400	-0.00060	-0.00069	0.00047	0.00200	-3.69820	-89.73000	0.02047	0.09414	0.15422	0.02314	-0.01707	-0.00813
0.03600	-0.00126	0.00080	0.00066	0.00157	-3.69820	-89.73000	0.02067	0.07047	0.14296	0.00987	-0.01028	-0.00360
0.03800	-0.00126	0.00080	0.00066	0.00157	-3.78840	-89.73000	0.02067	0.07047	0.14296	0.00987	-0.01028	-0.00360
0.04000	-0.00126	0.00080	0.00066	0.00157	-3.78840	-89.73000	0.02067	0.07047	0.14296	0.00987	-0.01028	-0.00360
0.04200	-0.00126	0.00080	0.00066	0.00157	-3.87860	-89.73000	0.02067	0.07047	0.14296	0.00987	-0.01028	-0.00360
0.04400	-0.00148	-0.00067	0.00037	0.00202	-3.87860	-89.73000	0.01070	0.05350	0.14543	0.00997	-0.01439	-0.00093
0.04600	-0.00148	-0.00067	0.00037	0.00202	0.00000	0.00000	0.01070	0.05350	0.14543	0.00997	-0.01439	-0.00093
0.04800	-0.00148	-0.00067	0.00037	0.00202	-3.87860	-89.73000	0.01070	0.05350	0.14543	0.00997	-0.01439	-0.00093
0.05000	-0.00148	-0.00067	0.00037	0.00202	-3.87860	-89.73000	0.01070	0.05350	0.14543	0.00997	-0.01439	-0.00093
0.05200	0.00007	0.00051	0.00019	0.00090	-3.87860	-89.73000	0.00309	0.05638	0.14897	0.00545	-0.00648	0.00278
0.05400	0.00007	0.00051	0.00019	0.00090	0.00000	0.00000	0.00309	0.05638	0.14897	0.00545	-0.00648	0.00278
0.05600	0.00007	0.00051	0.00019	0.00090	-3.96880	-89.64000	0.00309	0.05638	0.14897	0.00545	-0.00648	0.00278
0.05800	0.00007	0.00051	0.00019	0.00090	-3.87860	-89.73000	0.00309	0.05638	0.14897	0.00545	-0.00648	0.00278
0.06000	-0.00105	-0.00089	0.00051	0.00174	0.00000	0.00000	-0.00771	0.05792	0.14157	0.00884	-0.00185	0.00309
0.06200	-0.00105	-0.00089	0.00051	0.00174	-3.87860	-89.73000	-0.00771	0.05792	0.14157	0.00884	-0.00185	0.00309
0.06400	-0.00105	-0.00089	0.00051	0.00174	-3.87860	-89.73000	-0.00771	0.05792	0.14157	0.00884	-0.00185	0.00309
0.06600	-0.00105	-0.00089	0.00051	0.00174	-3.87860	-89.73000	-0.00771	0.05792	0.14157	0.00884	-0.00185	0.00309
0.06800	-0.00140	0.00059	0.00046	0.00166	0.00000	0.00000	-0.01481	0.08940	0.15761	-0.00638	-0.00864	0.00586
0.07000	-0.00140	0.00059	0.00046	0.00166	-3.87860	-89.82000	-0.01481	0.08940	0.15761	-0.00638	-0.00864	0.00586
0.07200	-0.00140	0.00059	0.00046	0.00166	-3.96880	-89.64000	-0.01481	0.08940	0.15761	-0.00638	-0.00864	0.00586
0.07400	-0.00140	0.00059	0.00046	0.00166	-3.96880	-89.64000	-0.01481	0.08940	0.15761	-0.00638	-0.00864	0.00586
0.07600	-0.00094	-0.00079	0.00049	0.00152	0.00000	0.00000	-0.01481	0.08940	0.15761	-0.00638	-0.00864	0.00586
0.07800	-0.00095	0.00222	0.00061	0.00296	-3.96880	-89.73000	0.02047	0.13159	0.11983	0.00370	-0.01285	0.01255
0.08000	-0.00095	0.00222	0.00061	0.00296	-3.96880	-89.73000	0.02047	0.13159	0.11983	0.00370	-0.01285	0.01255
0.08200	-0.00095	0.00222	0.00061	0.00296	0.00000	0.00000	0.02047	0.13159	0.11983	0.00370	-0.01285	0.01255
0.08400	-0.00095	0.00222	0.00061	0.00296	-3.96880	-89.64000	0.02047	0.13159	0.11983	0.00370	-0.01285	0.01255
0.08600	0.00022	0.00012	0.00049	0.00275	-3.87860	-89.73000	0.03621	0.14897	0.09947	0.00895	-0.02046	0.00802
0.08800	0.00022	0.00012	0.00049	0.00275	-3.87860	-89.73000	0.03621	0.14897	0.09947	0.00895	-0.02046	0.00802
0.09000	0.00022	0.00012	0.00049	0.00275	0.00000	0.00000	0.03621	0.14897	0.09947	0.00895	-0.02046	0.00802
0.09200	0.00022	0.00012	0.00049	0.00275	-3.87860	-89.55000	0.03621	0.14897	0.09947	0.00895	-0.02046	0.00802
0.09400	-0.00107	0.00009	0.00048	0.00149	-3.87860	-89.55000	0.04608	0.15504	0.09022	0.00833	-0.02354	0.00648
0.09600	-0.00107	0.00009	0.00048	0.00149	-3.96880	-89.55000	0.04608	0.15504	0.09022	0.00833	-0.02354	0.00648
0.09800	-0.00107	0.00009	0.00048	0.00149	0.00000	0.00000	0.04608	0.15504	0.09022	0.00833	-0.02354	0.00648
0.10000	-0.00107	0.00009	0.00048	0.00149	-3.96880	-89.64000	0.04608	0.15504	0.09022	0.00833	-0.02354	0.00648
0.10200	-0.00099	-0.00007	0.00062	0.00197	-4.05900	-89.64000	0.05266	0.12973	0.08127	0.01131	-0.02724	-0.00010
0.10400	-0.00099	-0.00007	0.00062	0.00197	0.00000	0.00000	0.05266	0.12973	0.08127	0.01131	-0.02724	-0.00010
0.10600	-0.00099	-0.00007	0.00062	0.00197	-3.96880	-89.73000	0.05266	0.12973	0.08127	0.01131	-0.02724	-0.00010
0.10800	-0.00099	-0.00007	0.00062	0.00197	-3.96880	-89.73000	0.05266	0.12973	0.08127	0.01131	-0.02724	-0.00010
0.11000	-0.00079	0.00018	0.00042	0.00134	0.00000	0.00000	0.06017	0.07665	0.09515	0.00761	-0.01840	-0.00237
0.11200	-0.00079	0.00018	0.00042	0.00134	0.00000	0.00000	0.06017	0.07665	0.09515	0.00761	-0.01840	-0.00237
0.11400	-0.00079	0.00018	0.00042	0.00134	-3.87860	-89.73000	0.06017	0.07665	0.09515	0.00761	-0.01840	-0.00237
0.11600	-0.00079	0.00018	0.00042	0.00134	-3.87860	-89.64000	0.06017	0.07665	0.09515	0.00761	-0.01840	-0.00237
0.11800	0.00015	-0.00037	0.00011	0.00151	-3.78840	-89.64000	0.05698	0.02140	0.12121	-0.00123	-0.02354	-0.00391
0.12000	0.00015	-0.00037	0.00011	0.00151	0.00000	0.00000	0.05698	0.02140	0.12121	-0.00123	-0.02354	-0.00391
0.12200	0.00015	-0.00037	0.00011	0.00151	-3.87860	-89.55000	0.05698	0.02140	0.12121	-0.00123	-0.02354	-0.00391
0.12400	0.00015	-0.00037	0.00011	0.00151	-3.87860	-89.55000	0.05698	0.02140	0.12121	-0.00123	-0.02354	-0.00391
0.12600	-0.00106	0.00001	0.00056	0.00284	-3.78840	-89.55000	0.02541	0.00082	0.13417	0.00237	-0.01799	-0.00607
0.12800	-0.00106	0.00001	0.00056	0.00284	0.00000	-89.64000	0.02541	0.00082	0.13417	0.00237	-0.01799	-0.00607
0.13000	-0.00106	0.00001	0.00056	0.00284	-3.78840	-89.64000	0.02541	0.00082	0.13417	0.00237	-0.01799	-0.00607
0.13200	-0.00106	0.00001	0.00056	0.00284	-3.87860	-89.55000	0.02541	0.00082	0.13417	0.00237	-0.01799	-0.00607
0.13400	-0.00118	-0.00035	0.00051	0.00127	0.00000	0.00000	0.02057	0.02685	0.17689	0.00257	-0.00637	-0.00504
0.13600	-0.00118	-0.00035	0.00051	0.00127	-3.78840	-89.64000	0.02057	0.02685	0.17689	0.00257	-0.00637	-0.00504
