/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_freedecay_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 05:54:50 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00200	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00400	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00600	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.64000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00800	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01000	-0.00123	0.17890	0.00069	0.00102	0.00000	0.00000	0.01533	0.03899	0.18953	-0.01028	-0.01203	-0.00617
0.01200	-0.00123	0.17890	0.00069	0.00102	-3.78840	-89.73000	0.01533	0.03899	0.18953	-0.01028	-0.01203	-0.00617
0.01400	-0.00123	0.17890	0.00069	0.00102	-3.78840	-89.82000	0.01533	0.03899	0.18953	-0.01028	-0.01203	-0.00617
0.01600	-0.00123	0.17890	0.00069	0.00102	-3.78840	-89.82000	0.01533	0.03899	0.18953	-0.01028	-0.01203	-0.00617
0.01800	0.00039	0.17961	0.00016	0.00131	0.00000	0.00000	-0.02695	0.03375	0.17241	-0.00380	-0.00874	-0.00525
0.02000	0.00039	0.17961	0.00016	0.00131	-3.87860	-89.73000	-0.02695	0.03375	0.17241	-0.00380	-0.00874	-0.00525
0.02200	0.00039	0.17961	0.00016	0.00131	-3.69820	-89.73000	-0.02695	0.03375	0.17241	-0.00380	-0.00874	-0.00525
0.02400	0.00039	0.17961	0.00016	0.00131	-3.69820	-89.64000	-0.02695	0.03375	0.17241	-0.00380	-0.00874	-0.00525
0.02600	-0.00146	0.17874	0.00052	0.00129	0.00000	0.00000	-0.06007	0.05947	0.15098	-0.00329	0.00257	-0.00525
0.02800	-0.00146	0.17874	0.00052	0.00129	-3.69820	-89.55000	-0.06007	0.05947	0.15098	-0.00329	0.00257	-0.00525
0.03000	-0.00146	0.17874	0.00052	0.00129	-3.69820	-89.64000	-0.06007	0.05947	0.15098	-0.00329	0.00257	-0.00525
0.03200	-0.00146	0.17874	0.00052	0.00129	-3.78840	-89.73000	-0.06007	0.05947	0.15098	-0.00329	0.00257	-0.00525
0.03400	-0.00094	0.03957	0.00039	0.00139	0.00000	0.00000	-0.05986	0.05751	0.14990	-0.00339	0.00370	-0.00010
0.03600	-0.00094	0.03957	0.00039	0.00139	-3.87860	-89.73000	-0.05986	0.05751	0.14990	-0.00339	0.00370	-0.00010
0.03800	-0.00094	0.03957	0.00039	0.00139	-3.87860	-89.73000	-0.05986	0.05751	0.14990	-0.00339	0.00370	-0.00010
0.04000	-0.00094	0.03957	0.00039	0.00139	0.00000	0.00000	-0.05986	0.05751	0.14990	-0.00339	0.00370	-0.00010
0.04200	-0.00096	-0.00096	0.00061	0.00158	-3.87860	-89.82000	-0.06120	0.05648	0.13772	-0.00062	0.00463	0.00309
0.04400	-0.00096	-0.00096	0.00061	0.00158	-4.05900	-89.64000	-0.06120	0.05648	0.13772	-0.00062	0.00463	0.00309
0.04600	-0.00096	-0.00096	0.00061	0.00158	-4.05900	-89.64000	-0.06120	0.05648	0.13772	-0.00062	0.00463	0.00309
0.04800	-0.00096	-0.00096	0.00061	0.00158	0.00000	0.00000	-0.06120	0.05648	0.13772	-0.00062	0.00463	0.00309
0.05000	0.00017	0.00012	0.00053	0.00236	-4.05900	-89.82000	-0.03487	0.04774	0.14820	-0.00668	-0.00288	0.00730
0.05200	0.00017	0.00012	0.00053	0.00236	-4.05900	-89.82000	-0.03487	0.04774	0.14820	-0.00668	-0.00288	0.00730
0.05400	0.00017	0.00012	0.00053	0.00236	0.00000	0.00000	-0.03487	0.04774	0.14820	-0.00668	-0.00288	0.00730
0.05600	0.00017	0.00012	0.00053	0.00236	0.00000	0.00000	-0.03487	0.04774	0.14820	-0.00668	-0.00288	0.00730
0.05800	-0.00096	-0.00024	0.00041	0.00185	-3.96880	-89.64000	-0.00802	0.04043	0.17565	-0.00617	-0.00946	0.00597
0.06000	-0.00040	0.00100	0.00073	0.00177	-3.96880	-89.64000	-0.00802	0.04043	0.17565	-0.00617	-0.00946	0.00597
0.06200	-0.00040	0.00100	0.00073	0.00177	-3.96880	-89.64000	-0.00802	0.04043	0.17565	-0.00617	-0.00946	0.00597
0.06400	-0.00040	0.00100	0.00073	0.00177	-3.96880	-89.64000	-0.00802	0.04043	0.17565	-0.00617	-0.00946	0.00597
0.06600	-0.00040	0.00100	0.00073	0.00177	-3.96880	-89.73000	-0.00802	0.04043	0.17565	-0.00617	-0.00946	0.00597
0.06800	-0.00110	-0.00037	0.00049	0.00118	-4.05900	-89.82000	0.04690	0.05926	0.21097	-0.00679	-0.01933	0.00278
0.07000	-0.00110	-0.00037	0.00049	0.00118	0.00000	-89.73000	0.04690	0.05926	0.21097	-0.00679	-0.01933	0.00278
0.07200	-0.00110	-0.00037	0.00049	0.00118	-4.05900	-89.82000	0.04690	0.05926	0.21097	-0.00679	-0.01933	0.00278
0.07400	-0.00110	-0.00037	0.00049	0.00118	-4.05900	-89.82000	0.04690	0.05926	0.21097	-0.00679	-0.01933	0.00278
0.07600	-0.00113	0.00069	0.00045	0.00111	-4.14920	-89.73000	0.03857	0.05545	0.20449	-0.00237	-0.02827	0.00062
0.07800	-0.00113	0.00069	0.00045	0.00111	0.00000	0.00000	0.03857	0.05545	0.20449	-0.00237	-0.02827	0.00062
0.08000	-0.00113	0.00069	0.00045	0.00111	-3.87860	-89.82000	0.03857	0.05545	0.20449	-0.00237	-0.02827	0.00062
0.08200	-0.00113	0.00069	0.00045	0.00111	-3.87860	-89.82000	0.03857	0.05545	0.20449	-0.00237	-0.02827	0.00062
0.08400	-0.00032	-0.00111	0.00067	0.00091	0.00000	0.00000	0.01697	0.06080	0.20773	-0.00165	-0.02066	0.00339
0.08600	-0.00032	-0.00111	0.00067	0.00091	-3.87860	-89.82000	0.01697	0.06080	0.20773	-0.00165	-0.02066	0.00339
0.08800	-0.00032	-0.00111	0.00067	0.00091	-3.87860	-89.73000	0.01697	0.06080	0.20773	-0.00165	-0.02066	0.00339
0.09000	-0.00032	-0.00111	0.00067	0.00091	0.00000	0.00000	0.01697	0.06080	0.20773	-0.00165	-0.02066	0.00339
0.09200	-0.00117	0.00035	0.00049	0.00083	0.00000	0.00000	-0.03353	0.06584	0.17457	-0.00278	0.00154	-0.00319
0.09400	-0.00117	0.00035	0.00049	0.00083	-3.87860	-89.82000	-0.03353	0.06584	0.17457	-0.00278	0.00154	-0.00319
0.09600	-0.00117	0.00035	0.00049	0.00083	-3.96880	-89.82000	-0.03353	0.06584	0.17457	-0.00278	0.00154	-0.00319
0.09800	-0.00117	0.00035	0.00049	0.00083	-3.87860	-89.82000	-0.03353	0.06584	0.17457	-0.00278	0.00154	-0.00319
0.10000	-0.00145	-0.00065	0.00047	0.00307	0.00000	0.00000	-0.08414	0.10360	0.14651	0.00165	0.01069	0.00175
0.10200	-0.00145	-0.00065	0.00047	0.00307	-4.05900	-89.73000	-0.08414	0.10360	0.14651	0.00165	0.01069	0.00175
0.10400	-0.00145	-0.00065	0.00047	0.00307	-4.05900	-89.73000	-0.08414	0.10360	0.14651	0.00165	0.01069	0.00175
0.10600	-0.00145	-0.00065	0.00047	0.00307	0.00000	0.00000	-0.08414	0.10360	0.14651	0.00165	0.01069	0.00175
0.10800	-0.00108	0.00021	0.00080	0.00181	-3.96880	-89.55000	-0.07241	0.17284	0.15375	0.01213	0.01398	0.00123
0.11000	-0.00108	0.00021	0.00080	0.00181	-3.96880	-89.64000	-0.07241	0.17284	0.15375	0.01213	0.01398	0.00123
0.11200	-0.00108	0.00021	0.00080	0.00181	-3.87860	-89.73000	-0.07241	0.17284	0.15375	0.01213	0.01398	0.00123
0.11400	-0.00108	0.00021	0.00080	0.00181	0.00000	0.00000	-0.07241	0.17284	0.15375	0.01213	0.01398	0.00123
0.11600	-0.00010	-0.00106	0.00043	0.00101	-3.87860	-89.91000	-0.00761	0.19445	0.16023	0.01357	-0.00576	0.00957
0.11800	-0.00010	-0.00106	0.00043	0.00101	-3.87860	-89.73000	-0.00761	0.19445	0.16023	0.01357	-0.00576	0.00957
0.12000	-0.00010	-0.00106	0.00043	0.00101	-3.87860	-89.82000	-0.00761	0.19445	0.16023	0.01357	-0.00576	0.00957
