/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_inertia
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Dry swing test to determine moment of inertia of VGOSWEC. Naming convention: PHI (signed initial pos in deg) VGM (variable geometry module angle in deg).
* Date and Time:	Thu 03 Jun 2021 05:27:41 PM EDT
***********************************************************/

"Time(s)"	"Roll(deg)"	"Pitch(deg)"	
0.00000	0.00000	0.00000
0.00200	-2.07460	90.09000
0.00400	0.00000	0.00000
0.00600	-2.07460	90.09000
0.00800	-1.98440	90.09000
0.01000	-1.80400	90.00000
0.01200	-1.80400	90.00000
0.01400	-1.80400	90.09000
0.01600	0.00000	0.00000
0.01800	-1.62360	90.09000
0.02000	-1.62360	90.00000
0.02200	-1.53340	89.91000
0.02400	-1.44320	89.91000
0.02600	-1.35300	89.91000
0.02800	-1.17260	90.00000
0.03000	-1.17260	90.00000
0.03200	-1.08240	89.91000
0.03400	0.00000	0.00000
0.03600	-1.08240	89.82000
0.03800	-0.99220	89.82000
0.04000	-0.90200	89.82000
0.04200	0.00000	0.00000
0.04400	0.00000	0.00000
0.04600	-0.90200	89.73000
0.04800	-0.81180	89.64000
0.05000	-0.81180	89.55000
0.05200	-0.81180	89.55000
0.05400	-0.72160	89.64000
0.05600	-0.72160	89.55000
0.05800	-0.63140	89.64000
0.06000	-0.54120	89.64000
0.06200	-0.81180	89.46000
0.06400	-0.81180	89.55000
0.06600	-0.72160	89.46000
0.06800	-0.72160	89.46000
0.07000	0.00000	0.00000
0.07200	-0.72160	89.64000
0.07400	-0.72160	89.64000
0.07600	0.00000	0.00000
0.07800	-0.72160	89.64000
0.08000	-0.81180	89.55000
0.08200	-0.72160	89.55000
0.08400	0.00000	0.00000
0.08600	-0.63140	89.55000
0.08800	-0.72160	89.46000
0.09000	-0.72160	89.64000
0.09200	-0.72160	89.73000
0.09400	-0.63140	89.73000
0.09600	-0.45100	89.73000
0.09800	-0.36080	89.73000
0.10000	-0.36080	89.73000
0.10200	-0.27060	89.73000
0.10400	-0.18040	89.64000
0.10600	-0.18040	89.64000
0.10800	-0.27060	89.73000
0.11000	-0.09020	89.73000
0.11200	0.00000	89.64000
0.11400	0.00000	89.64000
0.11600	0.09020	89.64000
0.11800	0.09020	89.73000
0.12000	0.18040	89.64000
0.12200	0.18040	89.73000
0.12400	0.09020	89.73000
0.12600	0.18040	89.73000
0.12800	0.27060	89.82000
0.13000	0.27060	89.91000
0.13200	0.27060	90.00000
0.13400	0.36080	90.09000
0.13600	0.36080	90.09000
0.13800	0.27060	90.09000
0.14000	0.00000	0.00000
0.14200	0.36080	90.18000
0.14400	0.27060	90.18000
0.14600	0.00000	0.00000
0.14800	0.27060	90.27000
0.15000	0.18040	90.36000
0.15200	0.27060	90.45000
0.15400	0.36080	90.36000
0.15600	0.36080	90.45000
0.15800	0.36080	90.27000
0.16000	0.00000	0.00000
0.16200	0.54120	90.27000
0.16400	0.00000	0.00000
0.16600	0.54120	90.36000
0.16800	0.45100	90.36000
0.17000	0.54120	90.45000
0.17200	0.54120	90.54000
0.17400	0.00000	0.00000
0.17600	0.54120	90.54000
0.17800	0.54120	90.45000
0.18000	0.54120	90.45000
0.18200	0.45100	90.45000
0.18400	0.36080	90.36000
0.18600	0.27060	90.45000
0.18800	0.45100	90.45000
0.19000	0.00000	0.00000
0.19200	0.45100	90.45000
0.19400	0.00000	0.00000
0.19600	0.45100	90.45000
0.19800	0.45100	90.45000
0.20000	0.36080	90.27000
0.20200	0.00000	0.00000
0.20400	0.27060	90.36000
0.20600	0.27060	90.36000
0.20800	0.45100	90.36000
0.21000	0.45100	90.27000
0.21200	0.45100	90.18000
0.21400	0.36080	90.09000
0.21600	0.00000	0.00000
0.21800	0.36080	90.00000
0.22000	0.54120	90.00000
0.22200	0.54120	90.00000
0.22400	0.45100	90.00000
0.22600	0.54120	90.00000
0.22800	0.63140	89.82000
0.23000	0.00000	0.00000
0.23200	0.45100	89.82000
0.23400	0.00000	0.00000
0.23600	0.45100	89.91000
0.23800	0.45100	89.91000
0.24000	0.54120	89.91000
0.24200	0.36080	89.73000
0.24400	0.00000	0.00000
0.24600	0.45100	89.73000
0.24800	0.36080	89.64000
0.25000	0.36080	89.73000
0.25200	0.27060	89.73000
0.25400	0.36080	89.64000
0.25600	0.27060	89.64000
0.25800	0.00000	0.00000
0.26000	0.18040	89.64000
0.26200	0.18040	89.55000
0.26400	0.27060	89.64000
0.26600	0.18040	89.55000
0.26800	0.18040	89.55000
0.27000	0.09020	89.55000
0.27200	0.00000	0.00000
0.27400	0.00000	89.55000
0.27600	0.00000	89.46000
0.27800	0.00000	89.37000
0.28000	0.00000	89.46000
0.28200	-0.09020	89.55000
0.28400	-0.18040	89.64000
0.28600	0.00000	0.00000
0.28800	-0.09020	89.64000
0.29000	-0.18040	89.64000
0.29200	-0.18040	89.64000
0.29400	-0.27060	89.73000
0.29600	-0.27060	89.73000
0.29800	-0.45100	89.91000
0.30000	0.00000	0.00000
0.30200	-0.45100	89.82000
0.30400	-0.54120	89.82000
0.30600	-0.45100	89.91000
0.30800	-0.45100	89.91000
0.31000	-0.45100	89.91000
0.31200	-0.63140	90.00000
0.31400	-0.63140	89.91000
