/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_inertia_springs

* Project Lead:	JD
* Labview Operator:	PH
* Comments:	Dry swing test to determine moment of inertia of VGOSWEC with springs. Naming convention: PHI (signed initial pos in deg) VGM (variable geometry module angle in deg).
* Date and Time:	Tue 06 Jul 2021 11:31:51 AM EDT
***********************************************************/

"Time(s)"	"Roll(deg)"	"Pitch(deg)"	
0.00000	0.00000	0.00000
0.00200	1.26280	89.64000
0.00400	1.17260	89.73000
0.00600	0.00000	0.00000
0.00800	1.26280	89.64000
0.01000	1.17260	89.55000
0.01200	0.99220	89.46000
0.01400	0.00000	0.00000
0.01600	0.99220	89.46000
0.01800	0.99220	89.55000
0.02000	1.17260	89.46000
0.02200	1.17260	89.46000
0.02400	1.17260	89.46000
0.02600	1.08240	89.64000
0.02800	0.00000	0.00000
0.03000	1.08240	89.64000
0.03200	1.08240	89.55000
0.03400	0.99220	89.55000
0.03600	0.00000	0.00000
0.03800	1.08240	89.73000
0.04000	1.08240	89.82000
0.04200	0.99220	89.73000
0.04400	1.08240	89.82000
0.04600	1.17260	89.82000
0.04800	1.08240	89.73000
0.05000	0.00000	0.00000
0.05200	1.08240	89.73000
0.05400	1.17260	89.82000
0.05600	1.17260	89.82000
0.05800	0.00000	0.00000
0.06000	1.35300	89.91000
0.06200	1.35300	89.82000
0.06400	1.26280	89.82000
0.06600	1.35300	89.82000
0.06800	1.35300	89.82000
0.07000	1.26280	89.91000
0.07200	0.00000	0.00000
0.07400	1.44320	89.82000
0.07600	1.35300	89.82000
0.07800	1.26280	89.82000
0.08000	0.00000	0.00000
0.08200	1.26280	89.73000
0.08400	1.26280	89.73000
0.08600	1.26280	89.73000
0.08800	1.26280	89.73000
0.09000	1.17260	89.73000
0.09200	1.17260	89.82000
0.09400	0.00000	0.00000
0.09600	1.44320	89.82000
0.09800	1.44320	89.91000
0.10000	1.26280	89.82000
0.10200	0.00000	0.00000
0.10400	1.26280	89.73000
0.10600	1.26280	89.73000
0.10800	1.08240	89.73000
0.11000	1.17260	89.73000
0.11200	1.17260	89.73000
0.11400	1.26280	89.73000
0.11600	0.00000	0.00000
0.11800	1.17260	89.64000
0.12000	1.17260	89.64000
0.12200	1.17260	89.64000
0.12400	0.00000	0.00000
0.12600	1.08240	89.46000
0.12800	1.08240	89.46000
0.13000	1.17260	89.55000
0.13200	1.17260	89.64000
0.13400	1.17260	89.64000
0.13600	1.26280	89.64000
0.13800	0.00000	0.00000
0.14000	1.26280	89.64000
0.14200	1.35300	89.64000
0.14400	1.35300	89.64000
0.14600	0.00000	0.00000
0.14800	1.35300	89.55000
0.15000	1.35300	89.64000
0.15200	1.26280	89.82000
0.15400	1.26280	89.82000
0.15600	1.26280	89.91000
0.15800	1.26280	89.73000
0.16000	0.00000	0.00000
0.16200	1.35300	89.82000
0.16400	1.26280	89.91000
0.16600	1.35300	90.00000
0.16800	0.00000	0.00000
0.17000	1.44320	89.91000
0.17200	1.44320	89.91000
0.17400	1.44320	89.91000
0.17600	1.35300	89.82000
0.17800	1.35300	89.91000
0.18000	1.35300	89.91000
0.18200	0.00000	0.00000
0.18400	1.44320	89.82000
0.18600	1.44320	89.91000
0.18800	1.44320	89.91000
0.19000	0.00000	0.00000
0.19200	1.44320	90.00000
0.19400	1.35300	90.00000
0.19600	1.44320	90.09000
0.19800	1.44320	90.09000
0.20000	1.44320	90.00000
0.20200	1.35300	90.00000
0.20400	0.00000	0.00000
0.20600	1.35300	90.00000
0.20800	1.35300	90.00000
0.21000	1.44320	89.91000
0.21200	0.00000	0.00000
0.21400	1.44320	90.00000
0.21600	1.44320	90.09000
0.21800	1.35300	90.00000
0.22000	1.26280	89.91000
0.22200	1.26280	89.82000
0.22400	1.26280	89.91000
0.22600	0.00000	0.00000
0.22800	1.26280	89.82000
0.23000	1.35300	89.73000
0.23200	1.35300	89.82000
0.23400	0.00000	0.00000
0.23600	1.26280	89.91000
0.23800	1.26280	89.82000
0.24000	1.26280	89.73000
0.24200	1.26280	89.82000
0.24400	1.35300	89.82000
0.24600	1.35300	89.82000
