/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_inertia_springs
* Project Lead:	JD
* Labview Operator:	PH
* Comments:	Dry swing test to determine moment of inertia of VGOSWEC with springs. Naming convention: PHI (signed initial pos in deg) VGM (variable geometry module angle in deg).
* Date and Time:	Tue 06 Jul 2021 11:32:10 AM EDT
***********************************************************/

"Time(s)"	"Roll(deg)"	"Pitch(deg)"	
0.00000	0.00000	0.00000
0.00200	-0.45100	89.82000
0.00400	-0.36080	89.82000
0.00600	-0.27060	89.82000
0.00800	-0.27060	89.82000
0.01000	-0.27060	89.91000
0.01200	-0.36080	89.82000
0.01400	-0.27060	89.73000
0.01600	-0.09020	89.73000
0.01800	0.00000	89.82000
0.02000	0.00000	89.91000
0.02200	0.00000	90.00000
0.02400	0.00000	90.00000
0.02600	0.00000	90.00000
0.02800	0.00000	90.00000
0.03000	0.09020	90.00000
0.03200	0.27060	89.91000
0.03400	0.36080	89.91000
0.03600	0.54120	89.91000
0.03800	0.63140	89.91000
0.04000	0.63140	90.00000
0.04200	0.63140	90.00000
0.04400	0.81180	89.91000
0.04600	0.81180	89.91000
0.04800	0.99220	89.82000
0.05000	1.08240	89.91000
0.05200	1.17260	89.91000
0.05400	1.26280	89.82000
0.05600	1.26280	89.91000
0.05800	1.17260	89.91000
0.06000	1.17260	89.82000
0.06200	1.17260	89.73000
0.06400	1.17260	89.82000
0.06600	1.17260	89.82000
0.06800	1.17260	89.82000
0.07000	1.08240	89.82000
0.07200	0.90200	89.91000
0.07400	0.72160	89.82000
0.07600	0.72160	89.73000
0.07800	0.54120	89.73000
0.08000	0.36080	89.64000
0.08200	0.18040	89.64000
0.08400	0.09020	89.55000
0.08600	0.00000	89.55000
0.08800	-0.09020	89.55000
0.09000	-0.09020	89.64000
0.09200	-0.18040	89.73000
0.09400	-0.27060	89.73000
0.09600	-0.36080	89.64000
0.09800	-0.27060	89.64000
0.10000	-0.36080	89.73000
0.10200	-0.54120	89.64000
0.10400	-0.45100	89.73000
0.10600	-0.45100	89.73000
0.10800	-0.54120	89.73000
0.11000	-0.63140	89.73000
0.11200	-0.72160	89.82000
0.11400	-0.81180	89.73000
0.11600	-0.90200	89.73000
0.11800	-0.90200	89.64000
0.12000	-0.90200	89.73000
0.12200	-0.81180	89.82000
0.12400	-0.72160	89.91000
0.12600	-0.90200	89.91000
0.12800	-0.90200	89.91000
0.13000	-0.90200	89.91000
0.13200	-0.99220	89.82000
0.13400	-0.99220	89.82000
0.13600	-0.99220	89.73000
0.13800	-0.99220	89.73000
0.14000	-0.99220	89.73000
0.14200	-0.99220	89.73000
0.14400	-0.99220	89.82000
0.14600	-0.99220	89.82000
0.14800	-1.08240	89.82000
0.15000	-1.17260	89.82000
0.15200	-1.08240	89.73000
0.15400	-0.99220	89.82000
0.15600	-0.99220	89.91000
0.15800	-1.08240	89.91000
0.16000	-0.90200	89.91000
0.16200	-0.90200	90.00000
0.16400	-0.81180	90.00000
0.16600	-0.90200	90.09000
0.16800	-0.72160	89.91000
0.17000	-0.63140	89.82000
0.17200	-0.54120	89.82000
0.17400	-0.54120	89.64000
0.17600	-0.63140	89.64000
0.17800	-0.63140	89.64000
0.18000	-0.54120	89.55000
0.18200	-0.54120	89.64000
0.18400	-0.36080	89.82000
0.18600	-0.36080	89.73000
0.18800	-0.27060	89.73000
0.19000	-0.27060	89.73000
0.19200	-0.18040	89.73000
0.19400	-0.18040	89.73000
0.19600	-0.18040	89.73000
0.19800	-0.18040	89.64000
0.20000	-0.18040	89.64000
0.20200	-0.18040	89.64000
0.20400	-0.18040	89.73000
0.20600	-0.09020	89.73000
0.20800	0.00000	89.64000
