/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_inertia_springs
* Project Lead:	JD
* Labview Operator:	PH
* Comments:	Dry swing test to determine moment of inertia of VGOSWEC with springs. Naming convention: PHI (signed initial pos in deg) VGM (variable geometry module angle in deg).
* Date and Time:	Tue 06 Jul 2021 11:45:10 AM EDT
***********************************************************/

"Time(s)"	"Roll(deg)"	"Pitch(deg)"	
0.00000	6.76500	89.55000
0.00200	6.76500	89.55000
0.00400	6.85520	89.55000
0.00600	6.85520	89.55000
0.00800	0.00000	0.00000
0.01000	6.85520	89.55000
0.01200	6.85520	89.46000
0.01400	6.85520	89.46000
0.01600	0.00000	0.00000
0.01800	6.85520	89.46000
0.02000	6.85520	89.46000
0.02200	6.85520	89.55000
0.02400	0.00000	0.00000
0.02600	6.85520	89.55000
0.02800	7.03560	89.46000
0.03000	0.00000	0.00000
0.03200	7.03560	89.46000
0.03400	7.12580	89.46000
0.03600	7.12580	89.55000
0.03800	0.00000	0.00000
0.04000	7.03560	89.55000
0.04200	7.12580	89.28000
0.04400	7.03560	89.37000
0.04600	0.00000	0.00000
0.04800	7.21600	89.46000
0.05000	7.21600	89.46000
0.05200	7.21600	89.46000
0.05400	0.00000	0.00000
0.05600	7.03560	89.55000
0.05800	6.94540	89.46000
0.06000	0.00000	0.00000
0.06200	6.94540	89.55000
0.06400	6.94540	89.55000
0.06600	6.76500	0.00000
0.06800	0.00000	0.00000
0.07000	6.58460	89.55000
0.07200	6.67480	89.64000
0.07400	6.58460	89.46000
0.07600	0.00000	0.00000
0.07800	6.58460	89.46000
0.08000	6.58460	89.37000
0.08200	6.67480	89.37000
0.08400	0.00000	0.00000
0.08600	6.67480	89.37000
0.08800	6.67480	89.55000
0.09000	0.00000	0.00000
0.09200	6.67480	89.55000
0.09400	6.76500	89.46000
0.09600	6.76500	89.55000
0.09800	0.00000	0.00000
0.10000	6.67480	89.55000
0.10200	6.67480	89.55000
0.10400	6.85520	89.55000
0.10600	0.00000	0.00000
0.10800	6.85520	89.55000
0.11000	6.85520	89.46000
0.11200	6.85520	89.46000
0.11400	0.00000	0.00000
0.11600	6.85520	89.55000
0.11800	6.85520	89.55000
0.12000	6.85520	89.64000
0.12200	0.00000	0.00000
0.12400	6.85520	89.55000
0.12600	6.85520	89.55000
0.12800	0.00000	0.00000
