/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 2 V/N; Kistler moment cal factor: 2 V/Nm. Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 12:44:57 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.73000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.91000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.91000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00800	0.00000	0.00028	0.00105	0.00039	0.00070	-2.97660	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.01000	-0.00010	0.00028	0.00105	0.00039	0.00070	-2.79620	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.01200	-0.00010	0.00028	0.00105	0.00039	0.00070	-2.79620	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.01400	-0.00010	0.00039	0.00059	0.00042	0.00111	-2.88640	-89.82000	0.28229	0.06379	-0.13572	0.01434	-0.09058	-0.00118
0.01600	-0.00010	0.00039	0.00059	0.00042	0.00111	-2.88640	-89.82000	0.28229	0.06379	-0.13572	0.01434	-0.09058	-0.00118
0.01800	-0.00010	0.00039	0.00059	0.00042	0.00111	-3.06680	-89.64000	0.28229	0.06379	-0.13572	0.01434	-0.09058	-0.00118
0.02000	-0.00010	0.00039	0.00059	0.00042	0.00111	-3.15700	-89.64000	0.28229	0.06379	-0.13572	0.01434	-0.09058	-0.00118
0.02200	-0.00010	0.00178	0.00191	0.00036	-0.00047	-3.42760	-89.73000	0.02798	-0.04486	-0.01337	0.00627	0.03336	0.00195
0.02400	-0.00010	0.00178	0.00191	0.00036	-0.00047	-3.60800	-89.73000	0.02798	-0.04486	-0.01337	0.00627	0.03336	0.00195
