/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 5 V/N (X), 2 V/N (Y,Z); Kistler moment cal factor: 5 V/Nm (Y), 2 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 01:42:16 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00003	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00200	-0.00003	-2.04004	-1.96297	-0.47417	-0.44938	-3.42760	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01000	0.00000	0.00135	0.00156	0.00207	0.00170	-3.60800	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01200	0.00235	0.00135	0.00156	0.00207	0.00170	-3.60800	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01400	0.00235	0.00135	0.00156	0.00207	0.00170	-3.51780	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01600	0.00235	0.00089	0.00195	0.00045	0.00166	-3.33740	-89.73000	-0.00346	0.09064	0.07300	0.01008	0.00261	-0.00535
0.01800	0.00235	0.00089	0.00195	0.00045	0.00166	-3.24720	-89.73000	-0.00346	0.09064	0.07300	0.01008	0.00261	-0.00535
0.02000	0.00235	0.00089	0.00195	0.00045	0.00166	-3.15700	-89.55000	-0.00346	0.09064	0.07300	0.01008	0.00261	-0.00535
0.02200	0.00240	0.00089	0.00195	0.00045	0.00166	-3.15700	-89.64000	-0.00346	0.09064	0.07300	0.01008	0.00261	-0.00535
0.02400	0.00240	0.00280	0.00177	0.00079	0.00112	-3.24720	-89.73000	0.04511	0.07953	-0.02879	0.03157	0.00210	-0.00458
0.02600	0.00240	0.00280	0.00177	0.00079	0.00112	-3.33740	-89.91000	0.04511	0.07953	-0.02879	0.03157	0.00210	-0.00458
0.02800	0.00240	0.00280	0.00177	0.00079	0.00112	-3.33740	-89.91000	0.04511	0.07953	-0.02879	0.03157	0.00210	-0.00458
0.03000	0.00240	0.00280	0.00177	0.00079	0.00112	-3.51780	-90.00000	0.04511	0.07953	-0.02879	0.03157	0.00210	-0.00458
0.03200	0.00249	0.00256	0.00096	0.00168	-0.00451	-3.60800	-90.00000	0.08589	0.01960	-0.00303	0.00571	-0.01073	0.00334
0.03400	0.00249	0.00256	0.00096	0.00168	-0.00451	-3.51780	-90.00000	0.08589	0.01960	-0.00303	0.00571	-0.01073	0.00334
0.03600	0.00249	0.00256	0.00096	0.00168	-0.00451	-3.33740	-90.00000	0.08589	0.01960	-0.00303	0.00571	-0.01073	0.00334
0.03800	0.00249	0.00256	0.00096	0.00168	-0.00451	-3.15700	-90.00000	0.08589	0.01960	-0.00303	0.00571	-0.01073	0.00334
0.04000	0.00249	0.00099	0.00258	0.00018	-0.00318	-3.06680	-89.82000	0.05565	-0.09450	-0.11212	-0.02144	-0.04203	0.00000
0.04200	0.00257	0.00099	0.00258	0.00018	-0.00318	-3.15700	-89.82000	0.05565	-0.09450	-0.11212	-0.02144	-0.04203	0.00000
0.04400	0.00257	0.00099	0.00258	0.00018	-0.00318	-2.97660	-89.73000	0.05565	-0.09450	-0.11212	-0.02144	-0.04203	0.00000
0.04600	0.00257	0.00099	0.00258	0.00018	-0.00318	-3.15700	-89.73000	0.05565	-0.09450	-0.11212	-0.02144	-0.04203	0.00000
0.04800	0.00257	0.00137	0.00213	0.00128	-0.00075	-3.15700	-89.73000	0.04731	-0.03405	0.01830	0.00679	-0.02079	-0.00139
0.05000	0.00257	0.00137	0.00213	0.00128	-0.00075	-3.24720	-89.82000	0.04731	-0.03405	0.01830	0.00679	-0.02079	-0.00139
0.05200	0.00264	0.00137	0.00213	0.00128	-0.00075	-3.33740	-89.82000	0.04731	-0.03405	0.01830	0.00679	-0.02079	-0.00139
0.05400	0.00264	0.00137	0.00213	0.00128	-0.00075	-3.42760	-89.91000	0.04731	-0.03405	0.01830	0.00679	-0.02079	-0.00139
0.05600	0.00264	0.00195	0.00222	0.00096	0.00333	-3.42760	-89.91000	0.01496	0.11965	0.00699	0.03234	0.02034	0.00303
0.05800	0.00264	0.00195	0.00222	0.00096	0.00333	-3.42760	-89.82000	0.01496	0.11965	0.00699	0.03234	0.02034	0.00303
0.06000	0.00264	0.00195	0.00222	0.00096	0.00333	-3.33740	-89.82000	0.01496	0.11965	0.00699	0.03234	0.02034	0.00303
0.06200	0.00271	0.00195	0.00222	0.00096	0.00333	-3.33740	-89.82000	0.01496	0.11965	0.00699	0.03234	0.02034	0.00303
0.06400	0.00271	0.00062	0.00269	-0.00055	0.00313	-3.33740	-89.64000	0.01428	0.00309	-0.16209	0.00530	0.01735	-0.00252
0.06600	0.00271	0.00062	0.00269	-0.00055	0.00313	-3.42760	-89.55000	0.01428	0.00309	-0.16209	0.00530	0.01735	-0.00252
0.06800	0.00271	0.00062	0.00269	-0.00055	0.00313	-3.42760	-89.46000	0.01428	0.00309	-0.16209	0.00530	0.01735	-0.00252
0.07000	0.00271	0.00062	0.00269	-0.00055	0.00313	-3.42760	-89.37000	0.01428	0.00309	-0.16209	0.00530	0.01735	-0.00252
0.07200	0.00278	0.00155	0.00288	-0.00042	0.00050	-3.33740	-89.55000	0.00891	-0.07068	0.17546	-0.01193	0.01485	-0.00458
0.07400	0.00278	0.00155	0.00288	-0.00042	0.00050	-3.42760	-89.64000	0.00891	-0.07068	0.17546	-0.01193	0.01485	-0.00458
0.07600	0.00278	0.00155	0.00288	-0.00042	0.00050	-3.42760	-89.82000	0.00891	-0.07068	0.17546	-0.01193	0.01485	-0.00458
0.07800	0.00278	0.00155	0.00288	-0.00042	0.00050	-3.42760	-89.91000	0.00891	-0.07068	0.17546	-0.01193	0.01485	-0.00458
