/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 5 V/N (X), 2 V/N (Y,Z); Kistler moment cal factor: 5 V/Nm (Y), 2 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).

* Date and Time:	Wed 16 Jun 2021 01:47:48 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00003	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.55000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.37000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00800	0.00000	0.00078	0.00191	-0.00148	-0.00034	-3.24720	-89.37000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01000	0.00214	0.00078	0.00191	-0.00148	-0.00034	-3.42760	-89.55000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01200	0.00214	0.00078	0.00191	-0.00148	-0.00034	-3.51780	-89.46000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01400	0.00214	0.00078	0.00191	-0.00148	-0.00034	-3.51780	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01600	0.00214	0.00137	0.00148	-0.00046	-0.00140	-3.51780	-89.91000	0.02592	-0.09486	0.09845	-0.00632	-0.02210	0.00139
0.01800	0.00220	0.00137	0.00148	-0.00046	-0.00140	-3.51780	-89.91000	0.02592	-0.09486	0.09845	-0.00632	-0.02210	0.00139
0.02000	0.00220	0.00137	0.00148	-0.00046	-0.00140	-3.42760	-90.00000	0.02592	-0.09486	0.09845	-0.00632	-0.02210	0.00139
0.02200	0.00220	0.00137	0.00148	-0.00046	-0.00140	-3.24720	-90.00000	0.02592	-0.09486	0.09845	-0.00632	-0.02210	0.00139
0.02400	0.00220	0.00059	0.00268	-0.00020	-0.00394	-3.24720	-89.82000	0.07505	0.00643	-0.19011	0.01249	0.01419	-0.00797
0.02600	0.00220	0.00059	0.00268	-0.00020	-0.00394	-3.15700	-89.64000	0.07505	0.00643	-0.19011	0.01249	0.01419	-0.00797
0.02800	0.00220	0.00059	0.00268	-0.00020	-0.00394	-3.24720	-89.46000	0.07505	0.00643	-0.19011	0.01249	0.01419	-0.00797
0.03000	0.00227	0.00059	0.00268	-0.00020	-0.00394	-3.33740	-89.46000	0.07505	0.00643	-0.19011	0.01249	0.01419	-0.00797
0.03200	0.00227	0.00205	0.00213	-0.00057	0.00292	-3.42760	-89.46000	0.04962	-0.16363	0.17952	-0.01275	0.00654	-0.00545
0.03400	0.00227	0.00205	0.00213	-0.00057	0.00292	-3.51780	-89.55000	0.04962	-0.16363	0.17952	-0.01275	0.00654	-0.00545
0.03600	0.00227	0.00205	0.00213	-0.00057	0.00292	-3.60800	-89.73000	0.04962	-0.16363	0.17952	-0.01275	0.00654	-0.00545
0.03800	0.00235	0.00205	0.00213	-0.00057	0.00292	-3.60800	-89.91000	0.04962	-0.16363	0.17952	-0.01275	0.00654	-0.00545
0.04000	0.00235	0.00094	0.00277	-0.00023	0.00267	-3.60800	-90.00000	-0.11633	0.08169	0.19432	-0.00427	0.00664	-0.00154
0.04200	0.00235	0.00094	0.00277	-0.00023	0.00267	-3.51780	-89.91000	-0.11633	0.08169	0.19432	-0.00427	0.00664	-0.00154
