/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 2 V/N; Kistler moment cal factor: 2 V/Nm. Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).

* Date and Time:	Wed 16 Jun 2021 01:00:10 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.91000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00600	0.00036	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.91000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.00800	0.00036	-2.04004	-1.96297	-0.47417	-0.44938	-3.24720	-89.82000	0.02858	0.00864	-0.01397	0.00146	-0.01140	-0.00240
0.01000	0.00036	0.00117	0.00207	-0.00025	0.00077	-2.97660	-89.64000	0.06192	-0.07639	-0.20959	-0.02997	-0.03311	0.00473
0.01200	0.00036	0.00117	0.00207	-0.00025	0.00077	-2.97660	-89.64000	0.06192	-0.07639	-0.20959	-0.02997	-0.03311	0.00473
0.01400	0.00036	0.00117	0.00207	-0.00025	0.00077	-3.06680	-89.55000	0.06192	-0.07639	-0.20959	-0.02997	-0.03311	0.00473
0.01600	0.00036	0.00117	0.00207	-0.00025	0.00077	-3.15700	-89.55000	0.06192	-0.07639	-0.20959	-0.02997	-0.03311	0.00473
0.01800	0.00036	0.00079	0.00243	0.00100	-0.00091	-3.24720	-89.55000	-0.03543	-0.08421	0.09038	0.00046	-0.01712	-0.00951
0.02000	0.00036	0.00079	0.00243	0.00100	-0.00091	-3.24720	-89.64000	-0.03543	-0.08421	0.09038	0.00046	-0.01712	-0.00951
0.02200	0.00036	0.00079	0.00243	0.00100	-0.00091	-3.42760	-89.73000	-0.03543	-0.08421	0.09038	0.00046	-0.01712	-0.00951
0.02400	0.00036	0.00079	0.00243	0.00100	-0.00091	-3.51780	-89.82000	-0.03543	-0.08421	0.09038	0.00046	-0.01712	-0.00951
0.02600	0.00036	0.00221	0.00205	0.00100	-0.00504	-3.42760	-90.00000	0.04557	0.04439	0.09675	0.01995	0.00550	-0.00108
0.02800	0.00036	0.00221	0.00205	0.00100	-0.00504	-3.24720	-90.00000	0.04557	0.04439	0.09675	0.01995	0.00550	-0.00108
0.03000	0.00036	0.00221	0.00205	0.00100	-0.00504	-3.15700	-90.00000	0.04557	0.04439	0.09675	0.01995	0.00550	-0.00108
0.03200	0.00036	0.00221	0.00205	0.00100	-0.00504	-3.24720	-89.91000	0.04557	0.04439	0.09675	0.01995	0.00550	-0.00108
0.03400	0.00036	0.00188	0.00278	0.00118	-0.00007	-3.24720	-89.82000	0.04557	0.04439	0.09675	0.01995	0.00550	-0.00108
0.03600	0.00036	0.00188	0.00278	0.00118	-0.00007	-3.24720	-89.73000	0.05122	-0.01415	-0.10898	-0.00093	0.00632	-0.00154
0.03800	0.00036	0.00200	0.00237	0.00091	0.00166	-3.42760	-89.55000	0.05122	-0.01415	-0.10898	-0.00093	0.00632	-0.00154
0.04000	0.00036	0.00200	0.00237	0.00091	0.00166	-3.60800	-89.64000	0.05122	-0.01415	-0.10898	-0.00093	0.00632	-0.00154
0.04200	0.00036	0.00200	0.00237	0.00091	0.00166	-3.60800	-89.82000	0.05122	-0.01415	-0.10898	-0.00093	0.00632	-0.00154
0.04400	0.00036	0.00200	0.00237	0.00091	0.00166	-3.51780	-89.82000	0.05122	-0.01415	-0.10898	-0.00093	0.00632	-0.00154
0.04600	0.00036	0.00052	0.00358	0.00056	0.00214	-3.51780	-89.82000	-0.03965	0.04192	0.12297	0.00226	-0.00221	-0.00458
0.04800	0.00036	0.00052	0.00358	0.00056	0.00214	-3.42760	-89.91000	-0.03965	0.04192	0.12297	0.00226	-0.00221	-0.00458
0.05000	0.00036	0.00052	0.00358	0.00056	0.00214	-3.24720	-89.91000	-0.03965	0.04192	0.12297	0.00226	-0.00221	-0.00458
0.05200	0.00036	0.00052	0.00358	0.00056	0.00214	-3.24720	-89.91000	-0.03965	0.04192	0.12297	0.00226	-0.00221	-0.00458
0.05400	0.00036	0.00009	0.00101	0.00022	0.00170	-3.15700	-89.82000	-0.02031	0.10190	-0.10847	0.01604	-0.03002	-0.00365
0.05600	0.00036	0.00009	0.00101	0.00022	0.00170	-3.15700	-89.82000	-0.02031	0.10190	-0.10847	0.01604	-0.03002	-0.00365
0.05800	0.00036	0.00009	0.00101	0.00022	0.00170	-3.15700	-89.73000	-0.02031	0.10190	-0.10847	0.01604	-0.03002	-0.00365
0.06000	0.00036	0.00009	0.00101	0.00022	0.00170	-3.33740	-89.46000	-0.02031	0.10190	-0.10847	0.01604	-0.03002	-0.00365
0.06200	0.00036	0.00254	0.00247	0.00044	0.00053	-3.33740	-89.46000	0.15902	-0.09280	-0.09032	-0.00638	-0.02910	0.00339
0.06400	0.00036	0.00254	0.00247	0.00044	0.00053	-3.33740	-89.46000	0.15902	-0.09280	-0.09032	-0.00638	-0.02910	0.00339
