/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 5 V/N (X), 2 V/N (Y,Z); Kistler moment cal factor: 5 V/Nm (Y), 2 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).

* Date and Time:	Wed 16 Jun 2021 02:08:01 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.55000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.24720	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00800	0.00291	0.00291	0.00311	-0.00005	0.00220	-3.24720	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01000	0.00291	0.00291	0.00311	-0.00005	0.00220	-3.24720	-89.64000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01200	0.00291	0.00291	0.00311	-0.00005	0.00220	-3.42760	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01400	0.00291	0.00291	0.00311	-0.00005	0.00220	-3.51780	-89.82000	-0.07659	0.04486	0.08503	0.01177	0.02445	-0.00252
0.01600	0.00291	0.00113	0.00112	0.00086	-0.00045	-3.51780	-89.82000	-0.07659	0.04486	0.08503	0.01177	0.02445	-0.00252
0.01800	0.00298	0.00113	0.00112	0.00086	-0.00045	-3.42760	-89.82000	-0.05643	0.10468	-0.00812	0.01213	0.00979	-0.00247
0.02000	0.00298	0.00113	0.00112	0.00086	-0.00045	-3.42760	-89.82000	-0.05643	0.10468	-0.00812	0.01213	0.00979	-0.00247
0.02200	0.00298	0.00111	0.00129	0.00082	-0.00067	-3.51780	-89.82000	-0.05803	0.06698	-0.11335	0.01774	0.00962	-0.01080
0.02400	0.00298	0.00111	0.00129	0.00082	-0.00067	-3.42760	-89.82000	-0.05803	0.06698	-0.11335	0.01774	0.00962	-0.01080
0.02600	0.00298	0.00111	0.00129	0.00082	-0.00067	-3.42760	-89.73000	-0.05803	0.06698	-0.11335	0.01774	0.00962	-0.01080
0.02800	0.00313	0.00111	0.00129	0.00082	-0.00067	-3.51780	-89.64000	-0.05803	0.06698	-0.11335	0.01774	0.00962	-0.01080
0.03000	0.00313	0.00067	0.00072	0.00066	-0.00335	-3.51780	-89.55000	0.03209	-0.02392	-0.08858	0.00586	-0.01524	0.00262
0.03200	0.00313	0.00067	0.00072	0.00066	-0.00335	-3.42760	-89.64000	0.03209	-0.02392	-0.08858	0.00586	-0.01524	0.00262
0.03400	0.00313	0.00067	0.00072	0.00066	-0.00335	-3.42760	-89.73000	0.03209	-0.02392	-0.08858	0.00586	-0.01524	0.00262
0.03600	0.00313	0.00067	0.00072	0.00066	-0.00335	-3.42760	-89.82000	0.03209	-0.02392	-0.08858	0.00586	-0.01524	0.00262
0.03800	0.00330	0.00207	0.00208	-0.00049	0.00183	-3.42760	-89.82000	0.03209	-0.02392	-0.08858	0.00586	-0.01524	0.00262
0.04000	0.00330	0.00210	0.00406	0.00095	0.00362	-3.42760	-89.91000	-0.01226	-0.00494	0.01686	0.00468	-0.00407	-0.00216
0.04200	0.00330	0.00210	0.00406	0.00095	0.00362	-3.33740	-89.91000	-0.01226	-0.00494	0.01686	0.00468	-0.00407	-0.00216
0.04400	0.00330	0.00210	0.00406	0.00095	0.00362	-3.24720	-89.91000	-0.01226	-0.00494	0.01686	0.00468	-0.00407	-0.00216
0.04600	0.00330	0.00210	0.00406	0.00095	0.00362	-3.24720	-89.91000	-0.01226	-0.00494	0.01686	0.00468	-0.00407	-0.00216
0.04800	0.00348	0.00113	0.00149	0.00092	0.00367	-3.15700	-89.91000	0.01882	0.01332	-0.05742	0.00231	0.00531	0.00046
0.05000	0.00348	0.00113	0.00149	0.00092	0.00367	-3.15700	-89.82000	0.01882	0.01332	-0.05742	0.00231	0.00531	0.00046
0.05200	0.00348	0.00113	0.00149	0.00092	0.00367	-3.06680	-89.73000	0.01882	0.01332	-0.05742	0.00231	0.00531	0.00046
0.05400	0.00348	0.00113	0.00149	0.00092	0.00367	-3.24720	-89.64000	0.01882	0.01332	-0.05742	0.00231	0.00531	0.00046
0.05600	0.00348	-0.00024	0.00221	0.00016	0.00134	-3.33740	-89.73000	0.00924	-0.06703	0.02966	-0.00319	0.00376	-0.00077
0.05800	0.00362	-0.00024	0.00221	0.00016	0.00134	-3.42760	-89.82000	0.00924	-0.06703	0.02966	-0.00319	0.00376	-0.00077
0.06000	0.00362	-0.00024	0.00221	0.00016	0.00134	-3.60800	-89.91000	0.00924	-0.06703	0.02966	-0.00319	0.00376	-0.00077
0.06200	0.00362	-0.00024	0.00221	0.00016	0.00134	-3.60800	-89.91000	0.00924	-0.06703	0.02966	-0.00319	0.00376	-0.00077
0.06400	0.00362	0.00102	0.00134	0.00055	-0.00010	-3.51780	-89.91000	-0.03668	-0.00057	0.08955	0.00046	0.00074	-0.00221
0.06600	0.00362	0.00102	0.00134	0.00055	-0.00010	-3.51780	-89.91000	-0.03668	-0.00057	0.08955	0.00046	0.00074	-0.00221
