/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 5 V/N (X), 2 V/N (Y,Z); Kistler moment cal factor: 5 V/Nm (Y), 2 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 02:46:37 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-2.97660	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-2.97660	-89.55000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-2.88640	-89.46000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01000	0.00376	0.00074	0.00119	0.00174	0.00065	-3.06680	-89.64000	0.14655	0.01533	-0.09685	0.01234	-0.03997	-0.00406
0.01200	0.00376	0.00074	0.00119	0.00174	0.00065	-3.33740	-89.64000	0.14655	0.01533	-0.09685	0.01234	-0.03997	-0.00406
0.01400	0.00376	0.00074	0.00119	0.00174	0.00065	-3.51780	-89.73000	0.14655	0.01533	-0.09685	0.01234	-0.03997	-0.00406
0.01600	0.00376	0.00074	0.00119	0.00174	0.00065	-3.69820	-89.82000	0.14655	0.01533	-0.09685	0.01234	-0.03997	-0.00406
0.01800	0.00376	0.00068	0.00185	0.00123	0.00069	-3.78840	-89.82000	0.07587	0.01008	-0.02056	-0.00283	-0.03827	0.00026
