/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM10
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 05:06:33 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00200	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.64000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-0.00035	0.00189	0.00014	-0.00085	-3.78840	-89.64000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01000	0.00000	-0.00035	0.00189	0.00014	-0.00085	-3.78840	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01200	0.00000	-0.00035	0.00189	0.00014	-0.00085	-3.87860	-89.82000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01400	0.00000	-0.00035	0.00189	0.00014	-0.00085	-3.87860	-90.00000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01600	0.00188	0.00022	0.00100	0.00034	-0.00385	-3.87860	-90.00000	-0.00290	-0.06914	0.08029	-0.01271	0.00549	0.00120
0.01800	0.00188	0.00022	0.00100	0.00034	-0.00385	-3.87860	-89.91000	-0.00290	-0.06914	0.08029	-0.01271	0.00549	0.00120
0.02000	0.00188	0.00022	0.00100	0.00034	-0.00385	-3.69820	-89.82000	-0.00290	-0.06914	0.08029	-0.01271	0.00549	0.00120
0.02200	0.00188	0.00022	0.00100	0.00034	-0.00385	-3.69820	-89.82000	-0.00290	-0.06914	0.08029	-0.01271	0.00549	0.00120
0.02400	0.00194	-0.00000	0.00166	-0.00049	-0.00501	-3.69820	-89.82000	-0.00290	-0.06914	0.08029	-0.01271	0.00549	0.00120
0.02600	0.00194	-0.00000	0.00166	-0.00049	-0.00501	-3.78840	-89.73000	-0.00475	0.02485	-0.11851	0.00204	0.00931	-0.00207
0.02800	0.00194	0.00257	0.00156	-0.00096	-0.00233	-3.78840	-89.73000	-0.00475	0.02485	-0.11851	0.00204	0.00931	-0.00207
0.03000	0.00194	0.00257	0.00156	-0.00096	-0.00233	-3.78840	-89.73000	-0.00475	0.02485	-0.11851	0.00204	0.00931	-0.00207
0.03200	0.00194	0.00094	0.00105	0.00035	-0.00202	-3.78840	-89.73000	0.00235	0.06608	0.01626	0.01774	0.00216	0.00219
0.03400	0.00198	0.00094	0.00105	0.00035	-0.00202	-3.78840	-89.82000	0.00235	0.06608	0.01626	0.01774	0.00216	0.00219
0.03600	0.00198	0.00094	0.00105	0.00035	-0.00202	-3.87860	-89.73000	0.00235	0.06608	0.01626	0.01774	0.00216	0.00219
0.03800	0.00198	0.00094	0.00105	0.00035	-0.00202	-3.87860	-89.82000	0.00235	0.06608	0.01626	0.01774	0.00216	0.00219
0.04000	0.00198	-0.00024	0.00156	0.00074	0.00133	-3.96880	-89.82000	0.00235	0.06608	0.01626	0.01774	0.00216	0.00219
0.04200	0.00198	0.00016	0.00160	-0.00073	0.00089	-3.96880	-89.73000	0.01389	-0.00269	-0.00851	-0.00626	-0.01277	0.00460
0.04400	0.00203	0.00016	0.00160	-0.00073	0.00089	-3.96880	-89.73000	0.01389	-0.00269	-0.00851	-0.00626	-0.01277	0.00460
0.04600	0.00203	0.00016	0.00160	-0.00073	0.00089	-3.96880	-89.73000	0.01389	-0.00269	-0.00851	-0.00626	-0.01277	0.00460
0.04800	0.00203	0.00016	0.00160	-0.00073	0.00089	-3.87860	-89.73000	0.01389	-0.00269	-0.00851	-0.00626	-0.01277	0.00460
0.05000	0.00203	-0.00062	0.00126	-0.00023	0.00141	-3.78840	-89.73000	0.00015	-0.06022	-0.04972	-0.01327	-0.01832	0.00469
0.05200	0.00203	-0.00062	0.00126	-0.00023	0.00141	-3.87860	-89.73000	0.00015	-0.06022	-0.04972	-0.01327	-0.01832	0.00469
0.05400	0.00208	-0.00062	0.00126	-0.00023	0.00141	-3.78840	-89.64000	0.00015	-0.06022	-0.04972	-0.01327	-0.01832	0.00469
0.05600	0.00208	-0.00062	0.00126	-0.00023	0.00141	-3.69820	-89.73000	0.00015	-0.06022	-0.04972	-0.01327	-0.01832	0.00469
0.05800	0.00208	0.00010	0.00187	-0.00010	-0.00162	-3.69820	-89.73000	0.01506	0.04142	0.04294	0.00592	0.00416	0.00787
0.06000	0.00208	0.00010	0.00187	-0.00010	-0.00162	-3.69820	-89.82000	0.01506	0.04142	0.04294	0.00592	0.00416	0.00787
0.06200	0.00208	0.00010	0.00187	-0.00010	-0.00162	-3.78840	-89.82000	0.01506	0.04142	0.04294	0.00592	0.00416	0.00787
0.06400	0.00213	0.00010	0.00187	-0.00010	-0.00162	-3.69820	-89.91000	0.01506	0.04142	0.04294	0.00592	0.00416	0.00787
0.06600	0.00213	0.00076	0.00037	0.00062	-0.00407	-3.87860	-89.91000	0.00503	-0.01664	-0.13439	0.00157	0.01397	0.00549
0.06800	0.00213	0.00067	0.00089	0.00078	-0.00513	-4.05900	-89.82000	0.00503	-0.01664	-0.13439	0.00157	0.01397	0.00549
0.07000	0.00213	0.00067	0.00089	0.00078	-0.00513	-4.05900	-89.73000	0.00503	-0.01664	-0.13439	0.00157	0.01397	0.00549
0.07200	0.00213	0.00067	0.00089	0.00078	-0.00513	-3.96880	-89.64000	0.00503	-0.01664	-0.13439	0.00157	0.01397	0.00549
0.07400	0.00217	0.00067	0.00089	0.00078	-0.00513	-3.87860	-89.55000	0.00503	-0.01664	-0.13439	0.00157	0.01397	0.00549
0.07600	0.00217	-0.00006	0.00173	0.00013	-0.00309	-3.78840	-89.55000	-0.00386	-0.09645	0.01826	-0.02163	0.02073	-0.00099
0.07800	0.00217	-0.00006	0.00173	0.00013	-0.00309	-3.60800	-89.55000	-0.00386	-0.09645	0.01826	-0.02163	0.02073	-0.00099
0.08000	0.00217	-0.00006	0.00173	0.00013	-0.00309	-3.78840	-89.64000	-0.00386	-0.09645	0.01826	-0.02163	0.02073	-0.00099
0.08200	0.00217	-0.00006	0.00173	0.00013	-0.00309	-3.87860	-89.64000	-0.00386	-0.09645	0.01826	-0.02163	0.02073	-0.00099
0.08400	0.00220	0.00012	0.00045	0.00049	0.00090	-3.87860	-89.73000	-0.01861	-0.00997	0.17353	-0.00568	0.00935	-0.00241
0.08600	0.00220	0.00057	0.00284	0.00094	0.00153	-3.87860	-89.82000	-0.01861	-0.00997	0.17353	-0.00568	0.00935	-0.00241
0.08800	0.00220	0.00057	0.00284	0.00094	0.00153	-3.78840	-89.91000	-0.01861	-0.00997	0.17353	-0.00568	0.00935	-0.00241
0.09000	0.00220	0.00057	0.00284	0.00094	0.00153	-3.78840	-90.00000	-0.01861	-0.00997	0.17353	-0.00568	0.00935	-0.00241
0.09200	0.00220	0.00057	0.00284	0.00094	0.00153	-3.78840	-90.00000	-0.01861	-0.00997	0.17353	-0.00568	0.00935	-0.00241
0.09400	0.00223	0.00115	0.00122	0.00122	0.00140	-3.69820	-90.00000	0.02916	0.04432	-0.09331	0.00265	0.00083	-0.00244
0.09600	0.00223	0.00115	0.00122	0.00122	0.00140	-3.78840	-89.91000	0.02916	0.04432	-0.09331	0.00265	0.00083	-0.00244
0.09800	0.00223	0.00115	0.00122	0.00122	0.00140	-3.78840	-89.91000	0.02916	0.04432	-0.09331	0.00265	0.00083	-0.00244
0.10000	0.00223	0.00115	0.00122	0.00122	0.00140	-3.87860	-89.73000	0.02916	0.04432	-0.09331	0.00265	0.00083	-0.00244
0.10200	0.00223	0.00021	0.00110	0.00160	0.00129	-3.96880	-89.73000	0.02092	0.00966	0.01709	-0.00463	-0.02353	0.00056
0.10400	0.00225	0.00021	0.00110	0.00160	0.00129	-3.87860	-89.73000	0.02092	0.00966	0.01709	-0.00463	-0.02353	0.00056
0.10600	0.00225	0.00021	0.00110	0.00160	0.00129	-3.96880	-89.73000	0.02092	0.00966	0.01709	-0.00463	-0.02353	0.00056
0.10800	0.00225	0.00021	0.00110	0.00160	0.00129	-3.78840	-89.73000	0.02092	0.00966	0.01709	-0.00463	-0.02353	0.00056
0.11000	0.00225	-0.00080	0.00115	0.00026	-0.00365	-3.78840	-89.82000	-0.00065	0.03043	-0.00463	-0.00182	-0.02794	0.00497
0.11200	0.00225	-0.00080	0.00115	0.00026	-0.00365	-3.78840	-89.82000	-0.00065	0.03043	-0.00463	-0.00182	-0.02794	0.00497
0.11400	0.00227	-0.00080	0.00115	0.00026	-0.00365	-3.78840	-89.73000	-0.00065	0.03043	-0.00463	-0.00182	-0.02794	0.00497
0.11600	0.00227	-0.00080	0.00115	0.00026	-0.00365	-3.78840	-89.64000	-0.00065	0.03043	-0.00463	-0.00182	-0.02794	0.00497
0.11800	0.00227	0.00002	0.00139	-0.00187	-0.00315	-3.78840	-89.64000	-0.00065	0.03043	-0.00463	0.00925	0.00506	0.00626
0.12000	0.00227	0.00141	0.00161	-0.00210	-0.00281	-3.78840	-89.64000	0.02197	0.03040	-0.15515	0.00925	0.00506	0.00626
0.12200	0.00227	0.00141	0.00161	-0.00210	-0.00281	-3.78840	-89.55000	0.02197	0.03040	-0.15515	0.00925	0.00506	0.00626
0.12400	0.00230	0.00141	0.00161	-0.00210	-0.00281	-3.87860	-89.55000	0.02197	0.03040	-0.15515	0.00925	0.00506	0.00626
0.12600	0.00230	0.00141	0.00161	-0.00210	-0.00281	-3.96880	-89.73000	0.02197	0.03040	-0.15515	0.00925	0.00506	0.00626
0.12800	0.00230	0.00122	0.00106	0.00071	0.00020	-4.05900	-89.73000	-0.00305	-0.08040	-0.00783	-0.00851	0.03050	0.00503
0.13000	0.00230	0.00122	0.00106	0.00071	0.00020	-4.05900	-89.82000	-0.00305	-0.08040	-0.00783	-0.00851	0.03050	0.00503
0.13200	0.00230	0.00122	0.00106	0.00071	0.00020	-3.96880	-89.82000	-0.00305	-0.08040	-0.00783	-0.00851	0.03050	0.00503
0.13400	0.00231	0.00122	0.00106	0.00071	0.00020	-3.87860	-89.73000	-0.00305	-0.08040	-0.00783	-0.00851	0.03050	0.00503
0.13600	0.00231	0.00007	0.00171	0.00020	0.00174	-3.87860	-89.73000	-0.00305	-0.08040	-0.00783	-0.02597	0.01928	-0.00123
0.13800	0.00231	0.00067	0.00029	0.00157	0.00184	-3.87860	-89.64000	-0.01284	-0.12287	0.00429	-0.02597	0.01928	-0.00123
0.14000	0.00231	0.00067	0.00029	0.00157	0.00184	-3.96880	-89.73000	-0.01284	-0.12287	0.00429	-0.02597	0.01928	-0.00123
0.14200	0.00231	0.00067	0.00029	0.00157	0.00184	-3.87860	-89.73000	-0.01284	-0.12287	0.00429	-0.02597	0.01928	-0.00123
0.14400	0.00232	0.00067	0.00029	0.00157	0.00184	-3.87860	-89.73000	-0.01284	-0.12287	0.00429	-0.02597	0.01928	-0.00123
0.14600	0.00232	-0.00009	0.00061	-0.00023	0.00138	-3.87860	-89.73000	-0.01284	-0.12287	0.00429	-0.02597	0.01928	-0.00123
0.14800	0.00232	-0.00009	0.00061	-0.00023	0.00138	-3.96880	-89.91000	-0.02175	-0.05482	0.04436	-0.00392	0.00096	-0.00025
0.15000	0.00232	0.00018	0.00325	-0.00134	0.00153	-3.96880	-89.91000	-0.02175	-0.05482	0.04436	-0.00392	0.00096	-0.00025
0.15200	0.00232	0.00018	0.00325	-0.00134	0.00153	-3.96880	-89.91000	-0.02175	-0.05482	0.04436	-0.00392	0.00096	-0.00025
0.15400	0.00232	0.00018	0.00325	-0.00134	0.00153	-3.87860	-90.00000	0.01237	0.11849	0.08920	0.01138	0.00265	0.00182
0.15600	0.00232	0.00194	0.00073	0.00041	-0.00265	-3.69820	-90.00000	0.01237	0.11849	0.08920	0.01138	0.00265	0.00182
0.15800	0.00232	0.00194	0.00073	0.00041	-0.00265	-3.78840	-90.00000	0.01237	0.11849	0.08920	0.01138	0.00265	0.00182
0.16000	0.00232	0.00194	0.00073	0.00041	-0.00265	-3.87860	-90.00000	0.01237	0.11849	0.08920	0.01138	0.00265	0.00182
