/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 07:15:26 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.64000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.64000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.64000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.73000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.73000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.01000	0.00000	-0.00310	-0.00185	-0.00070	0.00288	-3.69820	-89.82000	0.00465	-0.00858	-0.03307	-0.00150	-0.00363	-0.00107
0.01200	0.00167	-0.00310	-0.00185	-0.00070	0.00288	-3.69820	-89.82000	-0.00620	0.03898	0.00586	0.00250	0.01570	-0.00111
0.01400	0.00167	-0.00322	-0.00130	-0.00013	0.00249	-3.78840	-89.82000	-0.00620	0.03898	0.00586	0.00250	0.01570	-0.00111
0.01600	0.00167	-0.00322	-0.00130	-0.00013	0.00249	-3.96880	-89.91000	-0.00620	0.03898	0.00586	0.00250	0.01570	-0.00111
0.01800	0.00167	-0.00322	-0.00130	-0.00013	0.00249	-4.05900	-89.82000	-0.01028	0.01130	-0.06190	-0.00142	0.01780	-0.00389
0.02000	0.00167	-0.00172	-0.00065	-0.00005	0.00116	-4.05900	-89.73000	-0.01028	0.01130	-0.06190	-0.00142	0.01780	-0.00389
0.02200	0.00174	-0.00172	-0.00065	-0.00005	0.00116	-3.96880	-89.64000	-0.01028	0.01130	-0.06190	-0.00142	0.01780	-0.00389
0.02400	0.00174	-0.00271	-0.00313	-0.00002	0.00086	-3.87860	-89.64000	-0.01626	0.03296	-0.10713	0.00241	0.01141	-0.00019
0.02600	0.00174	-0.00271	-0.00313	-0.00002	0.00086	-3.87860	-89.73000	-0.01626	0.03296	-0.10713	0.00241	0.01141	-0.00019
0.02800	0.00174	-0.00271	-0.00313	-0.00002	0.00086	-3.87860	-89.82000	-0.01626	0.03296	-0.10713	0.00241	0.01141	-0.00019
0.03000	0.00174	-0.00271	-0.00313	-0.00002	0.00086	-3.87860	-89.73000	-0.01626	0.03296	-0.10713	0.00241	0.01141	-0.00019
0.03200	0.00182	-0.00441	-0.00207	-0.00006	-0.00204	-3.78840	-89.82000	-0.00413	0.11062	0.02755	0.00743	0.00130	0.00006
0.03400	0.00182	-0.00441	-0.00207	-0.00006	-0.00204	-3.69820	-89.82000	-0.00413	0.11062	0.02755	0.00743	0.00130	0.00006
0.03600	0.00182	-0.00441	-0.00207	-0.00006	-0.00204	-3.60800	-89.82000	-0.00413	0.11062	0.02755	0.00743	0.00130	0.00006
0.03800	0.00182	-0.00441	-0.00207	-0.00006	-0.00204	-3.69820	-89.82000	-0.00413	0.11062	0.02755	0.00743	0.00130	0.00006
0.04000	0.00182	-0.00317	-0.00138	-0.00034	-0.00308	-3.69820	-89.82000	0.01225	0.05945	-0.10929	0.00201	-0.01477	-0.00019
0.04200	0.00191	-0.00317	-0.00138	-0.00034	-0.00308	-3.69820	-89.73000	0.01225	0.05945	-0.10929	0.00201	-0.01477	-0.00019
0.04400	0.00191	-0.00317	-0.00138	-0.00034	-0.00308	-3.60800	-89.64000	0.01225	0.05945	-0.10929	0.00201	-0.01477	-0.00019
0.04600	0.00191	-0.00317	-0.00138	-0.00034	-0.00308	-3.69820	-89.73000	0.01225	0.05945	-0.10929	0.00201	-0.01477	-0.00019
0.04800	0.00191	-0.00190	-0.00296	-0.00095	-0.00113	-3.69820	-89.64000	0.03015	-0.00466	-0.11690	-0.00629	-0.02085	0.00046
0.05000	0.00191	-0.00190	-0.00296	-0.00095	-0.00113	-3.78840	-89.73000	0.03015	-0.00466	-0.11690	-0.00629	-0.02085	0.00046
0.05200	0.00200	-0.00190	-0.00296	-0.00095	-0.00113	-3.87860	-89.82000	0.03015	-0.00466	-0.11690	-0.00629	-0.02085	0.00046
0.05400	0.00200	-0.00190	-0.00296	-0.00095	-0.00113	-3.78840	-89.73000	0.03015	-0.00466	-0.11690	-0.00629	-0.02085	0.00046
0.05600	0.00200	-0.00374	-0.00079	-0.00232	0.00277	-3.87860	-89.82000	0.01398	0.01735	0.03352	0.00123	-0.01397	-0.00056
0.05800	0.00200	-0.00374	-0.00079	-0.00232	0.00277	-3.87860	-89.91000	0.01398	0.01735	0.03352	0.00123	-0.01397	-0.00056
0.06000	0.00200	-0.00374	-0.00079	-0.00232	0.00277	-3.96880	-89.73000	0.01398	0.01735	0.03352	0.00123	-0.01397	-0.00056
0.06200	0.00210	-0.00374	-0.00079	-0.00232	0.00277	-3.96880	-89.73000	0.01398	0.01735	0.03352	0.00123	-0.01397	-0.00056
0.06400	0.00210	-0.00265	-0.00336	-0.00241	0.00209	-3.87860	-89.73000	0.00636	-0.00040	-0.09397	0.00006	-0.00330	-0.00318
0.06600	0.00210	-0.00265	-0.00336	-0.00241	0.00209	-3.78840	-89.73000	0.00636	-0.00040	-0.09397	0.00006	-0.00330	-0.00318
0.06800	0.00210	-0.00265	-0.00336	-0.00241	0.00209	-3.78840	-89.82000	0.00636	-0.00040	-0.09397	0.00006	-0.00330	-0.00318
0.07000	0.00210	-0.00265	-0.00336	-0.00241	0.00209	-3.87860	-89.82000	0.00636	-0.00040	-0.09397	0.00006	-0.00330	-0.00318
0.07200	0.00217	-0.00300	-0.00227	-0.00075	0.00078	-3.87860	-89.82000	0.01003	-0.02852	-0.05501	-0.01027	0.00965	-0.00238
0.07400	0.00217	-0.00300	-0.00227	-0.00075	0.00078	-3.96880	-89.73000	0.01003	-0.02852	-0.05501	-0.01027	0.00965	-0.00238
0.07600	0.00217	-0.00300	-0.00227	-0.00075	0.00078	-3.96880	-89.73000	0.01003	-0.02852	-0.05501	-0.01027	0.00965	-0.00238
0.07800	0.00217	-0.00300	-0.00227	-0.00075	0.00078	-3.96880	-89.82000	0.01003	-0.02852	-0.05501	-0.01027	0.00965	-0.00238
0.08000	0.00217	-0.00158	-0.00255	-0.00012	-0.00217	-3.96880	-89.82000	-0.00994	0.03034	0.01655	0.00059	0.01113	-0.00768
0.08200	0.00225	-0.00158	-0.00255	-0.00012	-0.00217	-3.87860	-89.82000	-0.00994	0.03034	0.01655	0.00059	0.01113	-0.00768
