/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM45
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 12:31:52 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.64000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.64000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.00800	0.00036	-2.04004	-1.96297	-0.47417	-0.44938	-3.42760	-89.46000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01000	0.00036	-0.00002	0.00135	-0.00021	-0.00074	-3.51780	-89.55000	0.00465	-0.00858	-0.00992	-0.00150	-0.00363	-0.00107
0.01200	0.00036	0.00151	0.00172	0.00006	-0.00297	-3.51780	-89.55000	0.15438	-0.15806	-0.23051	-0.00907	-0.00009	0.00361
0.01400	0.00036	0.00151	0.00172	0.00006	-0.00297	-3.51780	-89.73000	0.15438	-0.15806	-0.23051	-0.00907	-0.00009	0.00361
0.01600	0.00036	0.00151	0.00172	0.00006	-0.00297	-3.87860	-89.73000	0.15438	-0.15806	-0.23051	-0.00907	-0.00009	0.00361
0.01800	0.00036	0.00151	0.00172	0.00006	-0.00297	-3.87860	-89.73000	0.15438	-0.15806	-0.23051	-0.00907	-0.00009	0.00361
0.02000	0.00036	0.00016	0.00155	-0.00031	-0.00198	-4.05900	-89.82000	-0.07736	0.06892	0.05882	0.00858	0.00086	0.00040
0.02200	0.00036	0.00072	0.00111	-0.00013	-0.00156	-3.96880	-89.82000	-0.07736	0.06892	0.05882	0.00858	0.00086	0.00040
0.02400	0.00036	0.00072	0.00111	-0.00013	-0.00156	-3.87860	-89.82000	-0.07736	0.06892	0.05882	0.00858	0.00086	0.00040
0.02600	0.00036	0.00072	0.00111	-0.00013	-0.00156	-3.78840	-89.82000	-0.07736	0.06892	0.05882	0.00858	0.00086	0.00040
0.02800	0.00036	0.00072	0.00111	-0.00013	-0.00156	-3.78840	-89.82000	-0.07736	0.06892	0.05882	0.00858	0.00086	0.00040
0.03000	0.00036	0.00039	0.00179	0.00068	-0.00214	-3.69820	-89.73000	0.07227	-0.08352	-0.11388	-0.01660	-0.00663	-0.00219
0.03200	0.00036	0.00039	0.00179	0.00068	-0.00214	-3.69820	-89.73000	0.07227	-0.08352	-0.11388	-0.01660	-0.00663	-0.00219
0.03400	0.00036	0.00039	0.00179	0.00068	-0.00214	-3.78840	-89.64000	0.07227	-0.08352	-0.11388	-0.01660	-0.00663	-0.00219
0.03600	0.00036	0.00039	0.00179	0.00068	-0.00214	-3.87860	-89.55000	0.07227	-0.08352	-0.11388	-0.01660	-0.00663	-0.00219
0.03800	0.00035	0.00151	0.00104	0.00063	0.00118	-3.96880	-89.64000	-0.01092	-0.07053	0.09719	-0.01512	-0.00972	0.00074
0.04000	0.00035	0.00111	0.00093	0.00079	0.00089	-3.78840	-89.64000	-0.01092	-0.07053	0.09719	-0.01512	-0.00972	0.00074
0.04200	0.00035	0.00111	0.00093	0.00079	0.00089	-3.60800	-89.55000	-0.01092	-0.07053	0.09719	-0.01512	-0.00972	0.00074
0.04400	0.00035	0.00111	0.00093	0.00079	0.00089	-3.60800	-89.55000	-0.01092	-0.07053	0.09719	-0.01512	-0.00972	0.00074
0.04600	0.00035	0.00111	0.00093	0.00079	0.00089	-3.60800	-89.64000	-0.01092	-0.07053	0.09719	-0.01512	-0.00972	0.00074
0.04800	0.00034	0.00049	0.00190	0.00042	-0.00033	-3.69820	-89.73000	0.04428	0.05469	-0.06203	0.01015	0.00493	-0.00136
0.05000	0.00034	0.00049	0.00190	0.00042	-0.00033	-3.78840	-89.73000	0.04428	0.05469	-0.06203	0.01015	0.00493	-0.00136
0.05200	0.00034	0.00049	0.00190	0.00042	-0.00033	-3.78840	-89.91000	0.04428	0.05469	-0.06203	0.01015	0.00493	-0.00136
0.05400	0.00034	0.00049	0.00190	0.00042	-0.00033	-4.05900	-89.91000	0.04428	0.05469	-0.06203	0.01015	0.00493	-0.00136
0.05600	0.00029	0.00068	0.00083	0.00028	0.00012	-3.96880	-89.82000	0.03780	0.01380	-0.19988	0.02159	0.00975	-0.00025
0.05800	0.00029	0.00068	0.00083	0.00028	0.00012	-3.87860	-89.73000	0.03780	0.01380	-0.19988	0.02159	0.00975	-0.00025
0.06000	0.00029	0.00068	0.00083	0.00028	0.00012	-3.78840	-89.55000	0.03780	0.01380	-0.19988	0.02159	0.00975	-0.00025
0.06200	0.00029	0.00068	0.00083	0.00028	0.00012	-3.69820	-89.64000	0.03780	0.01380	-0.19988	0.02159	0.00975	-0.00025
0.06400	0.00029	0.00077	0.00245	0.00008	-0.00049	-3.51780	-89.55000	0.01043	-0.07037	0.01437	-0.00848	-0.01366	0.00275
0.06600	0.00029	0.00077	0.00245	0.00008	-0.00049	-3.51780	-89.73000	0.01043	-0.07037	0.01437	-0.00848	-0.01366	0.00275
0.06800	0.00025	0.00077	0.00245	0.00008	-0.00049	-3.60800	-89.64000	0.01043	-0.07037	0.01437	-0.00848	-0.01366	0.00275
0.07000	0.00025	0.00077	0.00245	0.00008	-0.00049	-3.87860	-89.73000	0.01043	-0.07037	0.01437	-0.00848	-0.01366	0.00275
0.07200	0.00025	0.00082	0.00080	0.00044	-0.00098	-3.87860	-89.73000	-0.05511	-0.08815	-0.07184	-0.02551	-0.03624	0.00089
0.07400	0.00025	0.00034	0.00230	0.00038	-0.00035	-3.78840	-89.73000	-0.05511	-0.08815	-0.07184	-0.02551	-0.03624	0.00089
0.07600	0.00025	0.00034	0.00230	0.00038	-0.00035	-3.78840	-89.64000	-0.05511	-0.08815	-0.07184	-0.02551	-0.03624	0.00089
0.07800	0.00019	0.00034	0.00230	0.00038	-0.00035	-3.69820	-89.55000	-0.05511	-0.08815	-0.07184	-0.02551	-0.03624	0.00089
0.08000	0.00019	0.00034	0.00230	0.00038	-0.00035	-3.60800	-89.55000	-0.05511	-0.08815	-0.07184	-0.02551	-0.03624	0.00089
0.08200	0.00019	0.00010	0.00146	0.00053	0.00004	-3.60800	-89.64000	-0.03388	0.03735	-0.12320	0.02030	0.02298	0.00546
0.08400	0.00019	0.00010	0.00146	0.00053	0.00004	-3.60800	-89.82000	-0.03388	0.03735	-0.12320	0.02030	0.02298	0.00546
0.08600	0.00016	0.00010	0.00146	0.00053	0.00004	-3.69820	-89.82000	-0.03388	0.03735	-0.12320	0.02030	0.02298	0.00546
0.08800	0.00016	0.00010	0.00146	0.00053	0.00004	-4.14920	-90.00000	-0.03388	0.03735	-0.12320	0.02030	0.02298	0.00546
0.09000	0.00016	0.00073	0.00095	0.00117	0.00039	-4.32960	-90.00000	-0.03388	0.03735	-0.12320	0.02949	0.05712	0.00518
0.09200	0.00016	0.00145	0.00333	0.00132	-0.00003	-4.32960	-90.00000	-0.09171	0.10503	-0.03300	0.02949	0.05712	0.00518
0.09400	0.00016	0.00145	0.00333	0.00132	-0.00003	-4.32960	-90.00000	-0.09171	0.10503	-0.03300	0.02949	0.05712	0.00518
0.09600	0.00013	0.00145	0.00333	0.00132	-0.00003	-4.32960	-90.00000	-0.09171	0.10503	-0.03300	0.02949	0.05712	0.00518
0.09800	0.00013	0.00145	0.00333	0.00132	-0.00003	-4.05900	-90.00000	-0.09171	0.10503	-0.03300	0.02949	0.05712	0.00518
