/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33  V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 06:48:26 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.73000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.73000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.91000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00600	0.00149	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-90.00000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00800	0.00149	0.00241	0.00273	0.00022	-0.00222	-3.78840	-90.00000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01000	0.00149	0.00241	0.00273	0.00022	-0.00222	-3.78840	-89.91000	0.13559	0.00080	-0.09716	0.00463	-0.04142	0.00500
0.01200	0.00149	0.00241	0.00273	0.00022	-0.00222	-3.69820	-89.73000	0.13559	0.00080	-0.09716	0.00463	-0.04142	0.00500
0.01400	0.00149	0.00241	0.00273	0.00022	-0.00222	-3.60800	-89.73000	0.13559	0.00080	-0.09716	0.00463	-0.04142	0.00500
0.01600	0.00149	0.00241	0.00273	0.00022	-0.00222	-3.60800	-89.73000	0.13559	0.00080	-0.09716	0.00463	-0.04142	0.00500
0.01800	0.00151	0.00093	0.00222	0.00035	-0.00140	-3.60800	-89.82000	0.09115	-0.00176	-0.12631	-0.00821	-0.02828	0.00346
0.02000	0.00151	0.00093	0.00222	0.00035	-0.00140	-3.51780	-89.73000	0.09115	-0.00176	-0.12631	-0.00821	-0.02828	0.00346
0.02200	0.00151	0.00093	0.00222	0.00035	-0.00140	-3.69820	-89.73000	0.09115	-0.00176	-0.12631	-0.00821	-0.02828	0.00346
