/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 3.33 V/N (X), 3.33 V/N (Y), 3.33 V/N (Z); Kistler moment cal factor: 3.33  V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 07:25:57 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00003	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.73000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.73000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00800	0.00349	0.00122	0.00279	0.00043	-0.00535	-3.87860	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01000	0.00349	0.00122	0.00279	0.00043	-0.00535	-3.87860	-89.73000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01200	0.00349	0.00122	0.00279	0.00043	-0.00535	-3.87860	-89.46000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01400	0.00349	0.00135	0.00112	0.00082	-0.00445	-3.87860	-89.46000	0.17808	-0.11225	-0.17659	-0.01141	-0.03729	0.00293
0.01600	0.00349	0.00135	0.00112	0.00082	-0.00445	-3.60800	-89.55000	0.17808	-0.11225	-0.17659	-0.01141	-0.03729	0.00293
0.01800	0.00358	0.00135	0.00112	0.00082	-0.00445	-3.60800	-89.55000	0.17808	-0.11225	-0.17659	-0.01141	-0.03729	0.00293
0.02000	0.00358	0.00135	0.00112	0.00082	-0.00445	-3.69820	-89.55000	0.17808	-0.11225	-0.17659	-0.01141	-0.03729	0.00293
0.02200	0.00358	0.00029	0.00283	0.00035	-0.00168	-3.78840	-89.73000	0.00623	0.05383	0.07316	0.01336	-0.02452	0.00889
0.02400	0.00358	0.00029	0.00283	0.00035	-0.00168	-3.60800	-89.82000	0.00623	0.05383	0.07316	0.01336	-0.02452	0.00889
