/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_regularwaves_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 1  V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 07:41:24 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.91000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01000	0.00000	0.00071	0.00171	0.00022	0.00180	-3.69820	-89.91000	0.01715	0.00519	-0.00838	0.00088	-0.00684	-0.00144
0.01200	0.00000	0.00037	0.00061	-0.00011	0.00132	-3.69820	-90.00000	0.06038	0.09928	0.01439	0.00473	-0.03773	0.00185
0.01400	0.00555	0.00037	0.00061	-0.00011	0.00132	-3.69820	-89.91000	0.06038	0.09928	0.01439	0.00473	-0.03773	0.00185
0.01600	0.00555	0.00037	0.00061	-0.00011	0.00132	-3.69820	-89.91000	0.14431	-0.01492	-0.20501	-0.00956	-0.02982	-0.00103
0.01800	0.00555	0.00037	0.00061	-0.00011	0.00132	-3.60800	-89.82000	0.14431	-0.01492	-0.20501	-0.00956	-0.02982	-0.00103
0.02000	0.00555	0.00037	0.00061	-0.00011	0.00132	-3.60800	-89.73000	0.14431	-0.01492	-0.20501	-0.00956	-0.02982	-0.00103
0.02200	0.00588	0.00115	0.00078	0.00045	0.00173	-3.60800	-89.64000	0.13804	-0.03693	-0.06457	0.00370	-0.02786	-0.00401
0.02400	0.00588	0.00115	0.00078	0.00045	0.00173	-3.69820	-89.64000	0.13804	-0.03693	-0.06457	0.00370	-0.02786	-0.00401
0.02600	0.00588	0.00115	0.00078	0.00045	0.00173	-3.78840	-89.73000	0.13804	-0.03693	-0.06457	0.00370	-0.02786	-0.00401
0.02800	0.00588	0.00115	0.00078	0.00045	0.00173	-3.87860	-89.73000	0.13804	-0.03693	-0.06457	0.00370	-0.02786	-0.00401
0.03000	0.00588	0.00156	0.00241	0.00062	-0.00009	-3.78840	-89.73000	0.09350	0.01975	0.03321	0.00370	-0.01964	0.00874
0.03200	0.00615	0.00156	0.00241	0.00062	-0.00009	-3.69820	-89.82000	0.09350	0.01975	0.03321	0.00370	-0.01964	0.00874
0.03400	0.00615	0.00156	0.00241	0.00062	-0.00009	-3.78840	-89.82000	0.09350	0.01975	0.03321	0.00370	-0.01964	0.00874
0.03600	0.00615	0.00156	0.00241	0.00062	-0.00009	-3.69820	-89.73000	0.09350	0.01975	0.03321	0.00370	-0.01964	0.00874
0.03800	0.00615	0.00135	0.00149	0.00024	-0.00029	-3.69820	-89.73000	0.11160	-0.03539	-0.01789	-0.00997	-0.02488	0.00329
0.04000	0.00615	0.00084	0.00276	0.00059	-0.00079	-3.69820	-89.82000	0.11160	-0.03539	-0.01789	-0.00997	-0.02488	0.00329
0.04200	0.00648	0.00084	0.00276	0.00059	-0.00079	-3.69820	-89.91000	0.11160	-0.03539	-0.01789	-0.00997	-0.02488	0.00329
0.04400	0.00648	0.00084	0.00276	0.00059	-0.00079	-3.69820	-89.73000	0.11160	-0.03539	-0.01789	-0.00997	-0.02488	0.00329
0.04600	0.00648	0.00084	0.00276	0.00059	-0.00079	-3.87860	-89.82000	0.11160	-0.03539	-0.01789	-0.00997	-0.02488	0.00329
0.04800	0.00648	0.00135	0.00150	0.00110	0.00090	-3.87860	-89.82000	0.02520	-0.03498	0.04195	-0.01440	-0.01460	-0.00339
0.05000	0.00648	0.00135	0.00150	0.00110	0.00090	-3.78840	-89.73000	0.02520	-0.03498	0.04195	-0.01440	-0.01460	-0.00339
0.05200	0.00685	0.00135	0.00150	0.00110	0.00090	-3.60800	-89.64000	0.02520	-0.03498	0.04195	-0.01440	-0.01460	-0.00339
