/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 04:56:53 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00004	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-90.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.00800	0.00000	0.00162	0.00217	0.00123	0.00215	-3.69820	-90.00000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01000	0.00000	0.00162	0.00217	0.00123	0.00215	-3.69820	-89.82000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01200	0.00321	0.00162	0.00217	0.00123	0.00215	-3.69820	-89.82000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01400	0.00321	0.00162	0.00217	0.00123	0.00215	-3.51780	-89.64000	0.05715	0.01729	-0.04190	0.00292	-0.02280	-0.00479
0.01600	0.00321	0.00229	0.00112	0.00307	0.00152	-3.24720	-89.55000	-0.00802	0.17006	-0.05444	0.01892	-0.03249	-0.00597
0.01800	0.00321	0.00229	0.00112	0.00307	0.00152	0.00000	0.00000	-0.00802	0.17006	-0.05444	0.01892	-0.03249	-0.00597
0.02000	0.00321	0.00229	0.00112	0.00307	0.00152	-3.24720	-89.55000	-0.00802	0.17006	-0.05444	0.01892	-0.03249	-0.00597
0.02200	0.00343	0.00229	0.00112	0.00307	0.00152	-3.33740	-89.73000	-0.00802	0.17006	-0.05444	0.01892	-0.03249	-0.00597
0.02400	0.00343	0.00088	0.00283	0.00183	0.00166	-3.51780	-89.91000	0.15593	0.01163	0.02545	0.01337	-0.04729	-0.00278
0.02600	0.00343	0.00088	0.00283	0.00183	0.00166	0.00000	0.00000	0.15593	0.01163	0.02545	0.01337	-0.04729	-0.00278
0.02800	0.00343	0.00088	0.00283	0.00183	0.00166	-3.69820	-90.00000	0.15593	0.01163	0.02545	0.01337	-0.04729	-0.00278
0.03000	0.00343	0.00088	0.00283	0.00183	0.00166	-3.78840	-90.00000	0.15593	0.01163	0.02545	0.01337	-0.04729	-0.00278
0.03200	0.00364	0.00111	0.00161	0.00079	0.00258	-3.60800	-89.91000	0.11438	0.07768	-0.05228	-0.00545	-0.04421	0.00288
0.03400	0.00364	0.00111	0.00161	0.00079	0.00258	0.00000	0.00000	0.11438	0.07768	-0.05228	-0.00545	-0.04421	0.00288
0.03600	0.00364	0.00111	0.00161	0.00079	0.00258	-3.33740	-89.73000	0.11438	0.07768	-0.05228	-0.00545	-0.04421	0.00288
0.03800	0.00364	0.00111	0.00161	0.00079	0.00258	-3.24720	-89.64000	0.11438	0.07768	-0.05228	-0.00545	-0.04421	0.00288
0.04000	0.00364	0.00027	0.00246	0.00051	-0.00111	-3.15700	-89.82000	0.12940	-0.02654	-0.10764	-0.00761	-0.04647	0.00288
0.04200	0.00388	0.00027	0.00246	0.00051	-0.00111	-3.06680	-89.73000	0.12940	-0.02654	-0.10764	-0.00761	-0.04647	0.00288
0.04400	0.00388	0.00027	0.00246	0.00051	-0.00111	-3.15700	-89.73000	0.12940	-0.02654	-0.10764	-0.00761	-0.04647	0.00288
0.04600	0.00388	0.00027	0.00246	0.00051	-0.00111	-3.33740	-89.73000	0.12940	-0.02654	-0.10764	-0.00761	-0.04647	0.00288
0.04800	0.00388	0.00230	0.00207	0.00012	-0.00092	-3.33740	-89.55000	0.07642	-0.05504	0.08898	0.00586	-0.03670	-0.00381
0.05000	0.00388	0.00230	0.00207	0.00012	-0.00092	-3.51780	-89.55000	0.07642	-0.05504	0.08898	0.00586	-0.03670	-0.00381
0.05200	0.00413	0.00230	0.00207	0.00012	-0.00092	-3.51780	-89.64000	0.07642	-0.05504	0.08898	0.00586	-0.03670	-0.00381
0.05400	0.00413	0.00230	0.00207	0.00012	-0.00092	-3.60800	-89.82000	0.07642	-0.05504	0.08898	0.00586	-0.03670	-0.00381
0.05600	0.00413	0.00091	0.00230	-0.00014	0.00028	-3.60800	-89.91000	0.10646	0.00648	0.02930	0.00278	-0.02426	-0.01008
0.05800	0.00413	0.00091	0.00230	-0.00014	0.00028	-3.60800	-89.82000	0.10646	0.00648	0.02930	0.00278	-0.02426	-0.01008
0.06000	0.00413	0.00091	0.00230	-0.00014	0.00028	-3.51780	-89.82000	0.10646	0.00648	0.02930	0.00278	-0.02426	-0.01008
0.06200	0.00436	0.00091	0.00230	-0.00014	0.00028	-3.60800	-89.55000	0.10646	0.00648	0.02930	0.00278	-0.02426	-0.01008
0.06400	0.00436	0.00140	0.00249	0.00138	0.00211	0.00000	0.00000	0.10646	0.00648	0.02930	0.00278	-0.02426	-0.01008
0.06600	0.00436	0.00072	0.00338	0.00109	0.00191	-3.51780	-89.64000	0.04721	-0.01883	-0.12152	0.00874	-0.01501	-0.00432
0.06800	0.00436	0.00072	0.00338	0.00109	0.00191	-3.60800	-89.55000	0.04721	-0.01883	-0.12152	0.00874	-0.01501	-0.00432
0.07000	0.00436	0.00072	0.00338	0.00109	0.00191	-3.96880	-89.64000	0.04721	-0.01883	-0.12152	0.00874	-0.01501	-0.00432
0.07200	0.00461	0.00072	0.00338	0.00109	0.00191	0.00000	0.00000	0.04721	-0.01883	-0.12152	0.00874	-0.01501	-0.00432
0.07400	0.00461	0.00085	0.00187	0.00062	0.00207	-3.78840	-89.64000	0.01481	0.11245	0.13401	0.01635	-0.00864	-0.00195
0.07600	0.00461	0.00085	0.00187	0.00062	0.00207	-3.60800	-89.82000	0.01481	0.11245	0.13401	0.01635	-0.00864	-0.00195
0.07800	0.00461	0.00085	0.00187	0.00062	0.00207	-3.60800	-89.82000	0.01481	0.11245	0.13401	0.01635	-0.00864	-0.00195
0.08000	0.00461	0.00085	0.00187	0.00062	0.00207	0.00000	0.00000	0.01481	0.11245	0.13401	0.01635	-0.00864	-0.00195
0.08200	0.00482	0.00277	0.00241	0.00024	0.00293	-3.42760	-89.91000	-0.00874	0.13560	-0.14142	0.01337	-0.03568	0.00329
0.08400	0.00482	0.00277	0.00241	0.00024	0.00293	-3.33740	-89.91000	-0.00874	0.13560	-0.14142	0.01337	-0.03568	0.00329
0.08600	0.00482	0.00277	0.00241	0.00024	0.00293	-3.42760	-89.73000	-0.00874	0.13560	-0.14142	0.01337	-0.03568	0.00329
0.08800	0.00482	0.00277	0.00241	0.00024	0.00293	0.00000	0.00000	-0.00874	0.13560	-0.14142	0.01337	-0.03568	0.00329
0.09000	0.00482	0.00065	0.00183	0.00042	-0.00076	-3.51780	-89.64000	0.16447	-0.02058	-0.13602	-0.00668	-0.04112	0.00319
0.09200	0.00507	0.00057	0.00168	0.00153	-0.00033	-3.60800	-89.55000	0.16447	-0.02058	-0.13602	-0.00668	-0.04112	0.00319
0.09400	0.00507	0.00057	0.00168	0.00153	-0.00033	-3.60800	-89.55000	0.16447	-0.02058	-0.13602	-0.00668	-0.04112	0.00319
0.09600	0.00507	0.00057	0.00168	0.00153	-0.00033	0.00000	0.00000	0.16447	-0.02058	-0.13602	-0.00668	-0.04112	0.00319
0.09800	0.00507	0.00057	0.00168	0.00153	-0.00033	-3.51780	-89.64000	0.16447	-0.02058	-0.13602	-0.00668	-0.04112	0.00319
0.10000	0.00507	0.00009	0.00310	0.00140	0.00011	-3.42760	-89.73000	0.00381	0.05967	-0.00324	0.00977	-0.03711	0.01111
0.10200	0.00532	0.00009	0.00310	0.00140	0.00011	-3.51780	-89.82000	0.00381	0.05967	-0.00324	0.00977	-0.03711	0.01111
0.10400	0.00532	0.00009	0.00310	0.00140	0.00011	-3.51780	-89.82000	0.00381	0.05967	-0.00324	0.00977	-0.03711	0.01111
0.10600	0.00532	0.00009	0.00310	0.00140	0.00011	-3.51780	-89.91000	0.00381	0.05967	-0.00324	0.00977	-0.03711	0.01111
0.10800	0.00532	0.00189	0.00129	0.00013	0.00100	-3.60800	-89.82000	0.10420	0.03909	-0.16655	0.01614	-0.01789	-0.00298
0.11000	0.00532	0.00189	0.00129	0.00013	0.00100	0.00000	0.00000	0.10420	0.03909	-0.16655	0.01614	-0.01789	-0.00298
0.11200	0.00556	0.00189	0.00129	0.00013	0.00100	-3.51780	-89.64000	0.10420	0.03909	-0.16655	0.01614	-0.01789	-0.00298
0.11400	0.00556	0.00189	0.00129	0.00013	0.00100	-3.51780	-89.73000	0.10420	0.03909	-0.16655	0.01614	-0.01789	-0.00298
0.11600	0.00556	0.00200	0.00282	0.00178	0.00055	-3.51780	-89.73000	0.14524	-0.09835	0.03778	0.00452	-0.02632	-0.00381
0.11800	0.00556	0.00200	0.00282	0.00178	0.00055	-3.60800	-89.64000	0.14524	-0.09835	0.03778	0.00452	-0.02632	-0.00381
0.12000	0.00556	0.00200	0.00282	0.00178	0.00055	-3.51780	-89.64000	0.14524	-0.09835	0.03778	0.00452	-0.02632	-0.00381
0.12200	0.00582	0.00200	0.00282	0.00178	0.00055	-3.51780	-89.82000	0.14524	-0.09835	0.03778	0.00452	-0.02632	-0.00381
0.12400	0.00582	0.00162	0.00166	0.00137	-0.00002	-3.42760	-89.91000	0.01286	-0.01605	0.11967	-0.00483	-0.03362	-0.00154
0.12600	0.00582	0.00162	0.00166	0.00137	-0.00002	0.00000	0.00000	0.01286	-0.01605	0.11967	-0.00483	-0.03362	-0.00154
0.12800	0.00582	0.00162	0.00166	0.00137	-0.00002	-3.51780	-89.82000	0.01286	-0.01605	0.11967	-0.00483	-0.03362	-0.00154
0.13000	0.00582	0.00162	0.00166	0.00137	-0.00002	-3.51780	-89.82000	0.01286	-0.01605	0.11967	-0.00483	-0.03362	-0.00154
0.13200	0.00602	0.00080	0.00261	0.00049	0.00076	-3.33740	-89.73000	0.11788	0.08539	-0.04164	0.01337	-0.03660	-0.00761
0.13400	0.00602	0.00080	0.00261	0.00049	0.00076	0.00000	0.00000	0.11788	0.08539	-0.04164	0.01337	-0.03660	-0.00761
0.13600	0.00602	0.00080	0.00261	0.00049	0.00076	-3.24720	-89.64000	0.11788	0.08539	-0.04164	0.01337	-0.03660	-0.00761
0.13800	0.00602	0.00080	0.00261	0.00049	0.00076	-3.24720	-89.64000	0.11788	0.08539	-0.04164	0.01337	-0.03660	-0.00761
