/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM10
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 03:53:49 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.64000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.01000	0.00000	0.00060	0.00116	0.00077	-0.00042	-3.69820	-89.55000	-0.00257	-0.20257	0.00077	-0.00639	-0.03439	-0.00262
0.01200	0.00000	0.00060	0.00116	0.00077	-0.00042	-3.60800	-89.46000	-0.00257	-0.20257	0.00077	-0.00639	-0.03439	-0.00262
0.01400	0.00000	0.00060	0.00116	0.00077	-0.00042	-3.69820	-89.46000	-0.00257	-0.20257	0.00077	-0.00639	-0.03439	-0.00262
0.01600	0.00556	0.00060	0.00116	0.00077	-0.00042	-3.78840	-89.46000	-0.00257	-0.20257	0.00077	-0.00639	-0.03439	-0.00262
0.01800	0.00556	0.00049	0.00090	0.00050	0.00243	-3.69820	-89.73000	0.00802	-0.13745	0.07372	-0.00882	0.00089	0.00201
0.02000	0.00556	0.00049	0.00090	0.00050	0.00243	-3.69820	-89.82000	0.00802	-0.13745	0.07372	-0.00882	0.00089	0.00201
0.02200	0.00556	0.00049	0.00090	0.00050	0.00243	-3.78840	-89.82000	0.00802	-0.13745	0.07372	-0.00882	0.00089	0.00201
0.02400	0.00556	0.00049	0.00090	0.00050	0.00243	-3.87860	-89.82000	0.00802	-0.13745	0.07372	-0.00882	0.00089	0.00201
0.02600	0.00590	0.00106	0.00134	0.00060	0.00122	-4.05900	-89.91000	-0.04495	-0.15309	-0.09191	-0.03144	0.02979	-0.00145
0.02800	0.00590	0.00106	0.00134	0.00060	0.00122	-4.05900	-89.91000	-0.04495	-0.15309	-0.09191	-0.03144	0.02979	-0.00145
0.03000	0.00590	0.00106	0.00134	0.00060	0.00122	-3.96880	-89.82000	-0.04495	-0.15309	-0.09191	-0.03144	0.02979	-0.00145
0.03200	0.00590	0.00106	0.00134	0.00060	0.00122	-3.87860	-89.64000	-0.04495	-0.15309	-0.09191	-0.03144	0.02979	-0.00145
0.03400	0.00590	0.00096	0.00166	0.00081	0.00053	-3.78840	-89.64000	-0.09556	-0.04115	0.08451	-0.00787	0.03451	0.00089
0.03600	0.00615	0.00096	0.00166	0.00081	0.00053	-3.78840	-89.73000	-0.09556	-0.04115	0.08451	-0.00787	0.03451	0.00089
0.03800	0.00615	0.00096	0.00166	0.00081	0.00053	-3.78840	-89.73000	-0.09556	-0.04115	0.08451	-0.00787	0.03451	0.00089
0.04000	0.00615	0.00096	0.00166	0.00081	0.00053	-3.69820	-89.73000	-0.09556	-0.04115	0.08451	-0.00787	0.03451	0.00089
0.04200	0.00615	0.00067	0.00140	0.00129	0.00086	-3.87860	-89.82000	-0.14914	0.12305	0.13401	0.01795	0.01937	-0.00358
0.04400	0.00615	0.00067	0.00140	0.00129	0.00086	-3.87860	-89.91000	-0.14914	0.12305	0.13401	0.01795	0.01937	-0.00358
0.04600	0.00644	0.00067	0.00140	0.00129	0.00086	-3.96880	-89.91000	-0.14914	0.12305	0.13401	0.01795	0.01937	-0.00358
0.04800	0.00644	0.00067	0.00140	0.00129	0.00086	-3.87860	-89.91000	-0.14914	0.12305	0.13401	0.01795	0.01937	-0.00358
0.05000	0.00644	0.00009	0.00067	0.00199	0.00075	-3.78840	-89.82000	-0.14914	0.12305	0.13401	0.01795	0.01937	-0.00358
0.05200	0.00644	0.00009	0.00067	0.00199	0.00075	-3.69820	-89.73000	-0.02613	0.07850	-0.14774	-0.00213	-0.02020	0.00494
0.05400	0.00644	0.00009	0.00067	0.00199	0.00075	-3.78840	-89.64000	-0.02613	0.07850	-0.14774	-0.00213	-0.02020	0.00494
0.05600	0.00666	0.00007	0.00071	0.00203	-0.00322	-3.78840	-89.64000	-0.02613	0.07850	-0.14774	-0.00213	-0.02020	0.00494
0.05800	0.00666	0.00007	0.00071	0.00203	-0.00322	-3.69820	-89.64000	0.22937	-0.20484	-0.33742	-0.03113	-0.03720	0.00463
0.06000	0.00666	0.00193	0.00140	0.00156	-0.00267	-3.78840	-89.64000	0.22937	-0.20484	-0.33742	-0.03113	-0.03720	0.00463
0.06200	0.00666	0.00193	0.00140	0.00156	-0.00267	-3.60800	-89.55000	0.22937	-0.20484	-0.33742	-0.03113	-0.03720	0.00463
0.06400	0.00666	0.00193	0.00140	0.00156	-0.00267	-3.69820	-89.73000	0.22937	-0.20484	-0.33742	-0.03113	-0.03720	0.00463
0.06600	0.00691	0.00193	0.00140	0.00156	-0.00267	-3.78840	-89.82000	0.22937	-0.20484	-0.33742	-0.03113	-0.03720	0.00463
0.06800	0.00691	0.00051	0.00110	0.00095	-0.00008	-3.87860	-89.82000	-0.03466	-0.10165	-0.00031	-0.01644	-0.03498	0.00858
0.07000	0.00691	0.00051	0.00110	0.00095	-0.00008	-3.87860	-89.91000	-0.03466	-0.10165	-0.00031	-0.01644	-0.03498	0.00858
0.07200	0.00691	0.00051	0.00110	0.00095	-0.00008	-3.87860	-89.91000	-0.03466	-0.10165	-0.00031	-0.01644	-0.03498	0.00858
0.07400	0.00691	0.00051	0.00110	0.00095	-0.00008	-3.87860	-89.73000	-0.03466	-0.10165	-0.00031	-0.01644	-0.03498	0.00858
0.07600	0.00715	-0.00020	0.00163	0.00029	0.00118	-3.78840	-89.73000	-0.03466	-0.10165	-0.00031	-0.01644	-0.03498	0.00858
0.07800	0.00715	-0.00020	0.00163	0.00029	0.00118	-3.69820	-89.64000	0.10605	-0.11523	-0.15021	-0.01518	-0.00719	0.00373
0.08000	0.00715	-0.00089	0.00250	0.00071	0.00139	-3.69820	-89.73000	0.10605	-0.11523	-0.15021	-0.01518	-0.00719	0.00373
0.08200	0.00715	-0.00089	0.00250	0.00071	0.00139	-3.78840	-89.82000	0.10605	-0.11523	-0.15021	-0.01518	-0.00719	0.00373
0.08400	0.00715	-0.00089	0.00250	0.00071	0.00139	-3.87860	-89.73000	0.00967	-0.21708	0.06755	-0.02866	-0.00913	-0.00074
0.08600	0.00736	-0.00089	0.00250	0.00071	0.00139	-4.05900	-89.73000	0.00967	-0.21708	0.06755	-0.02866	-0.00913	-0.00074
0.08800	0.00736	0.00035	0.00140	-0.00013	-0.00077	-4.05900	-89.73000	0.00967	-0.21708	0.06755	-0.02866	-0.00913	-0.00074
0.09000	0.00736	0.00035	0.00140	-0.00013	-0.00077	-3.87860	-89.73000	-0.13516	-0.10576	0.22731	-0.02400	0.01280	-0.00086
0.09200	0.00736	0.00035	0.00140	-0.00013	-0.00077	-3.87860	-89.73000	-0.13516	-0.10576	0.22731	-0.02400	0.01280	-0.00086
0.09400	0.00736	0.00035	0.00140	-0.00013	-0.00077	-3.78840	-89.73000	-0.13516	-0.10576	0.22731	-0.02400	0.01280	-0.00086
0.09600	0.00758	0.00079	0.00133	0.00177	-0.00176	-3.69820	-89.73000	0.03456	0.07181	-0.00000	0.00259	0.00130	-0.00197
0.09800	0.00758	0.00029	-0.00049	0.00222	-0.00178	-3.60800	-89.82000	0.03456	0.07181	-0.00000	0.00259	0.00130	-0.00197
0.10000	0.00758	0.00029	-0.00049	0.00222	-0.00178	-3.78840	-89.82000	0.03456	0.07181	-0.00000	0.00259	0.00130	-0.00197
0.10200	0.00758	0.00029	-0.00049	0.00222	-0.00178	-3.78840	-89.73000	0.03456	0.07181	-0.00000	0.00259	0.00130	-0.00197
0.10400	0.00758	0.00029	-0.00049	0.00222	-0.00178	-3.78840	-89.73000	0.03456	0.07181	-0.00000	0.00259	0.00130	-0.00197
0.10600	0.00773	-0.00005	0.00183	0.00176	-0.00418	-3.87860	-89.82000	-0.07704	0.04167	-0.00401	0.01987	0.01999	-0.00247
0.10800	0.00773	-0.00005	0.00183	0.00176	-0.00418	-3.78840	-89.82000	-0.07704	0.04167	-0.00401	0.01987	0.01999	-0.00247
