/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:39:09 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00004	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.73000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01000	0.00000	-0.00010	0.00063	-0.00108	0.00081	-3.69820	-89.64000	0.01549	-0.02860	-0.04961	-0.00500	-0.01210	-0.00356
0.01200	0.00816	-0.00024	0.00239	-0.00157	0.00147	-3.69820	-89.64000	0.19152	-0.10134	-0.44337	-0.03177	-0.07156	0.00370
0.01400	0.00816	-0.00024	0.00239	-0.00157	0.00147	-3.78840	-89.46000	0.19152	-0.10134	-0.44337	-0.03177	-0.07156	0.00370
0.01600	0.00816	-0.00024	0.00239	-0.00157	0.00147	-3.78840	-89.55000	0.19152	-0.10134	-0.44337	-0.03177	-0.07156	0.00370
0.01800	0.00816	-0.00024	0.00239	-0.00157	0.00147	-3.96880	-89.55000	0.19152	-0.10134	-0.44337	-0.03177	-0.07156	0.00370
0.02000	0.00816	-0.00002	0.00052	-0.00132	0.00137	-3.96880	-89.37000	0.03744	-0.14012	0.03161	-0.00432	-0.05367	0.00432
0.02200	0.00865	-0.00002	0.00052	-0.00132	0.00137	-3.87860	-89.28000	0.03744	-0.14012	0.03161	-0.00432	-0.05367	0.00432
0.02400	0.00865	-0.00002	0.00052	-0.00132	0.00137	-3.87860	-89.37000	0.03744	-0.14012	0.03161	-0.00432	-0.05367	0.00432
0.02600	0.00865	-0.00002	0.00052	-0.00132	0.00137	-3.69820	-89.55000	0.03744	-0.14012	0.03161	-0.00432	-0.05367	0.00432
0.02800	0.00865	0.00169	0.00077	0.00011	0.00524	-3.60800	-89.64000	0.03744	-0.14012	0.03161	-0.00195	-0.03372	-0.00195
0.03000	0.00865	0.00024	0.00115	0.00059	0.00419	-3.60800	-89.73000	0.04762	-0.06224	0.06446	-0.00195	-0.03372	-0.00195
0.03200	0.00923	0.00024	0.00115	0.00059	0.00419	-3.69820	-89.82000	0.04762	-0.06224	0.06446	-0.00195	-0.03372	-0.00195
0.03400	0.00923	0.00024	0.00115	0.00059	0.00419	-3.78840	-89.82000	0.04762	-0.06224	0.06446	-0.00195	-0.03372	-0.00195
0.03600	0.00923	0.00024	0.00115	0.00059	0.00419	-3.87860	-89.91000	0.04762	-0.06224	0.06446	-0.00195	-0.03372	-0.00195
0.03800	0.00923	-0.00021	0.00056	0.00048	0.00200	-3.87860	-89.82000	-0.02345	-0.13652	-0.27574	-0.00956	-0.00062	0.00483
0.04000	0.00923	0.00065	-0.00032	0.00058	0.00156	-3.69820	-89.64000	-0.02345	-0.13652	-0.27574	-0.00956	-0.00062	0.00483
0.04200	0.00980	0.00065	-0.00032	0.00058	0.00156	-3.69820	-89.46000	-0.02345	-0.13652	-0.27574	-0.00956	-0.00062	0.00483
0.04400	0.00980	0.00065	-0.00032	0.00058	0.00156	-3.78840	-89.46000	-0.02345	-0.13652	-0.27574	-0.00956	-0.00062	0.00483
