/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM45
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 02:38:09 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00003	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-90.00000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-90.00000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-0.00118	0.00149	0.00101	0.00077	-3.78840	-89.82000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.01000	0.00343	-0.00118	0.00149	0.00101	0.00077	-3.60800	-89.91000	0.16097	0.11255	0.03259	0.02758	-0.03584	0.00022
0.01200	0.00343	-0.00118	0.00149	0.00101	0.00077	-3.51780	-89.91000	0.16097	0.11255	0.03259	0.02758	-0.03584	0.00022
0.01400	0.00343	-0.00118	0.00149	0.00101	0.00077	-3.42760	-89.73000	0.16097	0.11255	0.03259	0.02758	-0.03584	0.00022
0.01600	0.00343	-0.00118	0.00149	0.00101	0.00077	-3.51780	-89.64000	0.16097	0.11255	0.03259	0.02758	-0.03584	0.00022
0.01800	0.00343	0.00067	0.00016	0.00083	-0.00004	-3.69820	-89.73000	0.23339	-0.07140	-0.02211	0.01114	-0.04389	0.00543
0.02000	0.00359	0.00067	0.00016	0.00083	-0.00004	-3.96880	-89.91000	0.23339	-0.07140	-0.02211	0.01114	-0.04389	0.00543
0.02200	0.00359	0.00067	0.00016	0.00083	-0.00004	-4.14920	-89.91000	0.23339	-0.07140	-0.02211	0.01114	-0.04389	0.00543
0.02400	0.00359	0.00067	0.00016	0.00083	-0.00004	-4.05900	-89.73000	0.23339	-0.07140	-0.02211	0.01114	-0.04389	0.00543
0.02600	0.00359	-0.00094	0.00083	0.00087	-0.00053	-3.78840	-89.82000	0.10049	-0.06163	0.01306	-0.01367	-0.03084	0.00525
0.02800	0.00359	-0.00094	0.00083	0.00087	-0.00053	-3.60800	-89.73000	0.10049	-0.06163	0.01306	-0.01367	-0.03084	0.00525
0.03000	0.00383	-0.00094	0.00083	0.00087	-0.00053	-3.60800	-89.73000	0.10049	-0.06163	0.01306	-0.01367	-0.03084	0.00525
0.03200	0.00383	-0.00094	0.00083	0.00087	-0.00053	-3.51780	-89.73000	0.10049	-0.06163	0.01306	-0.01367	-0.03084	0.00525
0.03400	0.00383	-0.00080	0.00071	0.00238	-0.00004	-3.69820	-89.55000	0.07468	-0.13128	-0.18579	-0.01104	-0.03124	0.00083
0.03600	0.00383	-0.00080	0.00071	0.00238	-0.00004	-3.87860	-89.55000	0.07468	-0.13128	-0.18579	-0.01104	-0.03124	0.00083
0.03800	0.00383	-0.00080	0.00071	0.00238	-0.00004	-4.05900	-89.64000	0.07468	-0.13128	-0.18579	-0.01104	-0.03124	0.00083
0.04000	0.00407	-0.00080	0.00071	0.00238	-0.00004	-3.96880	-89.73000	0.07468	-0.13128	-0.18579	-0.01104	-0.03124	0.00083
0.04200	0.00407	-0.00093	0.00001	0.00103	0.00138	-3.87860	-89.55000	-0.00638	-0.16893	0.01995	0.00130	-0.00315	0.00105
0.04400	0.00407	-0.00093	0.00001	0.00103	0.00138	-3.69820	-89.55000	-0.00638	-0.16893	0.01995	0.00130	-0.00315	0.00105
0.04600	0.00407	-0.00093	0.00001	0.00103	0.00138	-3.60800	-89.55000	-0.00638	-0.16893	0.01995	0.00130	-0.00315	0.00105
0.04800	0.00407	-0.00093	0.00001	0.00103	0.00138	-3.51780	-89.55000	-0.00638	-0.16893	0.01995	0.00130	-0.00315	0.00105
0.05000	0.00431	0.00066	0.00091	0.00111	0.00163	-3.51780	-89.64000	-0.03065	-0.07798	0.10467	-0.00278	0.02270	0.00111
0.05200	0.00431	0.00066	0.00091	0.00111	0.00163	-3.78840	-89.91000	-0.03065	-0.07798	0.10467	-0.00278	0.02270	0.00111
0.05400	0.00431	0.00066	0.00091	0.00111	0.00163	-4.14920	-89.91000	-0.03065	-0.07798	0.10467	-0.00278	0.02270	0.00111
0.05600	0.00431	0.00066	0.00091	0.00111	0.00163	-4.32960	-89.91000	-0.03065	-0.07798	0.10467	-0.00278	0.02270	0.00111
0.05800	0.00431	-0.00016	0.00001	0.00083	0.00110	-4.23940	-89.91000	-0.06943	-0.07377	-0.20008	-0.00713	0.04534	0.00012
0.06000	0.00456	-0.00016	0.00001	0.00083	0.00110	-3.96880	-89.82000	-0.06943	-0.07377	-0.20008	-0.00713	0.04534	0.00012
0.06200	0.00456	-0.00016	0.00001	0.00083	0.00110	-3.87860	-89.73000	-0.06943	-0.07377	-0.20008	-0.00713	0.04534	0.00012
0.06400	0.00456	-0.00016	0.00001	0.00083	0.00110	-3.78840	-89.55000	-0.06943	-0.07377	-0.20008	-0.00713	0.04534	0.00012
0.06600	0.00456	-0.00087	0.00048	0.00110	-0.00131	-3.78840	-89.64000	-0.15398	0.03436	0.12358	0.01268	0.04849	-0.00423
0.06800	0.00456	-0.00087	0.00048	0.00110	-0.00131	-3.78840	-89.73000	-0.15398	0.03436	0.12358	0.01268	0.04849	-0.00423
0.07000	0.00477	-0.00087	0.00048	0.00110	-0.00131	-3.78840	-89.82000	-0.15398	0.03436	0.12358	0.01268	0.04849	-0.00423
0.07200	0.00477	-0.00087	0.00048	0.00110	-0.00131	-3.87860	-89.91000	-0.15398	0.03436	0.12358	0.01268	0.04849	-0.00423
0.07400	0.00477	-0.00027	-0.00034	0.00283	-0.00009	-3.96880	-89.91000	-0.09926	0.14609	0.10991	0.01873	0.00497	-0.00451
