/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 1  V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 10:39:23 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00200	0.00002	-2.04004	-1.96297	-0.47417	-0.44938	-3.60800	-89.55000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.51780	-89.55000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.55000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.82000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01000	0.00931	0.00071	0.00059	0.00120	0.00154	-3.87860	-89.82000	-0.01039	-0.10772	0.01902	-0.00607	-0.01522	-0.00854
0.01200	0.00931	0.00071	0.00059	0.00120	0.00154	-3.87860	-89.73000	-0.01039	-0.10772	0.01902	-0.00607	-0.01522	-0.00854
0.01400	0.00931	0.00071	0.00059	0.00120	0.00154	-4.05900	-89.82000	-0.01039	-0.10772	0.01902	-0.00607	-0.01522	-0.00854
0.01600	0.00931	0.00071	0.00059	0.00120	0.00154	-4.14920	-89.73000	-0.01039	-0.10772	0.01902	-0.00607	-0.01522	-0.00854
0.01800	0.00931	-0.00010	0.00152	-0.00013	-0.00020	-4.05900	-89.73000	-0.01841	-0.10103	-0.15402	-0.01913	0.02066	-0.00154
0.02000	0.00966	-0.00010	0.00152	-0.00013	-0.00020	-3.78840	-89.64000	-0.01841	-0.10103	-0.15402	-0.01913	0.02066	-0.00154
0.02200	0.00966	-0.00010	0.00152	-0.00013	-0.00020	-3.78840	-89.73000	-0.01841	-0.10103	-0.15402	-0.01913	0.02066	-0.00154
0.02400	0.00966	-0.00010	0.00152	-0.00013	-0.00020	-3.96880	-89.64000	-0.01841	-0.10103	-0.15402	-0.01913	0.02066	-0.00154
0.02600	0.00966	0.00067	0.00012	0.00039	0.00003	-4.14920	-89.64000	-0.14513	-0.01800	0.07927	0.01635	0.04462	-0.01080
0.02800	0.00966	0.00067	0.00012	0.00039	0.00003	-4.23940	-89.64000	-0.14513	-0.01800	0.07927	0.01635	0.04462	-0.01080
0.03000	0.01030	0.00067	0.00012	0.00039	0.00003	-4.23940	-89.55000	-0.14513	-0.01800	0.07927	0.01635	0.04462	-0.01080
0.03200	0.01030	0.00067	0.00012	0.00039	0.00003	-4.05900	-89.64000	-0.14513	-0.01800	0.07927	0.01635	0.04462	-0.01080
