% Original filename: Decay Test 0Deg No StringPot0012.mat
0 Deg Decay NoStringPot Run 3 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -6.573726 -1.945154
0.020000 -6.572288 -1.945756
0.040000 -6.571144 -1.946316
0.060000 -6.570277 -1.949663
0.080000 -6.569669 -1.947072
0.100000 -6.569302 -1.947968
0.120000 -6.569159 -1.942031
0.140000 -6.569221 -1.941275
0.160000 -6.569472 -1.945490
0.180000 -6.569893 -1.956622
0.200000 -6.570466 -1.952435
0.220000 -6.571175 -1.944439
0.240000 -6.572001 -1.949159
0.260000 -6.572927 -1.935603
0.280000 -6.573935 -1.944061
0.300000 -6.575007 -1.929736
0.320000 -6.576126 -1.942969
0.340000 -6.577273 -1.950489
0.360000 -6.578432 -1.944845
0.380000 -6.579584 -1.947268
0.400000 -6.580712 -1.941933
0.420000 -6.580836 -1.947268
0.440000 -6.580983 -1.942381
0.460000 -6.579500 -1.950419
0.480000 -6.579259 -1.947786
0.500000 -6.581375 -1.940168
0.520000 -6.583046 -1.938740
0.540000 -6.584677 -1.939328
0.560000 -6.586212 -1.942605
0.580000 -6.586838 -1.941401
0.600000 -6.587177 -1.944789
0.620000 -6.587710 -1.949397
0.640000 -6.588345 -1.942493
0.660000 -6.588663 -1.940070
0.680000 -6.586679 -1.945322
0.700000 -6.585764 -1.939566
0.720000 -6.585986 -1.939034
0.740000 -6.586422 -1.941429
0.760000 -6.586310 -1.948514
0.780000 -6.586684 -1.949985
0.800000 -6.586026 -1.951343
0.820000 -6.587293 -1.946470
0.840000 -6.588675 -1.951623
0.860000 -6.589939 -1.950419
0.880000 -6.589657 -1.949313
0.900000 -6.588749 -1.942983
0.920000 -6.589518 -1.949243
0.940000 -6.589298 -1.947394
0.960000 -6.587911 -1.940911
0.980000 -6.589041 -1.937732
1.000000 -6.586783 -1.946932
1.020000 -6.587568 -1.937732
1.040000 -6.588930 -1.946932
1.060000 -6.589827 -1.937956
1.080000 -6.591981 -1.942857
1.100000 -6.595260 -1.939272
1.120000 -6.600616 -1.947380
1.140000 -6.605711 -1.939132
1.160000 -6.611651 -1.940504
1.180000 -6.617194 -1.950475
1.200000 -6.618618 -1.944453
1.220000 -6.615747 -1.942731
1.240000 -6.614096 -1.943193
1.260000 -6.612401 -1.945546
1.280000 -6.613423 -1.943375
1.300000 -6.607721 -1.943347
1.320000 -6.601309 -1.940182
1.340000 -6.597444 -1.940813
1.360000 -6.588545 -1.942549
1.380000 -6.582064 -1.944845
1.400000 -6.571786 -1.934063
1.420000 -6.555141 -1.940392
1.440000 -6.537683 -1.940168
1.460000 -6.518080 -1.947352
1.480000 -6.493842 -1.932326
1.500000 -6.471754 -1.945224
1.520000 -6.446117 -1.941205
1.540000 -6.420908 -1.934007
1.560000 -6.391190 -1.937200
1.580000 -6.356211 -1.941177
1.600000 -6.322674 -1.942353
1.620000 -6.284587 -1.937662
1.640000 -6.241420 -1.943683
1.660000 -6.199351 -1.936443
1.680000 -6.153050 -1.944145
1.700000 -6.111749 -1.946386
1.720000 -6.065276 -1.947394
1.740000 -6.019652 -1.943739
1.760000 -5.970521 -1.934805
1.780000 -5.921608 -1.938782
1.800000 -5.868421 -1.934497
1.820000 -5.818279 -1.939104
1.840000 -5.765715 -1.940546
1.860000 -5.714427 -1.939790
1.880000 -5.660892 -1.942605
1.900000 -5.605378 -1.945658
1.920000 -5.550383 -1.940981
1.940000 -5.492121 -1.944691
1.960000 -5.428066 -1.939566
1.980000 -5.365993 -1.939104
2.000000 -5.294160 -1.953093
2.020000 -5.224315 -1.947800
2.040000 -5.155735 -1.940995
2.060000 -5.084485 -1.951189
2.080000 -5.012038 -1.949285
2.100000 -4.938672 -1.942675
2.120000 -4.867502 -1.938992
2.140000 -4.791387 -1.941681
2.160000 -4.709593 -1.938278
2.180000 -4.633973 -1.945826
2.200000 -4.546866 -1.949313
2.220000 -4.457261 -1.944817
2.240000 -4.367118 -1.937452
2.260000 -4.277796 -1.938222
2.280000 -4.184301 -1.943291
2.300000 -4.092206 -1.948920
2.320000 -3.992559 -1.934455
2.340000 -3.891561 -1.943543
2.360000 -3.789357 -1.947646
2.380000 -3.686548 -1.945042
2.400000 -3.582825 -1.942241
2.420000 -3.470909 -1.940168
2.440000 -3.359881 -1.943025
2.460000 -3.255012 -1.943081
2.480000 -3.145819 -1.945546
2.500000 -3.038565 -1.944831
2.520000 -2.924053 -1.944677
2.540000 -2.809811 -1.944523
2.560000 -2.695586 -1.940140
2.580000 -2.579353 -1.942045
2.600000 -2.457479 -1.935911
2.620000 -2.336279 -1.947156
2.640000 -2.214482 -1.940210
2.660000 -2.095608 -1.944145
2.680000 -1.973621 -1.941219
2.700000 -1.850903 -1.936584
2.720000 -1.729614 -1.944005
2.740000 -1.605803 -1.950699
2.760000 -1.480832 -1.946750
2.780000 -1.354621 -1.949915
2.800000 -1.223687 -1.949509
2.820000 -1.094902 -1.941415
2.840000 -0.972952 -1.944579
2.860000 -0.849396 -1.943977
2.880000 -0.723950 -1.946106
2.900000 -0.599184 -1.947198
2.920000 -0.472942 -1.939314
2.940000 -0.346049 -1.947492
2.960000 -0.219889 -1.950083
2.980000 -0.098700 -1.948304
3.000000 0.028923 -1.943935
3.020000 0.157791 -1.948878
3.040000 0.285682 -1.942087
3.060000 0.404894 -1.949635
3.080000 0.531033 -1.954032
3.100000 0.655255 -1.946988
3.120000 0.777939 -1.943585
3.140000 0.901056 -1.934693
3.160000 1.022040 -1.954578
3.180000 1.142412 -1.939636
3.200000 1.267336 -1.943907
3.220000 1.387843 -1.947128
3.240000 1.502836 -1.942661
3.260000 1.617638 -1.942927
3.280000 1.732946 -1.950797
3.300000 1.846358 -1.947114
3.320000 1.961395 -1.952309
3.340000 2.075127 -1.945154
3.360000 2.185884 -1.944229
3.380000 2.303507 -1.941205
3.400000 2.416051 -1.942269
3.420000 2.522948 -1.937578
3.440000 2.629671 -1.945560
3.460000 2.733172 -1.938824
3.480000 2.840768 -1.941611
3.500000 2.946763 -1.949089
3.520000 3.053249 -1.939286
3.540000 3.156850 -1.944453
3.560000 3.262547 -1.937060
3.580000 3.365821 -1.938656
3.600000 3.469333 -1.944888
3.620000 3.565152 -1.951889
3.640000 3.661272 -1.946330
3.660000 3.760720 -1.942255
