% Original filename: Decay Test 0Deg0006.mat
0 Deg Decay Run 1 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -12.712524 -1.952953
0.020000 -12.712727 -1.956678
0.040000 -12.712964 -1.948220
0.060000 -12.713230 -1.951175
0.080000 -12.713523 -1.959507
0.100000 -12.713839 -1.956818
0.120000 -12.714174 -1.948514
0.140000 -12.714525 -1.942801
0.160000 -12.714890 -1.952729
0.180000 -12.715263 -1.949285
0.200000 -12.715643 -1.954130
0.220000 -12.716025 -1.952673
0.240000 -12.716406 -1.945742
0.260000 -12.716783 -1.944635
0.280000 -12.717153 -1.948962
0.300000 -12.717512 -1.944425
0.320000 -12.717856 -1.941681
0.340000 -12.718183 -1.948682
0.360000 -12.718489 -1.949649
0.380000 -12.718770 -1.947982
0.400000 -12.719023 -1.947982
0.420000 -12.719053 -1.956650
0.440000 -12.720427 -1.958289
0.460000 -12.722566 -1.949369
0.480000 -12.721045 -1.947394
0.500000 -12.720601 -1.955600
0.520000 -12.720555 -1.942717
0.540000 -12.718537 -1.943655
0.560000 -12.718660 -1.951077
0.580000 -12.718081 -1.955026
0.600000 -12.716008 -1.954242
0.620000 -12.716114 -1.955054
0.640000 -12.715870 -1.953962
0.660000 -12.715288 -1.940925
0.680000 -12.713459 -1.944355
0.700000 -12.713273 -1.958723
0.720000 -12.712444 -1.951987
0.740000 -12.711963 -1.954998
0.760000 -12.713540 -1.949985
0.780000 -12.712537 -1.950391
0.800000 -12.712499 -1.956286
0.820000 -12.711525 -1.947506
0.840000 -12.710978 -1.954046
0.860000 -12.711511 -1.957000
0.880000 -12.713916 -1.951791
0.900000 -12.715562 -1.958121
0.920000 -12.715273 -1.952183
0.940000 -12.716256 -1.956664
0.960000 -12.717196 -1.958121
0.980000 -12.716001 -1.952015
1.000000 -12.716804 -1.953864
1.020000 -12.715654 -1.952869
1.040000 -12.717837 -1.950209
1.060000 -12.716962 -1.952659
1.080000 -12.716761 -1.949425
1.100000 -12.717207 -1.945434
1.120000 -12.719720 -1.949747
1.140000 -12.722519 -1.950965
1.160000 -12.729345 -1.954760
1.180000 -12.735882 -1.955054
1.200000 -12.739089 -1.954984
1.220000 -12.742379 -1.951693
1.240000 -12.749026 -1.953444
1.260000 -12.748426 -1.961832
1.280000 -12.744733 -1.946960
1.300000 -12.743223 -1.952351
1.320000 -12.739205 -1.953640
1.340000 -12.731947 -1.960739
1.360000 -12.729427 -1.959283
1.380000 -12.720848 -1.966341
1.400000 -12.710110 -1.955894
1.420000 -12.698073 -1.958863
1.440000 -12.680331 -1.951077
1.460000 -12.659186 -1.953738
1.480000 -12.635060 -1.950125
1.500000 -12.606030 -1.948808
1.520000 -12.568971 -1.951343
1.540000 -12.529709 -1.952533
1.560000 -12.489652 -1.949229
1.580000 -12.442845 -1.952309
1.600000 -12.394064 -1.955194
1.620000 -12.338878 -1.953738
1.640000 -12.274759 -1.947100
1.660000 -12.207254 -1.949747
1.680000 -12.135269 -1.946498
1.700000 -12.058224 -1.948444
1.720000 -11.975438 -1.953892
1.740000 -11.887747 -1.950433
1.760000 -11.794882 -1.946806
1.780000 -11.698940 -1.947226
1.800000 -11.598335 -1.943641
1.820000 -11.491842 -1.956944
1.840000 -11.382093 -1.951581
1.860000 -11.267749 -1.944677
1.880000 -11.151267 -1.951525
1.900000 -11.036482 -1.950545
1.920000 -10.920669 -1.951497
1.940000 -10.804474 -1.955544
1.960000 -10.686474 -1.949495
1.980000 -10.563067 -1.952533
2.000000 -10.433669 -1.952939
2.020000 -10.301852 -1.953626
2.040000 -10.166678 -1.958219
2.060000 -10.024609 -1.952407
2.080000 -9.885495 -1.949551
2.100000 -9.748445 -1.949467
2.120000 -9.606671 -1.946974
2.140000 -9.464283 -1.955488
2.160000 -9.323582 -1.948836
2.180000 -9.172472 -1.954522
2.200000 -9.022195 -1.954956
2.220000 -8.869339 -1.956174
2.240000 -8.715183 -1.955614
2.260000 -8.552929 -1.956930
2.280000 -8.390201 -1.962868
2.300000 -8.223237 -1.958513
2.320000 -8.056342 -1.956538
2.340000 -7.890656 -1.957561
2.360000 -7.720105 -1.957280
2.380000 -7.546939 -1.961271
2.400000 -7.366070 -1.960473
2.420000 -7.180044 -1.956020
2.440000 -6.992893 -1.958317
2.460000 -6.806112 -1.954900
2.480000 -6.617287 -1.956090
2.500000 -6.422585 -1.955936
2.520000 -6.225613 -1.958261
2.540000 -6.025830 -1.961047
2.560000 -5.823806 -1.954690
2.580000 -5.616242 -1.959115
2.600000 -5.407069 -1.948962
2.620000 -5.196596 -1.944860
2.640000 -4.983250 -1.953290
2.660000 -4.768151 -1.948108
2.680000 -4.554790 -1.941639
2.700000 -4.339734 -1.950797
2.720000 -4.127567 -1.951651
2.740000 -3.908437 -1.949761
2.760000 -3.684852 -1.947772
2.780000 -3.461206 -1.952015
2.800000 -3.230507 -1.956048
2.820000 -3.005318 -1.953107
2.840000 -2.780389 -1.947058
2.860000 -2.555317 -1.948304
2.880000 -2.333767 -1.951203
2.900000 -2.112661 -1.956790
2.920000 -1.885702 -1.956342
2.940000 -1.666684 -1.952799
2.960000 -1.445911 -1.949103
2.980000 -1.221335 -1.951861
3.000000 -0.998972 -1.952925
3.020000 -0.778652 -1.953135
3.040000 -0.558105 -1.953402
3.060000 -0.331653 -1.949467
3.080000 -0.114664 -1.950195
3.100000 0.101969 -1.948178
3.120000 0.319574 -1.951217
3.140000 0.534538 -1.951245
3.160000 0.751731 -1.951511
3.180000 0.967405 -1.940897
3.200000 1.186657 -1.944986
3.220000 1.398481 -1.942661
3.240000 1.607534 -1.947324
3.260000 1.818434 -1.952911
3.280000 2.025717 -1.944817
3.300000 2.233465 -1.948444
3.320000 2.437251 -1.950489
3.340000 2.642781 -1.952575
3.360000 2.847843 -1.947618
3.380000 3.050174 -1.956062
3.400000 3.247826 -1.950293
3.420000 3.448678 -1.953009
3.440000 3.645750 -1.947982
3.460000 3.838530 -1.952281
3.480000 4.027451 -1.948136
3.500000 4.214854 -1.956370
3.520000 4.396275 -1.953738
3.540000 4.582163 -1.953121
3.560000 4.760983 -1.952603
3.580000 4.933576 -1.957000
3.600000 5.109508 -1.953850
3.620000 5.282794 -1.957827
3.640000 5.448240 -1.945560
3.660000 5.609807 -1.954886
3.680000 5.765933 -1.946176
3.700000 5.921515 -1.950615
3.720000 6.073172 -1.951791
3.740000 6.220968 -1.956132
3.760000 6.367767 -1.944215
3.780000 6.512904 -1.947380
3.800000 6.652562 -1.940743
3.820000 6.786518 -1.944257
3.840000 6.921522 -1.950195
3.860000 7.051132 -1.947982
3.880000 7.171248 -1.950251
3.900000 7.297455 -1.944874
3.920000 7.418782 -1.945070
3.940000 7.529528 -1.944902
3.960000 7.641177 -1.946918
3.980000 7.749979 -1.947422
4.000000 7.859526 -1.953248
4.020000 7.962001 -1.944159
4.040000 8.059579 -1.948934
4.060000 8.151645 -1.953780
4.080000 8.239291 -1.940855
4.100000 8.322867 -1.946274
4.120000 8.404141 -1.942577
4.140000 8.485192 -1.951161
4.160000 8.560277 -1.943081
4.180000 8.629875 -1.944663
4.200000 8.690112 -1.948724
4.220000 8.746451 -1.947828
4.240000 8.796032 -1.954396
4.260000 8.846028 -1.958149
4.280000 8.892215 -1.949257
4.300000 8.927742 -1.947814
4.320000 8.966387 -1.956454
4.340000 9.003603 -1.948556
4.360000 9.033472 -1.956356
4.380000 9.060136 -1.943641
4.400000 9.086502 -1.947156
4.420000 9.102776 -1.950503
4.440000 9.108234 -1.951469
4.460000 9.120585 -1.947996
4.480000 9.123687 -1.946260
4.500000 9.124814 -1.942003
4.520000 9.119271 -1.955474
4.540000 9.113668 -1.953318
4.560000 9.099241 -1.956874
4.580000 9.082711 -1.955012
4.600000 9.064394 -1.943599
4.620000 9.044571 -1.943921
4.640000 9.013671 -1.952127
4.660000 8.980798 -1.947688
4.680000 8.948552 -1.948472
4.700000 8.913449 -1.952141
4.720000 8.870245 -1.956076
4.740000 8.821918 -1.950601
4.760000 8.777351 -1.947814
4.780000 8.731789 -1.950755
4.800000 8.681829 -1.954312
4.820000 8.620483 -1.953360
4.840000 8.553765 -1.947366
4.860000 8.486822 -1.949523
4.880000 8.418346 -1.952925
4.900000 8.350172 -1.947562
4.920000 8.278546 -1.956650
4.940000 8.202479 -1.958891
4.960000 8.119456 -1.954830
4.980000 8.035692 -1.947310
5.000000 7.947118 -1.948850
5.020000 7.861376 -1.952211
5.040000 7.769615 -1.951973
5.060000 7.678035 -1.949831
5.080000 7.581646 -1.943459
5.100000 7.483305 -1.950951
5.120000 7.389837 -1.945924
5.140000 7.290207 -1.943571
5.160000 7.186851 -1.955880
5.180000 7.082184 -1.950615
5.200000 6.973292 -1.961930
5.220000 6.862402 -1.949971
5.240000 6.751715 -1.949943
5.260000 6.636966 -1.948304
5.280000 6.516917 -1.939748
5.300000 6.398137 -1.951735
5.320000 6.276733 -1.954186
5.340000 6.154942 -1.946918
5.360000 6.031633 -1.951553
5.380000 5.907039 -1.946190
5.400000 5.778402 -1.949789
5.420000 5.645704 -1.944187
5.440000 5.508096 -1.936962
5.460000 5.375369 -1.942549
5.480000 5.240207 -1.949145
5.500000 5.100840 -1.946708
5.520000 4.959097 -1.945980
5.540000 4.814504 -1.942451
5.560000 4.669584 -1.946302
5.580000 4.523272 -1.948934
5.600000 4.373882 -1.945980
5.620000 4.222426 -1.944019
5.640000 4.073131 -1.951903
5.660000 3.925452 -1.949831
5.680000 3.774365 -1.952533
5.700000 3.623877 -1.949985
5.720000 3.462762 -1.938488
5.740000 3.306970 -1.950783
5.760000 3.151476 -1.946792
5.780000 2.995939 -1.953948
5.800000 2.838885 -1.943543
5.820000 2.677136 -1.943879
5.840000 2.517062 -1.946218
5.860000 2.361476 -1.942549
5.880000 2.206318 -1.952547
5.900000 2.054868 -1.945700
5.920000 1.899738 -1.947800
5.940000 1.746425 -1.946722
5.960000 1.591427 -1.951525
5.980000 1.433806 -1.943333
6.000000 1.275605 -1.946806
6.020000 1.117426 -1.948794
