% Original filename: Decay Test Spring 0Deg0003.mat
0 Deg Decay Spring Run 4 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -4.111519 -1.988004
0.020000 -4.113383 -1.988130
0.040000 -4.114900 -1.984559
0.060000 -4.116091 -1.984671
0.080000 -4.116982 -1.985707
0.100000 -4.117596 -1.988886
0.120000 -4.117957 -1.987374
0.140000 -4.118088 -1.981324
0.160000 -4.118014 -1.986758
0.180000 -4.117757 -1.977333
0.200000 -4.117343 -1.979616
0.220000 -4.116795 -1.986295
0.240000 -4.116136 -1.986071
0.260000 -4.115390 -1.985609
0.280000 -4.114581 -1.978412
0.300000 -4.113734 -1.980246
0.320000 -4.112871 -1.989698
0.340000 -4.112016 -1.984573
0.360000 -4.111194 -1.979994
0.380000 -4.110428 -1.984657
0.400000 -4.109742 -1.992527
0.420000 -4.108511 -1.980988
0.440000 -4.110687 -1.989054
0.460000 -4.111203 -1.989936
0.480000 -4.111089 -1.987318
0.500000 -4.113767 -1.982361
0.520000 -4.114467 -1.980442
0.540000 -4.114472 -1.982697
0.560000 -4.115668 -1.978538
0.580000 -4.118364 -1.981604
0.600000 -4.118150 -1.985973
0.620000 -4.116885 -1.986113
0.640000 -4.120549 -1.982164
0.660000 -4.122509 -1.979392
0.680000 -4.123600 -1.983663
0.700000 -4.125755 -1.988242
0.720000 -4.127176 -1.985469
0.740000 -4.127434 -1.977361
0.760000 -4.126535 -1.984923
0.780000 -4.125896 -1.979350
0.800000 -4.124893 -1.988424
0.820000 -4.125660 -1.990426
0.840000 -4.125220 -1.980596
0.860000 -4.126784 -1.983243
0.880000 -4.136856 -1.986211
0.900000 -4.144983 -1.981520
0.920000 -4.157717 -1.981940
0.940000 -4.168346 -1.986365
0.960000 -4.176309 -1.987402
0.980000 -4.183747 -1.975219
1.000000 -4.188650 -1.982781
1.020000 -4.184972 -1.984881
1.040000 -4.183013 -1.990903
1.060000 -4.179464 -1.985679
1.080000 -4.173504 -1.979588
1.100000 -4.165167 -1.979882
1.120000 -4.155945 -1.982725
1.140000 -4.140584 -1.990524
1.160000 -4.112954 -1.979644
1.180000 -4.076710 -1.985245
1.200000 -4.029383 -1.991421
1.220000 -3.971964 -1.983999
1.240000 -3.907305 -1.981044
1.260000 -3.832105 -1.971802
1.280000 -3.745073 -1.980120
1.300000 -3.647981 -1.981688
1.320000 -3.545121 -1.984867
1.340000 -3.432165 -1.991547
1.360000 -3.312559 -1.977809
1.380000 -3.175948 -1.983677
1.400000 -3.034117 -1.979630
1.420000 -2.881035 -1.984811
1.440000 -2.718712 -1.988368
1.460000 -2.551733 -1.985455
1.480000 -2.382537 -1.987906
1.500000 -2.213277 -1.983957
1.520000 -2.044268 -1.987752
1.540000 -1.870211 -1.985931
1.560000 -1.693101 -1.987220
