0 Deg Fixed Reg 13 11-Apr-2018
Time(s) LoadCell(N)
0.000000 0.047232
0.020000 0.078347
0.040000 0.096902
0.060000 0.012363
0.080000 0.027725
0.100000 0.071836
0.120000 0.035329
0.140000 0.057580
0.160000 0.025218
0.180000 0.003107
0.200000 0.080714
0.220000 0.039810
0.240000 0.015766
0.260000 0.047190
0.280000 0.003513
0.300000 0.074944
0.320000 0.065324
0.340000 -0.010070
0.360000 0.073194
0.380000 0.056740
0.400000 0.044963
0.420000 0.094997
0.440000 0.021368
0.460000 0.077367
0.480000 0.119321
0.500000 0.028089
0.520000 0.098960
0.540000 0.091594
0.560000 0.058420
0.580000 0.147230
0.600000 0.054808
0.620000 0.065842
0.640000 0.128381
0.660000 0.054051
0.680000 0.095165
0.700000 0.082604
0.720000 0.019869
0.740000 0.094605
0.760000 0.059093
0.780000 0.016046
0.800000 0.064484
0.820000 0.014072
0.840000 0.024714
0.860000 0.040944
0.880000 -0.021707
0.900000 0.000236
0.920000 0.010193
0.940000 -0.037867
0.960000 -0.001178
0.980000 -0.025054
1.000000 -0.042894
1.020000 -0.002340
1.040000 -0.029129
1.060000 -0.031411
1.080000 -0.005379
1.100000 -0.026734
1.120000 0.006482
1.140000 0.014310
1.160000 -0.024760
1.180000 0.009591
1.200000 0.034335
1.220000 0.021157
1.240000 0.032794
1.260000 0.028901
1.280000 0.042443
1.300000 0.077143
1.320000 0.055746
1.340000 0.037443
1.360000 0.060437
1.380000 0.052231
1.400000 0.078039
1.420000 0.047064
1.440000 0.032276
1.460000 0.059933
1.480000 0.061011
1.500000 0.046125
1.520000 0.021788
1.540000 0.028299
1.560000 0.053757
1.580000 0.043913
1.600000 0.022908
1.620000 0.008512
1.640000 0.014450
1.660000 0.046798
1.680000 0.026871
1.700000 0.003779
1.720000 0.014618
1.740000 0.005264
1.760000 0.023776
1.780000 0.009647
1.800000 -0.047725
1.820000 -0.004049
1.840000 0.007504
1.860000 -0.047361
1.880000 -0.034562
1.900000 -0.079247
1.920000 -0.056183
1.940000 -0.033988
1.960000 -0.117210
1.980000 -0.089973
2.000000 -0.109844
2.020000 -0.135680
2.040000 -0.101918
2.060000 -0.189481
2.080000 -0.190279
2.100000 -0.132529
2.120000 -0.191946
2.140000 -0.188319
2.160000 -0.199536
2.180000 -0.238367
2.200000 -0.179763
2.220000 -0.222473
2.240000 -0.266444
2.260000 -0.222039
2.280000 -0.251558
2.300000 -0.242862
2.320000 -0.240271
2.340000 -0.305639
2.360000 -0.253364
2.380000 -0.246433
2.400000 -0.288317
2.420000 -0.263503
2.440000 -0.323577
2.460000 -0.285348
2.480000 -0.233816
2.500000 -0.326042
2.520000 -0.299394
2.540000 -0.308664
2.560000 -0.322093
2.580000 -0.273459
2.600000 -0.345829
2.620000 -0.367576
2.640000 -0.327624
2.660000 -0.355911
