% Original filename: Decay 90Deg0002.mat
90 Deg Decay Run 2 2018-04-13
Time(s) Response(deg) LoadCell(N)
0.000000 9.776564 0.037557
0.020000 9.685917 0.044867
0.040000 9.587960 0.047906
0.060000 9.482817 0.045805
0.080000 9.370607 0.040022
0.100000 9.251451 0.042122
0.120000 9.125472 0.047191
0.140000 8.992789 0.040064
0.160000 8.853524 0.052443
0.180000 8.707798 0.038873
0.200000 8.555731 0.033860
0.220000 8.397446 0.039055
0.240000 8.233063 0.040806
0.260000 8.062704 0.038523
0.280000 7.886488 0.044727
0.300000 7.704538 0.034266
0.320000 7.516975 0.041044
0.340000 7.323919 0.040134
0.360000 7.125491 0.041828
0.380000 6.921814 0.037277
0.400000 6.713007 0.033272
0.420000 6.498774 0.039125
0.440000 6.279268 0.045469
0.460000 6.054383 0.040540
0.480000 5.825125 0.039896
0.500000 5.590921 0.041772
0.520000 5.352143 0.039447
0.540000 5.109544 0.039826
0.560000 4.862485 0.038173
0.580000 4.612264 0.042976
0.600000 4.357278 0.045399
0.620000 4.100065 0.039742
0.640000 3.839113 0.044139
0.660000 3.576675 0.043620
0.680000 3.310243 0.047107
0.700000 3.041606 0.039097
0.720000 2.770552 0.039517
0.740000 2.497796 0.039700
0.760000 2.223200 0.044349
0.780000 1.946578 0.041842
0.800000 1.668901 0.051490
0.820000 1.389782 0.043592
0.840000 1.109588 0.042374
0.860000 0.828690 0.044405
0.880000 0.548247 0.042248
0.900000 0.267065 0.035751
0.920000 -0.013952 0.044419
0.940000 -0.294384 0.034826
0.960000 -0.573545 0.034476
0.980000 -0.850784 0.038481
1.000000 -1.127663 0.042570
1.020000 -1.403067 0.045777
1.040000 -1.676870 0.040442
1.060000 -1.947912 0.042542
1.080000 -2.217626 0.046603
1.100000 -2.484093 0.040176
1.120000 -2.747313 0.041478
1.140000 -3.008515 0.041324
1.160000 -3.266627 0.046365
1.180000 -3.522859 0.047023
1.200000 -3.774681 0.044629
1.220000 -4.023385 0.039069
1.240000 -4.268650 0.040666
1.260000 -4.511398 0.035260
1.280000 -4.749104 0.041800
1.300000 -4.983171 0.044153
1.320000 -5.213324 0.040960
1.340000 -5.439342 0.047611
1.360000 -5.660807 0.043382
1.380000 -5.875875 0.042640
1.400000 -6.087265 0.036591
1.420000 -6.291564 0.044979
1.440000 -6.492012 0.044923
1.460000 -6.683790 0.038565
1.480000 -6.872005 0.041394
1.500000 -7.054313 0.046015
1.520000 -7.232044 0.043522
1.540000 -7.403357 0.043719
1.560000 -7.569602 0.036297
1.580000 -7.732406 0.033244
1.600000 -7.889412 0.042556
1.620000 -8.042114 0.042920
1.640000 -8.189432 0.042458
1.660000 -8.328693 0.040246
1.680000 -8.459546 0.041688
1.700000 -8.581385 0.046015
1.720000 -8.694227 0.034490
1.740000 -8.798357 0.034126
1.760000 -8.894595 0.041254
1.780000 -8.982741 0.040484
1.800000 -9.065043 0.040526
1.820000 -9.138587 0.039546
1.840000 -9.205576 0.037417
1.860000 -9.263757 0.042906
1.880000 -9.314431 0.034014
1.900000 -9.355431 0.033678
1.920000 -9.388663 0.040792
1.940000 -9.416318 0.041408
1.960000 -9.436752 0.047471
1.980000 -9.453039 0.043466
2.000000 -9.462860 0.045049
2.020000 -9.466915 0.046365
2.040000 -9.465011 0.048326
2.060000 -9.458118 0.039574
2.080000 -9.443303 0.043536
2.100000 -9.421417 0.045833
2.120000 -9.391470 0.045245
2.140000 -9.352346 0.047681
2.160000 -9.305970 0.047037
2.180000 -9.253407 0.054977
2.200000 -9.194560 0.043466
2.220000 -9.126904 0.045861
2.240000 -9.053055 0.044111
2.260000 -8.971761 0.045539
2.280000 -8.885334 0.051840
2.300000 -8.791391 0.043242
2.320000 -8.689837 0.044419
2.340000 -8.581765 0.044587
2.360000 -8.467091 0.049922
2.380000 -8.345762 0.046673
2.400000 -8.215408 0.041492
2.420000 -8.077700 0.041632
2.440000 -7.930061 0.043789
2.460000 -7.770576 0.046757
2.480000 -7.602091 0.041772
2.500000 -7.426304 0.046715
2.520000 -7.245384 0.043032
2.540000 -7.058827 0.042416
2.560000 -6.868738 0.047415
2.580000 -6.675592 0.038075
2.600000 -6.480959 0.041254
2.620000 -6.281828 0.045609
2.640000 -6.080474 0.042416
2.660000 -5.871719 0.042024
2.680000 -5.657462 0.041282
2.700000 -5.436611 0.038999
2.720000 -5.210931 0.051364
2.740000 -4.983129 0.040204
2.760000 -4.751792 0.046925
2.780000 -4.518921 0.041996
2.800000 -4.283322 0.048256
2.820000 -4.042017 0.039770
2.840000 -3.798893 0.032460
2.860000 -3.550682 0.038005
2.880000 -3.297576 0.043004
2.900000 -3.040240 0.043971
2.920000 -2.780481 0.045441
2.940000 -2.520432 0.041562
2.960000 -2.260314 0.044307
2.980000 -2.001230 0.034322
3.000000 -1.744917 0.038621
3.020000 -1.488496 0.039293
3.040000 -1.235109 0.033370
3.060000 -0.980470 0.041492
3.080000 -0.728900 0.048102
3.100000 -0.475525 0.041338
3.120000 -0.224409 0.039027
3.140000 0.026885 0.046393
3.160000 0.281829 0.047611
3.180000 0.531943 0.049530
3.200000 0.781783 0.049516
3.220000 1.027512 0.035947
3.240000 1.270584 0.040148
3.260000 1.512491 0.037641
3.280000 1.758070 0.044545
3.300000 1.994300 0.038089
3.320000 2.227094 0.039307
3.340000 2.458531 0.045021
3.360000 2.685842 0.046953
3.380000 2.913084 0.035989
3.400000 3.135481 0.039251
3.420000 3.359142 0.046211
3.440000 3.581172 0.041688
3.460000 3.810832 0.038607
3.480000 4.034620 0.052961
3.500000 4.263218 0.048270
3.520000 4.485818 0.048550
3.540000 4.703776 0.052037
3.560000 4.917739 0.039055
3.580000 5.129406 0.050454
3.600000 5.339031 0.048088
3.620000 5.549940 0.045595
3.640000 5.755320 0.047723
3.660000 5.953050 0.042920
3.680000 6.146861 0.043971
3.700000 6.339397 0.044139
3.720000 6.521278 0.040498
3.740000 6.691243 0.041478
3.760000 6.853633 0.040848
3.780000 7.010555 0.039153
3.800000 7.158156 0.045049
3.820000 7.300268 0.040372
3.840000 7.436471 0.045623
3.860000 7.568473 0.041688
3.880000 7.689360 0.040694
3.900000 7.805968 0.050748
3.920000 7.915380 0.040470
3.940000 8.019863 0.044097
3.960000 8.118094 0.049278
3.980000 8.200640 0.037669
4.000000 8.281327 0.033720
4.020000 8.353202 0.045203
4.040000 8.419426 0.043116
4.060000 8.480156 0.042248
4.080000 8.536211 0.045021
4.100000 8.578385 0.045973
4.120000 8.618406 0.048508
4.140000 8.647159 0.048830
4.160000 8.670765 0.048774
4.180000 8.690913 0.037697
4.200000 8.699807 0.047107
4.220000 8.702878 0.047093
4.240000 8.696084 0.048606
4.260000 8.688745 0.047387
4.280000 8.668446 0.050482
4.300000 8.646746 0.057386
4.320000 8.612841 0.047359
4.340000 8.572974 0.049054
4.360000 8.528885 0.037669
4.380000 8.477227 0.046393
4.400000 8.419496 0.041086
4.420000 8.359118 0.040904
4.440000 8.289010 0.043733
4.460000 8.210084 0.050062
4.480000 8.128055 0.048130
4.500000 8.041399 0.047765
4.520000 7.945540 0.046645
4.540000 7.845361 0.044363
4.560000 7.742175 0.049138
4.580000 7.630129 0.047934
4.600000 7.513034 0.053381
4.620000 7.392628 0.046939
4.640000 7.267088 0.042150
4.660000 7.137874 0.050244
4.680000 6.997954 0.044111
4.700000 6.859491 0.041562
4.720000 6.715106 0.043368
4.740000 6.567573 0.045385
4.760000 6.417542 0.046127
4.780000 6.258282 0.043789
4.800000 6.097271 0.047541
4.820000 5.933023 0.046323
4.840000 5.760523 0.041226
4.860000 5.588258 0.044587
4.880000 5.415559 0.040722
4.900000 5.237794 0.047597
4.920000 5.052959 0.046673
4.940000 4.864097 0.046085
4.960000 4.681849 0.041646
4.980000 4.492183 0.042738
5.000000 4.299074 0.049768
5.020000 4.102490 0.046253
5.040000 3.902913 0.038901
5.060000 3.706915 0.048088
5.080000 3.506679 0.041912
5.100000 3.306573 0.042486
5.120000 3.102621 0.039756
5.140000 2.895446 0.042444
5.160000 2.689266 0.046757
5.180000 2.481070 0.040218
5.200000 2.276276 0.044475
5.220000 2.069950 0.052037
5.240000 1.859579 0.047051
5.260000 1.646854 0.042528
5.280000 1.437341 0.049670
5.300000 1.229544 0.039826
5.320000 1.020730 0.041086
5.340000 0.810040 0.038369
5.360000 0.596739 0.040960
5.380000 0.387664 0.036857
5.400000 0.182689 0.044265
5.420000 -0.023430 0.036689
5.440000 -0.225881 0.040512
5.460000 -0.422547 0.035513
5.480000 -0.614063 0.043186
5.500000 -0.788272 0.042976
5.520000 -0.963488 0.035274
5.540000 -1.139509 0.025724
5.560000 -1.314983 0.028875
5.580000 -1.510832 0.037137
5.600000 -1.736105 0.033888
5.620000 -1.962695 0.037851
5.640000 -2.193255 0.044461
5.660000 -2.416226 0.035681
5.680000 -2.632432 0.042430
5.700000 -2.838535 0.042402
5.720000 -3.040265 0.036227
5.740000 -3.235233 0.040176
5.760000 -3.417494 0.025752
5.780000 -3.596521 0.039602
5.800000 -3.764494 0.041660
5.820000 -3.932416 0.043158
5.840000 -4.096563 0.033244
5.860000 -4.239221 0.037333
5.880000 -4.385681 0.048886
5.900000 -4.525344 0.044825
5.920000 -4.658331 0.049992
5.940000 -4.780580 0.046827
5.960000 -4.893584 0.045371
5.980000 -5.007003 0.035387
6.000000 -5.112842 0.041618
6.020000 -5.214471 0.039321
6.040000 -5.306066 0.043326
6.060000 -5.392539 0.039335
6.080000 -5.469657 0.040792
6.100000 -5.538306 0.042402
6.120000 -5.597443 0.044825
6.140000 -5.658094 0.037711
6.160000 -5.711350 0.037851
6.180000 -5.749458 0.041660
6.200000 -5.778688 0.042402
6.220000 -5.804460 0.044195
6.240000 -5.818143 0.027741
6.260000 -5.819125 0.033888
6.280000 -5.825633 0.037123
6.300000 -5.830682 0.042430
6.320000 -5.859973 0.045553
6.340000 -5.891530 0.038859
