90 Deg Regular Run 14 2018-04-13
Time(s) Response(deg) LoadCell(N)
0.000000 0.185702 0.021481
0.020000 0.184585 0.016370
0.040000 0.183444 0.016468
0.060000 0.182290 0.020963
0.080000 0.181132 0.020837
0.100000 0.179978 0.009634
0.120000 0.178839 0.011441
0.140000 0.177724 0.018092
0.160000 0.176641 0.018582
0.180000 0.175599 0.018582
0.200000 0.174609 0.023974
0.220000 0.173680 0.028847
0.240000 0.172820 0.018442
0.260000 0.172038 0.013163
0.280000 0.171345 0.021229
0.300000 0.170749 0.010657
0.320000 0.170260 0.019493
0.340000 0.169886 0.021663
0.360000 0.169637 0.017448
0.380000 0.169523 0.010797
0.400000 0.169552 0.025766
0.420000 0.169774 0.023344
0.440000 0.170042 0.021243
0.460000 0.170954 0.028469
0.480000 0.172137 0.021047
0.500000 0.173776 0.015264
0.520000 0.175424 0.023218
0.540000 0.177894 0.021201
0.560000 0.179875 0.026788
0.580000 0.182581 0.015460
0.600000 0.184550 0.022433
0.620000 0.186224 0.028665
0.640000 0.187933 0.024324
0.660000 0.190618 0.024366
0.680000 0.192952 0.017308
0.700000 0.193725 0.023092
0.720000 0.195781 0.024604
0.740000 0.197301 0.018610
0.760000 0.197850 0.016034
0.780000 0.199413 0.016692
0.800000 0.200545 0.027811
0.820000 0.201647 0.018835
0.840000 0.202627 0.022825
0.860000 0.202971 0.018610
0.880000 0.205553 0.025892
0.900000 0.205762 0.021047
0.920000 0.207531 0.019885
0.940000 0.208790 0.017434
0.960000 0.210003 0.020389
0.980000 0.210727 0.021467
1.000000 0.210952 0.014213
1.020000 0.210269 0.013681
1.040000 0.211070 0.019045
1.060000 0.211579 0.021355
1.080000 0.212532 0.018078
1.100000 0.213013 0.018372
1.120000 0.213448 0.019857
1.140000 0.213050 0.020039
1.160000 0.211897 0.020025
1.180000 0.212304 0.016706
1.200000 0.212002 0.011063
1.220000 0.212949 0.017070
1.240000 0.212960 0.022055
1.260000 0.213143 0.025150
1.280000 0.213244 0.020949
1.300000 0.213902 0.017686
1.320000 0.213776 0.019031
1.340000 0.214579 0.015054
1.360000 0.213332 0.021719
1.380000 0.212678 0.024590
1.400000 0.210887 0.007268
1.420000 0.209796 0.012183
1.440000 0.209013 0.010965
1.460000 0.208430 0.012953
1.480000 0.208297 0.016776
1.500000 0.205916 0.013121
1.520000 0.206850 0.011959
1.540000 0.205869 0.008234
1.560000 0.204075 0.012743
1.580000 0.202712 0.018316
1.600000 0.200551 0.012323
1.620000 0.198975 0.016300
1.640000 0.197111 0.022545
1.660000 0.195760 0.019241
1.680000 0.193635 0.017014
1.700000 0.192582 0.017546
1.720000 0.191364 0.016566
1.740000 0.190607 0.017014
1.760000 0.189445 0.018428
1.780000 0.187223 0.015278
1.800000 0.184896 0.015264
1.820000 0.182410 0.012757
1.840000 0.181799 0.015418
1.860000 0.179767 0.015572
1.880000 0.176972 0.012869
1.900000 0.173734 0.015796
1.920000 0.170601 0.016986
1.940000 0.167347 0.021257
1.960000 0.164804 0.022083
1.980000 0.162024 0.021915
2.000000 0.158602 0.019801
2.020000 0.156243 0.012435
2.040000 0.151908 0.019269
2.060000 0.148026 0.012253
2.080000 0.144875 0.016314
2.100000 0.142721 0.022671
2.120000 0.139013 0.019955
2.140000 0.136552 0.017294
2.160000 0.132892 0.019857
2.180000 0.131021 0.023288
2.200000 0.129380 0.014409
2.220000 0.127999 0.017042
2.240000 0.126836 0.023498
2.260000 0.124938 0.016328
2.280000 0.123079 0.018582
2.300000 0.120510 0.017196
2.320000 0.120184 0.021033
2.340000 0.118933 0.014227
2.360000 0.116504 0.017574
2.380000 0.112610 0.014970
2.400000 0.109800 0.010629
2.420000 0.106469 0.024982
2.440000 0.102061 0.013975
2.460000 0.099613 0.015656
2.480000 0.096486 0.013415
2.500000 0.093832 0.010433
2.520000 0.090585 0.020235
2.540000 0.087901 0.019997
2.560000 0.082165 0.019339
2.580000 0.074361 0.019325
2.600000 0.066342 0.016874
2.620000 0.059907 0.015684
2.640000 0.052638 0.014479
2.660000 0.043993 0.024100
2.680000 0.036617 0.014353
2.700000 0.027885 0.015446
2.720000 0.016899 0.018807
2.740000 0.004224 0.013163
2.760000 -0.006871 0.013135
2.780000 -0.017669 0.008920
2.800000 -0.029125 0.021901
2.820000 -0.041137 0.014045
2.840000 -0.055253 0.017056
2.860000 -0.068894 0.017070
2.880000 -0.081877 0.024898
2.900000 -0.094414 0.021019
2.920000 -0.107879 0.020361
2.940000 -0.121386 0.009144
2.960000 -0.136477 0.013541
2.980000 -0.150455 0.016398
3.000000 -0.164566 0.019899
3.020000 -0.180606 0.013359
3.040000 -0.198121 0.016020
3.060000 -0.216455 0.012309
3.080000 -0.236426 0.017560
3.100000 -0.254431 0.008962
3.120000 -0.274906 0.017784
3.140000 -0.296783 0.012757
3.160000 -0.321645 0.023848
3.180000 -0.347015 0.017168
3.200000 -0.369243 0.018260
3.220000 -0.394542 0.015474
3.240000 -0.418316 0.020627
3.260000 -0.441196 0.014479
3.280000 -0.466230 0.021901
3.300000 -0.490740 0.022181
3.320000 -0.515116 0.025402
3.340000 -0.542327 0.020053
3.360000 -0.569369 0.016748
3.380000 -0.596288 0.025584
3.400000 -0.620862 0.015964
3.420000 -0.643935 0.025430
3.440000 -0.668906 0.017560
3.460000 -0.693222 0.014998
3.480000 -0.719269 0.021775
3.500000 -0.748592 0.021775
3.520000 -0.776230 0.019045
3.540000 -0.801113 0.021103
3.560000 -0.824246 0.011315
3.580000 -0.847378 0.016090
3.600000 -0.872388 0.018260
3.620000 -0.895881 0.021719
3.640000 -0.919274 0.018064
3.660000 -0.940936 0.022349
3.680000 -0.960250 0.015054
3.700000 -0.980956 0.029925
3.720000 -1.001768 0.018232
3.740000 -1.021691 0.023064
3.760000 -1.040278 0.022797
3.780000 -1.056635 0.020221
3.800000 -1.072395 0.018989
3.820000 -1.088618 0.024898
3.840000 -1.103332 0.019969
3.860000 -1.119773 0.024646
3.880000 -1.133726 0.021719
3.900000 -1.145500 0.018975
3.920000 -1.159082 0.016146
3.940000 -1.170311 0.026942
3.960000 -1.180179 0.019339
3.980000 -1.185082 0.025122
4.000000 -1.190191 0.029729
4.020000 -1.192691 0.017322
4.040000 -1.190729 0.028623
4.060000 -1.190238 0.021537
4.080000 -1.185386 0.017084
4.100000 -1.180613 0.022615
4.120000 -1.173213 0.022251
4.140000 -1.166110 0.023148
4.160000 -1.153704 0.023218
4.180000 -1.142145 0.021313
4.200000 -1.124559 0.015572
4.220000 -1.108575 0.011161
4.240000 -1.089465 0.013723
4.260000 -1.067550 0.017784
4.280000 -1.044207 0.018218
4.300000 -1.018289 0.023708
4.320000 -0.986736 0.012393
4.340000 -0.953333 0.018414
4.360000 -0.916585 0.021173
4.380000 -0.878099 0.022559
4.400000 -0.836067 0.018807
4.420000 -0.791573 0.013415
4.440000 -0.743050 0.024996
4.460000 -0.689702 0.015096
4.480000 -0.633979 0.019647
4.500000 -0.578136 0.010853
4.520000 -0.516495 0.020473
4.540000 -0.451907 0.018148
4.560000 -0.385701 0.020627
4.580000 -0.316445 0.023596
4.600000 -0.244712 0.011875
4.620000 -0.169688 0.017994
4.640000 -0.093188 0.011413
4.660000 -0.014094 0.022167
4.680000 0.072671 0.015908
4.700000 0.162642 0.017028
4.720000 0.253726 0.021705
4.740000 0.348444 0.019339
4.760000 0.446745 0.019857
4.780000 0.549898 0.018554
4.800000 0.655038 0.016440
4.820000 0.766191 0.022517
4.840000 0.879246 0.021761
4.860000 0.992564 0.013345
4.880000 1.111569 0.006442
4.900000 1.231065 0.020263
4.920000 1.354638 0.012519
4.940000 1.479504 0.020977
4.960000 1.610470 0.016160
4.980000 1.741813 0.021159
5.000000 1.880059 0.013149
5.020000 2.015241 0.019409
5.040000 2.159127 0.020263
5.060000 2.301021 0.017896
5.080000 2.445041 0.021929
5.100000 2.591047 0.013723
5.120000 2.739874 0.008570
5.140000 2.888425 0.012183
5.160000 3.037875 0.022966
5.180000 3.187717 0.019171
5.200000 3.339900 0.021747
5.220000 3.491867 0.023428
5.240000 3.646964 0.024324
5.260000 3.798040 0.023148
5.280000 3.948341 0.025402
5.300000 4.099281 0.014437
5.320000 4.248985 0.020683
5.340000 4.397176 0.019087
5.360000 4.543345 0.018372
5.380000 4.690066 0.021999
5.400000 4.832470 0.010531
5.420000 4.974547 0.021607
