% Original filename: Decay Test 0Deg No StringPot0010.mat
0 Deg Decay NoStringPot Run 1 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -12.271118 -1.942871
0.020000 -12.268865 -1.940785
0.040000 -12.266878 -1.946148
0.060000 -12.265142 -1.939468
0.080000 -12.263645 -1.944845
0.100000 -12.262375 -1.943851
0.120000 -12.261319 -1.945294
0.140000 -12.260465 -1.945518
0.160000 -12.259799 -1.947072
0.180000 -12.259309 -1.937746
0.200000 -12.258983 -1.944481
0.220000 -12.258807 -1.936878
0.240000 -12.258770 -1.936780
0.260000 -12.258858 -1.947968
0.280000 -12.259059 -1.946918
0.300000 -12.259360 -1.946624
0.320000 -12.259749 -1.944089
0.340000 -12.260213 -1.947310
0.360000 -12.260739 -1.949271
0.380000 -12.261315 -1.945700
0.400000 -12.261928 -1.946358
0.420000 -12.263511 -1.948430
0.440000 -12.262561 -1.944019
0.460000 -12.262604 -1.942829
0.480000 -12.262119 -1.944341
0.500000 -12.263384 -1.946484
0.520000 -12.263793 -1.943963
0.540000 -12.264561 -1.944313
0.560000 -12.265361 -1.945910
0.580000 -12.265416 -1.946932
0.600000 -12.266005 -1.946974
0.620000 -12.265221 -1.948612
0.640000 -12.265464 -1.948304
0.660000 -12.265612 -1.946680
0.680000 -12.267418 -1.944481
0.700000 -12.266831 -1.947268
0.720000 -12.265527 -1.941569
0.740000 -12.265732 -1.948738
0.760000 -12.262235 -1.943753
0.780000 -12.260722 -1.948514
0.800000 -12.260255 -1.949677
0.820000 -12.261125 -1.950069
0.840000 -12.260342 -1.941877
0.860000 -12.257968 -1.939650
0.880000 -12.257432 -1.951987
0.900000 -12.256075 -1.944047
0.920000 -12.257706 -1.946288
0.940000 -12.257467 -1.941653
0.960000 -12.255196 -1.943151
0.980000 -12.255148 -1.947240
1.000000 -12.254986 -1.948024
1.020000 -12.255423 -1.945406
1.040000 -12.256560 -1.941051
1.060000 -12.257300 -1.942213
1.080000 -12.257362 -1.950139
1.100000 -12.256980 -1.944383
1.120000 -12.258072 -1.943977
1.140000 -12.259352 -1.939734
1.160000 -12.259947 -1.943403
1.180000 -12.259720 -1.943557
1.200000 -12.260509 -1.949173
1.220000 -12.260094 -1.943529
1.240000 -12.260268 -1.951819
1.260000 -12.262536 -1.946260
1.280000 -12.262316 -1.955124
1.300000 -12.263027 -1.947464
1.320000 -12.265019 -1.946442
1.340000 -12.265973 -1.939440
1.360000 -12.265800 -1.944271
1.380000 -12.266360 -1.946456
1.400000 -12.266670 -1.938082
1.420000 -12.266933 -1.943459
1.440000 -12.268017 -1.950335
1.460000 -12.267480 -1.945756
1.480000 -12.266717 -1.939818
1.500000 -12.266081 -1.942731
1.520000 -12.264228 -1.948976
1.540000 -12.264641 -1.945070
1.560000 -12.261477 -1.948024
1.580000 -12.261129 -1.937648
1.600000 -12.260598 -1.946722
1.620000 -12.260628 -1.945742
1.640000 -12.259949 -1.941793
1.660000 -12.259623 -1.949719
1.680000 -12.259211 -1.947590
1.700000 -12.258324 -1.951847
1.720000 -12.258691 -1.933405
1.740000 -12.256601 -1.954900
1.760000 -12.257376 -1.948010
1.780000 -12.261278 -1.946456
1.800000 -12.267799 -1.949257
1.820000 -12.277175 -1.943095
1.840000 -12.287631 -1.948780
1.860000 -12.297924 -1.942885
1.880000 -12.309120 -1.941345
1.900000 -12.319713 -1.939454
1.920000 -12.332030 -1.945182
1.940000 -12.342860 -1.945238
1.960000 -12.354167 -1.949229
1.980000 -12.367308 -1.947478
2.000000 -12.378466 -1.951511
2.020000 -12.390058 -1.951861
2.040000 -12.402677 -1.952771
2.060000 -12.414501 -1.952939
2.080000 -12.431452 -1.949971
2.100000 -12.453364 -1.946750
2.120000 -12.467912 -1.942437
2.140000 -12.482884 -1.936822
2.160000 -12.495666 -1.944355
2.180000 -12.506137 -1.944944
2.200000 -12.514586 -1.945378
2.220000 -12.514997 -1.950965
2.240000 -12.518687 -1.948906
2.260000 -12.515336 -1.943445
2.280000 -12.512639 -1.947758
2.300000 -12.505722 -1.947352
2.320000 -12.494130 -1.941933
2.340000 -12.481729 -1.940855
2.360000 -12.463345 -1.947226
2.380000 -12.438304 -1.948206
2.400000 -12.411970 -1.943221
2.420000 -12.374717 -1.942745
2.440000 -12.333994 -1.945322
2.460000 -12.294721 -1.946624
2.480000 -12.248950 -1.944411
2.500000 -12.200655 -1.946008
2.520000 -12.148240 -1.948598
2.540000 -12.088496 -1.944467
2.560000 -12.029217 -1.944705
2.580000 -11.964826 -1.944383
2.600000 -11.894486 -1.941023
2.620000 -11.818157 -1.944635
2.640000 -11.734180 -1.943473
2.660000 -11.644948 -1.952365
2.680000 -11.555593 -1.947072
2.700000 -11.463773 -1.940630
2.720000 -11.366250 -1.939608
2.740000 -11.264745 -1.946554
2.760000 -11.161198 -1.946106
2.780000 -11.053923 -1.940014
2.800000 -10.943745 -1.940658
2.820000 -10.835134 -1.938152
2.840000 -10.727032 -1.939706
2.860000 -10.617156 -1.946344
2.880000 -10.509724 -1.941051
2.900000 -10.393279 -1.940322
2.920000 -10.264592 -1.939090
2.940000 -10.140795 -1.941821
2.960000 -10.010612 -1.945014
2.980000 -9.878395 -1.943935
3.000000 -9.743663 -1.944565
3.020000 -9.602457 -1.944579
3.040000 -9.467597 -1.941863
3.060000 -9.322496 -1.947814
3.080000 -9.177540 -1.950489
3.100000 -9.028219 -1.938516
3.120000 -8.873393 -1.938376
3.140000 -8.714698 -1.937984
3.160000 -8.551892 -1.943011
3.180000 -8.383846 -1.938390
3.200000 -8.217085 -1.945532
3.220000 -8.044451 -1.948234
3.240000 -7.873657 -1.946806
3.260000 -7.699177 -1.956398
3.280000 -7.515234 -1.948948
3.300000 -7.329941 -1.946932
3.320000 -7.137385 -1.945294
3.340000 -6.945896 -1.940855
3.360000 -6.749332 -1.947786
3.380000 -6.546696 -1.947072
3.400000 -6.338852 -1.944257
3.420000 -6.132667 -1.945154
3.440000 -5.922752 -1.945532
3.460000 -5.716771 -1.946092
3.480000 -5.505980 -1.940925
3.500000 -5.293085 -1.944986
3.520000 -5.073855 -1.949747
3.540000 -4.856220 -1.938474
3.560000 -4.632828 -1.943025
3.580000 -4.410391 -1.937606
3.600000 -4.188259 -1.946554
3.620000 -3.965710 -1.940504
3.640000 -3.743904 -1.941275
3.660000 -3.516676 -1.940897
3.680000 -3.291343 -1.940154
3.700000 -3.058602 -1.937634
3.720000 -2.825734 -1.951105
3.740000 -2.596275 -1.943977
3.760000 -2.362413 -1.948346
3.780000 -2.135883 -1.943389
3.800000 -1.900216 -1.945532
3.820000 -1.667826 -1.936892
3.840000 -1.436002 -1.944355
3.860000 -1.202500 -1.938068
3.880000 -0.972051 -1.941219
3.900000 -0.736960 -1.946022
3.920000 -0.504796 -1.944187
3.940000 -0.275796 -1.944089
3.960000 -0.046110 -1.935519
3.980000 0.185431 -1.943767
4.000000 0.416003 -1.948626
4.020000 0.642614 -1.949271
4.040000 0.867734 -1.945350
4.060000 1.096060 -1.937998
4.080000 1.320640 -1.948836
4.100000 1.544470 -1.945378
4.120000 1.767446 -1.947282
4.140000 1.986708 -1.946904
4.160000 2.212868 -1.938950
4.180000 2.433329 -1.936163
4.200000 2.651683 -1.936135
4.220000 2.867455 -1.945126
4.240000 3.080233 -1.941933
4.260000 3.292038 -1.947954
4.280000 3.504946 -1.944047
4.300000 3.714246 -1.948752
4.320000 3.924667 -1.946092
4.340000 4.132767 -1.943291
4.360000 4.338152 -1.944845
4.380000 4.537946 -1.947394
4.400000 4.737222 -1.948570
4.420000 4.934553 -1.948710
4.440000 5.130352 -1.945546
4.460000 5.323351 -1.943151
4.480000 5.513187 -1.943165
4.500000 5.701428 -1.941905
4.520000 5.883893 -1.947394
4.540000 6.064405 -1.945518
4.560000 6.244192 -1.941135
4.580000 6.421291 -1.944341
4.600000 6.597687 -1.945350
4.620000 6.762287 -1.953794
4.640000 6.927183 -1.951399
4.660000 7.086589 -1.938516
4.680000 7.242797 -1.938544
4.700000 7.402497 -1.943081
4.720000 7.550018 -1.946134
4.740000 7.697248 -1.945182
4.760000 7.844806 -1.944453
4.780000 7.984426 -1.943935
4.800000 8.119056 -1.944201
4.820000 8.247202 -1.944607
4.840000 8.371911 -1.942143
4.860000 8.499982 -1.947576
4.880000 8.619065 -1.952071
4.900000 8.733107 -1.943767
4.920000 8.845145 -1.950433
4.940000 8.954479 -1.946344
4.960000 9.060244 -1.943025
4.980000 9.159470 -1.945434
5.000000 9.256870 -1.949004
5.020000 9.349969 -1.941191
5.040000 9.436452 -1.946750
5.060000 9.522592 -1.946834
5.080000 9.600072 -1.939944
5.100000 9.675115 -1.949061
5.120000 9.744705 -1.944845
5.140000 9.808348 -1.948388
5.160000 9.866753 -1.948108
5.180000 9.927180 -1.943277
5.200000 9.980883 -1.952743
5.220000 10.028950 -1.947002
5.240000 10.073280 -1.947296
5.260000 10.112554 -1.948402
5.280000 10.151463 -1.953892
5.300000 10.182205 -1.946106
5.320000 10.209140 -1.947520
5.340000 10.234624 -1.943599
5.360000 10.253778 -1.937788
5.380000 10.266116 -1.944271
5.400000 10.268198 -1.945714
5.420000 10.271614 -1.938922
5.440000 10.273235 -1.939482
5.460000 10.270820 -1.948346
5.480000 10.262484 -1.950405
5.500000 10.250472 -1.952337
5.520000 10.232872 -1.939328
5.540000 10.209526 -1.949859
5.560000 10.182444 -1.941457
5.580000 10.149453 -1.942381
5.600000 10.113068 -1.943319
5.620000 10.072214 -1.948038
5.640000 10.030537 -1.961678
5.660000 9.986872 -1.945126
5.680000 9.934845 -1.954130
5.700000 9.878966 -1.939398
5.720000 9.821127 -1.940084
5.740000 9.755275 -1.946470
5.760000 9.689016 -1.948206
5.780000 9.619714 -1.946498
5.800000 9.544935 -1.943053
5.820000 9.466157 -1.943963
5.840000 9.384926 -1.951049
5.860000 9.298740 -1.945672
5.880000 9.205249 -1.951819
5.900000 9.109223 -1.945518
5.920000 9.010873 -1.944733
5.940000 8.913420 -1.949915
5.960000 8.813288 -1.946736
5.980000 8.712766 -1.939622
6.000000 8.604904 -1.940883
6.020000 8.496287 -1.944944
6.040000 8.386549 -1.940560
6.060000 8.272110 -1.942661
6.080000 8.151511 -1.945770
6.100000 8.029642 -1.946134
6.120000 7.907146 -1.943375
6.140000 7.782582 -1.948738
6.160000 7.652157 -1.944986
6.180000 7.523825 -1.941863
6.200000 7.391720 -1.947842
6.220000 7.258065 -1.946750
6.240000 7.120017 -1.956678
6.260000 6.977679 -1.954886
6.280000 6.833914 -1.951455
6.300000 6.688291 -1.951805
6.320000 6.539908 -1.943487
6.340000 6.386627 -1.944243
6.360000 6.230886 -1.947758
6.380000 6.074018 -1.950489
6.400000 5.916298 -1.949957
6.420000 5.759583 -1.945980
6.440000 5.596259 -1.939020
6.460000 5.429874 -1.957547
6.480000 5.261180 -1.948514
6.500000 5.089362 -1.950629
6.520000 4.917116 -1.945756
6.540000 4.743127 -1.949355
6.560000 4.569354 -1.948626
6.580000 4.388066 -1.953051
6.600000 4.208669 -1.944691
6.620000 4.029203 -1.944019
6.640000 3.848248 -1.939370
6.660000 3.664345 -1.949831
6.680000 3.473130 -1.947352
6.700000 3.285786 -1.945924
6.720000 3.104599 -1.949635
6.740000 2.921187 -1.952407
6.760000 2.735819 -1.948374
6.780000 2.554125 -1.953065
6.800000 2.366065 -1.938264
6.820000 2.178376 -1.945952
6.840000 1.989215 -1.938124
6.860000 1.800724 -1.957168
6.880000 1.612344 -1.950083
6.900000 1.430150 -1.950615
6.920000 1.244209 -1.949313
6.940000 1.057248 -1.945112
6.960000 0.871003 -1.943347
6.980000 0.685668 -1.948920
7.000000 0.495171 -1.943207
7.020000 0.307913 -1.952981
7.040000 0.122129 -1.947870
7.060000 -0.061345 -1.950671
7.080000 -0.244297 -1.957308
7.100000 -0.428522 -1.952953
7.120000 -0.610667 -1.950965
7.140000 -0.789924 -1.950027
7.160000 -0.971047 -1.949103
7.180000 -1.146823 -1.954396
7.200000 -1.321212 -1.952589
7.220000 -1.496693 -1.955320
7.240000 -1.674862 -1.951749
7.260000 -1.844898 -1.956916
7.280000 -2.017496 -1.949915
7.300000 -2.192540 -1.943725
7.320000 -2.365694 -1.950895
7.340000 -2.538606 -1.943683
7.360000 -2.707441 -1.945910
7.380000 -2.874622 -1.951035
7.400000 -3.039158 -1.947338
7.420000 -3.204066 -1.946638
7.440000 -3.368854 -1.953163
7.460000 -3.529661 -1.943977
7.480000 -3.691287 -1.945210
7.500000 -3.846813 -1.943333
7.520000 -3.997452 -1.951483
7.540000 -4.153239 -1.947478
7.560000 -4.303923 -1.940014
7.580000 -4.453589 -1.943557
7.600000 -4.605704 -1.945868
7.620000 -4.750056 -1.944145
7.640000 -4.895341 -1.954074
7.660000 -5.034372 -1.946946
7.680000 -5.174809 -1.947702
7.700000 -5.308779 -1.943809
7.720000 -5.445839 -1.942017
7.740000 -5.576726 -1.948206
7.760000 -5.706581 -1.945448
7.780000 -5.835633 -1.944831
7.800000 -5.958931 -1.948052
7.820000 -6.079674 -1.946204
7.840000 -6.197095 -1.945714
7.860000 -6.308709 -1.941387
7.880000 -6.418528 -1.949145
7.900000 -6.526842 -1.946036
7.920000 -6.629132 -1.953248
7.940000 -6.726757 -1.951119
7.960000 -6.820236 -1.952631
7.980000 -6.911946 -1.948150
8.000000 -7.001735 -1.953065
8.020000 -7.086690 -1.939930
8.040000 -7.170097 -1.946372
8.060000 -7.249253 -1.953710
8.080000 -7.328988 -1.947940
8.100000 -7.403165 -1.952379
8.120000 -7.472692 -1.945896
8.140000 -7.538310 -1.951497
8.160000 -7.600252 -1.948752
8.180000 -7.661953 -1.953346
8.200000 -7.721184 -1.954102
8.220000 -7.774946 -1.946064
8.240000 -7.824924 -1.939650
8.260000 -7.869383 -1.943501
8.280000 -7.912281 -1.946764
8.300000 -7.953931 -1.943039
8.320000 -7.991467 -1.949775
8.340000 -8.028960 -1.945168
8.360000 -8.055177 -1.944537
8.380000 -8.081341 -1.949383
8.400000 -8.106253 -1.957098
8.420000 -8.124784 -1.945714
8.440000 -8.141392 -1.951049
8.460000 -8.152949 -1.950755
8.480000 -8.159786 -1.942227
8.500000 -8.161406 -1.944747
8.520000 -8.168068 -1.948780
8.540000 -8.163860 -1.939818
8.560000 -8.160430 -1.944453
8.580000 -8.150864 -1.950741
8.600000 -8.138160 -1.940743
8.620000 -8.120657 -1.950979
8.640000 -8.098079 -1.955698
8.660000 -8.071982 -1.951945
8.680000 -8.047568 -1.953009
8.700000 -8.015877 -1.953318
8.720000 -7.979363 -1.951077
8.740000 -7.940236 -1.951329
8.760000 -7.896634 -1.950811
8.780000 -7.858302 -1.949579
8.800000 -7.810285 -1.946498
8.820000 -7.758818 -1.949901
8.840000 -7.707585 -1.945126
8.860000 -7.652487 -1.950069
8.880000 -7.592080 -1.950265
8.900000 -7.530434 -1.946988
8.920000 -7.469839 -1.952925
8.940000 -7.401857 -1.957911
8.960000 -7.329487 -1.953528
8.980000 -7.256690 -1.942801
9.000000 -7.182977 -1.946050
9.020000 -7.104569 -1.949565
9.040000 -7.020705 -1.951007
9.060000 -6.935888 -1.953290
9.080000 -6.848889 -1.950027
9.100000 -6.765657 -1.947114
9.120000 -6.677450 -1.949369
9.140000 -6.583065 -1.952799
9.160000 -6.485116 -1.952155
9.180000 -6.387011 -1.955264
9.200000 -6.282991 -1.950853
9.220000 -6.174080 -1.945728
9.240000 -6.065160 -1.948318
9.260000 -5.953817 -1.949453
9.280000 -5.842873 -1.950447
9.300000 -5.733750 -1.948276
9.320000 -5.618912 -1.946764
9.340000 -5.496664 -1.954046
9.360000 -5.375519 -1.952435
9.380000 -5.249421 -1.949509
9.400000 -5.124369 -1.949061
9.420000 -4.996924 -1.949873
9.440000 -4.869850 -1.951287
9.460000 -4.737553 -1.947268
9.480000 -4.603701 -1.953584
9.500000 -4.466096 -1.962378
9.520000 -4.329779 -1.947688
9.540000 -4.191049 -1.959101
9.560000 -4.052068 -1.943361
9.580000 -3.916110 -1.942017
9.600000 -3.773521 -1.951721
9.620000 -3.634404 -1.952981
9.640000 -3.495482 -1.946862
9.660000 -3.353388 -1.956748
9.680000 -3.209757 -1.953654
9.700000 -3.066628 -1.948332
9.720000 -2.920066 -1.955474
9.740000 -2.773923 -1.951735
9.760000 -2.628240 -1.952911
9.780000 -2.482688 -1.955110
9.800000 -2.336043 -1.957673
9.820000 -2.186772 -1.959143
9.840000 -2.036853 -1.955026
9.860000 -1.888954 -1.951245
9.880000 -1.738139 -1.947926
9.900000 -1.588630 -1.957449
9.920000 -1.434128 -1.955334
9.940000 -1.279386 -1.959843
9.960000 -1.124545 -1.961187
9.980000 -0.969401 -1.963736
10.000000 -0.816173 -1.957322
10.020000 -0.667641 -1.963316
10.040000 -0.519176 -1.950601
10.060000 -0.369306 -1.948528
10.080000 -0.219796 -1.952057
10.100000 -0.062212 -1.957659
10.120000 0.095734 -1.954606
10.140000 0.250005 -1.951791
10.160000 0.401626 -1.958163
10.180000 0.554104 -1.954270
10.200000 0.707453 -1.954606
10.220000 0.859594 -1.956482
10.240000 1.014689 -1.953248
10.260000 1.163980 -1.955264
10.280000 1.307978 -1.956132
10.300000 1.453877 -1.950419
10.320000 1.597143 -1.944958
10.340000 1.738504 -1.958135
10.360000 1.877250 -1.957182
10.380000 2.017654 -1.951203
10.400000 2.154891 -1.946666
10.420000 2.290242 -1.949173
10.440000 2.424533 -1.950041
10.460000 2.558400 -1.943641
10.480000 2.693786 -1.952505
10.500000 2.820996 -1.955068
10.520000 2.953029 -1.953780
10.540000 3.081124 -1.957645
10.560000 3.207981 -1.957603
10.580000 3.335674 -1.950363
10.600000 3.459551 -1.959073
10.620000 3.583814 -1.953556
10.640000 3.709138 -1.952001
10.660000 3.831846 -1.951875
10.680000 3.952627 -1.954354
10.700000 4.067266 -1.955082
10.720000 4.182159 -1.957463
10.740000 4.293964 -1.957196
10.760000 4.402872 -1.950125
10.780000 4.507601 -1.947660
10.800000 4.612156 -1.952603
10.820000 4.716928 -1.947940
10.840000 4.823446 -1.958891
10.860000 4.927116 -1.946022
10.880000 5.029854 -1.954886
10.900000 5.130704 -1.955208
10.920000 5.223358 -1.951329
10.940000 5.308966 -1.953794
10.960000 5.399818 -1.954242
10.980000 5.490573 -1.953934
11.000000 5.573824 -1.956258
11.020000 5.650840 -1.957126
11.040000 5.726105 -1.959549
11.060000 5.796191 -1.946386
11.080000 5.869544 -1.950993
11.100000 5.943592 -1.945476
11.120000 6.010934 -1.955068
11.140000 6.077157 -1.944355
11.160000 6.138536 -1.947338
11.180000 6.200401 -1.957210
11.200000 6.253879 -1.952589
11.220000 6.307185 -1.945280
11.240000 6.359154 -1.947982
11.260000 6.405338 -1.945252
11.280000 6.449709 -1.946946
11.300000 6.485116 -1.945896
11.320000 6.523828 -1.947758
11.340000 6.556484 -1.944243
11.360000 6.587127 -1.941471
11.380000 6.619202 -1.945994
11.400000 6.645290 -1.949467
11.420000 6.666895 -1.950377
11.440000 6.687340 -1.943095
11.460000 6.704984 -1.948108
11.480000 6.720807 -1.949999
11.500000 6.731220 -1.951315
11.520000 6.741605 -1.952477
11.540000 6.750467 -1.951539
11.560000 6.754382 -1.949845
11.580000 6.755343 -1.945462
11.600000 6.756326 -1.955642
11.620000 6.752693 -1.948402
11.640000 6.746345 -1.948304
11.660000 6.737483 -1.949481
11.680000 6.725034 -1.946806
11.700000 6.712104 -1.949523
11.720000 6.690570 -1.955040
11.740000 6.669264 -1.952365
11.760000 6.648114 -1.951343
11.780000 6.619475 -1.948430
11.800000 6.589861 -1.951707
11.820000 6.559593 -1.957575
11.840000 6.525961 -1.956762
11.860000 6.494360 -1.948906
11.880000 6.456180 -1.948584
11.900000 6.417420 -1.957967
11.920000 6.371612 -1.947086
11.940000 6.323348 -1.945406
11.960000 6.272491 -1.947674
11.980000 6.217238 -1.949523
12.000000 6.160371 -1.959815
12.020000 6.101014 -1.951399
12.040000 6.036948 -1.951329
12.060000 5.968783 -1.949761
12.080000 5.898219 -1.946330
12.100000 5.826073 -1.954508
12.120000 5.754679 -1.953065
12.140000 5.682111 -1.944033
12.160000 5.606007 -1.951133
12.180000 5.528178 -1.958247
12.200000 5.446870 -1.948346
12.220000 5.362673 -1.949047
12.240000 5.284544 -1.950139
12.260000 5.201609 -1.944845
12.280000 5.112713 -1.943921
12.300000 5.021851 -1.959059
12.320000 4.930431 -1.949663
12.340000 4.838730 -1.955558
12.360000 4.742020 -1.953248
12.380000 4.641744 -1.954312
12.400000 4.539954 -1.953023
12.420000 4.440174 -1.956342
12.440000 4.340006 -1.957000
12.460000 4.237924 -1.956426
12.480000 4.133184 -1.953234
12.500000 4.027906 -1.954466
12.520000 3.918876 -1.958205
12.540000 3.811672 -1.955138
12.560000 3.701913 -1.951777
12.580000 3.590730 -1.955992
12.600000 3.475092 -1.948724
12.620000 3.360291 -1.956748
12.640000 3.244000 -1.955152
12.660000 3.132495 -1.949607
12.680000 3.011516 -1.945658
12.700000 2.893282 -1.954326
12.720000 2.773672 -1.953696
12.740000 2.655955 -1.946246
12.760000 2.537185 -1.951273
12.780000 2.410500 -1.948598
12.800000 2.286718 -1.948850
12.820000 2.161402 -1.950237
12.840000 2.036037 -1.955152
12.860000 1.913481 -1.950111
12.880000 1.789632 -1.943599
12.900000 1.663450 -1.941135
