% Original filename: Decay Test 0Deg0008.mat
0 Deg Decay Run 3 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -6.817899 -1.951203
0.020000 -6.820470 -1.948038
0.040000 -6.822772 -1.959647
0.060000 -6.824818 -1.953836
0.080000 -6.826619 -1.957729
0.100000 -6.828185 -1.949845
0.120000 -6.829528 -1.956202
0.140000 -6.830659 -1.955124
0.160000 -6.831588 -1.949103
0.180000 -6.832328 -1.943221
0.200000 -6.832890 -1.954704
0.220000 -6.833283 -1.955432
0.240000 -6.833521 -1.941695
0.260000 -6.833613 -1.953920
0.280000 -6.833571 -1.950965
0.300000 -6.833406 -1.949845
0.320000 -6.833130 -1.948654
0.340000 -6.832752 -1.947114
0.360000 -6.832286 -1.949327
0.380000 -6.831741 -1.952617
0.400000 -6.831129 -1.944789
0.420000 -6.832856 -1.955390
0.440000 -6.830140 -1.949369
0.460000 -6.830195 -1.948976
0.480000 -6.829638 -1.947114
0.500000 -6.830099 -1.948528
0.520000 -6.829998 -1.956104
0.540000 -6.828623 -1.942171
0.560000 -6.827303 -1.940462
0.580000 -6.826649 -1.945882
0.600000 -6.825974 -1.950097
0.620000 -6.824502 -1.947590
0.640000 -6.823872 -1.944775
0.660000 -6.822030 -1.944691
0.680000 -6.822261 -1.949187
0.700000 -6.818986 -1.948486
0.720000 -6.818457 -1.948878
0.740000 -6.818941 -1.954172
0.760000 -6.818878 -1.948220
0.780000 -6.818255 -1.949915
0.800000 -6.819198 -1.950755
0.820000 -6.820054 -1.947520
0.840000 -6.820166 -1.952393
0.860000 -6.821200 -1.958121
0.880000 -6.822012 -1.953360
0.900000 -6.824720 -1.950699
0.920000 -6.828133 -1.948234
0.940000 -6.828223 -1.944845
0.960000 -6.829292 -1.959549
0.980000 -6.828175 -1.953556
1.000000 -6.828417 -1.952701
1.020000 -6.827931 -1.944145
1.040000 -6.827382 -1.948962
1.060000 -6.828071 -1.943879
1.080000 -6.828021 -1.945546
1.100000 -6.827066 -1.950181
1.120000 -6.826782 -1.943417
1.140000 -6.827708 -1.946372
1.160000 -6.828572 -1.949425
1.180000 -6.827864 -1.948206
1.200000 -6.828231 -1.948934
1.220000 -6.827745 -1.955194
1.240000 -6.827060 -1.945420
1.260000 -6.828087 -1.949201
1.280000 -6.828197 -1.944803
1.300000 -6.829536 -1.945490
1.320000 -6.826585 -1.949817
1.340000 -6.824627 -1.951651
1.360000 -6.823551 -1.944888
1.380000 -6.823901 -1.946624
