% Original filename: Decay Test Spring 0Deg0005.mat
0 Deg Decay Spring Run 6 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -3.797993 -1.976633
0.020000 -3.796026 -1.978804
0.040000 -3.794118 -1.979392
0.060000 -3.792269 -1.981002
0.080000 -3.790478 -1.981576
0.100000 -3.788747 -1.974323
0.120000 -3.787074 -1.976899
0.140000 -3.785462 -1.981156
0.160000 -3.783909 -1.976143
0.180000 -3.782415 -1.980610
0.200000 -3.780982 -1.983201
0.220000 -3.779609 -1.980652
0.240000 -3.778296 -1.981016
0.260000 -3.777044 -1.976437
0.280000 -3.775852 -1.980456
0.300000 -3.774722 -1.975513
0.320000 -3.773652 -1.977347
0.340000 -3.772644 -1.970780
0.360000 -3.771697 -1.989124
0.380000 -3.770811 -1.983649
0.400000 -3.769988 -1.972558
0.420000 -3.770043 -1.982557
0.440000 -3.766381 -1.973146
0.460000 -3.765272 -1.980876
0.480000 -3.764360 -1.983187
0.500000 -3.766411 -1.984321
0.520000 -3.768475 -1.975471
0.540000 -3.768346 -1.980190
0.560000 -3.769718 -1.986996
0.580000 -3.767275 -1.978664
0.600000 -3.769808 -1.979406
0.620000 -3.769626 -1.973314
0.640000 -3.771337 -1.977165
0.660000 -3.771431 -1.976885
0.680000 -3.771692 -1.981548
0.700000 -3.768234 -1.981730
0.720000 -3.766150 -1.975023
0.740000 -3.762303 -1.983579
0.760000 -3.762478 -1.980960
0.780000 -3.763639 -1.978566
0.800000 -3.760498 -1.979700
0.820000 -3.761081 -1.980778
0.840000 -3.760168 -1.976535
0.860000 -3.758968 -1.982809
0.880000 -3.761116 -1.984111
0.900000 -3.762150 -1.978930
0.920000 -3.762359 -1.984251
0.940000 -3.762379 -1.981240
0.960000 -3.761576 -1.979700
0.980000 -3.762789 -1.985105
1.000000 -3.765847 -1.981170
1.020000 -3.766937 -1.982991
1.040000 -3.768170 -1.984797
1.060000 -3.769562 -1.984629
1.080000 -3.769003 -1.985371
1.100000 -3.768927 -1.990721
1.120000 -3.767093 -1.983481
1.140000 -3.767436 -1.982431
1.160000 -3.767445 -1.982823
1.180000 -3.769213 -1.986702
1.200000 -3.771172 -1.976605
1.220000 -3.772555 -1.971060
1.240000 -3.771879 -1.978356
1.260000 -3.774517 -1.979952
1.280000 -3.777648 -1.972306
1.300000 -3.778722 -1.974575
1.320000 -3.789714 -1.980344
1.340000 -3.800797 -1.977627
1.360000 -3.814902 -1.979322
1.380000 -3.825158 -1.979546
1.400000 -3.838773 -1.981240
1.420000 -3.846816 -1.972838
1.440000 -3.854586 -1.983565
1.460000 -3.854849 -1.977361
1.480000 -3.853198 -1.981408
1.500000 -3.851102 -1.984671
1.520000 -3.847016 -1.986309
1.540000 -3.844969 -1.977011
1.560000 -3.837547 -1.975555
1.580000 -3.822587 -1.978412
1.600000 -3.798289 -1.966439
1.620000 -3.766104 -1.976535
1.640000 -3.724015 -1.979504
1.660000 -3.673498 -1.974659
1.680000 -3.613051 -1.973314
1.700000 -3.540743 -1.973958
1.720000 -3.463988 -1.978047
1.740000 -3.377102 -1.976941
1.760000 -3.280978 -1.975849
1.780000 -3.172696 -1.968651
1.800000 -3.053746 -1.971256
1.820000 -2.924447 -1.979868
1.840000 -2.785001 -1.972054
1.860000 -2.639725 -1.975135
1.880000 -2.486962 -1.979490
1.900000 -2.330717 -1.978748
1.920000 -2.173695 -1.974197
1.940000 -2.017307 -1.977991
1.960000 -1.857052 -1.984251
1.980000 -1.695887 -1.984937
2.000000 -1.533282 -1.970766
2.020000 -1.365458 -1.978538
2.040000 -1.201364 -1.978160
2.060000 -1.039758 -1.981422
2.080000 -0.882802 -1.983187
2.100000 -0.733931 -1.980274
2.120000 -0.595815 -1.974351
2.140000 -0.453444 -1.982459
2.160000 -0.318409 -1.979154
2.180000 -0.181957 -1.979966
2.200000 -0.047489 -1.979350
2.220000 0.081275 -1.982683
2.240000 0.206118 -1.981772
2.260000 0.328181 -1.978748
2.280000 0.442084 -1.982052
2.300000 0.548550 -1.974323
2.320000 0.651658 -1.977655
2.340000 0.749535 -1.975177
2.360000 0.852280 -1.980596
2.380000 0.951674 -1.982108
2.400000 1.052700 -1.985245
2.420000 1.148914 -1.978762
2.440000 1.242224 -1.969323
2.460000 1.335168 -1.973790
2.480000 1.424191 -1.971536
2.500000 1.500741 -1.975541
2.520000 1.573488 -1.979588
2.540000 1.648353 -1.982487
2.560000 1.714337 -1.979434
2.580000 1.779832 -1.976367
2.600000 1.840660 -1.969351
2.620000 1.891020 -1.982963
2.640000 1.937705 -1.970962
2.660000 1.973057 -1.974449
2.680000 1.998170 -1.981520
2.700000 2.012129 -1.977067
2.720000 2.014553 -1.975597
2.740000 2.010669 -1.983607
2.760000 2.005499 -1.977011
2.780000 1.994607 -1.976955
2.800000 1.979189 -1.984027
2.820000 1.956331 -1.981688
2.840000 1.915919 -1.979938
2.860000 1.876753 -1.982543
2.880000 1.822884 -1.978510
2.900000 1.762113 -1.979014
2.920000 1.698926 -1.973370
2.940000 1.627688 -1.977067
2.960000 1.557027 -1.986211
2.980000 1.485946 -1.980778
3.000000 1.406897 -1.981758
3.020000 1.325518 -1.982571
3.040000 1.240462 -1.982599
3.060000 1.155275 -1.978300
3.080000 1.059901 -1.981716
3.100000 0.963787 -1.979616
3.120000 0.862762 -1.983887
3.140000 0.765245 -1.989474
3.160000 0.666238 -1.991953
3.180000 0.570615 -1.981464
3.200000 0.478376 -1.979812
3.220000 0.379117 -1.975065
3.240000 0.283865 -1.983747
3.260000 0.185252 -1.983495
3.280000 0.079524 -1.974393
3.300000 -0.027991 -1.990258
3.320000 -0.126311 -1.977683
3.340000 -0.219581 -1.980974
3.360000 -0.314773 -1.980414
3.380000 -0.401512 -1.982150
3.400000 -0.488619 -1.981604
3.420000 -0.574325 -1.984979
3.440000 -0.655814 -1.973650
3.460000 -0.741428 -1.981338
3.480000 -0.826122 -1.979406
3.500000 -0.907083 -1.977361
3.520000 -0.986148 -1.979028
3.540000 -1.057548 -1.971942
3.560000 -1.120827 -1.972082
3.580000 -1.180837 -1.978328
3.600000 -1.239404 -1.971634
3.620000 -1.297316 -1.981562
3.640000 -1.344683 -1.981478
3.660000 -1.383667 -1.981926
3.680000 -1.428258 -1.990847
3.700000 -1.459392 -1.971984
3.720000 -1.489021 -1.979714
3.740000 -1.506962 -1.985287
3.760000 -1.518223 -1.982543
3.780000 -1.530631 -1.984153
3.800000 -1.535298 -1.985259
3.820000 -1.533679 -1.985385
3.840000 -1.530066 -1.982823
3.860000 -1.520051 -1.979042
3.880000 -1.508205 -1.985287
3.900000 -1.491396 -1.976983
3.920000 -1.470116 -1.984601
3.940000 -1.439480 -1.981100
3.960000 -1.401140 -1.981968
3.980000 -1.359192 -1.980918
4.000000 -1.313494 -1.974477
4.020000 -1.275123 -1.986674
4.040000 -1.223756 -1.984195
4.060000 -1.175324 -1.986478
4.080000 -1.118024 -1.981884
4.100000 -1.056377 -1.983327
4.120000 -0.986538 -1.977207
4.140000 -0.918937 -1.983845
4.160000 -0.845287 -1.985021
4.180000 -0.772949 -1.984741
4.200000 -0.700096 -1.986982
4.220000 -0.624122 -1.981562
4.240000 -0.553088 -1.982305
4.260000 -0.480117 -1.974897
4.280000 -0.406627 -1.978342
4.300000 -0.332715 -1.979364
4.320000 -0.256976 -1.979546
4.340000 -0.179643 -1.986295
4.360000 -0.102639 -1.982333
4.380000 -0.029624 -1.986071
4.400000 0.044884 -1.978005
4.420000 0.118961 -1.972880
4.440000 0.195032 -1.986141
4.460000 0.264216 -1.980078
4.480000 0.333444 -1.983061
4.500000 0.402461 -1.981940
4.520000 0.465535 -1.983691
4.540000 0.532772 -1.990454
4.560000 0.590193 -1.987066
4.580000 0.645979 -1.984769
4.600000 0.697950 -1.986954
4.620000 0.746348 -1.979812
4.640000 0.795328 -1.981814
4.660000 0.838022 -1.979532
4.680000 0.875782 -1.986646
4.700000 0.909704 -1.985679
4.720000 0.943270 -1.980512
4.740000 0.973386 -1.980834
4.760000 1.002342 -1.983089
4.780000 1.023178 -1.979924
4.800000 1.043581 -1.984027
4.820000 1.052932 -1.983257
4.840000 1.069641 -1.978608
4.860000 1.075063 -1.979308
4.880000 1.080846 -1.987164
4.900000 1.084287 -1.987738
4.920000 1.080362 -1.984349
4.940000 1.073495 -1.981800
4.960000 1.068325 -1.983327
4.980000 1.049232 -1.982094
5.000000 1.036062 -1.976227
5.020000 1.012217 -1.988620
5.040000 0.987361 -1.971704
5.060000 0.962067 -1.980904
5.080000 0.930361 -1.983103
5.100000 0.901661 -1.975205
5.120000 0.868243 -1.980764
5.140000 0.830028 -1.984265
5.160000 0.793059 -1.978818
5.180000 0.751875 -1.980078
5.200000 0.710361 -1.981268
5.220000 0.663765 -1.980456
5.240000 0.616760 -1.982935
5.260000 0.563942 -1.983817
5.280000 0.511588 -1.982108
5.300000 0.455363 -1.981982
5.320000 0.402633 -1.984209
5.340000 0.348523 -1.982935
5.360000 0.288498 -1.981604
5.380000 0.227677 -1.989950
5.400000 0.167598 -1.976969
5.420000 0.112831 -1.993647
5.440000 0.058569 -1.995174
5.460000 -0.001458 -1.986239
5.480000 -0.057038 -1.981450
5.500000 -0.110418 -1.983677
5.520000 -0.163521 -1.984853
5.540000 -0.213062 -1.995622
5.560000 -0.263243 -1.989600
5.580000 -0.313172 -1.985805
5.600000 -0.363752 -1.992765
5.620000 -0.411258 -1.980778
5.640000 -0.457090 -1.987836
5.660000 -0.501292 -1.987696
5.680000 -0.542167 -1.983579
5.700000 -0.579202 -1.982305
5.720000 -0.619048 -1.977305
5.740000 -0.649760 -1.983705
5.760000 -0.678783 -1.984069
5.780000 -0.703485 -1.981002
5.800000 -0.721588 -1.985721
5.820000 -0.743078 -1.983649
5.840000 -0.756788 -1.984139
5.860000 -0.768935 -1.986029
5.880000 -0.777717 -1.989600
5.900000 -0.780741 -1.986660
5.920000 -0.789146 -1.991225
5.940000 -0.791212 -1.984083
5.960000 -0.789819 -1.982347
5.980000 -0.789499 -1.985259
6.000000 -0.784411 -1.983873
6.020000 -0.780732 -1.985889
6.040000 -0.771642 -1.978342
6.060000 -0.760179 -1.978972
6.080000 -0.746503 -1.978314
6.100000 -0.733940 -1.980456
6.120000 -0.712353 -1.984419
6.140000 -0.693049 -1.981912
6.160000 -0.678937 -1.981912
6.180000 -0.652968 -1.976535
6.200000 -0.622042 -1.974365
6.220000 -0.592152 -1.986197
6.240000 -0.563177 -1.984391
6.260000 -0.526496 -1.982150
6.280000 -0.487080 -1.976507
6.300000 -0.447740 -1.983467
6.320000 -0.413541 -1.979042
6.340000 -0.379130 -1.976787
6.360000 -0.337846 -1.987472
6.380000 -0.294449 -1.986113
6.400000 -0.251408 -1.988676
6.420000 -0.210723 -1.984881
6.440000 -0.171354 -1.986996
6.460000 -0.130187 -1.988186
6.480000 -0.088732 -1.976101
6.500000 -0.046212 -1.989572
6.520000 -0.005218 -1.987472
6.540000 0.035570 -1.982248
6.560000 0.079001 -1.978496
6.580000 0.119193 -1.978328
6.600000 0.157419 -1.981926
6.620000 0.193367 -1.985805
6.640000 0.230719 -1.989012
6.660000 0.268205 -1.978188
6.680000 0.303469 -1.985455
6.700000 0.336134 -1.989614
6.720000 0.367457 -1.987850
6.740000 0.399297 -1.982977
6.760000 0.426837 -1.976157
6.780000 0.453635 -1.978454
6.800000 0.478801 -1.988844
6.820000 0.500046 -1.986407
6.840000 0.521520 -1.979504
6.860000 0.535408 -1.985133
6.880000 0.540707 -1.977403
6.900000 0.549972 -1.988172
6.920000 0.560337 -1.984433
6.940000 0.566711 -1.986141
6.960000 0.572297 -1.988760
6.980000 0.582831 -1.982164
7.000000 0.579367 -1.990833
7.020000 0.575209 -1.978846
7.040000 0.576239 -1.979812
7.060000 0.577984 -1.971942
7.080000 0.568678 -1.989670
7.100000 0.555513 -1.985539
7.120000 0.541746 -1.984419
7.140000 0.535712 -1.983187
7.160000 0.531762 -1.987500
7.180000 0.516776 -1.984545
7.200000 0.497078 -1.981198
7.220000 0.475405 -1.986127
7.240000 0.455035 -1.986814
7.260000 0.437964 -1.991421
7.280000 0.416945 -1.985595
7.300000 0.391401 -1.984055
7.320000 0.364361 -1.986085
7.340000 0.337043 -1.987850
7.360000 0.308082 -1.988746
7.380000 0.279382 -1.985861
7.400000 0.253450 -1.988998
7.420000 0.226987 -1.982206
7.440000 0.200387 -1.982697
7.460000 0.171065 -1.978874
7.480000 0.146543 -1.989922
7.500000 0.118981 -1.982150
7.520000 0.093090 -1.984825
7.540000 0.066206 -1.982865
7.560000 0.039319 -1.980764
7.580000 0.012546 -1.983285
7.600000 -0.015406 -1.987360
7.620000 -0.044520 -1.981968
7.640000 -0.072990 -1.981002
7.660000 -0.102560 -1.985847
7.680000 -0.128890 -1.978678
7.700000 -0.149147 -1.983369
7.720000 -0.171033 -1.985441
7.740000 -0.190210 -1.987948
7.760000 -0.212080 -1.986337
7.780000 -0.234985 -1.984167
7.800000 -0.257216 -1.976535
7.820000 -0.269260 -1.985385
7.840000 -0.281790 -1.979392
