0 Deg Fixed 1-yr JONSWAP 11-Apr-2018
Time(s) LoadCell(N)
0.000000 0.081190
0.020000 0.071416
0.040000 0.062832
0.060000 0.092911
0.080000 0.051489
0.100000 0.050831
0.120000 0.076709
0.140000 0.052511
0.160000 0.081414
0.180000 0.076709
0.200000 0.037990
0.220000 0.082912
0.240000 0.075084
0.260000 0.062958
0.280000 0.072886
0.300000 0.058813
0.320000 0.073684
0.340000 0.081932
0.360000 0.059373
0.380000 0.076961
0.400000 0.079678
0.420000 0.076891
0.440000 0.093849
0.460000 0.068265
0.480000 0.071472
0.500000 0.084733
0.520000 0.102181
0.540000 0.079145
0.560000 0.074398
0.580000 0.102741
0.600000 0.074104
0.620000 0.088416
0.640000 0.108006
0.660000 0.077521
0.680000 0.110401
0.700000 0.116380
0.720000 0.070015
0.740000 0.106256
0.760000 0.093877
0.780000 0.099058
0.800000 0.132414
0.820000 0.051279
0.840000 0.114378
0.860000 0.123578
0.880000 0.063924
0.900000 0.131574
0.920000 0.085783
0.940000 0.069679
0.960000 0.152285
0.980000 0.084999
1.000000 0.093905
1.020000 0.124012
1.040000 0.094549
1.060000 0.129109
1.080000 0.121352
1.100000 0.077213
1.120000 0.132680
1.140000 0.123424
1.160000 0.119069
1.180000 0.139052
1.200000 0.099086
1.220000 0.143617
1.240000 0.164384
1.260000 0.135873
1.280000 0.136265
1.300000 0.153251
1.320000 0.169957
1.340000 0.167661
1.360000 0.185165
1.380000 0.156850
1.400000 0.170741
1.420000 0.254622
1.440000 0.143253
1.460000 0.220215
1.480000 0.229402
1.500000 0.162381
1.520000 0.302065
1.540000 0.197124
1.560000 0.192055
1.580000 0.318071
1.600000 0.205008
1.620000 0.297122
1.640000 0.277097
1.660000 0.174494
1.680000 0.382038
1.700000 0.285527
1.720000 0.233589
1.740000 0.348066
1.760000 0.236795
1.780000 0.378159
1.800000 0.406712
1.820000 0.198538
1.840000 0.379672
1.860000 0.412019
1.880000 0.327383
1.900000 0.437604
1.920000 0.289490
1.940000 0.351959
1.960000 0.545654
1.980000 0.346414
2.000000 0.381618
2.020000 0.428963
2.040000 0.385483
