0 Deg Regular Run 13 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 -0.320708 -2.019399
0.020000 -0.320974 -2.019469
0.040000 -0.321209 -2.020128
0.060000 -0.321416 -2.018713
0.080000 -0.321596 -2.021360
0.100000 -0.321754 -2.018517
0.120000 -0.321892 -2.021556
0.140000 -0.322013 -2.022760
0.160000 -0.322119 -2.022298
0.180000 -0.322213 -2.018475
0.200000 -0.322299 -2.018083
0.220000 -0.322378 -2.015941
0.240000 -0.322453 -2.016655
0.260000 -0.322528 -2.018307
0.280000 -0.322606 -2.008659
0.300000 -0.322688 -2.018503
0.320000 -0.322777 -2.015086
0.340000 -0.322878 -2.013238
0.360000 -0.322991 -2.015717
0.380000 -0.323121 -2.018083
0.400000 -0.323269 -2.013770
0.420000 -0.324078 -2.016655
0.440000 -0.324974 -2.015030
0.460000 -0.325089 -2.019511
0.480000 -0.325923 -2.022382
0.500000 -0.327519 -2.016431
0.520000 -0.327636 -2.019231
0.540000 -0.326181 -2.021038
0.560000 -0.325913 -2.014736
0.580000 -0.326014 -2.021430
0.600000 -0.325904 -2.019133
0.620000 -0.327115 -2.013420
0.640000 -0.327185 -2.019483
0.660000 -0.328116 -2.017593
0.680000 -0.327351 -2.016025
0.700000 -0.326477 -2.017789
0.720000 -0.324474 -2.024399
0.740000 -0.325344 -2.018629
0.760000 -0.323462 -2.023684
0.780000 -0.323073 -2.027689
0.800000 -0.323093 -2.015128
0.820000 -0.322332 -2.024581
0.840000 -0.321934 -2.020926
0.860000 -0.320494 -2.022200
0.880000 -0.321148 -2.024133
0.900000 -0.320460 -2.024203
0.920000 -0.320771 -2.016193
0.940000 -0.320916 -2.015338
0.960000 -0.320613 -2.015983
0.980000 -0.321109 -2.018713
1.000000 -0.320018 -2.023754
1.020000 -0.318929 -2.021430
1.040000 -0.318868 -2.028586
1.060000 -0.318650 -2.023951
1.080000 -0.319484 -2.019946
1.100000 -0.319706 -2.021892
1.120000 -0.321226 -2.023544
1.140000 -0.323662 -2.022732
1.160000 -0.323487 -2.019133
1.180000 -0.324876 -2.020772
1.200000 -0.326138 -2.026191
1.220000 -0.327761 -2.026597
1.240000 -0.328852 -2.024189
1.260000 -0.330986 -2.027563
1.280000 -0.333004 -2.022298
1.300000 -0.334543 -2.025659
1.320000 -0.333975 -2.031330
1.340000 -0.335862 -2.026093
1.360000 -0.337488 -2.017607
1.380000 -0.338464 -2.022102
1.400000 -0.339999 -2.025589
1.420000 -0.341529 -2.018979
1.440000 -0.341909 -2.022466
1.460000 -0.343298 -2.022942
1.480000 -0.343700 -2.019427
1.500000 -0.344961 -2.018657
1.520000 -0.346705 -2.020996
1.540000 -0.348730 -2.020254
1.560000 -0.348727 -2.020170
1.580000 -0.349100 -2.022284
1.600000 -0.350472 -2.015324
1.620000 -0.349590 -2.023726
1.640000 -0.350446 -2.022200
1.660000 -0.351178 -2.026569
1.680000 -0.352235 -2.015212
1.700000 -0.352686 -2.019357
1.720000 -0.354353 -2.016669
1.740000 -0.355280 -2.017313
1.760000 -0.355895 -2.021878
1.780000 -0.357266 -2.024665
1.800000 -0.358828 -2.017145
1.820000 -0.362826 -2.019133
1.840000 -0.366110 -2.021094
1.860000 -0.368807 -2.027311
1.880000 -0.372686 -2.018923
1.900000 -0.375640 -2.028936
1.920000 -0.379069 -2.012244
1.940000 -0.382490 -2.014624
1.960000 -0.384299 -2.023110
1.980000 -0.387183 -2.025211
2.000000 -0.390228 -2.020786
2.020000 -0.391632 -2.024329
2.040000 -0.393964 -2.023362
2.060000 -0.396138 -2.011726
2.080000 -0.397289 -2.022732
2.100000 -0.398256 -2.022732
2.120000 -0.401201 -2.027409
2.140000 -0.404031 -2.026569
2.160000 -0.405783 -2.021416
2.180000 -0.408436 -2.017425
2.200000 -0.410321 -2.019581
2.220000 -0.412652 -2.027465
2.240000 -0.413801 -2.025519
2.260000 -0.416064 -2.018727
2.280000 -0.417899 -2.014988
2.300000 -0.419677 -2.024679
2.320000 -0.420637 -2.018587
2.340000 -0.422434 -2.015941
2.360000 -0.423697 -2.015885
2.380000 -0.423418 -2.021402
2.400000 -0.424631 -2.014386
2.420000 -0.426518 -2.016431
2.440000 -0.430370 -2.018321
2.460000 -0.434065 -2.019231
2.480000 -0.437077 -2.025267
2.500000 -0.440459 -2.019988
2.520000 -0.445904 -2.018377
2.540000 -0.452058 -2.019525
2.560000 -0.459621 -2.018601
2.580000 -0.467784 -2.022396
2.600000 -0.476287 -2.028096
2.620000 -0.485770 -2.026331
2.640000 -0.494096 -2.022480
2.660000 -0.501918 -2.023586
2.680000 -0.510127 -2.015282
2.700000 -0.518507 -2.016837
2.720000 -0.529013 -2.010045
2.740000 -0.539243 -2.023208
2.760000 -0.550320 -2.017537
2.780000 -0.561794 -2.017873
2.800000 -0.573118 -2.018993
2.820000 -0.582123 -2.016501
2.840000 -0.594480 -2.023965
2.860000 -0.606467 -2.020492
2.880000 -0.619757 -2.020310
2.900000 -0.633894 -2.024665
2.920000 -0.648101 -2.020058
2.940000 -0.658800 -2.015520
2.960000 -0.670680 -2.018475
2.980000 -0.683824 -2.025309
3.000000 -0.698579 -2.025785
3.020000 -0.714729 -2.019007
3.040000 -0.730192 -2.024189
3.060000 -0.744321 -2.017635
3.080000 -0.759521 -2.012566
3.100000 -0.775388 -2.019133
3.120000 -0.791373 -2.023698
3.140000 -0.809151 -2.019581
3.160000 -0.826601 -2.016627
3.180000 -0.841573 -2.025757
3.200000 -0.859438 -2.017509
3.220000 -0.877418 -2.027535
3.240000 -0.895766 -2.022886
3.260000 -0.915906 -2.019105
3.280000 -0.935335 -2.017887
3.300000 -0.954113 -2.020226
3.320000 -0.974312 -2.017565
3.340000 -0.994237 -2.021234
3.360000 -1.014422 -2.018503
3.380000 -1.034538 -2.023404
3.400000 -1.056320 -2.019693
3.420000 -1.079132 -2.023418
3.440000 -1.100149 -2.021906
3.460000 -1.119790 -2.020366
3.480000 -1.141581 -2.015661
3.500000 -1.164471 -2.024371
3.520000 -1.188437 -2.021780
3.540000 -1.211219 -2.017677
3.560000 -1.235142 -2.017481
3.580000 -1.256142 -2.018517
3.600000 -1.276974 -2.014722
3.620000 -1.297763 -2.020870
3.640000 -1.320375 -2.019988
3.660000 -1.339877 -2.023951
3.680000 -1.360093 -2.020940
3.700000 -1.379099 -2.016305
3.720000 -1.396933 -2.015100
3.740000 -1.414251 -2.021234
3.760000 -1.434216 -2.019876
3.780000 -1.452722 -2.023026
3.800000 -1.471097 -2.026093
3.820000 -1.486069 -2.020212
3.840000 -1.498104 -2.015562
3.860000 -1.509363 -2.022788
3.880000 -1.522551 -2.021318
3.900000 -1.535177 -2.016893
3.920000 -1.547722 -2.011319
3.940000 -1.558838 -2.015366
3.960000 -1.566790 -2.013686
3.980000 -1.572273 -2.010017
4.000000 -1.579735 -2.015142
4.020000 -1.586527 -2.018419
4.040000 -1.590122 -2.019385
4.060000 -1.593698 -2.017943
4.080000 -1.595977 -2.016011
4.100000 -1.593113 -2.017355
4.120000 -1.590600 -2.016907
4.140000 -1.590059 -2.019049
4.160000 -1.585460 -2.008715
4.180000 -1.578840 -2.010143
4.200000 -1.572719 -2.024749
4.220000 -1.561592 -2.022354
4.240000 -1.550051 -2.018517
4.260000 -1.535217 -2.018615
4.280000 -1.520435 -2.020002
4.300000 -1.503188 -2.018433
4.320000 -1.484790 -2.019217
4.340000 -1.461944 -2.011516
4.360000 -1.437770 -2.019904
4.380000 -1.409866 -2.019119
4.400000 -1.379591 -2.024707
4.420000 -1.347411 -2.022354
4.440000 -1.310504 -2.015731
4.460000 -1.269671 -2.015885
4.480000 -1.229242 -2.015282
4.500000 -1.187859 -2.010465
4.520000 -1.139950 -2.011389
4.540000 -1.089638 -2.022382
4.560000 -1.036968 -2.024511
4.580000 -0.981105 -2.013406
4.600000 -0.923524 -2.020352
4.620000 -0.863415 -2.006250
4.640000 -0.800181 -2.018811
4.660000 -0.736079 -2.015619
4.680000 -0.667766 -2.025351
4.700000 -0.597323 -2.028642
4.720000 -0.525244 -2.025113
4.740000 -0.448153 -2.019021
4.760000 -0.367100 -2.022452
4.780000 -0.286156 -2.017173
4.800000 -0.200861 -2.018475
4.820000 -0.114046 -2.018517
4.840000 -0.023324 -2.024301
4.860000 0.067439 -2.019750
4.880000 0.162866 -2.020912
4.900000 0.265338 -2.020898
4.920000 0.366291 -2.019315
4.940000 0.470007 -2.026373
4.960000 0.577982 -2.019427
4.980000 0.686735 -2.015002
5.000000 0.797090 -2.020254
5.020000 0.911840 -2.015927
5.040000 1.027982 -2.018587
5.060000 1.147571 -2.017061
5.080000 1.266225 -2.018895
5.100000 1.387809 -2.015969
5.120000 1.509681 -2.017817
5.140000 1.633616 -2.019806
