% Original filename: Decay 90Deg0003.mat
90 Deg Decay Run 3 2018-04-13
Time(s) Response(deg) LoadCell(N)
0.000000 0.584658 0.037627
0.020000 0.435031 0.036003
0.040000 0.285368 0.040050
0.060000 0.135760 0.039938
0.080000 -0.013703 0.036605
0.100000 -0.162929 0.036773
0.120000 -0.311828 0.039770
0.140000 -0.460309 0.032012
0.160000 -0.608281 0.037977
0.180000 -0.755654 0.037977
0.200000 -0.902337 0.038131
0.220000 -1.048239 0.039363
0.240000 -1.193269 0.037921
0.260000 -1.337337 0.032628
0.280000 -1.480352 0.040050
0.300000 -1.622222 0.035695
0.320000 -1.762858 0.040106
0.340000 -1.902169 0.041996
0.360000 -2.040063 0.035737
0.380000 -2.176450 0.036955
0.400000 -2.311239 0.038593
0.420000 -2.445356 0.029995
0.440000 -2.577256 0.037123
0.460000 -2.706240 0.037949
0.480000 -2.833176 0.033860
0.500000 -2.958607 0.033370
0.520000 -3.082238 0.039994
0.540000 -3.203481 0.036101
0.560000 -3.321911 0.032278
0.580000 -3.437459 0.035162
0.600000 -3.550179 0.040652
0.620000 -3.660737 0.041814
0.640000 -3.769031 0.032278
0.660000 -3.874630 0.039265
0.680000 -3.976385 0.040554
0.700000 -4.074486 0.039517
0.720000 -4.169964 0.043396
0.740000 -4.263097 0.035359
0.760000 -4.353531 0.031508
0.780000 -4.439822 0.033412
0.800000 -4.522039 0.035345
0.820000 -4.600663 0.038439
0.840000 -4.676582 0.032936
0.860000 -4.749507 0.036857
0.880000 -4.818679 0.039363
0.900000 -4.883867 0.040134
0.920000 -4.944586 0.037487
0.940000 -5.001441 0.028133
0.960000 -5.055120 0.029645
0.980000 -5.105613 0.038481
1.000000 -5.152180 0.035078
1.020000 -5.193878 0.034224
1.040000 -5.230850 0.035653
1.060000 -5.264299 0.042724
1.080000 -5.294649 0.039742
1.100000 -5.321175 0.038397
1.120000 -5.342748 0.039279
1.140000 -5.359667 0.034756
1.160000 -5.372109 0.034364
1.180000 -5.381292 0.045315
1.200000 -5.386759 0.043424
1.220000 -5.388336 0.038859
1.240000 -5.385334 0.036129
1.260000 -5.377232 0.041898
1.280000 -5.364880 0.038145
1.300000 -5.349187 0.039574
1.320000 -5.330816 0.036031
1.340000 -5.307764 0.034686
1.360000 -5.279741 0.037501
1.380000 -5.247152 0.024002
1.400000 -5.211616 0.033370
1.420000 -5.173041 0.032334
1.440000 -5.130182 0.038761
1.460000 -5.082895 0.035373
1.480000 -5.031031 0.032586
1.500000 -4.975604 0.034868
1.520000 -4.916838 0.030457
1.540000 -4.854863 0.031059
1.560000 -4.789375 0.034056
1.580000 -4.719353 0.044195
1.600000 -4.644824 0.029799
1.620000 -4.566497 0.039041
1.640000 -4.486222 0.040540
1.660000 -4.402889 0.039686
1.680000 -4.315978 0.044699
1.700000 -4.225292 0.041842
1.720000 -4.129980 0.035765
1.740000 -4.032740 0.043817
1.760000 -3.932814 0.037165
1.780000 -3.829595 0.031774
1.800000 -3.723584 0.038411
1.820000 -3.613745 0.041058
1.840000 -3.501150 0.039139
1.860000 -3.386002 0.044853
1.880000 -3.269493 0.043887
1.900000 -3.150789 0.034854
1.920000 -3.028646 0.036395
1.940000 -2.903290 0.041156
1.960000 -2.775547 0.042990
1.980000 -2.647738 0.037921
2.000000 -2.517712 0.043761
2.020000 -2.385683 0.039139
2.040000 -2.250926 0.036437
2.060000 -2.113890 0.039546
2.080000 -1.975477 0.038061
2.100000 -1.837051 0.037907
2.120000 -1.698063 0.038425
2.140000 -1.556444 0.034588
2.160000 -1.412824 0.035877
2.180000 -1.267282 0.037095
2.200000 -1.122491 0.034490
2.220000 -0.977364 0.044097
2.240000 -0.831435 0.033678
2.260000 -0.683658 0.046883
2.280000 -0.534038 0.043214
2.300000 -0.385298 0.035401
2.320000 -0.237835 0.035877
2.340000 -0.091947 0.041016
2.360000 0.055806 0.038005
2.380000 0.204498 0.040862
2.400000 0.354365 0.041660
2.420000 0.504578 0.038649
2.440000 0.651910 0.045077
2.460000 0.796174 0.034196
2.480000 0.939460 0.039924
2.500000 1.081205 0.039938
2.520000 1.223240 0.032404
2.540000 1.363699 0.029827
2.560000 1.501315 0.031592
2.580000 1.637852 0.039139
2.600000 1.774201 0.041030
2.620000 1.909480 0.038355
2.640000 2.041935 0.036857
2.660000 2.173703 0.045371
2.680000 2.301415 0.043522
2.700000 2.431605 0.030681
2.720000 2.558532 0.036269
2.740000 2.686325 0.047822
2.760000 2.809241 0.036017
2.780000 2.930391 0.036787
2.800000 3.046802 0.035232
2.820000 3.163916 0.037977
2.840000 3.281603 0.041534
2.860000 3.395598 0.033174
2.880000 3.505643 0.040624
2.900000 3.612916 0.035779
2.920000 3.718145 0.041786
2.940000 3.822407 0.033244
2.960000 3.921874 0.033790
2.980000 4.016437 0.039489
3.000000 4.106228 0.037473
3.020000 4.193518 0.032894
3.040000 4.277088 0.037543
3.060000 4.358314 0.043536
3.080000 4.439249 0.039419
3.100000 4.515063 0.040764
3.120000 4.586511 0.039475
3.140000 4.650754 0.037263
3.160000 4.713769 0.039588
3.180000 4.770913 0.037781
3.200000 4.827628 0.035793
3.220000 4.876525 0.033160
3.240000 4.913715 0.035919
3.260000 4.952153 0.032348
3.280000 4.983442 0.047163
3.300000 5.010667 0.032096
3.320000 5.038944 0.035288
3.340000 5.057327 0.040876
3.360000 5.075275 0.037795
3.380000 5.085849 0.044027
3.400000 5.094180 0.042234
3.420000 5.097907 0.042192
3.440000 5.097819 0.037389
3.460000 5.091703 0.035288
3.480000 5.080501 0.036549
3.500000 5.067980 0.039265
3.520000 5.047577 0.038299
3.540000 5.026691 0.035667
3.560000 4.998465 0.038061
3.580000 4.964215 0.035541
3.600000 4.926557 0.027237
3.620000 4.893688 0.034350
3.640000 4.854582 0.035471
3.660000 4.809162 0.033510
3.680000 4.756110 0.038131
3.700000 4.699223 0.030051
3.720000 4.639513 0.030149
3.740000 4.577957 0.035625
3.760000 4.513396 0.038873
3.780000 4.445997 0.031760
3.800000 4.374118 0.032852
3.820000 4.298092 0.036171
3.840000 4.220001 0.028833
3.860000 4.141757 0.030261
3.880000 4.062520 0.035471
3.900000 3.975989 0.034350
3.920000 3.885346 0.040848
3.940000 3.793683 0.033874
3.960000 3.703070 0.034924
3.980000 3.609164 0.031452
4.000000 3.515755 0.028847
4.020000 3.414239 0.037011
4.040000 3.306433 0.036647
4.060000 3.200730 0.029099
4.080000 3.089982 0.037347
4.100000 2.983086 0.039938
4.120000 2.869999 0.035961
4.140000 2.750066 0.032166
4.160000 2.631682 0.034644
4.180000 2.506630 0.034280
4.200000 2.382334 0.035597
4.220000 2.256104 0.036703
4.240000 2.128587 0.037907
4.260000 1.997684 0.026886
4.280000 1.868079 0.035835
4.300000 1.738560 0.037207
4.320000 1.609911 0.033104
4.340000 1.480925 0.036731
4.360000 1.347249 0.034686
4.380000 1.210922 0.039728
4.400000 1.079557 0.035148
4.420000 0.949612 0.044671
4.440000 0.813946 0.039209
4.460000 0.676132 0.033230
4.480000 0.536909 0.030121
4.500000 0.404898 0.040708
4.520000 0.275321 0.034350
4.540000 0.144268 0.039756
4.560000 0.011782 0.038383
4.580000 -0.120008 0.035429
4.600000 -0.255139 0.031115
4.620000 -0.386933 0.034168
4.640000 -0.515270 0.034896
4.660000 -0.639763 0.036423
4.680000 -0.765224 0.041926
4.700000 -0.888832 0.037375
