% Original filename: Decay 90Deg Spring0006.mat
90 Deg Decay Spring Run 1 2018-04-13
Time(s) Response(deg) LoadCell(N)
0.000000 -0.339737 0.081668
0.020000 -0.330290 0.077845
0.040000 -0.317181 0.073420
0.060000 -0.300585 0.074876
0.080000 -0.280674 0.070087
0.100000 -0.257624 0.073700
0.120000 -0.231608 0.079609
0.140000 -0.202800 0.072551
0.160000 -0.171375 0.078755
0.180000 -0.137505 0.077495
0.200000 -0.101366 0.077369
0.220000 -0.063131 0.079301
0.240000 -0.022974 0.073294
0.260000 0.018931 0.073518
0.280000 0.062410 0.075016
0.300000 0.107288 0.074134
0.320000 0.153393 0.076304
0.340000 0.200549 0.078181
0.360000 0.248583 0.078363
0.380000 0.297321 0.074008
0.400000 0.346589 0.068883
0.420000 0.395813 0.078405
0.440000 0.446575 0.075058
0.460000 0.497537 0.074582
0.480000 0.547075 0.071277
0.500000 0.597948 0.077145
0.520000 0.647784 0.075212
0.540000 0.695622 0.086849
0.560000 0.744263 0.074176
0.580000 0.790798 0.079259
0.600000 0.834842 0.077929
0.620000 0.878587 0.078699
0.640000 0.919336 0.083068
0.660000 0.957148 0.088277
0.680000 0.993914 0.077929
0.700000 1.027186 0.078153
0.720000 1.057264 0.076668
0.740000 1.085872 0.074022
0.760000 1.110497 0.074428
0.780000 1.131817 0.084440
0.800000 1.150608 0.079987
0.820000 1.164499 0.075114
0.840000 1.174887 0.080253
0.860000 1.181392 0.083376
0.880000 1.183082 0.077803
0.900000 1.181259 0.079175
0.920000 1.174153 0.072285
0.940000 1.162328 0.079427
0.960000 1.146955 0.079441
0.980000 1.125686 0.072523
1.000000 1.099712 0.083670
1.020000 1.070865 0.075366
1.040000 1.035678 0.075324
1.060000 0.994743 0.070955
1.080000 0.951696 0.075534
1.100000 0.901579 0.075478
1.120000 0.845214 0.072201
1.140000 0.788403 0.072523
1.160000 0.723693 0.070927
1.180000 0.654106 0.076486
1.200000 0.584774 0.078083
1.220000 0.507110 0.073196
1.240000 0.427193 0.074302
1.260000 0.346259 0.073770
1.280000 0.258157 0.072271
1.300000 0.170178 0.068673
1.320000 0.081652 0.067454
1.340000 -0.010332 0.065508
1.360000 -0.100804 0.075100
1.380000 -0.192937 0.063631
1.400000 -0.288524 0.071627
1.420000 -0.382482 0.081037
1.440000 -0.478159 0.074414
1.460000 -0.575158 0.069583
1.480000 -0.670324 0.063561
1.500000 -0.769299 0.070143
1.520000 -0.866048 0.077159
1.540000 -0.959084 0.081164
1.560000 -1.055779 0.073126
1.580000 -1.144597 0.065242
1.600000 -1.229269 0.066866
1.620000 -1.316624 0.067762
1.640000 -1.391530 0.065060
1.660000 -1.461654 0.074652
1.680000 -1.532909 0.073532
1.700000 -1.595171 0.067426
1.720000 -1.651992 0.063351
1.740000 -1.706107 0.066138
1.760000 -1.750476 0.073266
1.780000 -1.782409 0.071515
1.800000 -1.811439 0.070787
1.820000 -1.831524 0.067762
1.840000 -1.838608 0.065410
1.860000 -1.847951 0.065536
1.880000 -1.842220 0.066054
1.900000 -1.825097 0.075156
1.920000 -1.804271 0.069597
1.940000 -1.764405 0.067398
1.960000 -1.723154 0.068757
1.980000 -1.674109 0.064486
2.000000 -1.609590 0.074442
2.020000 -1.544446 0.066348
2.040000 -1.472358 0.055579
2.060000 -1.392495 0.064247
2.080000 -1.314297 0.064962
2.100000 -1.219774 0.071949
2.120000 -1.114636 0.073308
2.140000 -1.010911 0.067538
2.160000 -0.887874 0.072145
2.180000 -0.761629 0.068490
2.200000 -0.629701 0.076388
2.220000 -0.453071 0.065830
2.240000 -0.271942 0.072425
2.260000 -0.104471 0.080715
2.280000 0.086932 0.076836
2.300000 0.261405 0.074988
2.320000 0.436719 0.078363
2.340000 0.642715 0.072958
2.360000 0.822410 0.074204
2.380000 1.012736 0.075730
2.400000 1.204070 0.066208
2.420000 1.394254 0.076738
2.440000 1.590051 0.069695
2.460000 1.766886 0.063673
2.480000 1.947166 0.075730
2.500000 2.119461 0.068785
2.520000 2.289793 0.074288
2.540000 2.465599 0.068715
2.560000 2.631194 0.071109
2.580000 2.802851 0.074274
2.600000 2.950803 0.066614
2.620000 3.090841 0.070955
2.640000 3.227929 0.070157
2.660000 3.344489 0.076430
2.680000 3.470772 0.069667
2.700000 3.577310 0.067412
