90 Deg Fixed Reg 15 13-Apr-2018
Time(s) LoadCell(N)
0.000000 -0.381634
0.020000 -0.376578
0.040000 -0.398242
0.060000 -0.413967
0.080000 -0.426627
0.100000 -0.461173
0.120000 -0.420045
0.140000 -0.456454
0.160000 -0.445727
0.180000 -0.404333
0.200000 -0.432802
0.220000 -0.416082
0.240000 -0.416096
0.260000 -0.396505
0.280000 -0.389840
0.300000 -0.413295
0.320000 -0.389952
0.340000 -0.370081
0.360000 -0.376565
0.380000 -0.388201
0.400000 -0.366510
0.420000 -0.344679
0.440000 -0.359340
0.460000 -0.360097
0.480000 -0.341164
0.500000 -0.338587
0.520000 -0.320173
0.540000 -0.301128
0.560000 -0.303439
0.580000 -0.253111
0.600000 -0.252803
0.620000 -0.243322
0.640000 -0.224054
0.660000 -0.247888
0.680000 -0.215652
0.700000 -0.225762
0.720000 -0.226266
0.740000 -0.205555
0.760000 -0.215428
0.780000 -0.181806
0.800000 -0.202881
0.820000 -0.174286
0.840000 -0.190572
0.860000 -0.184858
0.880000 -0.163069
0.900000 -0.180349
0.920000 -0.160213
0.940000 -0.143885
0.960000 -0.148660
0.980000 -0.141980
1.000000 -0.121381
1.020000 -0.119771
1.040000 -0.143254
1.060000 -0.128355
1.080000 -0.134838
1.100000 -0.125568
1.120000 -0.161585
1.140000 -0.158756
1.160000 -0.161627
1.180000 -0.171527
1.200000 -0.184200
1.220000 -0.235158
1.240000 -0.185068
1.260000 -0.249764
1.280000 -0.254217
1.300000 -0.281426
1.320000 -0.278849
1.340000 -0.284226
1.360000 -0.318661
1.380000 -0.306184
1.400000 -0.304531
1.420000 -0.318184
1.440000 -0.321713
1.460000 -0.327609
1.480000 -0.340618
1.500000 -0.357128
1.520000 -0.332580
1.540000 -0.351442
1.560000 -0.347228
1.580000 -0.365068
1.600000 -0.341276
1.620000 -0.342452
1.640000 -0.371649
1.660000 -0.354845
1.680000 -0.368387
1.700000 -0.332272
1.720000 -0.380233
1.740000 -0.360419
1.760000 -0.325942
1.780000 -0.362841
1.800000 -0.349636
1.820000 -0.333280
1.840000 -0.351751
1.860000 -0.353809
1.880000 -0.326278
1.900000 -0.355405
1.920000 -0.356750
1.940000 -0.344245
1.960000 -0.376495
1.980000 -0.331068
2.000000 -0.363990
2.020000 -0.402429
2.040000 -0.325774
2.060000 -0.395105
2.080000 -0.412861
2.100000 -0.399586
2.120000 -0.426445
2.140000 -0.422874
2.160000 -0.460151
2.180000 -0.469183
2.200000 -0.447016
2.220000 -0.516500
2.240000 -0.515394
2.260000 -0.514988
2.280000 -0.574488
2.300000 -0.566856
2.320000 -0.624284
2.340000 -0.626035
2.360000 -0.619719
2.380000 -0.696345
2.400000 -0.666686
2.420000 -0.738061
2.440000 -0.745665
2.460000 -0.763254
2.480000 -0.813778
2.500000 -0.807490
2.520000 -0.842947
2.540000 -0.867635
2.560000 -0.880546
2.580000 -0.923648
2.600000 -0.945647
2.620000 -0.938996
2.640000 -1.009783
2.660000 -1.006730
2.680000 -1.012191
2.700000 -1.070725
2.720000 -1.034009
2.740000 -1.093299
2.760000 -1.067155
2.780000 -1.076411
2.800000 -1.104712
2.820000 -1.103619
2.840000 -1.081816
2.860000 -1.089126
2.880000 -1.101785
2.900000 -1.050771
2.920000 -1.080108
2.940000 -1.056190
2.960000 -1.032342
2.980000 -1.032104
3.000000 -1.002585
3.020000 -1.013466
3.040000 -0.966092
3.060000 -0.965098
3.080000 -0.943407
3.100000 -0.947888
3.120000 -0.894171
3.140000 -0.897154
3.160000 -0.885181
3.180000 -0.829573
3.200000 -0.866304
3.220000 -0.820737
3.240000 -0.826381
3.260000 -0.794243
3.280000 -0.763141
3.300000 -0.793025
3.320000 -0.751869
3.340000 -0.726425
3.360000 -0.756616
3.380000 -0.744797
3.400000 -0.705000
3.420000 -0.738636
3.440000 -0.706568
3.460000 -0.737711
3.480000 -0.702073
3.500000 -0.657528
3.520000 -0.707282
3.540000 -0.631160
3.560000 -0.618417
3.580000 -0.604007
3.600000 -0.542630
3.620000 -0.518363
3.640000 -0.472404
3.660000 -0.429077
3.680000 -0.369339
3.700000 -0.321139
3.720000 -0.235117
3.740000 -0.202783
3.760000 -0.105851
3.780000 -0.030989
3.800000 0.007366
3.820000 0.108610
3.840000 0.170449
3.860000 0.287587
3.880000 0.364256
3.900000 0.449704
3.920000 0.572164
3.940000 0.664670
3.960000 0.783208
3.980000 0.891678
4.000000 0.997992
4.020000 1.158120
4.040000 1.295045
4.060000 1.391332
4.080000 1.594801
4.100000 1.719417
4.120000 1.877697
4.140000 2.066127
4.160000 2.194804
4.180000 2.379200
4.200000 2.531557
4.220000 2.697538
4.240000 2.861084
4.260000 3.043240
4.280000 3.217651
4.300000 3.382751
4.320000 3.602156
4.340000 3.766751
4.360000 3.986968
4.380000 4.179179
4.400000 4.380799
4.420000 4.613941
4.440000 4.812327
4.460000 5.008444
4.480000 5.146895
4.500000 5.356624
4.520000 5.536231
4.540000 5.678085
4.560000 5.808008
4.580000 5.918257
4.600000 6.070599
4.620000 6.199332
4.640000 6.312381
4.660000 6.423932
4.680000 6.576737
4.700000 6.773400
4.720000 6.876171
4.740000 7.054630
4.760000 7.234139
4.780000 7.452746
4.800000 7.658189
4.820000 7.756675
4.840000 7.945062
4.860000 8.128058
4.880000 8.226978
4.900000 8.120048
4.920000 8.012908
4.940000 7.962006
4.960000 7.792551
4.980000 7.502528
5.000000 7.176123
5.020000 7.063984
