/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 1 V/N; Kistler moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 03:30:32 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-1.96852	-1.96163	-0.47494	-0.36872	-0.45100	-89.73000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00200	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.45100	-89.73000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	0.00000	0.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00600	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.54120	-89.82000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00800	0.00000	-0.00041	0.00089	-0.00178	0.00234	-0.54120	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01000	0.00000	-0.00041	0.00089	-0.00178	0.00234	-0.36080	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01200	0.00000	-0.00041	0.00089	-0.00178	0.00234	-0.45100	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01400	0.02191	-0.00163	0.00076	-0.00214	0.00403	-0.54120	-89.91000	-0.16766	0.02058	0.09757	-0.09522	0.07207	-0.00741
0.01600	0.02191	-0.00163	0.00076	-0.00214	0.00403	-0.45100	-89.82000	-0.16766	0.02058	0.09757	-0.09522	0.07207	-0.00741
0.01800	0.02191	-0.00163	0.00076	-0.00214	0.00403	-0.36080	-89.91000	-0.16766	0.02058	0.09757	-0.09522	0.07207	-0.00741
0.02000	0.02191	-0.00163	0.00076	-0.00214	0.00403	-0.36080	-89.91000	-0.16766	0.02058	0.09757	-0.09522	0.07207	-0.00741
0.02200	0.02191	0.00012	0.00129	-0.00232	0.00443	-0.45100	-90.00000	0.11160	0.22716	0.10755	-0.03393	0.01470	0.01502
0.02400	0.02173	0.00012	0.00129	-0.00232	0.00443	-0.45100	-90.09000	0.11160	0.22716	0.10755	-0.03393	0.01470	0.01502
0.02600	0.02173	0.00012	0.00129	-0.00232	0.00443	-0.45100	-90.09000	0.11160	0.22716	0.10755	-0.03393	0.01470	0.01502
0.02800	0.02173	0.00012	0.00129	-0.00232	0.00443	-0.54120	-90.09000	0.11160	0.22716	0.10755	-0.03393	0.01470	0.01502
0.03000	0.02173	0.00156	-0.00024	-0.00145	0.00586	-0.54120	-90.00000	0.13197	0.23395	-0.04483	-0.00740	-0.05130	0.00813
0.03200	0.02173	0.00156	-0.00024	-0.00145	0.00586	-0.45100	-90.00000	0.13197	0.23395	-0.04483	-0.00740	-0.05130	0.00813
0.03400	0.02148	0.00156	-0.00024	-0.00145	0.00586	-0.45100	-90.00000	0.13197	0.23395	-0.04483	-0.00740	-0.05130	0.00813
0.03600	0.02148	0.00156	-0.00024	-0.00145	0.00586	-0.18040	-90.00000	0.13197	0.23395	-0.04483	-0.00740	-0.05130	0.00813
0.03800	0.02148	-0.00050	0.00173	0.00004	0.00303	-0.09020	-90.00000	0.13197	0.23395	-0.04483	-0.06725	-0.07567	0.01049
0.04000	0.02148	-0.00099	-0.00001	0.00019	0.00261	-0.09020	-89.91000	0.14102	0.08117	-0.05429	-0.06725	-0.07567	0.01049
0.04200	0.02148	-0.00099	-0.00001	0.00019	0.00261	-0.18040	-90.00000	0.14102	0.08117	-0.05429	-0.06725	-0.07567	0.01049
0.04400	0.02117	-0.00099	-0.00001	0.00019	0.00261	-0.18040	-89.91000	0.14102	0.08117	-0.05429	-0.06725	-0.07567	0.01049
0.04600	0.02117	-0.00099	-0.00001	0.00019	0.00261	-0.09020	-90.00000	0.14102	0.08117	-0.05429	-0.06725	-0.07567	0.01049
0.04800	0.02117	-0.00024	0.00015	0.00093	0.00282	-0.18040	-90.00000	-0.04454	-0.05720	0.01265	-0.12926	0.01943	0.00699
0.05000	0.02117	-0.00024	0.00015	0.00093	0.00282	-0.09020	-90.00000	-0.04454	-0.05720	0.01265	-0.12926	0.01943	0.00699
0.05200	0.02117	-0.00024	0.00015	0.00093	0.00282	-0.18040	-89.91000	-0.04454	-0.05720	0.01265	-0.12926	0.01943	0.00699
0.05400	0.02081	-0.00024	0.00015	0.00093	0.00282	-0.18040	-89.91000	-0.04454	-0.05720	0.01265	-0.12926	0.01943	0.00699
0.05600	0.02081	-0.00021	0.00173	0.00116	0.00264	-0.27060	-89.91000	-0.24809	0.01255	-0.03948	-0.09070	0.13201	-0.00782
0.05800	0.02081	-0.00021	0.00173	0.00116	0.00264	-0.45100	-89.73000	-0.24809	0.01255	-0.03948	-0.09070	0.13201	-0.00782
0.06000	0.02081	-0.00021	0.00173	0.00116	0.00264	-0.45100	-89.64000	-0.24809	0.01255	-0.03948	-0.09070	0.13201	-0.00782
0.06200	0.02081	-0.00021	0.00173	0.00116	0.00264	-0.45100	-89.73000	-0.24809	0.01255	-0.03948	-0.09070	0.13201	-0.00782
0.06400	0.02038	0.00084	0.00041	0.00077	0.00225	-0.45100	-89.73000	-0.24809	0.01255	-0.03948	-0.09070	0.13201	-0.00782
0.06600	0.02038	-0.00066	0.00278	-0.00028	0.00151	-0.54120	-89.82000	-0.19893	0.09033	-0.03105	-0.03856	0.13828	0.00309
0.06800	0.02038	-0.00066	0.00278	-0.00028	0.00151	-0.63140	-89.82000	-0.19893	0.09033	-0.03105	-0.03856	0.13828	0.00309
0.07000	0.02038	-0.00066	0.00278	-0.00028	0.00151	-0.72160	-90.00000	-0.19893	0.09033	-0.03105	-0.03856	0.13828	0.00309
0.07200	0.02038	-0.00066	0.00278	-0.00028	0.00151	-0.63140	-90.00000	-0.19893	0.09033	-0.03105	-0.03856	0.13828	0.00309
0.07400	0.01998	0.00057	0.00041	-0.00043	0.00177	-0.54120	-90.00000	0.00545	0.06286	0.02519	-0.08031	0.02159	0.00782
0.07600	0.01998	0.00057	0.00041	-0.00043	0.00177	-0.54120	-90.09000	0.00545	0.06286	0.02519	-0.08031	0.02159	0.00782
0.07800	0.01998	0.00057	0.00041	-0.00043	0.00177	-0.45100	-90.18000	0.00545	0.06286	0.02519	-0.08031	0.02159	0.00782
0.08000	0.01998	0.00057	0.00041	-0.00043	0.00177	-0.36080	-90.09000	0.00545	0.06286	0.02519	-0.08031	0.02159	0.00782
0.08200	0.01998	-0.00039	0.00080	-0.00069	0.00185	-0.27060	-90.00000	0.12024	0.14167	0.01563	-0.05820	-0.05819	0.00504
0.08400	0.01948	-0.00039	0.00080	-0.00069	0.00185	-0.18040	-89.91000	0.12024	0.14167	0.01563	-0.05820	-0.05819	0.00504
0.08600	0.01948	-0.00039	0.00080	-0.00069	0.00185	-0.18040	-90.00000	0.12024	0.14167	0.01563	-0.05820	-0.05819	0.00504
0.08800	0.01948	-0.00039	0.00080	-0.00069	0.00185	-0.09020	-89.91000	0.12024	0.14167	0.01563	-0.05820	-0.05819	0.00504
0.09000	0.01948	0.00029	0.00015	-0.00110	0.00286	-0.09020	-89.82000	0.17897	0.14280	0.00658	-0.03702	-0.08317	0.01131
0.09200	0.01948	0.00029	0.00015	-0.00110	0.00286	-0.09020	-89.91000	0.17897	0.14280	0.00658	-0.03702	-0.08317	0.01131
0.09400	0.01893	0.00029	0.00015	-0.00110	0.00286	0.00000	-90.00000	0.17897	0.14280	0.00658	-0.03702	-0.08317	0.01131
0.09600	0.01893	0.00029	0.00015	-0.00110	0.00286	-0.18040	-90.00000	0.17897	0.14280	0.00658	-0.03702	-0.08317	0.01131
0.09800	0.01893	0.00024	0.00156	-0.00224	0.00281	-0.18040	-90.00000	0.24336	-0.00062	-0.05357	-0.07106	-0.04935	0.00987
0.10000	0.01893	0.00024	0.00156	-0.00224	0.00281	-0.18040	-90.09000	0.24336	-0.00062	-0.05357	-0.07106	-0.04935	0.00987
0.10200	0.01893	0.00024	0.00156	-0.00224	0.00281	-0.18040	-90.09000	0.24336	-0.00062	-0.05357	-0.07106	-0.04935	0.00987
0.10400	0.01832	0.00024	0.00156	-0.00224	0.00281	-0.09020	-90.09000	0.24336	-0.00062	-0.05357	-0.07106	-0.04935	0.00987
0.10600	0.01832	-0.00049	-0.00009	0.00044	0.00267	-0.27060	-90.09000	-0.03250	0.00216	0.07279	-0.11332	0.01645	-0.00525
0.10800	0.01832	-0.00049	-0.00009	0.00044	0.00267	-0.27060	-90.00000	-0.03250	0.00216	0.07279	-0.11332	0.01645	-0.00525
0.11000	0.01832	-0.00049	-0.00009	0.00044	0.00267	-0.27060	-90.00000	-0.03250	0.00216	0.07279	-0.11332	0.01645	-0.00525
0.11200	0.01832	-0.00049	-0.00009	0.00044	0.00267	-0.27060	-89.91000	-0.03250	0.00216	0.07279	-0.11332	0.01645	-0.00525
0.11400	0.01757	-0.00032	0.00105	0.00177	0.00312	-0.27060	-89.91000	-0.24470	0.08714	-0.00422	-0.08103	0.08698	0.01131
0.11600	0.01757	-0.00032	0.00105	0.00177	0.00312	-0.27060	-89.82000	-0.24470	0.08714	-0.00422	-0.08103	0.08698	0.01131
0.11800	0.01757	-0.00032	0.00105	0.00177	0.00312	-0.36080	-89.73000	-0.24470	0.08714	-0.00422	-0.08103	0.08698	0.01131
0.12000	0.01757	-0.00032	0.00105	0.00177	0.00312	-0.45100	-89.82000	-0.24470	0.08714	-0.00422	-0.08103	0.08698	0.01131
0.12200	0.01757	-0.00030	0.00022	-0.00024	0.00429	-0.45100	-89.82000	-0.29150	0.13179	-0.10240	-0.04021	0.13602	0.00473
0.12400	0.01691	0.00093	0.00052	-0.00008	0.00240	-0.45100	-89.82000	-0.29150	0.13179	-0.10240	-0.04021	0.13602	0.00473
