/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Fri 11 Jun 2021 10:47:50 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-1.96465	-1.96050	-0.47320	-0.36784	-0.72160	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00200	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.72160	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00400	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.72160	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00600	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.63140	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00800	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.72160	-89.82000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01000	0.00000	0.00599	0.00512	0.00195	0.00358	-0.72160	-89.91000	0.02006	-0.00340	-0.01049	-0.00144	-0.00247	0.00483
0.01200	0.00912	0.00599	0.00512	0.00195	0.00358	-0.81180	-89.91000	0.02006	-0.00340	-0.01049	-0.00144	-0.00247	0.00483
0.01400	0.00912	0.00599	0.00512	0.00195	0.00358	-0.81180	-90.00000	0.02006	-0.00340	-0.01049	-0.00144	-0.00247	0.00483
0.01600	0.00912	0.00599	0.00512	0.00195	0.00358	-0.72160	-90.00000	0.02006	-0.00340	-0.01049	-0.00144	-0.00247	0.00483
0.01800	0.00912	0.00516	0.00499	0.00160	0.00358	-0.72160	-90.00000	0.02006	-0.00340	-0.01049	-0.00144	-0.00247	0.00483
0.02000	0.00912	0.00372	0.00578	0.00110	0.00367	-0.63140	-89.91000	0.00360	-0.01173	-0.02241	-0.00905	0.00432	0.00134
0.02200	0.00912	0.00372	0.00578	0.00110	0.00367	-0.63140	-89.91000	0.00360	-0.01173	-0.02241	-0.00905	0.00432	0.00134
0.02400	0.00912	0.00372	0.00578	0.00110	0.00367	-0.63140	-89.91000	0.00360	-0.01173	-0.02241	-0.00905	0.00432	0.00134
0.02600	0.00912	0.00372	0.00578	0.00110	0.00367	-0.63140	-89.82000	0.00360	-0.01173	-0.02241	-0.00905	0.00432	0.00134
0.02800	0.00912	0.00383	0.00463	0.00164	0.00405	-0.72160	-90.00000	0.00360	-0.01173	-0.02241	-0.00905	0.00432	0.00134
0.03000	0.00912	0.00434	0.00416	0.00191	0.00401	-0.81180	-90.09000	0.00730	-0.03045	0.02519	-0.00751	0.00463	-0.00391
0.03200	0.00912	0.00434	0.00416	0.00191	0.00401	-0.81180	-90.00000	0.00730	-0.03045	0.02519	-0.00751	0.00463	-0.00391
0.03400	0.00910	0.00434	0.00416	0.00191	0.00401	-0.81180	-90.09000	0.00730	-0.03045	0.02519	-0.00751	0.00463	-0.00391
0.03600	0.00910	0.00434	0.00416	0.00191	0.00401	-0.81180	-90.09000	0.00730	-0.03045	0.02519	-0.00751	0.00463	-0.00391
0.03800	0.00910	0.00572	0.00549	0.00211	0.00343	-0.81180	-90.00000	-0.00936	-0.03086	0.03424	-0.00422	0.00637	-0.00257
0.04000	0.00910	0.00572	0.00549	0.00211	0.00343	-0.81180	-89.91000	-0.00936	-0.03086	0.03424	-0.00422	0.00637	-0.00257
0.04200	0.00910	0.00572	0.00549	0.00211	0.00343	-0.72160	-89.91000	-0.00936	-0.03086	0.03424	-0.00422	0.00637	-0.00257
0.04400	0.00902	0.00572	0.00549	0.00211	0.00343	-0.72160	-89.91000	-0.00936	-0.03086	0.03424	-0.00422	0.00637	-0.00257
0.04600	0.00902	0.00458	0.00402	0.00032	0.00350	-0.63140	-89.91000	-0.00607	-0.01142	0.04935	-0.00072	0.00730	-0.00103
0.04800	0.00902	0.00458	0.00402	0.00032	0.00350	-0.63140	-90.00000	-0.00607	-0.01142	0.04935	-0.00072	0.00730	-0.00103
0.05000	0.00902	0.00458	0.00402	0.00032	0.00350	-0.63140	-90.09000	-0.00607	-0.01142	0.04935	-0.00072	0.00730	-0.00103
0.05200	0.00902	0.00458	0.00402	0.00032	0.00350	-0.63140	-90.09000	-0.00607	-0.01142	0.04935	-0.00072	0.00730	-0.00103
0.05400	0.00889	0.00425	0.00551	0.00151	0.00519	-0.63140	-90.00000	-0.00607	-0.01142	0.04935	-0.00072	0.00730	-0.00103
0.05600	0.00889	0.00435	0.00455	0.00026	0.00599	-0.72160	-90.00000	0.00185	-0.00905	-0.01182	-0.00648	0.00874	0.00504
0.05800	0.00889	0.00435	0.00455	0.00026	0.00599	-0.72160	-89.82000	0.00185	-0.00905	-0.01182	-0.00648	0.00874	0.00504
0.06000	0.00889	0.00435	0.00455	0.00026	0.00599	-0.81180	-89.82000	0.00185	-0.00905	-0.01182	-0.00648	0.00874	0.00504
0.06200	0.00867	0.00435	0.00455	0.00026	0.00599	-0.90200	-89.91000	0.00185	-0.00905	-0.01182	-0.00648	0.00874	0.00504
0.06400	0.00867	0.00390	0.00477	-0.00001	0.00806	-0.90200	-89.91000	0.00185	-0.00905	-0.01182	-0.00648	0.00874	0.00504
0.06600	0.00867	0.00663	0.00664	0.00037	0.00740	-0.90200	-89.91000	-0.01275	0.02016	0.05346	0.01296	-0.00041	-0.00134
0.06800	0.00867	0.00663	0.00664	0.00037	0.00740	-0.90200	-90.00000	-0.01275	0.02016	0.05346	0.01296	-0.00041	-0.00134
0.07000	0.00867	0.00663	0.00664	0.00037	0.00740	-0.72160	-90.00000	-0.01275	0.02016	0.05346	0.01296	-0.00041	-0.00134
0.07200	0.00867	0.00663	0.00664	0.00037	0.00740	-0.54120	-89.91000	-0.01275	0.02016	0.05346	0.01296	-0.00041	-0.00134
0.07400	0.00853	0.00423	0.00478	0.00061	0.00377	-0.45100	-90.00000	-0.00134	0.00350	-0.00113	0.00123	0.00843	-0.00288
0.07600	0.00853	0.00423	0.00478	0.00061	0.00377	-0.45100	-89.91000	-0.00134	0.00350	-0.00113	0.00123	0.00843	-0.00288
0.07800	0.00853	0.00423	0.00478	0.00061	0.00377	-0.63140	-90.00000	-0.00134	0.00350	-0.00113	0.00123	0.00843	-0.00288
0.08000	0.00853	0.00423	0.00478	0.00061	0.00377	-0.63140	-89.91000	-0.00134	0.00350	-0.00113	0.00123	0.00843	-0.00288
0.08200	0.00853	0.00419	0.00486	-0.00021	0.00399	-0.63140	-89.82000	0.00422	-0.01872	0.00288	-0.00535	0.01388	0.00144
0.08400	0.00825	0.00419	0.00486	-0.00021	0.00399	-0.63140	-89.91000	0.00422	-0.01872	0.00288	-0.00535	0.01388	0.00144
0.08600	0.00825	0.00419	0.00486	-0.00021	0.00399	-0.63140	-89.91000	0.00422	-0.01872	0.00288	-0.00535	0.01388	0.00144
0.08800	0.00825	0.00419	0.00486	-0.00021	0.00399	-0.63140	-90.00000	0.00422	-0.01872	0.00288	-0.00535	0.01388	0.00144
0.09000	0.00825	0.00368	0.00464	0.00112	0.00454	-0.81180	-90.00000	-0.01574	-0.03333	0.03938	-0.00864	0.01347	0.00165
0.09200	0.00825	0.00368	0.00464	0.00112	0.00454	-0.72160	-90.00000	-0.01574	-0.03333	0.03938	-0.00864	0.01347	0.00165
0.09400	0.00801	0.00368	0.00464	0.00112	0.00454	-0.81180	-90.00000	-0.01574	-0.03333	0.03938	-0.00864	0.01347	0.00165
0.09600	0.00801	0.00368	0.00464	0.00112	0.00454	-0.72160	-89.91000	-0.01574	-0.03333	0.03938	-0.00864	0.01347	0.00165
0.09800	0.00801	0.00493	0.00482	0.00158	0.00458	-0.54120	-89.91000	-0.01574	-0.03333	0.03938	-0.00864	0.01347	0.00165
0.10000	0.00801	0.00642	0.00536	0.00138	0.00384	-0.54120	-89.91000	-0.01070	-0.03344	-0.00350	-0.00422	0.01748	-0.00000
0.10200	0.00801	0.00642	0.00536	0.00138	0.00384	-0.63140	-89.91000	-0.01070	-0.03344	-0.00350	-0.00422	0.01748	-0.00000
0.10400	0.00773	0.00642	0.00536	0.00138	0.00384	-0.54120	-89.91000	-0.01070	-0.03344	-0.00350	-0.00422	0.01748	-0.00000
0.10600	0.00773	0.00642	0.00536	0.00138	0.00384	-0.63140	-90.00000	-0.01070	-0.03344	-0.00350	-0.00422	0.01748	-0.00000
0.10800	0.00773	0.00464	0.00408	0.00016	0.00418	-0.81180	-90.00000	0.01749	-0.05206	0.01830	-0.00792	0.00751	0.00000
0.11000	0.00773	0.00464	0.00408	0.00016	0.00418	-0.81180	-90.00000	0.01749	-0.05206	0.01830	-0.00792	0.00751	0.00000
0.11200	0.00773	0.00464	0.00408	0.00016	0.00418	-0.72160	-90.09000	0.01749	-0.05206	0.01830	-0.00792	0.00751	0.00000
0.11400	0.00738	0.00464	0.00408	0.00016	0.00418	-0.72160	-90.09000	0.01749	-0.05206	0.01830	-0.00792	0.00751	0.00000
0.11600	0.00738	0.00435	0.00560	0.00166	0.00365	-0.63140	-90.09000	0.01749	-0.05206	0.01830	-0.00792	0.00751	0.00000
0.11800	0.00738	0.00435	0.00560	0.00166	0.00365	-0.63140	-90.00000	0.01461	0.00216	0.01635	0.00062	0.00267	0.00494
0.12000	0.00738	0.00446	0.00473	0.00357	0.00400	-0.63140	-89.91000	0.01461	0.00216	0.01635	0.00062	0.00267	0.00494
0.12200	0.00707	0.00446	0.00473	0.00357	0.00400	-0.63140	-89.91000	0.04464	0.02253	0.03516	0.00082	-0.01295	-0.00113
0.12400	0.00707	0.00446	0.00473	0.00357	0.00400	-0.63140	-90.00000	0.04464	0.02253	0.03516	0.00082	-0.01295	-0.00113
0.12600	0.00707	0.00428	0.00405	0.00329	0.00414	-0.63140	-89.82000	0.04464	0.02253	0.03516	0.00082	-0.01295	-0.00113
0.12800	0.00707	0.00428	0.00405	0.00329	0.00414	-0.63140	-89.82000	0.04464	0.02253	0.03516	0.00082	-0.01295	-0.00113
0.13000	0.00707	0.00428	0.00405	0.00329	0.00414	-0.63140	-89.91000	0.04464	0.02253	0.03516	0.00082	-0.01295	-0.00113
0.13200	0.00707	0.00611	0.00563	0.00166	0.00332	-0.63140	-89.82000	0.02520	0.00628	0.02560	-0.00031	-0.01655	0.00021
0.13400	0.00677	0.00611	0.00563	0.00166	0.00332	-0.63140	-89.91000	0.02520	0.00628	0.02560	-0.00031	-0.01655	0.00021
0.13600	0.00677	0.00611	0.00563	0.00166	0.00332	-0.54120	-90.09000	0.02520	0.00628	0.02560	-0.00031	-0.01655	0.00021
0.13800	0.00677	0.00611	0.00563	0.00166	0.00332	-0.63140	-90.00000	0.02520	0.00628	0.02560	-0.00031	-0.01655	0.00021
0.14000	0.00677	0.00475	0.00443	0.00086	0.00339	-0.54120	-90.18000	-0.02232	0.00484	0.01172	0.00226	-0.00062	0.00226
0.14200	0.00677	0.00475	0.00443	0.00086	0.00339	-0.63140	-90.09000	-0.02232	0.00484	0.01172	0.00226	-0.00062	0.00226
0.14400	0.00629	0.00475	0.00443	0.00086	0.00339	-0.63140	-90.00000	-0.02232	0.00484	0.01172	0.00226	-0.00062	0.00226
0.14600	0.00629	0.00475	0.00443	0.00086	0.00339	-0.72160	-90.00000	-0.02232	0.00484	0.01172	0.00226	-0.00062	0.00226
0.14800	0.00629	0.00444	0.00557	0.00131	0.00304	-0.72160	-89.91000	-0.04989	-0.04054	0.02437	-0.00792	0.01635	-0.00041
0.15000	0.00629	0.00444	0.00557	0.00131	0.00304	-0.81180	-89.82000	-0.04989	-0.04054	0.02437	-0.00792	0.01635	-0.00041
0.15200	0.00629	0.00444	0.00557	0.00131	0.00304	-0.81180	-89.73000	-0.04989	-0.04054	0.02437	-0.00792	0.01635	-0.00041
